,https://roic.ai/company/UE,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,4345000,5223000,2600000,168983000,131654000,490279000,440430000,432954000,384572000,164478000
34,Net Receivables,- -,138254000,93641000,100623000,99142000,97035000,105921000,113466000,95443000,- -,78504000
35,Inventory,- -,- -,- -,- -,- -,- -,3285000,- -,6574000,- -,- -
36,Other Current Assets,- -,20427000,21903000,20224000,17563000,23813000,22065000,27445000,71848000,- -,67379000
37,Total Current Assets,- -,163026000,120767000,123447000,285688000,252502000,621550000,581341000,606819000,384572000,310361000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,81768000,- -,72085000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,56184000,- -
41,Intangible Assets,- -,40259000,37486000,34775000,33953000,30875000,87249000,68422000,48121000,56184000,71107000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37420000
44,Other Non-Current Assets,- -,1653770000,1591712000,1583307000,1599290000,1620761000,2112009000,2149231000,2109650000,- -,2494143000
45,Total Non-Current Assets,- -,1694029000,1629198000,1618082000,1633243000,1651636000,2199258000,2217653000,2239539000,56184000,2674755000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1857055000,1749965000,1741529000,1918931000,1904138000,2820808000,2798994000,2846358000,440756000,2985116000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,132980000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,2993000,- -
50,Tax Payable,- -,- -,- -,- -,2151000,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28898000
52,Other Current Liabilities,- -,30881000,30538000,26924000,45331000,48842000,69595000,44451000,23473000,-2993000,38177000
53,Total Current Liabilities,- -,30881000,30538000,26924000,45331000,48842000,69595000,44451000,23473000,132980000,67075000
54,Long-Term Debt,- -,1251234000,1200762000,1288535000,1233983000,1197513000,1564542000,1550242000,1546195000,- -,1754772000
55,Deferred Revenue,- -,- -,- -,- -,2284000,3280000,4183000,28697000,26224000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,3607000,3802000,2828000,5532000,5137000,- -,- -
57,Other Non-Current Liabilities,- -,185052000,177081000,167207000,162272000,154584000,189119000,164095000,230553000,- -,115375000
58,Total Non-Current Liabilities,- -,1436286000,1377843000,1455742000,1402146000,1359179000,1760672000,1748566000,1808109000,- -,1870147000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1810687000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,79913000,77965000,67582000
61,Total Liabilities,- -,1467167000,1408381000,1482666000,1447477000,1408021000,1830267000,1793017000,1831582000,1943667000,1937222000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,993000,997000,1138000,1143000,1213000,- -,1170000
64,Retained Earnings,- -,- -,- -,- -,-38442000,-29066000,-57621000,-52857000,-52546000,- -,-7091000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,389590000,341265000,258522000,475369000,488375000,946402000,- -,1019149000,995893000,- -
67,Total Stockholders Equity,- -,389590000,341265000,258522000,437920000,460306000,889919000,904706000,967816000,951565000,995332000
68,Total Liabilities And Stockholders Equity,- -,1856757000,1749646000,1741188000,1885397000,1868327000,2720186000,2697723000,2799398000,2895232000,2932554000
69,Minority Interest,- -,298000,319000,341000,33534000,35811000,100622000,101271000,46960000,-2454476000,52562000
70,Total Liabilities & Equity,- -,1857055000,1749965000,1741529000,1918931000,1904138000,2820808000,2798994000,2846358000,440756000,2985116000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1611547/000110465915032592/0001104659-15-032592-index.htm,https://www.sec.gov/Archives/edgar/data/1611547/000161154716000035/0001611547-16-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1611547/000161154717000009/0001611547-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1611547/000161154718000009/0001611547-18-000009-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1611547/000161154720000008/0001611547-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1611547/000161154721000006/0001611547-21-000006-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,87463000,69837000,109314000,65772000,38785000,90815000,67070000,105150000,109523000,97750000,102686000
74,Depreciation and Amortization,52991000,54978000,55925000,55313000,58299000,57178000,82511000,100063000,93785000,97751000,94135000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,2850000,- -,3878000,10261000,5433000,7137000,9741000,13549000,16994000,10819000
77,Change in Working Capital,-13102000,132145000,-41916000,6294000,143834000,-36697000,348295000,-15065000,46456000,-331754000,-10067000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,132145000,90229000,96523000,240357000,203660000,551955000,536890000,583346000,251592000,-5818000
82,Other Non-Cash Items,-29622000,-151446000,117204000,-25569000,-113101000,20520000,-347115000,-62849000,-106913000,232081000,-62300000
83,Cash Provided by Operating Activities,97730000,108364000,240527000,105688000,138078000,137249000,157898000,137040000,156400000,112822000,135273000
84,CAPEX,- -,- -,- -,- -,- -,- -,-89344000,-118765000,-91301000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-39023000,-32886000,-27013000,-44504000,-65490000,-59230000,-295732000,-64803000,-2521000,-98460000,-311160000
89,Cash Used for Investing Activites,-39023000,-32886000,-27013000,-44504000,-65490000,-59230000,-295732000,-64803000,-2521000,-98460000,-311160000
90,Debt Repayment,-39669000,-24439000,-367704000,-42481000,-44654000,-38458000,-130778000,-4288000,-5587000,-89302000,-18192000
91,Common Stock Issued,- -,- -,- -,- -,- -,8949000,348404000,477000,439000,398000,366000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-5978000,-54141000,- -
93,Dividends Paid,- -,- -,- -,- -,-79167000,-81240000,-95381000,-100244000,-106163000,-26647000,-123998000
94,Other Financing Activites,-19004000,-48946000,155068000,-21326000,217616000,-5109000,376244000,-11501000,-8976000,89447000,118294000
95,Cash Used/Provided by Financing Activities,-58673000,-73385000,-212636000,-63807000,93795000,-115858000,498489000,-115556000,-126265000,-80245000,-23530000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,34000,2093000,878000,-2623000,166383000,-37839000,360655000,-43319000,27614000,-65883000,-199417000
98,Cash at the End of Period,2252000,4345000,5223000,2600000,168983000,140186000,500841000,457522000,485136000,419253000,219836000
99,Cash at the Beginning of Period,2218000,2252000,4345000,5223000,2600000,178025000,140186000,500841000,457522000,485136000,419253000
100,Free Cash Flow,97730000,108364000,240527000,105688000,138078000,137249000,157898000,137040000,156400000,112822000,135273000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1611547/000110465915032592/0001104659-15-032592-index.htm,https://www.sec.gov/Archives/edgar/data/1611547/000161154716000035/0001611547-16-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1611547/000161154717000009/0001611547-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1611547/000161154718000009/0001611547-18-000009-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1611547/000161154720000008/0001611547-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1611547/000161154721000006/0001611547-21-000006-index.htm,- -
102,false,,,,,,,,,,,
