,https://roic.ai/company/NERV,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,522981,368698,718756,107772,-32705,364030,517338,-1321390,857601
81,Other Working Capital,19019,412586,15828204,28160859,74177991,122702276,86409162,40507558,24279964,- -
82,Other Non-Cash Items,- -,52472,-12475505,-11739953,-44247175,-9576159,36322500,67572231,-29415606,21527321
83,Cash Provided by Operating Activities,-908543,-2160243,-35960846,-24269419,-25687674,3092864,-41941756,-43432223,-33822023,-24601872
84,CAPEX,- -,-3232,-45609,- -,- -,-52400,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,1167869,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-23279285,- -,-134525859,-40661424,-61094024,-3871706,- -
87,Sales/Maturities of Investments,- -,- -,- -,4994683,17818000,27390000,110151000,75179000,28400000,- -
88,Other Investing Activites,- -,- -,-35014,-44986,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-3232,1087246,-18329588,17818000,-107188259,69489576,14084976,24528294,- -
90,Debt Repayment,- -,- -,-1882817,- -,-1570583,-4938713,-4000704,- -,- -,- -
91,Common Stock Issued,900000,1850000,55040820,30999999,58499994,44562500,- -,- -,12550069,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-389,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,1931478,-1557018,7337360,19636818,7543209,655934,524999,687989,60000000
95,Cash Used/Provided by Financing Activities,900000,3781478,51600985,38337359,76566229,47166607,-3344770,524999,13238058,60000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-8543,1618003,16727385,-4261648,68696555,-56928788,24203050,-28822248,3944329,35398128
98,Cash at the End of Period,200314,1818317,18545702,14284054,82980609,26051821,50334871,21512623,25456952,60855080
99,Cash at the Beginning of Period,208857,200314,1818317,18545702,14284054,82980609,26131821,50334871,21512623,25456952
100,Free Cash Flow,-908543,-2163475,-36006455,-24269419,-25687674,3040464,-41941756,-43432223,-33822023,-24601872
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1598646/000156459015002008/nerv-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1598646/000156459016014641/0001564590-16-014641-index.html,https://www.sec.gov/Archives/edgar/data/1598646/000156459017004048/0001564590-17-004048-index.html,https://www.sec.gov/Archives/edgar/data/1598646/000156459018005224/0001564590-18-005224-index.html,https://www.sec.gov/Archives/edgar/data/1598646/000156459019007246/0001564590-19-007246-index.html,https://www.sec.gov/Archives/edgar/data/1598646/000156459020009243/0001564590-20-009243-index.html,https://www.sec.gov/Archives/edgar/data/1598646/000156459021011340/0001564590-21-011340-index.htm,https://www.sec.gov/Archives/edgar/data/1598646/000156459022007853/0001564590-22-007853-index.htm
102,false,,,,,,,,,,
