,https://roic.ai/company/ISDR,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,https://www.sec.gov/Archives/edgar/data/843006/000089056696000168/0000890566-96-000168-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/843006/000135448807001867/f10ksbdec02final.htm,https://www.sec.gov/Archives/edgar/data/843006/000135448807001869/dccn10ksb2003.htm,https://www.sec.gov/Archives/edgar/data/843006/000135448807001876/dccn10ksb2004.htm,- -,https://www.sec.gov/Archives/edgar/data/843006/000135448807001877/dccn10ksb.htm,https://www.sec.gov/Archives/edgar/data/843006/000135448808000513/0001354488-08-000513-index.html,https://www.sec.gov/Archives/edgar/data/843006/000111650209000420/0001116502-09-000420-index.html,https://www.sec.gov/Archives/edgar/data/843006/000135448810000836/0001354488-10-000836-index.html,https://www.sec.gov/Archives/edgar/data/843006/000135448811000682/isdr_10k.htm,https://www.sec.gov/Archives/edgar/data/843006/000135448812000920/0001354488-12-000920-index.html,https://www.sec.gov/Archives/edgar/data/843006/000135448813000935/0001354488-13-000935-index.html,https://www.sec.gov/Archives/edgar/data/843006/000135448814001022/isdr_10k.htm,https://www.sec.gov/Archives/edgar/data/843006/000135448815000966/isdr_10k.htm,https://www.sec.gov/Archives/edgar/data/843006/000165495416000153/0001654954-16-000153-index.html,https://www.sec.gov/Archives/edgar/data/843006/000165495417001989/0001654954-17-001989-index.html,https://www.sec.gov/Archives/edgar/data/843006/000165495418002057/0001654954-18-002057-index.html,https://www.sec.gov/Archives/edgar/data/843006/000165495419002109/0001654954-19-002109-index.html,https://www.sec.gov/Archives/edgar/data/843006/000165495420001999/0001654954-20-001999-index.html,https://www.sec.gov/Archives/edgar/data/843006/000165495421002389/0001654954-21-002389-index.htm,https://www.sec.gov/Archives/edgar/data/843006/000165495422002481/0001654954-22-002481-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,140000,200000,4600000,1080000,30000,240000,70000,- -,- -,- -,- -,- -,39318,50367,146043,504713,862386,1250643,1713479,1721343,4215145,5338978,4917000,17222000,15766000,19556000,23852000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6242,6242,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,140000,200000,4600000,1080000,30000,240000,70000,- -,- -,- -,- -,- -,39318,56609,152285,504713,862386,1250643,1713479,1721343,4215145,5338978,4917000,17222000,15766000,19556000,23852000
34,Net Receivables,2460000,3500000,2830000,940000,1520000,- -,- -,- -,- -,- -,- -,- -,124954,165681,152069,175336,361191,544684,1970531,2013464,1253628,1299698,2000000,1683000,2099000,2514000,3291000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,60000,350000,80000,1800000,180000,10000,270000,- -,- -,- -,- -,- -,11166,2855,19201,118981,246199,87710,186599,318956,252468,188584,193000,89000,141000,298000,750000
37,Total Current Assets,2660000,4050000,7510000,3820000,1730000,250000,340000,- -,- -,- -,- -,- -,175438,225145,323555,799030,1469776,1883037,3870609,4053763,5721241,6827260,7110000,18994000,18006000,22368000,27893000
38,PP&E,2380000,2430000,2090000,410000,460000,20000,10000,- -,- -,- -,- -,- -,16337,15987,21087,53375,66611,55611,297577,145384,175497,204316,145000,132000,3026000,2625000,2246000
39,Goodwill,340000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43195,43195,43195,43195,43195,1056873,2241872,2241872,2241872,4070000,5032000,6376000,6376000,6376000
40,Intangible Assets,360000,- -,- -,- -,- -,60000,- -,- -,- -,- -,- -,- -,302195,104500,77168,49834,65834,388334,4013129,3733634,2915258,3428491,5607000,4759000,4649000,3432000,2648000
41,Intangible Assets,700000,- -,- -,- -,- -,60000,- -,- -,- -,- -,- -,- -,302195,147695,120363,93029,109029,431529,5070002,5975506,5157130,5670363,9677000,9791000,11025000,9808000,9024000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118400,64000,159000,- -,- -,97974,140974,- -,- -,256000,- -,- -
44,Other Non-Current Assets,- -,1120000,470000,40000,30000,250000,- -,- -,- -,- -,- -,- -,- -,2000,- -,15576,22074,12069,22351,28286,18301,17891,18000,35000,77000,88000,94000
45,Total Non-Current Assets,3080000,3550000,2560000,450000,490000,330000,10000,- -,- -,- -,- -,- -,318532,165682,141450,280380,261714,658209,5389930,6149176,5448902,6033544,9840000,9958000,14384000,12521000,11364000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5740000,7600000,10070000,4270000,2220000,580000,350000,- -,- -,- -,- -,- -,493970,390827,465005,1079410,1731490,2541246,9260539,10202939,11170143,12860804,16950000,28952000,32390000,34889000,39257000
48,Accounts Payable,700000,1400000,480000,220000,1390000,20000,230000,120000,120000,120000,120000,114655,54705,143560,51715,65570,103566,62886,267637,255615,385285,343418,666000,371000,266000,304000,695000
49,Short-Term Debt,400000,750000,500000,- -,250000,110000,110000,110000,110000,110000,110000,108334,195317,138353,73525,- -,- -,150000,- -,1131276,- -,- -,288000,320000,301000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,226406,298052,135533,199613,111961,65000,83000,310000,258000,46000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51382,177708,112906,1053401,877120,822481,842642,887000,1249000,1812000,2212000,3086000
52,Other Current Liabilities,2620000,950000,860000,2230000,2190000,260000,240000,30000,30000,30000,30000,37834,89191,128050,59810,34918,169324,263753,1553334,1240655,1195612,918360,678000,660000,1461000,2063000,2021000
53,Total Current Liabilities,3720000,3100000,1840000,2450000,3830000,390000,580000,260000,260000,260000,260000,260823,339213,409963,185050,151870,450598,589545,2874372,3504666,2403378,2104420,2519000,2600000,3840000,4579000,5802000
54,Long-Term Debt,- -,1570000,1540000,80000,80000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,446909,- -,- -,- -,570000,276000,2309000,1971000,1659000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1650460,633778,94566,66332,573000,413000,141000,197000,176000
57,Other Non-Current Liabilities,- -,- -,- -,270000,220000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,19810,69287,105554,83063,56733,113222,112154,77000,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,1570000,1540000,350000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19810,69287,105554,2180432,690511,207788,178486,1220000,689000,2450000,2168000,1835000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2309000,1971000,1659000
61,Total Liabilities,3720000,4670000,3380000,2800000,4130000,390000,580000,260000,260000,260000,260000,260823,339213,409963,185050,171680,519885,695099,5054804,4195177,2611166,2282906,3739000,3289000,6290000,6747000,7637000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7,7,7,5,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,120000,120000,30000,30000,40000,40000,40000,- -,- -,- -,- -,2439,16235,18834,16826,17685,1752,1937,2007,2317,2785,2861,3000,4000,4000,4000,4000
64,Retained Earnings,-7600000,-6830000,-3410000,-8580000,-12150000,-10070000,-10490000,-10630000,-10630000,-10630000,-10630000,-10632599,-511704,-1474747,-1200573,-771167,-531891,-226159,285132,327258,388741,1491225,2774000,3151000,3837000,5943000,9234000
65,Other Comprehensive Income/Loss,-4180000,-4540000,-4680000,-4700000,-4980000,-60000,- -,- -,- -,- -,- -,- -,-41835,-43201,-18316,-34154,-64858,-94708,-59065,-47283,-35154,-35798,34000,-17000,-16000,-19000,-19000
66,Other Total Stockholders Equity,13690000,14180000,14760000,14730000,15180000,10280000,10220000,10370000,10370000,10370000,10370000,10369330,692054,1479971,1482013,1695366,1806602,2165077,3977661,5725470,8202605,9119610,10400000,22525000,22275000,22214000,22401000
67,Total Stockholders Equity,2030000,2930000,6700000,1480000,-1910000,190000,-230000,-260000,-260000,-260000,-260000,-260823,154757,-19136,279955,907730,1211605,1846147,4205735,6007762,8558977,10577898,13211000,25663000,26100000,28142000,31620000
68,Total Liabilities And Stockholders Equity,5750000,7600000,10080000,4280000,2220000,580000,350000,- -,- -,- -,- -,- -,493970,390827,465005,1079410,1731490,2541246,9260539,10202939,11170143,12860804,16950000,28952000,32390000,34889000,39257000
69,Minority Interest,-10000,- -,-10000,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,5740000,7600000,10070000,4270000,2220000,580000,350000,- -,- -,- -,- -,- -,493970,390827,465005,1079410,1731490,2541246,9260539,10202939,11170143,12860804,16950000,28952000,32390000,34889000,39257000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/843006/000089056696000168/0000890566-96-000168-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/843006/000135448807001867/f10ksbdec02final.htm,https://www.sec.gov/Archives/edgar/data/843006/000135448807001869/dccn10ksb2003.htm,https://www.sec.gov/Archives/edgar/data/843006/000135448807001876/dccn10ksb2004.htm,- -,https://www.sec.gov/Archives/edgar/data/843006/000135448807001877/dccn10ksb.htm,https://www.sec.gov/Archives/edgar/data/843006/000135448808000513/0001354488-08-000513-index.html,https://www.sec.gov/Archives/edgar/data/843006/000111650209000420/0001116502-09-000420-index.html,https://www.sec.gov/Archives/edgar/data/843006/000135448810000836/0001354488-10-000836-index.html,https://www.sec.gov/Archives/edgar/data/843006/000135448811000682/isdr_10k.htm,https://www.sec.gov/Archives/edgar/data/843006/000135448812000920/0001354488-12-000920-index.html,https://www.sec.gov/Archives/edgar/data/843006/000135448813000935/0001354488-13-000935-index.html,https://www.sec.gov/Archives/edgar/data/843006/000135448814001022/isdr_10k.htm,https://www.sec.gov/Archives/edgar/data/843006/000135448815000966/isdr_10k.htm,https://www.sec.gov/Archives/edgar/data/843006/000165495416000153/0001654954-16-000153-index.html,https://www.sec.gov/Archives/edgar/data/843006/000165495417001989/0001654954-17-001989-index.html,https://www.sec.gov/Archives/edgar/data/843006/000165495418002057/0001654954-18-002057-index.html,https://www.sec.gov/Archives/edgar/data/843006/000165495419002109/0001654954-19-002109-index.html,https://www.sec.gov/Archives/edgar/data/843006/000165495420001999/0001654954-20-001999-index.html,https://www.sec.gov/Archives/edgar/data/843006/000165495421002389/0001654954-21-002389-index.htm,https://www.sec.gov/Archives/edgar/data/843006/000165495422002481/0001654954-22-002481-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-600000,770000,3420000,-5090000,-3570000,2080000,-420000,-130000,- -,- -,- -,-262533,-249171,-963043,274174,429406,239276,305732,628577,42126,144584,1555208,1871000,837000,686000,2106000,3291000
74,Depreciation and Amortization,990000,520000,410000,350000,20000,20000,40000,- -,- -,- -,- -,1003,26584,35191,38246,39172,54704,138349,494179,1158062,1099870,1076808,735000,1397000,1667000,1348000,1143000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-220800,21800,-9000,-276847,-999603,-631938,-210406,-50000,-336000,-528000,312000,-106000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,668150,10000,116245,101144,415875,282707,410471,549184,592025,516000,629000,523000,273000,333000
77,Change in Working Capital,-1750000,2010000,4720000,-4300000,-3470000,1960000,-100000,-20000,- -,- -,- -,-823,97048,-21043,323323,508655,372018,274314,-297255,-447140,2768766,1404977,-131840,11803000,-262000,104000,-187000
78,Accounts Receivable,-830000,-1040000,1060000,1860000,-950000,- -,- -,- -,- -,- -,- -,- -,- -,-40727,-47728,-74713,-307804,-248820,-212591,-343678,586518,-259132,-66000,-645000,-1210000,-761000,-1042000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,60000,-700000,920000,260000,-1170000,1370000,-210000,-109957000,- -,- -,- -,- -,- -,88855,-91844,13856,37996,-40680,-89329,-8930,132168,-38602,309000,-322000,-117000,37000,393000
81,Other Working Capital,-1060000,950000,5670000,1370000,-2100000,-140000,-240000,-260000,-260000,-260000,-260000,-260823,-163775,-184818,138505,647160,1019178,1293492,996237,549097,3317863,4722840,4591000,16394000,559000,391000,887000
82,Other Non-Cash Items,1390000,-3160000,-3930000,6930000,4330000,-6080000,310000,-30000,- -,- -,- -,150788,-43342,292197,-459142,-426381,-310784,-371099,558280,1298338,-753900,-1657286,-428160,-11461000,778000,243000,257000
83,Cash Provided by Operating Activities,30000,140000,4620000,-2110000,-2690000,-2020000,-170000,-180000,- -,- -,- -,-111565,-168881,11452,186601,446297,478158,754171,1389641,1462254,3176566,2761326,2512000,2869000,2864000,4386000,4731000
84,CAPEX,-690000,-600000,-220000,-270000,-260000,- -,- -,- -,- -,- -,- -,-4012,-37559,-10341,-16014,-48127,-83940,-299849,-43863,-1771372,-663196,-1189626,-945000,-72000,-440000,-27000,-277000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5637,- -,- -,- -,- -,- -,-3178398,- -,- -,- -,-1872000,-1123000,-2788000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,1780000,2460000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40000,-281000,- -,-1700000,-553684,-1077382,-934000,-21000,-20000,- -,-215000
89,Cash Used for Investing Activites,-690000,-600000,-220000,-270000,1520000,2460000,- -,- -,- -,- -,- -,-4012,-31922,-10341,-16014,-48127,-83940,-299849,-3222261,-1771372,-663196,-1189626,-2817000,-1195000,-3228000,-27000,-277000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40062,-64828,- -,- -,-125000,-650000,- -,- -,- -,- -,-288000,-320000,-240000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000,260000,50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,13323000,- -,- -,- -
92,Common Stock Repurchased,50000,140000,290000,-30000,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10083,-39500,-36545,- -,- -,- -,- -,- -,- -,-2635000,-773000,-785000,-453000
93,Dividends Paid,- -,- -,- -,- -,-90000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-270590,-117286,- -,-83101,-452724,-588000,-460000,- -,- -,- -
94,Other Financing Activites,370000,380000,- -,-1110000,210000,-230000,-10000,110000,- -,- -,- -,111978,-28280,- -,- -,- -,- -,329525,3124655,340950,66335,34994,389000,747000,- -,451000,307000
95,Cash Used/Provided by Financing Activities,420000,520000,- -,-1140000,110000,-230000,-10000,110000,- -,- -,- -,123978,231720,9938,-74911,-39500,-36545,-66065,2357369,340950,-16766,-417730,-199000,10687000,-1093000,-574000,-146000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-61913,-23968,-2802,-30137,82000,-56000,1000,5000,-12000
97,Net Change In Cash,-240000,60000,4400000,-3520000,-1050000,210000,-170000,-70000,- -,- -,- -,123978,30917,11049,95676,358670,357673,388257,462836,7864,2493802,1123833,-422000,12305000,-1456000,3790000,4296000
98,Cash at the End of Period,140000,200000,4600000,1080000,30000,240000,70000,- -,- -,- -,- -,8401,39318,50367,146043,504713,862386,1250643,1713479,1721343,4215145,5338978,4917000,17222000,15766000,19556000,23852000
99,Cash at the Beginning of Period,380000,140000,200000,4600000,1080000,30000,240000,70000,- -,- -,- -,- -,8401,39318,50367,146043,504713,862386,1250643,1713479,1721343,4215145,5339000,4917000,17222000,15766000,19556000
100,Free Cash Flow,-660000,-460000,4400000,-2380000,-2950000,-2020000,-170000,-180000,- -,- -,- -,-115577,-206440,1111,170587,398170,394218,454322,1345778,-309118,2513370,1571700,1567000,2797000,2424000,4359000,4454000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/843006/000089056696000168/0000890566-96-000168-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/843006/000135448807001867/f10ksbdec02final.htm,https://www.sec.gov/Archives/edgar/data/843006/000135448807001869/dccn10ksb2003.htm,https://www.sec.gov/Archives/edgar/data/843006/000135448807001876/dccn10ksb2004.htm,- -,https://www.sec.gov/Archives/edgar/data/843006/000135448807001877/dccn10ksb.htm,https://www.sec.gov/Archives/edgar/data/843006/000135448808000513/0001354488-08-000513-index.html,https://www.sec.gov/Archives/edgar/data/843006/000111650209000420/0001116502-09-000420-index.html,https://www.sec.gov/Archives/edgar/data/843006/000135448810000836/0001354488-10-000836-index.html,https://www.sec.gov/Archives/edgar/data/843006/000135448811000682/isdr_10k.htm,https://www.sec.gov/Archives/edgar/data/843006/000135448812000920/0001354488-12-000920-index.html,https://www.sec.gov/Archives/edgar/data/843006/000135448813000935/0001354488-13-000935-index.html,https://www.sec.gov/Archives/edgar/data/843006/000135448814001022/isdr_10k.htm,https://www.sec.gov/Archives/edgar/data/843006/000135448815000966/isdr_10k.htm,https://www.sec.gov/Archives/edgar/data/843006/000165495416000153/0001654954-16-000153-index.html,https://www.sec.gov/Archives/edgar/data/843006/000165495417001989/0001654954-17-001989-index.html,https://www.sec.gov/Archives/edgar/data/843006/000165495418002057/0001654954-18-002057-index.html,https://www.sec.gov/Archives/edgar/data/843006/000165495419002109/0001654954-19-002109-index.html,https://www.sec.gov/Archives/edgar/data/843006/000165495420001999/0001654954-20-001999-index.html,https://www.sec.gov/Archives/edgar/data/843006/000165495421002389/0001654954-21-002389-index.htm,https://www.sec.gov/Archives/edgar/data/843006/000165495422002481/0001654954-22-002481-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
