,https://roic.ai/company/YRD,2013,2014,2015,2016,2017,2018,2019,2020
47,Total Assets,29895164,402115309,2195118048,4783388000,7518664000,7519026000,9644420000,6702253000
48,Accounts Payable,- -,- -,4511815,13691000,33841000,30349000,43583000,9903000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,421810,190840033,406698000,785217000,213282000,803116000,194406000
51,Deferred Revenue,- -,- -,117755123,164318000,222906000,275825000,358203000,50899000
52,Other Current Liabilities,10756926,178729632,546098390,994460000,1486639000,1093127000,2320051000,2093857000
53,Total Current Liabilities,10756926,178729632,668365328,1172469000,1743386000,1399301000,2721837000,2154659000
54,Long-Term Debt,- -,- -,- -,- -,- -,192419000,300924000,582354000
55,Deferred Revenue,- -,- -,117755123,164318000,222906000,275825000,358203000,50899000
56,Deferred Tax Liabilities,- -,- -,- -,- -,11277000,502903000,218888000,38741000
57,Other Non-Current Liabilities,- -,- -,429855861,1306682000,2571042000,27667000,1554478000,97936000
58,Total Non-Current Liabilities,- -,- -,547610984,1471000000,2805225000,998814000,2432493000,769930000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,282334000,81854000
61,Total Liabilities,10756926,178729632,1215976312,2643469000,4548611000,2398115000,5154330000,2924589000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,77902,75000,76000,77000,121000,121000
64,Retained Earnings,-61523556,-90869065,189424816,1177115000,1835056000,3810730000,-533480000,-1257594000
65,Other Comprehensive Income/Loss,303012,-1544569,-20267462,29457000,11067000,16390000,21855000,17108000
66,Other Total Stockholders Equity,- -,- -,809906480,933272000,1123854000,1293714000,5001594000,5018029000
67,Total Stockholders Equity,19138238,223385677,979141735,2139919000,2970053000,5120911000,4490090000,3777664000
68,Total Liabilities And Stockholders Equity,29895164,402115309,2195118048,4783388000,7518664000,7519026000,9644420000,6702253000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,29895164,402115309,2195118048,4783388000,7518664000,7519026000,9644420000,6702253000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1631761/000110465917025460/a16-23489_120f.htm,https://www.sec.gov/Archives/edgar/data/1631761/000110465918028031/a18-5296_120f.htm,https://www.sec.gov/Archives/edgar/data/1631761/000110465919024543/a18-41359_120f.htm,https://www.sec.gov/Archives/edgar/data/1631761/000110465920062564/a20-1506_120f.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-50554522,-27895296,284523487,1116398000,1371783000,966605000,1155611000,-692748000
74,Depreciation and Amortization,436337,1147572,3758764,10609000,23729000,39434000,394608000,327463000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,17223000,81979000,85188000,43941000,14173000
77,Change in Working Capital,-18204961,-201811330,91541154,949436000,1198953000,-2332925000,-2793159000,-548885000
78,Accounts Receivable,-18362527,-143434050,80719290,54412000,7183000,12595000,-1828000,-135700000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,4648143,9192000,20150000,-3492000,6609000,1239000
81,Other Working Capital,1545361,-35847657,-27408464,808055000,1088241000,-1839034000,-2042909000,-216017000
82,Other Non-Cash Items,-0,0,10834848,19769000,40069000,421516000,1473167000,1182025000
83,Cash Provided by Operating Activities,-68323146,-228559054,390658252,2113435000,2716513000,-820182000,274168000,282028000
84,CAPEX,-745410,-3597792,-16943650,-29973000,-70551000,-52220000,-48005000,-13722000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-245379000,-1199458000
86,Purchases of Investments,- -,- -,-113658785,-1477417000,-3934699000,-1882842000,-1026182000,-1150793000
87,Sales/Maturities of Investments,- -,- -,83504281,250500000,4213036000,1705304000,1931141000,1437789000
88,Other Investing Activites,- -,- -,-244897418,-164773000,-582383000,-459685000,498426000,-870479000
89,Cash Used for Investing Activites,-745410,-3597792,-291995572,-1421663000,-374597000,-689443000,1110001000,-1796663000
90,Debt Repayment,- -,- -,- -,-315378000,- -,-131581000,-403612000,-30456000
91,Common Stock Issued,- -,233546339,501291849,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-21824000,-491942000,-254000,-36843000,-3050000
93,Dividends Paid,- -,- -,- -,- -,-605238000,-106626000,- -,- -
94,Other Financing Activites,69068555,- -,258387420,472500000,247730000,212498000,-709250000,988954000
95,Cash Used/Provided by Financing Activities,69068555,233546339,759679268,135298000,-849450000,-25963000,-1149705000,955448000
96,Effect of Forex Changes on Cash,- -,-12406,-11685276,29356000,-16109000,3631000,193000,-2807000
97,Net Change In Cash,- -,- -,846656673,856426000,1476357000,-1531957000,234657000,-561994000
98,Cash at the End of Period,- -,1377086,848097857,2186511000,3662868000,2130911000,3269142000,2707148000
99,Cash at the Beginning of Period,- -,- -,1441184,1330085000,2186511000,3662868000,3034485000,3269142000
100,Free Cash Flow,-69068555,-232156846,373714602,2083462000,2645962000,-872402000,226163000,268306000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1631761/000110465917025460/a16-23489_120f.htm,https://www.sec.gov/Archives/edgar/data/1631761/000110465918028031/a18-5296_120f.htm,https://www.sec.gov/Archives/edgar/data/1631761/000110465919024543/a18-41359_120f.htm,https://www.sec.gov/Archives/edgar/data/1631761/000110465920062564/a20-1506_120f.htm,- -
102,Forex Rate,0.1652,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532
