,https://roic.ai/company/DOCN,2018,2019,2020,2021
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,-61254000,-84455000,-115490000,-108605000
89,Cash Used for Investing Activites,-61254000,-87383000,-115490000,-113605000
90,Debt Repayment,-143226000,-27010000,-176006000,-263352000
91,Common Stock Issued,5201000,5819000,13905000,724384000
92,Common Stock Repurchased,- -,- -,- -,-350000000
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,123777000,70995000,286127000,1482347000
95,Cash Used/Provided by Financing Activities,-14248000,49804000,124026000,1593379000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,-37548000,2323000,66651000,1612888000
98,Cash at the End of Period,33563000,35886000,102537000,1715425000
99,Cash at the Beginning of Period,71111000,33563000,35886000,102537000
100,Free Cash Flow,-23300000,-44597000,-57548000,24015000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1582961/000158296122000010/0001582961-22-000010-index.htm
102,false,,,,
