,https://roic.ai/company/ELOX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1035354/000110465905046066/0001104659-05-046066-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1035354/000110465908060745/0001104659-08-060745-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1035354/000114420413050259/0001144204-13-050259-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1035354/000114420415058919/0001144204-15-058919-index.htm,https://www.sec.gov/Archives/edgar/data/1035354/000114420416134983/0001144204-16-134983-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1035354/000156459019007811/0001564590-19-007811-index.htm,https://www.sec.gov/Archives/edgar/data/1035354/000156459020009148/0001564590-20-009148-index.htm,https://www.sec.gov/Archives/edgar/data/1035354/000156459021012703/0001564590-21-012703-index.htm,https://www.sec.gov/Archives/edgar/data/1035354/000156459022012683/0001564590-22-012683-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,946691,1555749,14330,798711,319930,186248,291858,318473,408061,5676985,380569,8026296,3609954,2001325,1602294,6111340,3334626,810808,24049000,48606000,22493000,24668000,42268000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,2872432,2099295,3949774,3941627,850000,250000,500000,1050000,- -,- -,- -,- -,- -,- -,- -,- -,- -,33783000,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,946691,1555749,14330,3671143,2419225,4136022,4233485,1168473,658061,6176985,1430569,8026296,3609954,2001325,1602294,6111340,3334626,810808,24049000,48606000,56276000,24668000,42268000
34,Net Receivables,- -,- -,- -,- -,- -,- -,75000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43133,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,12542,9223,15554,55772,185535,93967,156544,139584,104526,180556,1161348,1304795,1446064,1548524,1919220,1069925,395100,171820,457000,1735000,1433000,1225000,1212000
37,Total Current Assets,- -,- -,- -,959233,1564972,29884,3801915,2604760,4229989,4390029,1308057,762587,6357541,2591917,9331091,5056018,3549849,3521514,7224398,3729726,982628,24506000,50341000,57709000,25893000,43480000
38,PP&E,- -,- -,- -,72274,70613,78757,79581,75203,51702,30038,10318,7526,5459,5986,4554,3782,5857,4555,223475,185948,92554,278000,248000,1125000,133000,1659000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13902917,5780951,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,97414,157920,347978,578810,922214,1438119,2209796,2544447,3213543,- -,4568895,3524731,3393992,3566497,11978867,9800000,8100000,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,42383,97414,157920,347978,578810,922214,1438119,2209796,2544447,3213543,3884999,4568895,3524731,3393992,3566497,25881784,15580951,8100000,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7187,7187,12358,5171,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,10863,10863,7187,1000722,7187,7187,254955,7187,7187,1066417,632324,- -,- -,- -,5171,5171,50770,50770,- -,129000,113000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,125520,178890,243864,1428281,661200,981103,1723112,2227301,2559160,4285419,4530496,4580636,3540871,3405020,3576223,26110430,15817669,8243324,278000,377000,1238000,133000,1659000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,1084753,1743862,273748,5230196,3265960,5211092,6113141,3535358,3321747,10642960,7122413,13911727,8596889,6954869,7097737,33334828,19547395,9225952,24784000,50718000,58947000,26026000,45139000
48,Accounts Payable,- -,3507,3100,169733,214731,168922,80201,56136,69008,217569,77695,109258,370167,976680,557420,559525,594514,637320,901180,232033,90305,1530000,747000,1871000,481000,1379000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2194844,2199108,2199108,2187082,- -,- -,- -,- -,- -,4835000,5628000,657000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122000,43000,38000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,33333,33333,41667,16667,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,403000,- -,- -
52,Other Current Liabilities,- -,- -,- -,2854,10573,265732,296347,263160,287626,180002,329884,377359,314267,355937,576857,509806,369695,387540,923991,546483,278686,1893000,7060000,4698000,3729000,7919000
53,Total Current Liabilities,- -,3507,3100,172587,225304,434654,376548,319296,389967,430904,449246,503284,684434,1332617,3329121,3268439,3163317,3211942,1825171,778516,368991,3423000,7807000,11807000,9838000,9955000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57,6217,- -,- -,- -,- -,- -,- -,- -,- -,- -,10502000,5239000,12800000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8060,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3920000,3920000,3240000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,45807,67972,90150,90150,92486,134146,128924,122790,115745,2593522,810987,338524,99728,99728,2624085,1056303,- -,- -,425000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,45807,67972,90150,90150,92486,134146,128924,122847,121962,2601582,810987,338524,99728,4019728,6544085,4296303,- -,- -,10927000,5239000,12800000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11648000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,924000,422000,- -
61,Total Liabilities,- -,3507,3100,172587,225304,480461,444520,409446,480117,523390,583392,632208,807281,1454579,5930703,4079426,3501841,3311670,5844899,7322601,4665294,3423000,7807000,22734000,16247000,22755000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92,49,46,8,6,2362,2354,- -,- -,- -,- -,- -
63,Common Stock,- -,1500,1500,4659,78726,78726,118800,118800,137873,154674,154774,174737,183751,198120,500922,777697,941125,2272062,138463,187528,204964,274000,360000,402000,404000,871000
64,Retained Earnings,- -,-26245,-36619,-1168995,-3613911,-5490902,-7430321,-9496659,-12574941,-14763907,-22369843,-25621540,-30223030,-35949899,-50841159,-60748435,-67440295,-74425835,-88280266,-107182976,-115630059,-38960000,-86145000,-137019000,- -,-238323000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-18596,-36860,-61216,-82517,-110253,-118735,-122728,-93101,-97951,-101597,-87686,-90484,-92870,-95453,-113727,-163412,-256805,- -,-204000,18000,- -,- -
66,Other Total Stockholders Equity,- -,21238,32019,2076502,5072339,5242323,12158413,12316890,17278296,20317719,25289763,28229443,39972909,41521210,58408855,64578636,70045022,76035285,115745453,119381292,120240204,60047000,128900000,172812000,9826000,259836000
67,Total Stockholders Equity,- -,-3507,-3100,912166,1518558,-206713,4785676,2856514,4730975,5589751,2951966,2689539,9835679,5667834,7981024,4517463,3453028,3786067,27489929,12224794,4560658,21361000,42911000,36213000,10230000,22384000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,1084753,1743862,273748,5230196,3265960,5211092,6113141,3535358,3321747,10642960,7122413,13911727,8596889,6954869,7097737,33334828,19547395,9225952,24784000,50718000,58947000,26477000,45139000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-451000,- -
70,Total Liabilities & Equity,- -,- -,- -,1084753,1743862,273748,5230196,3265960,5211092,6113141,3535358,3321747,10642960,7122413,13911727,8596889,6954869,7097737,33334828,19547395,9225952,24784000,50718000,58947000,26026000,45139000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1035354/000110465905046066/0001104659-05-046066-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1035354/000110465908060745/0001104659-08-060745-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1035354/000114420413050259/0001144204-13-050259-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1035354/000114420415058919/0001144204-15-058919-index.htm,https://www.sec.gov/Archives/edgar/data/1035354/000114420416134983/0001144204-16-134983-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1035354/000156459019007811/0001564590-19-007811-index.htm,https://www.sec.gov/Archives/edgar/data/1035354/000156459020009148/0001564590-20-009148-index.htm,https://www.sec.gov/Archives/edgar/data/1035354/000156459021012703/0001564590-21-012703-index.htm,https://www.sec.gov/Archives/edgar/data/1035354/000156459022012683/0001564590-22-012683-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-7810,-10374,-1168995,-2444916,-1876991,-1939419,-2066338,-3078282,-2188966,-3314885,-3251697,-4601490,-5726869,-13383513,-7268976,-5066133,-6122542,-9225234,-18063785,-8267929,-21214000,-47185000,-50874000,-34577000,-66727000
74,Depreciation and Amortization,- -,- -,- -,4003,18713,24161,24356,38697,30424,43719,40112,166172,765610,111753,126567,143274,258023,293629,349656,177074,93394,39000,216000,559000,571000,114000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-680000,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,506847,386639,750366,766004,724693,1297224,480681,156678,101000,13370000,11336000,8666000,9167000
77,Change in Working Capital,- -,407,407,789746,553022,-1744438,3830137,-1139903,1554558,119103,-3100314,-599508,5413804,-4413807,4742670,-4214391,-1401047,-76960,5089655,-2448017,-2337573,23572573,21451000,3368000,-29847000,17470000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,-40218,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,606513,-419260,2105,34989,42806,-145257,-669147,-141728,-583000,-780000,1124000,-1390000,-320000
81,Other Working Capital,- -,-3507,-3100,786646,1339668,-404770,3425367,2285464,3840022,3959125,858811,259303,5673107,1259300,6001970,1787579,386532,309572,5399227,2951210,613637,21083000,42534000,45902000,16055000,33525000
82,Other Non-Cash Items,- -,7403,9967,-598520,8394,2113426,-3227709,1165065,-400101,-89756,3844698,1653544,-3983343,5559396,3384508,5198285,1057104,1278554,-2379434,12509351,7359215,-18433573,-19219000,-3780000,27021000,4975000
83,Cash Provided by Operating Activities,- -,- -,- -,-973766,-1864787,-1483842,-1312635,-2002479,-1893401,-2115900,-2530389,-2031489,-2405419,-3962680,-4743129,-5391442,-4386049,-3902626,-4868133,-7344696,-3676215,-15935000,-31367000,-39391000,-28166000,-35001000
84,CAPEX,- -,- -,- -,-118660,-13684,-26408,- -,-33424,-4235,-5972,-792069,-498031,-763876,-783736,-809031,-686425,-450496,-529042,-627726,-259587,- -,-237000,-235000,-40000,- -,-89000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1274662,- -,- -,123000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-3865967,- -,-1850479,-239621,- -,- -,-250000,- -,- -,- -,- -,- -,- -,- -,- -,-64000,- -,-67214000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,-25180,1766672,- -,- -,3339395,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33750000,33750000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-66403,-190058,-231728,-346092,-531988,- -,- -,- -,-1329563,242085,-684399,-446035,-527761,-624532,-136946,- -,- -,-82000,-20000,42000,2145000
89,Cash Used for Investing Activites,- -,- -,- -,-75525,-13684,-92811,-4081205,1501520,-2200806,-777581,2547326,101969,-1013876,-1333736,240969,-686425,-450496,-529042,646936,-259587,- -,-178000,-317000,-33524000,33792000,2056000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2160986,- -,- -,-12026,-2187082,- -,- -,- -,- -,- -,-4583000,- -
91,Common Stock Issued,- -,- -,- -,1995982,2476956,- -,5631056,- -,3960525,2999091,100,2019108,- -,- -,1359188,1657261,3227916,4044663,10917325,4827569,1152397,17006000,55738000,32882000,- -,23000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,10573,35234,547165,22178,- -,- -,9578,- -,8688219,- -,12949685,4264,- -,- -,- -,- -,- -,20944000,446000,13918000,1145000,50765000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,1995982,2487529,35234,6178221,22178,3960525,2999091,9678,2019108,8688219,- -,12147887,1661525,3227916,4032637,8730243,4827569,1152397,37950000,56184000,46800000,-3438000,50788000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,1995982,609058,-1541419,784381,-478781,-133682,105610,26615,89588,5268924,-5296416,7645727,-4416342,-1608629,-399031,4509046,-2776714,-2523818,21837000,24500000,-26115000,2188000,17843000
98,Cash at the End of Period,- -,- -,- -,946691,1555749,14330,798711,319930,186248,291858,318473,408061,5676985,380569,8026296,3609954,2001325,1602294,6111340,3334626,810808,24049000,48651000,22536000,24724000,42567000
99,Cash at the Beginning of Period,- -,- -,- -,- -,946691,1555749,14330,798711,319930,186248,291858,318473,408061,5676985,380569,8026296,3609954,2001325,1602294,6111340,3334626,2212000,24151000,48651000,22536000,24724000
100,Free Cash Flow,- -,- -,- -,-1092426,-1878471,-1510250,-1312635,-2035903,-1897636,-2121872,-3322458,-2529520,-3169295,-4746416,-5552160,-6077867,-4836545,-4431668,-5495859,-7604283,-3676215,-16172000,-31602000,-39431000,-28166000,-35090000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1035354/000110465905046066/0001104659-05-046066-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1035354/000110465908060745/0001104659-08-060745-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1035354/000114420413050259/0001144204-13-050259-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1035354/000114420415058919/0001144204-15-058919-index.htm,https://www.sec.gov/Archives/edgar/data/1035354/000114420416134983/0001144204-16-134983-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1035354/000156459019007811/0001564590-19-007811-index.htm,https://www.sec.gov/Archives/edgar/data/1035354/000156459020009148/0001564590-20-009148-index.htm,https://www.sec.gov/Archives/edgar/data/1035354/000156459021012703/0001564590-21-012703-index.htm,https://www.sec.gov/Archives/edgar/data/1035354/000156459022012683/0001564590-22-012683-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
