,https://roic.ai/company/SII,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
75,Deferred Income Tax,2241745,-3041085,654188,629899,-9928501,9774534,-4508955,7358338,6235543,4690871,4591650,938305,2770484,7684000,12005000
76,Stock Based Compensation,143391,1252260,2192723,27996521,4300686,-2863806,9639640,2905604,1423949,4751879,5321670,9073222,5472835,4517000,3650000
77,Change in Working Capital,-13301020,-45815119,-22528889,-90505519,151501469,-14496949,-10843656,3754113,548393,31921732,10517694,36373648,11741830,-12103000,5100000
78,Accounts Receivable,- -,- -,- -,- -,- -,-6709689,-8169839,8667712,-91519,-9371327,9776541,3774513,-2069251,-12899000,8398000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,-1472639,222964,-938296,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,7540139,-0,-4889695,-9013558,4408423,-36464522,79120373,-3724825,44968977,-27401235,-13914115,-987497,-2294319,-4889000,-7246000
83,Cash Provided by Operating Activities,39838433,-4292523,6770127,61075228,198421156,-2968346,4334269,32364799,29226989,42948441,41474354,70050586,31903052,26239000,51246000
84,CAPEX,-1312734,-1085456,-563461,-163974,-2516161,-5974890,-3223231,-4542322,-10444696,-13990031,-815109,-90691101,-2259870,-13186000,-693000
85,Acquisitions Net,- -,- -,- -,- -,6285015,-11855292,63394912,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-600828,-124076,-24091300,-25427932,-37587659,-36788195,-59097270,-54204641,-38561927,-82916450,-48733201,-58197690,-34742435,-23634000,-15225000
87,Sales/Maturities of Investments,- -,85764174,14658581,20739682,2727718,45840998,32737587,44732354,42750903,91930660,71596819,27221867,38560175,19728000,35843000
88,Other Investing Activites,4503686,-0,-0,-2282635,-2078355,-2831640,-2626858,-4531123,-7317196,-13309278,-131213,-84960684,0,-12500000,-40559000
89,Cash Used for Investing Activites,2590124,84554643,-9996180,-7134858,-33169442,-8777379,33811997,-14014610,-3751558,-4975820,22048509,-121666924,1557871,-17092000,-20634000
90,Debt Repayment,-9077047,- -,- -,- -,- -,- -,- -,- -,-10809331,- -,- -,-3230472,- -,-1904000,-1969000
91,Common Stock Issued,5322630,24581758,- -,- -,- -,- -,23009664,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-697768,- -,- -,- -,-2619001,- -,-1255000,- -,- -,- -,-8747515,- -,-1734710,-2024000,- -
93,Dividends Paid,-24156316,-108463435,-35813198,-21746521,-125123408,-20519084,-24035238,-25670624,-21452918,-22111450,-23060835,-21470159,-23149885,-23095000,-25562000
94,Other Financing Activites,12117540,- -,- -,- -,- -,-10060010,76342,10336302,-5584821,-3327877,-6347515,-5257593,10350846,4582000,3343000
95,Cash Used/Provided by Financing Activities,-16490962,-83881676,-35813198,-21746521,-127742409,-30579094,-2204232,-15334321,-37847070,-25439327,-38155865,-29958224,-14533749,-22441000,-24188000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,1380873,2894018,-381668,211531,1643870,-368224,2652000,-725000
97,Net Change In Cash,25937595,-3619556,-39039251,32193849,37509305,-42324819,35942034,4396740,-9477621,12151626,25578529,-79930692,18558950,-10642000,5699000
98,Cash at the End of Period,95216601,73860312,46805463,81196009,117047992,77802238,108633789,104038385,77554785,92221561,124151093,34692334,54732176,44106000,49805000
99,Cash at the Beginning of Period,69279006,77479869,85844714,49002160,79538688,120127057,72691755,99641645,87032406,80069935,98572565,114623026,36173226,54748000,44106000
100,Free Cash Flow,38525699,-5377979,6206666,60911254,195904995,-8943237,1111038,27822476,18782293,28958411,40659245,-20640515,29643182,13053000,50553000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,
