,https://roic.ai/company/AMWL,2018,2019,2020,2021
69,Minority Interest,27435000,26259000,22065000,21617000
70,Total Liabilities & Equity,489314000,499881000,1376646000,1445836000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1393584/000156459021015812/0001564590-21-015812-index.htm,https://www.sec.gov/Archives/edgar/data/1393584/000156459022007355/0001564590-22-007355-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-52674000,-88366000,-228626000,-176782000
74,Depreciation and Amortization,5330000,7761000,10153000,16089000
75,Deferred Income Tax,- -,-1388000,- -,-6245000
76,Stock Based Compensation,7669000,12135000,118358000,46562000
77,Change in Working Capital,-36771000,-14520000,-18445000,-27715000
78,Accounts Receivable,-19471000,803000,-14212000,-512000
79,Inventory,1569000,-592000,-6024000,1598000
80,Accounts Payable,-787000,1158000,-707000,5546000
81,Other Working Capital,212335000,-17366000,-4276000,-11604000
82,Other Non-Cash Items,2440000,2486000,6096000,6554000
83,Cash Provided by Operating Activities,-74006000,-81892000,-112464000,-141537000
84,CAPEX,-1911000,-1338000,-3318000,-559000
85,Acquisitions Net,-64381000,-45750000,-2940000,-159074000
86,Purchases of Investments,-355242000,-78946000,-159608000,- -
87,Sales/Maturities of Investments,175601000,246033000,99109000,100000000
88,Other Investing Activites,- -,- -,- -,- -
89,Cash Used for Investing Activites,-245933000,119999000,-66757000,-59633000
90,Debt Repayment,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,872031000,- -
92,Common Stock Repurchased,-2898000,-158000,-37568000,-15038000
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,281079000,46797000,148653000,20792000
95,Cash Used/Provided by Financing Activities,278181000,46639000,983116000,5754000
96,Effect of Forex Changes on Cash,- -,- -,- -,-84000
97,Net Change In Cash,-41758000,84746000,803895000,-195500000
98,Cash at the End of Period,54070000,138816000,942711000,747211000
99,Cash at the Beginning of Period,95828000,54070000,138816000,942711000
100,Free Cash Flow,-75917000,-83230000,-115782000,-142096000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1393584/000156459021015812/0001564590-21-015812-index.htm,https://www.sec.gov/Archives/edgar/data/1393584/000156459022007355/0001564590-22-007355-index.htm
102,false,,,,
