,https://roic.ai/company/NOMD,2013,2014,2015,2016,2017,2018,2019,2020,2021
58,Total Non-Current Liabilities,- -,31385000,145811000,2053900000,2047200000,2441700000,2524700000,2531000000,2905600000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,600000,- -,- -,109000000,70400000,- -
61,Total Liabilities,- -,31508000,188254000,2807000000,2749100000,3281700000,3347800000,3447300000,3871800000
62,Preferred Stock,- -,14625000,14625000,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,474295000,474295000,- -,- -,- -,2095400000,1620500000,1623100000
64,Retained Earnings,- -,-31768000,-188774000,-485000000,-347600000,-167900000,-11800000,191600000,387400000
65,Other Comprehensive Income/Loss,- -,-10300000,34167,2386500000,2197300000,2218400000,451700000,305700000,281600000
66,Other Total Stockholders Equity,- -,10327000,2833,- -,- -,- -,22600000,8300000,6900000
67,Total Stockholders Equity,- -,457179000,300183000,1902500000,1852600000,2059900000,2557900000,2126100000,2299000000
68,Total Liabilities And Stockholders Equity,- -,488687000,488437000,4709500000,4601700000,5341600000,5905700000,5573400000,6170800000
69,Minority Interest,- -,- -,- -,- -,- -,-800000,-1200000,- -,- -
70,Total Liabilities & Equity,- -,488687000,488437000,4709500000,4601700000,5340800000,5904500000,5573400000,6170800000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1651717/000165171718000011/0001651717-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1651717/000165171719000008/0001651717-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1651717/000165171720000013/0001651717-20-000013-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-41200000,-31768000,-188774000,36400000,136500000,171200000,154000000,225200000,- -
74,Depreciation and Amortization,27800000,30400000,- -,51100000,42400000,46300000,68300000,67600000,71600000
75,Deferred Income Tax,2000000,41800000,- -,39600000,32000000,56600000,56700000,70400000,55700000
76,Stock Based Compensation,- -,27000,37000,1200000,2600000,13000000,14900000,9000000,5100000
77,Change in Working Capital,18600000,123000,719000,30600000,32900000,31500000,-44900000,94700000,-23500000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,20000000,1900000,- -,-18100000,16700000,-20200000,23500000,-12700000,-23800000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-1800000,-4300000,- -,-3300000,-300000,-2000000,6600000,2000000,1200000
82,Other Non-Cash Items,230100000,-40988000,187422000,123200000,-52600000,2700000,66400000,-9900000,197400000
83,Cash Provided by Operating Activities,237300000,-406000,-596000,282100000,193800000,321300000,315400000,457000000,306300000
84,CAPEX,-28300000,-26300000,- -,-42400000,-42600000,-41600000,-47300000,-58700000,-79200000
85,Acquisitions Net,- -,- -,- -,-8000000,- -,- -,- -,- -,-597300000
86,Purchases of Investments,- -,-229952000,-579944000,- -,- -,- -,-25000000,-25000000,- -
87,Sales/Maturities of Investments,- -,230000000,229952000,- -,- -,- -,- -,25200000,16500000
88,Other Investing Activites,-1800000,24300000,- -,-4400000,-4600000,-478200000,-1500000,-171600000,-79200000
89,Cash Used for Investing Activites,-28300000,48000,-349992000,-50400000,-42600000,-513200000,-73800000,-171400000,-660000000
90,Debt Repayment,- -,-1861000000,-200000,-700000,-1471100000,-5900000,-44000000,-32000000,-428100000
91,Common Stock Issued,- -,485000000,485000000,- -,- -,100000,354100000,600000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-177600000,- -,- -,-608600000,-77600000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-106700000,1865045000,4245000,-67000000,1406900000,308500000,-58700000,-74800000,720100000
95,Cash Used/Provided by Financing Activities,-106700000,489045000,489045000,-67700000,-241800000,302700000,251400000,-714800000,214400000
96,Effect of Forex Changes on Cash,-800000,5200000,- -,-20600000,-19700000,-2400000,4200000,-13100000,11000000
97,Net Change In Cash,101500000,- -,489045000,143400000,-110300000,108400000,497200000,-442300000,-128300000
98,Cash at the End of Period,317100000,488687000,138457000,329500000,219200000,327600000,824800000,382500000,254200000
99,Cash at the Beginning of Period,215600000,- -,- -,186100000,329500000,219200000,327600000,824800000,382500000
100,Free Cash Flow,209000000,-406000,-596000,239700000,151200000,279700000,268100000,398300000,227100000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1651717/000165171718000011/0001651717-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1651717/000165171719000008/0001651717-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1651717/000165171720000013/0001651717-20-000013-index.htm,- -,- -
102,Forex Rate,1.3745,1.2097,1.073,1.0513,1.1996,1.1469,1.121,1.2213,1.1368
