,https://roic.ai/company/PUMP,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1680247/000168024718000021/0001680247-18-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1680247/000168024719000016/0001680247-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1680247/000168024720000012/0001680247-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1680247/000168024721000010/0001680247-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1680247/000168024722000007/0001680247-22-000007-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,34310323,133595602,23949000,132700000,149036000,68772000,111918000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,34310323,133595602,23949000,132700000,149036000,68772000,111918000
34,Net Receivables,90290905,115178992,199656000,202956000,212183000,84244000,128148000
35,Inventory,8572015,4712850,6184000,6353000,2436000,2729000,3949000
36,Other Current Assets,5292008,11292601,5871000,7248000,11936000,11981000,7049000
37,Total Current Assets,138465251,264780045,235660000,349257000,375591000,167726000,251064000
38,PP&E,291838498,263861645,470910000,912846000,1048524000,881186000,808903000
39,Goodwill,10602147,9424999,9425000,9425000,9425000,- -,- -
40,Intangible Assets,877027,589039,301000,13000,- -,- -,- -
41,Intangible Assets,11479174,10014038,9726000,9438000,9425000,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,4671411,2766570,2736000,2981000,2571000,1827000,1269000
45,Total Non-Current Assets,307989083,276642253,483372000,925265000,1060520000,883013000,810172000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,446454334,541422298,719032000,1274522000,1436111000,1050739000,1061236000
48,Accounts Payable,87365143,129092821,211149000,214460000,193096000,79153000,152649000
49,Short-Term Debt,- -,16920074,15764000,- -,- -,15764000,369000
50,Tax Payable,- -,- -,- -,- -,- -,- -,13951000
51,Deferred Revenue,- -,- -,- -,- -,- -,75340000,- -
52,Other Current Liabilities,23424011,13727808,16683000,138300000,39870000,-66094000,20767000
53,Total Current Liabilities,110789154,159740703,243596000,352760000,232966000,104163000,173785000
54,Long-Term Debt,236875829,159407085,57178000,70000000,130000000,465000,97000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,29120052,1148470,4881000,54283000,103041000,75340000,61052000
57,Other Non-Current Liabilities,98068,116553,125000,124000,799000,- -,- -
58,Total Non-Current Liabilities,266093949,160672108,62184000,124407000,233840000,75805000,61149000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,3932000,799000,466000
61,Total Liabilities,376883103,320412811,305780000,477167000,466806000,179968000,234934000
62,Preferred Stock,- -,11724,- -,- -,- -,- -,- -
63,Common Stock,24133,36295,83000,100000,101000,101000,103000
64,Retained Earnings,-153762113,-206909509,-194297000,-20435000,142575000,35555000,-18630000
65,Other Comprehensive Income/Loss,-112249580,-143279219,-180877000,-229602000,-329347000,- -,- -
66,Other Total Stockholders Equity,335558791,571150196,788343000,1047292000,1155976000,835115000,844829000
67,Total Stockholders Equity,69571231,221009487,413252000,797355000,969305000,870771000,826302000
68,Total Liabilities And Stockholders Equity,446454334,541422298,719032000,1274522000,1436111000,1050739000,1061236000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,446454334,541422298,719032000,1274522000,1436111000,1050739000,1061236000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1680247/000168024718000021/0001680247-18-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1680247/000168024719000016/0001680247-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1680247/000168024720000012/0001680247-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1680247/000168024721000010/0001680247-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1680247/000168024722000007/0001680247-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-45852684,-53147396,12613000,173862000,163010000,-107020000,-54185000
74,Depreciation and Amortization,50133993,43541679,55628000,88138000,145304000,153290000,133377000
75,Deferred Income Tax,-23944640,-27971582,3430000,49704000,48758000,-27701000,-14288000
76,Stock Based Compensation,1238824,1649282,9489000,5482000,7776000,9100000,11519000
77,Change in Working Capital,38320291,77363245,-112975342,4433000,146128000,-79062000,12821000
78,Accounts Receivable,67348446,-24888087,-84477000,-3300000,-10177000,127491000,-43742000
79,Inventory,-622494,3859165,-1472000,-168000,3917000,-293000,-1220000
80,Accounts Payable,-23889408,37047563,64228000,9720000,-25242000,-95697000,51764000
81,Other Working Capital,27676097,105039342,-7936000,-3503000,142625000,63563000,- -
82,Other Non-Cash Items,61334938,-30777621,141072342,71460000,-55686000,190517000,65470000
83,Cash Provided by Operating Activities,81230722,10657607,109257000,393079000,455290000,139124000,154714000
84,CAPEX,-62855418,-42831884,-285891000,-284197000,-502894000,-100603000,-143523000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-62776373,-41687684,-281469000,-280604000,-495299000,-94217000,-104292000
89,Cash Used for Investing Activites,-62776373,-41687684,-281469000,-280604000,-495299000,-94217000,-104292000
90,Debt Repayment,-73781755,-71295302,-166546000,-80946000,-50272000,-130030000,- -
91,Common Stock Issued,- -,40425196,185500000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,58566091,161185462,43611000,77222000,106617000,4859000,-7276000
95,Cash Used/Provided by Financing Activities,-15215664,130315356,62565000,-3724000,56345000,-125171000,-7276000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,3238685,99285279,-109647000,108751000,16336000,-80264000,43146000
98,Cash at the End of Period,34310323,133595602,23949000,132700000,149036000,68772000,111918000
99,Cash at the Beginning of Period,31071638,34310323,133596000,23949000,132700000,149036000,68772000
100,Free Cash Flow,18375304,-32174277,-176634000,108882000,-47604000,38521000,11191000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1680247/000168024718000021/0001680247-18-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1680247/000168024719000016/0001680247-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1680247/000168024720000012/0001680247-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1680247/000168024721000010/0001680247-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1680247/000168024722000007/0001680247-22-000007-index.htm
102,false,,,,,,,
