,https://roic.ai/company/FLES,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,120750,113833,92217,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,329025,113833,92217,- -,- -,- -,- -,- -,242126,597702,424440
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,35570,224,627,330149,114745,181897,7699,49881,1078,1156,2830,696068,1140887,1139523
48,Accounts Payable,- -,396,5830,7218,6718,6918,61141,26754,48226,67424,44342,216455,534442,869765
49,Short-Term Debt,- -,- -,- -,310652,495000,578150,610650,987245,872072,1023927,1057051,2293369,3002537,1610469
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,11000,- -,10902,14496,- -,- -,876151
52,Other Current Liabilities,48347,63541,9245,14306,132911,279328,434250,597414,1075401,1019327,1796625,3266515,4476672,1702753
53,Total Current Liabilities,48347,63937,15075,332176,634629,864396,1106041,1622413,1995699,2121580,2912514,5776339,8013651,5059138
54,Long-Term Debt,- -,- -,- -,197460,25000,25000,- -,- -,- -,- -,- -,44684,11940,1300575
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1235085,870000
58,Total Non-Current Liabilities,- -,- -,- -,197460,25000,25000,- -,- -,- -,- -,- -,44684,1247025,2170575
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,467069,334335
61,Total Liabilities,48347,63937,15075,529636,659629,889396,1106041,1622413,1995699,2121580,2912514,5821023,9260676,7229713
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,330,331,331,28,27,27
63,Common Stock,3000,3283,32825,40700,43315,50125,65715,95684,454838,561655,840478,604,1,1
64,Retained Earnings,-15777,-94963,-144363,-2908905,-3407669,-4755621,-5843308,-6723360,-8032780,-8237036,-9137698,-17689307,-21569153,-20381977
65,Other Comprehensive Income/Loss,- -,- -,- -,-28024,-1799,-1799,-1799,- -,- -,- -,- -,-64394,-64091,- -
66,Other Total Stockholders Equity,- -,27967,97090,2696742,2821269,3999796,4681050,5055144,5582991,5554626,5387205,12628114,13513427,14291759
67,Total Stockholders Equity,-12777,-63713,-14448,-199487,-544884,-707499,-1098342,-1572532,-1994621,-2120424,-2909684,-5124955,-8119789,-6090190
68,Total Liabilities And Stockholders Equity,35570,224,627,330149,114745,181897,7699,49881,1078,1156,2830,696068,1140887,1139523
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,35570,224,627,330149,114745,181897,7699,49881,1078,1156,2830,696068,1140887,1139523
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1438901/000112178113000364/0001121781-13-000364-index.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1438901/000116169719000350/0001161697-19-000350-index.htm,https://www.sec.gov/Archives/edgar/data/1438901/000116169720000190/0001161697-20-000190-index.htm,https://www.sec.gov/Archives/edgar/data/1438901/000116169721000253/0001161697-21-000253-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-13751,-79186,-49400,-2071704,-498764,-1347952,-1087688,-742124,-1309420,-204256,-900662,-8125498,-3879846,1187176
74,Depreciation and Amortization,- -,- -,- -,7978,17249,406586,265551,- -,- -,- -,- -,40958,34832,25196
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,2000,5000,- -,87500,7667,478367,- -,35000,- -,- -,300,- -,- -,13470
77,Change in Working Capital,-5016,-50936,49265,-316604,-302665,-140999,-323626,-474190,-422089,-125803,-789260,-2412713,-2148069,3126411
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-400,400,-995,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-216160,-78515,48484
80,Accounts Payable,- -,- -,- -,-2768,8339,200,54223,-34387,21472,19840,-9538,198550,301907,344175
81,Other Working Capital,-12777,-63713,-14448,-331052,-633717,-774716,-1098342,-1572532,-1994621,-2120424,-2909684,-5322397,-7470466,-4344055
82,Other Non-Cash Items,- -,91637,-36455,1887799,573387,287616,730982,653693,1424622,226215,1634885,9828212,4838772,-5212074
83,Cash Provided by Operating Activities,-16767,-33485,-36590,-405031,-203126,-316382,-414781,-527621,-306887,-103844,-54737,-669041,-1154311,-859821
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60548,-16742,- -
85,Acquisitions Net,- -,- -,- -,-215453,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,191026,- -,- -,- -,- -,- -,- -,4053,125822,9750
89,Cash Used for Investing Activites,- -,- -,- -,-215453,191026,- -,- -,- -,- -,- -,- -,-56495,109080,9750
90,Debt Repayment,- -,- -,- -,-28558,-193112,- -,- -,-43297,-27000,- -,-25000,-771542,-1360276,-510086
91,Common Stock Issued,- -,23250,28493,16000,- -,322000,24900,- -,- -,- -,- -,- -,- -,250000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,17450,8500,8500,629180,205000,83150,307500,613500,284006,105000,81411,1178646,2508230,1225697
95,Cash Used/Provided by Financing Activities,17450,31750,36993,616622,11888,405150,332400,570203,257006,105000,56411,407104,1147954,965611
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,683,-1735,403,-3862,-212,88768,-82381,42582,- -,- -,1674,-318432,102723,115540
98,Cash at the End of Period,1959,224,627,1124,912,89680,7299,49881,- -,1156,2830,59401,162124,277664
99,Cash at the Beginning of Period,1276,1959,224,4986,1124,912,89680,7299,49881,- -,1156,377833,59401,162124
100,Free Cash Flow,-16767,-33485,-36590,-405031,-203126,-316382,-414781,-527621,-306887,-103844,-54737,-729589,-1171053,-859821
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1438901/000112178113000364/0001121781-13-000364-index.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1438901/000116169719000350/0001161697-19-000350-index.htm,https://www.sec.gov/Archives/edgar/data/1438901/000116169720000190/0001161697-20-000190-index.htm,https://www.sec.gov/Archives/edgar/data/1438901/000116169721000253/0001161697-21-000253-index.htm
102,false,,,,,,,,,,,,,,
