,https://roic.ai/company/AGIO,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,-0.7556,-0.9132,-1.5198,-0.8251,-1.9914,-2.8397,-7.3160,-3.6661,-3.4897,-1.6111,47.6714
22,Income Tax expense (Gain),7207000,-2824000,579000,-426000,- -,- -,- -,- -,- -,- -,1974024
23,Net Income,-23706000,-20102000,-39407000,-53504000,-117732000,-198471000,-314670000,-346028000,-411472000,-327370000,- -
24,Net Income ratio,-1.0856,-0.8007,-1.5425,-0.8186,-1.9914,-2.8397,-7.3160,-3.6661,-3.4897,-1.6111,- -
25,EPS,-1.15,-1.18,-2.83,-1.59,-3.15,-5.07,-6.75,-6.03,-6.86,-4.74,- -
26,EPS Diluted,-1.15,-1.18,-2.83,-1.59,-3.15,-5.07,-6.75,-6.03,-6.86,-4.74,- -
27,Weighted Average Shares Outstanding,23389580,23133283,15415000,33667024,37429262,39126400,46587631,57418300,59994539,68997879,68997879
28,Weighted Average Shares Outstanding Diluted,23389580,23133283,15415000,33667024,37429262,39126400,46587631,57418300,59994539,68997879,68997879
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1439222/000119312514104521/0001193125-14-104521-index.htm,https://www.sec.gov/Archives/edgar/data/1439222/000119312515060046/d854960d10k.htm,https://www.sec.gov/Archives/edgar/data/1439222/000119312516481973/0001193125-16-481973-index.html,https://www.sec.gov/Archives/edgar/data/1439222/000119312517046795/0001193125-17-046795-index.html,https://www.sec.gov/Archives/edgar/data/1439222/000143922218000004/0001439222-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1439222/000143922219000004/0001439222-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1439222/000143922220000014/0001439222-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1439222/000143922221000029/0001439222-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1439222/000143922222000024/0001439222-22-000024-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,117661000,91297000,71560000,14031000,71764000,160754000,102724000,70502000,80931000,127436000,203126000
32,Short-Term Investments,61507000,36679000,95209000,328034000,245238000,380560000,321212000,514800000,483946000,445493000,816892000
33,Cash and Short-Term Investments,179168000,127976000,166769000,342065000,317002000,541314000,423936000,585302000,564877000,572929000,1020018000
34,Net Receivables,- -,- -,476000,12667000,11599000,8314000,3839000,10442000,15319000,25399000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,869000,7331000,14698000,- -
36,Other Current Assets,11417000,2168000,2502000,4814000,8728000,10264000,17486000,17167000,24177000,23651000,44213000
37,Total Current Assets,190585000,130144000,169747000,359546000,337329000,559892000,445261000,613780000,611704000,636677000,1064231000
38,PP&E,3222000,3565000,3758000,6386000,23220000,25337000,24431000,24320000,31472000,117542000,104047000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,27125000,125382000,58905000,32250000,143814000,220119000,152929000,97608000,266375000
43,Tax Assets,37000,2706000,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,626000,593000,575000,590000,611000,1615000,891000,238000,94636000,1125000,3083000
45,Total Non-Current Assets,3885000,6864000,31458000,132358000,82736000,59202000,169136000,244677000,279037000,216275000,373505000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,194470000,137008000,201205000,491904000,420065000,619094000,614397000,858457000,890741000,852952000,1437736000
48,Accounts Payable,3573000,3308000,3678000,11067000,14748000,17106000,22767000,17880000,21896000,26844000,16700000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,6915000,7410000,107646000
50,Tax Payable,17867000,4875000,1462000,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,25072000,25072000,25072000,35686000,19665000,35913000,37842000,32710000,10933000,- -,- -
52,Other Current Liabilities,19513000,6733000,8180000,14336000,18475000,35414000,34332000,42913000,53142000,60140000,-64520000
53,Total Current Liabilities,48158000,35113000,36930000,61089000,52888000,88433000,94941000,93503000,92886000,94394000,59826000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,97789000,85659000
55,Deferred Revenue,82711000,57639000,32567000,2725000,4699000,154297000,125798000,59809000,50580000,261269000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,461000,358000,226000,3724000,17360000,17773000,18155000,17608000,106747000,- -,276000
58,Total Non-Current Liabilities,83172000,57997000,32793000,6449000,22059000,172070000,143953000,77417000,157327000,359058000,85935000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,113662000,105199000,- -
61,Total Liabilities,131330000,93110000,69723000,67538000,74947000,260503000,238894000,170920000,250213000,453452000,145761000
62,Preferred Stock,115922000,115922000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,3000,3000,31000,37000,38000,42000,49000,58000,68000,69000,71000
64,Retained Earnings,-53935000,-74037000,-113444000,-166948000,-284680000,-483151000,-798061000,-1104633000,-1516105000,-1843475000,-238760000
65,Other Comprehensive Income/Loss,23000,-2000,14000,-57000,-318000,-313000,-1389000,-2171000,202000,105000,-1198000
66,Other Total Stockholders Equity,1127000,2012000,244881000,591334000,630078000,842013000,1174904000,1794283000,2156363000,2242801000,1531862000
67,Total Stockholders Equity,63140000,43898000,131482000,424366000,345118000,358591000,375503000,687537000,640528000,399500000,1291975000
68,Total Liabilities And Stockholders Equity,194470000,137008000,201205000,491904000,420065000,619094000,614397000,858457000,890741000,852952000,1437736000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,194470000,137008000,201205000,491904000,420065000,619094000,614397000,858457000,890741000,852952000,1437736000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1439222/000119312514104521/0001193125-14-104521-index.htm,https://www.sec.gov/Archives/edgar/data/1439222/000119312515060046/d854960d10k.htm,https://www.sec.gov/Archives/edgar/data/1439222/000119312516481973/0001193125-16-481973-index.html,https://www.sec.gov/Archives/edgar/data/1439222/000119312517046795/0001193125-17-046795-index.html,https://www.sec.gov/Archives/edgar/data/1439222/000143922218000004/0001439222-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1439222/000143922219000004/0001439222-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1439222/000143922220000014/0001439222-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1439222/000143922221000029/0001439222-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1439222/000143922222000024/0001439222-22-000024-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-23706000,-20102000,-39407000,-53504000,-117732000,-198471000,-314670000,-346028000,-411472000,-327370000,- -
74,Depreciation and Amortization,801000,1179000,1440000,1367000,3342000,5708000,6432000,7172000,8087000,9984000,9240000
75,Deferred Income Tax,-10660000,6707000,3842000,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,371000,742000,3030000,11506000,31963000,42086000,47809000,73357000,72373000,75122000,53508000
77,Change in Working Capital,17584000,-47396000,37786000,165640000,-14016000,187018000,-121139000,169957000,-1459000,23465000,462122000
78,Accounts Receivable,- -,- -,- -,-6016000,-1733000,3339000,1216000,-6772000,-4877000,-10060000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-869000,-6462000,-7367000,- -
80,Accounts Payable,809000,-322000,30000,7577000,4215000,3501000,5329000,-5488000,3716000,5889000,1863000
81,Other Working Capital,142427000,95031000,132817000,298457000,284441000,471459000,350320000,520277000,518818000,542283000,1004405000
82,Other Non-Cash Items,391000,9322000,-63091000,-184362000,19494000,2221000,96336000,-208879000,-38151000,-71960000,-838956000
83,Cash Provided by Operating Activities,-15219000,-49548000,-56400000,-59353000,-76949000,38562000,-285232000,-304421000,-370622000,-290759000,-314086000
84,CAPEX,-1906000,-1475000,-1294000,-2216000,-20164000,-9915000,-4627000,-6986000,-12171000,-14909000,-5741000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-105936000,-88524000,-146049000,-837219000,-353177000,-506067000,-688702000,-933320000,-488566000,-557030000,-1378221000
87,Sales/Maturities of Investments,85482000,113041000,60126000,505528000,501650000,396632000,635421000,666481000,592177000,647685000,829804000
88,Other Investing Activites,- -,- -,- -,571000,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-22360000,23042000,-87217000,-333336000,128309000,-119350000,-57908000,-273825000,91440000,75746000,-554158000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-113000,-336000,-578000
91,Common Stock Issued,- -,- -,126117000,333577000,- -,162150000,270250000,516206000,277201000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,77358000,142000,-2237000,1583000,6373000,7628000,14860000,29818000,12523000,261854000,-765190000
95,Cash Used/Provided by Financing Activities,77358000,142000,123880000,335160000,6373000,169778000,285110000,546024000,289611000,261518000,-765768000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,39779000,-26364000,-19737000,-57529000,57733000,88990000,-58030000,-32222000,10429000,46505000,75690000
98,Cash at the End of Period,117661000,91297000,71560000,14031000,71764000,160754000,102724000,70502000,80931000,127436000,203126000
99,Cash at the Beginning of Period,77882000,117661000,91297000,71560000,14031000,71764000,160754000,102724000,70502000,80931000,127436000
100,Free Cash Flow,-17125000,-51023000,-57694000,-61569000,-97113000,28647000,-289859000,-311407000,-382793000,-305668000,-319827000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1439222/000119312514104521/0001193125-14-104521-index.htm,https://www.sec.gov/Archives/edgar/data/1439222/000119312515060046/d854960d10k.htm,https://www.sec.gov/Archives/edgar/data/1439222/000119312516481973/0001193125-16-481973-index.html,https://www.sec.gov/Archives/edgar/data/1439222/000119312517046795/0001193125-17-046795-index.html,https://www.sec.gov/Archives/edgar/data/1439222/000143922218000004/0001439222-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1439222/000143922219000004/0001439222-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1439222/000143922220000014/0001439222-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1439222/000143922221000029/0001439222-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1439222/000143922222000024/0001439222-22-000024-index.htm
102,false,,,,,,,,,,,
