,https://roic.ai/company/ATOS,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-Infinity,-2294.8460,-10.5426,-17.0494,-27.8692,-8964.9164,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-17.38,-68.40,-73.80,-126.00,-109.80,-99.00,-33.60,-10.92,-5.50,-2.03,-1.97,-0.18
26,EPS Diluted,-17.38,-68.40,-73.80,-126.00,-109.80,-99.00,-33.60,-10.92,-5.50,-2.03,-1.97,-0.18
27,Weighted Average Shares Outstanding,62538,50654,69183,86024,133547,157930,189813,974768,4157746,8496964,11308532,116950000
28,Weighted Average Shares Outstanding Diluted,62538,50654,69183,86024,133547,157930,189813,974768,4157746,8496964,11308532,116950000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1488039/000114420413018024/0001144204-13-018024-index.htm,https://www.sec.gov/Archives/edgar/data/1488039/000114420414018247/0001144204-14-018247-index.htm,https://www.sec.gov/Archives/edgar/data/1488039/000114420415019344/0001144204-15-019344-index.htm,https://www.sec.gov/Archives/edgar/data/1488039/000114420416091380/0001144204-16-091380-index.htm,https://www.sec.gov/Archives/edgar/data/1488039/000161577417001088/0001615774-17-001088-index.htm,https://www.sec.gov/Archives/edgar/data/1488039/000161577418001693/0001615774-18-001693-index.htm,https://www.sec.gov/Archives/edgar/data/1488039/000143774919005927/0001437749-19-005927-index.htm,https://www.sec.gov/Archives/edgar/data/1488039/000143774920006155/0001437749-20-006155-index.htm,https://www.sec.gov/Archives/edgar/data/1488039/000143774921007756/0001437749-21-007756-index.htm,https://www.sec.gov/Archives/edgar/data/1488039/000143774922004614/0001437749-22-004614-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,10253,1910821,1725197,6342161,8500718,3715895,3027962,7217469,10380493,12581136,39553671,136377000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,10253,1910821,1725197,6342161,8500718,3715895,3027962,7217469,10380493,12581136,39553671,136377000
34,Net Receivables,- -,1224,141665,139072,297958,- -,- -,358277,518098,739656,- -,1072000
35,Inventory,- -,- -,- -,- -,39788,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1033384,122633,932588,247207,578956,226601,322288,650775,998474,3216504,3791000
37,Total Current Assets,10253,2945429,1989495,7413821,9085671,4294851,3254563,7898034,11549366,14319266,42770175,141240000
38,PP&E,- -,80467,159967,163147,357532,171568,55119,11467,54487,84479,- -,20000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,40841,4640224,4395633,1920645,1700565,640440,75686,99375,68542,13375,- -
41,Intangible Assets,- -,40841,4640224,4395633,1920645,1700565,640440,75686,99375,68542,13375,- -
42,Investments,- -,- -,36447,36446,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,4757,5157,- -,- -,400154,76337,194250,178907,17218,17218,- -,2000
45,Total Non-Current Assets,4757,126465,4836638,4595226,2678331,1948470,889809,266060,171080,170239,13375,22000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,15010,3071894,6826133,12009047,11764002,6243321,4144372,8164094,11720446,14489505,42783550,141262000
48,Accounts Payable,- -,64766,68217,9634,594357,814448,254320,334901,353328,293171,1588613,1717000
49,Short-Term Debt,189000,1005078,- -,- -,76025,- -,- -,- -,- -,39371,18053,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,48157,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,677861,442329,1582381,1349605,1543794,1687139,792946,890506,2562108,990200,14064855,1409000
53,Total Current Liabilities,866861,1512173,1650598,1407396,2214176,2501587,1047266,1225407,2915436,1322742,15671521,3126000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,51699,- -,- -,- -,- -,11108,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,51699,- -,- -,- -,- -,11108,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,125241,- -,- -,- -,- -,50479,18053,- -
61,Total Liabilities,866861,1512173,1650598,1407396,2265875,2501587,1047266,1225407,2915436,1333850,15671521,3126000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,2,1,1,- -
63,Common Stock,6000,11257,12919,18574,24564,32657,56804,477342,1052372,1643565,13003075,22792000
64,Retained Earnings,-1209787,-4652056,-9731906,-20516614,-35174540,-50934863,-57303748,-65426329,-76831263,-94071040,- -,-129234000
65,Other Comprehensive Income/Loss,- -,- -,-31080,-272342,-258946,-114287,-155409,-159450,- -,-151000,- -,- -
66,Other Total Stockholders Equity,351936,6200520,14925602,31372033,44907049,54758227,60499459,72047124,84583899,105734479,14164856,244578000
67,Total Stockholders Equity,-851851,1559721,5175535,10601651,9498127,3741734,3097106,6938687,8805010,13156005,27167932,138136000
68,Total Liabilities And Stockholders Equity,15010,3071894,6826133,12009047,11764002,6243321,4144372,8164094,11720446,14489855,42839453,141262000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,-350,-55903,- -
70,Total Liabilities & Equity,15010,3071894,6826133,12009047,11764002,6243321,4144372,8164094,11720446,14489505,42783550,141262000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1488039/000114420413018024/0001144204-13-018024-index.htm,https://www.sec.gov/Archives/edgar/data/1488039/000114420414018247/0001144204-14-018247-index.htm,https://www.sec.gov/Archives/edgar/data/1488039/000114420415019344/0001144204-15-019344-index.htm,https://www.sec.gov/Archives/edgar/data/1488039/000114420416091380/0001144204-16-091380-index.htm,https://www.sec.gov/Archives/edgar/data/1488039/000161577417001088/0001615774-17-001088-index.htm,https://www.sec.gov/Archives/edgar/data/1488039/000161577418001693/0001615774-18-001693-index.htm,https://www.sec.gov/Archives/edgar/data/1488039/000143774919005927/0001437749-19-005927-index.htm,https://www.sec.gov/Archives/edgar/data/1488039/000143774920006155/0001437749-20-006155-index.htm,https://www.sec.gov/Archives/edgar/data/1488039/000143774921007756/0001437749-21-007756-index.htm,https://www.sec.gov/Archives/edgar/data/1488039/000143774922004614/0001437749-22-004614-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-1086930,-3442269,-5079851,-10784708,-14657926,-15760323,-6368885,-8122581,-11404934,-17239777,-17827952,-20606000
74,Depreciation and Amortization,- -,15623,130552,472934,564456,272627,303482,128994,44197,52789,46520,23000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,30396,140056,121812,1443760,698657,840103,876189,786550,2463521,8844037,3019409,5267000
77,Change in Working Capital,625422,2289864,-1094359,5667528,865070,-5078231,414033,4465330,1961303,4362594,14102130,-1156000
78,Accounts Receivable,- -,-1224,-140441,-352267,-368174,- -,- -,- -,- -,- -,104716,- -
79,Inventory,- -,-92026,-29884,-149946,-39788,9276,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,64765,3451,-58583,346215,301403,-560128,80581,18427,-60157,1295442,128000
81,Other Working Capital,-856608,1433256,338897,6006425,6871495,1793264,2207297,6672627,8633930,12996524,27098654,- -
82,Other Non-Cash Items,73001,-2495638,2021882,-5629558,1974293,5772528,-599408,-3852243,-2025708,-5148085,-10910389,- -
83,Cash Provided by Operating Activities,-358111,-3492364,-3899964,-8830044,-10555450,-13953296,-5374589,-6593950,-8961621,-9128442,-11570282,-16472000
84,CAPEX,- -,-136931,-134582,-489815,-343257,-130735,-9213,- -,-110906,-7625,- -,-9000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-245373,-197199,-157684,- -,- -,- -,- -,-9367,- -
89,Cash Used for Investing Activites,- -,-136931,-134582,-489815,-343257,-288419,-9213,- -,-110906,-7625,-9367,-9000
90,Debt Repayment,- -,-1000000,- -,- -,-98481,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,102000,5713785,3854000,13936823,13155745,9456892,4695869,10034224,- -,- -,4664947,69668000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4502799,- -
94,Other Financing Activites,182000,816078,-5078,- -,- -,- -,- -,749233,12290551,11336710,29384438,43636000
95,Cash Used/Provided by Financing Activities,284000,5529863,3848922,13936823,13057264,9456892,4695869,10783457,12290551,11336710,38552184,113304000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-74111,1900568,-185624,4616964,2158557,-4784823,-687933,4189507,3218024,2200643,26972535,96823000
98,Cash at the End of Period,10253,1910821,1725197,6342161,8500718,3715895,3027962,7217469,10490493,12691136,39663671,136487000
99,Cash at the Beginning of Period,84364,10253,1910821,1725197,6342161,8500718,3715895,3027962,7272469,10490493,12691136,39664000
100,Free Cash Flow,-358111,-3629295,-4034546,-9319859,-10898707,-14084031,-5383802,-6593950,-9072527,-9136067,-11570282,-16481000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1488039/000114420413018024/0001144204-13-018024-index.htm,https://www.sec.gov/Archives/edgar/data/1488039/000114420414018247/0001144204-14-018247-index.htm,https://www.sec.gov/Archives/edgar/data/1488039/000114420415019344/0001144204-15-019344-index.htm,https://www.sec.gov/Archives/edgar/data/1488039/000114420416091380/0001144204-16-091380-index.htm,https://www.sec.gov/Archives/edgar/data/1488039/000161577417001088/0001615774-17-001088-index.htm,https://www.sec.gov/Archives/edgar/data/1488039/000161577418001693/0001615774-18-001693-index.htm,https://www.sec.gov/Archives/edgar/data/1488039/000143774919005927/0001437749-19-005927-index.htm,https://www.sec.gov/Archives/edgar/data/1488039/000143774920006155/0001437749-20-006155-index.htm,https://www.sec.gov/Archives/edgar/data/1488039/000143774921007756/0001437749-21-007756-index.htm,https://www.sec.gov/Archives/edgar/data/1488039/000143774922004614/0001437749-22-004614-index.htm
102,false,,,,,,,,,,,,
