,https://roic.ai/company/NOG,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1104485/000110448509000013/0001104485-09-000013-index.html,https://www.sec.gov/Archives/edgar/data/1104485/000110448510000009/0001104485-10-000009-index.html,- -,https://www.sec.gov/Archives/edgar/data/1104485/000110448512000011/0001104485-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/1104485/000110448513000007/0001104485-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1104485/000110448514000006/0001104485-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1104485/000110448515000007/0001104485-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1104485/000110448516000049/0001104485-16-000049-index.html,https://www.sec.gov/Archives/edgar/data/1104485/000110448517000014/0001104485-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1104485/000110448518000023/0001104485-18-000023-index.html,https://www.sec.gov/Archives/edgar/data/1104485/000110448519000059/0001104485-19-000059-index.html,https://www.sec.gov/Archives/edgar/data/1104485/000110448520000025/0001104485-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1104485/000110448521000026/0001104485-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1104485/000110448522000047/0001104485-22-000047-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,10112660,780715,6233372,152110701,6279587,13387998,5687166,9337512,3390389,6486098,102183191,2357858,16068000,1428000,9519000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,24903476,39726700,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,10112660,780715,31136848,191837401,6279587,13387998,5687166,9337512,3390389,6486098,102183191,2357858,16068000,1428000,9519000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,2903394,7025011,22033647,51418830,70219669,86816981,85931719,58230113,37242221,47636698,97557934,108484000,71015000,193554000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,389970,1509104,3855954,19147312,22806355,10606877,11883416,130718342,67194304,3165850,2938265,128498767,8485000,53186000,12255000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,10502630,5193213,42017813,233018360,80504772,94214544,104387563,225987573,128814806,46894169,152758154,228414559,133037000,125629000,215328000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,7628834,55232957,92150084,275308481,643702946,1083244716,1397306709,1761926553,589320383,376208433,473219591,1202745241,1748593000,735204000,1253342000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,33000,- -,- -,- -,- -,- -,- -,- -,- -,785000,420000,210000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,2416369,1427071,1367124,1386201,13476038,17905688,38832206,15810259,8430359,5490934,72065505,23625000,11256000,54196000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,7628834,57682326,93577155,276675605,645089147,1096720754,1415212397,1800758759,605130642,384638792,479495525,1275230746,1772428000,746460000,1307538000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,18131464,62875539,135594968,509693965,725593919,1190935298,1519599960,2026746332,733945448,431532961,632253679,1503645305,1905465000,872089000,1522866000
48,Accounts Payable,- -,- -,- -,- -,25000,15,1095,113254,1934810,6419534,48500204,110133286,95822162,168936785,231557547,65319170,56146847,93152297,135482513,69395000,35803000,65464000
49,Short-Term Debt,- -,7576,10588,13460,18544,30796,37472,- -,1650720,834492,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,110993,9825535,1656230,11166722,9527309,4634501,25151233,54176660,12795977,21296819,30422949,96043784,134082000,81672000,262093000
53,Total Current Liabilities,- -,7576,10588,13460,43544,30811,38567,224247,13411065,8910256,59666926,119660595,100456663,194088018,285734207,78115147,77443666,123575246,231526297,203477000,182475000,327557000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,69900000,424000000,584539823,806053097,847804829,832625125,979324222,830203272,1118161000,879843000,803437000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2381374,9167000,35929000,76175000,116674000,158412555,- -,- -,- -,104582,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,243888,5500557,3534269,4118375,4469758,5684832,5627586,8885838,20194761,11946271,25184000,33075000,176738000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3125262,14667557,109363269,504293375,705683581,970150484,853432415,841510963,999518983,842254125,1143345000,912918000,980175000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,7576,10588,13460,43544,30811,38567,224247,13411065,12035518,74334483,229023864,604750038,899771599,1255884691,931547562,918954629,1123094229,1073780422,1346822000,1095393000,1307732000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000,2000,2000
63,Common Stock,- -,2358,2358,2358,2358,2358,2362,28696,34121,43912,62129,63330,63532,61858,61067,63120,63260,66792,378333,406000,448000,479000
64,Retained Earnings,- -,-2041500,-2041500,-2089620,-2119704,-2106971,-2114727,-4381400,-2021649,841892,7759192,48370684,120655308,173722344,337468289,-637886252,-931379960,-940573732,-796884497,-873203000,-1780356000,-1773996000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-856010,-2000000,-1000000,-63265919,-162031493,-285616752,-458038546,-1759281704,-2055987766,-2114951189,-2233987232,-2443216000,- -,- -
66,Other Total Stockholders Equity,- -,2031566,2028554,2073802,2073802,2073802,2073798,22259921,52308012,124673646,428538161,511401960,627497913,731660911,891370831,2199502722,2499882798,2564617579,3460358279,3874654000,1556602000,1988649000
67,Total Stockholders Equity,- -,-7576,-10588,-13460,-43544,-30811,-38567,17907217,49464474,123559450,435359482,496570055,586185260,619828361,770861641,-197602114,-487421668,-490840550,429864883,558643000,-223304000,215134000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,18131464,62875539,135594968,509693965,725593919,1190935298,1519599960,2026746332,733945448,431532961,632253679,1503645305,1905465000,872089000,1522866000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,18131464,62875539,135594968,509693965,725593919,1190935298,1519599960,2026746332,733945448,431532961,632253679,1503645305,1905465000,872089000,1522866000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1104485/000110448509000013/0001104485-09-000013-index.html,https://www.sec.gov/Archives/edgar/data/1104485/000110448510000009/0001104485-10-000009-index.html,- -,https://www.sec.gov/Archives/edgar/data/1104485/000110448512000011/0001104485-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/1104485/000110448513000007/0001104485-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1104485/000110448514000006/0001104485-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1104485/000110448515000007/0001104485-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1104485/000110448516000049/0001104485-16-000049-index.html,https://www.sec.gov/Archives/edgar/data/1104485/000110448517000014/0001104485-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1104485/000110448518000023/0001104485-18-000023-index.html,https://www.sec.gov/Archives/edgar/data/1104485/000110448519000059/0001104485-19-000059-index.html,https://www.sec.gov/Archives/edgar/data/1104485/000110448520000025/0001104485-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1104485/000110448521000026/0001104485-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1104485/000110448522000047/0001104485-22-000047-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-4878,-2698,-3012,-2872,-30084,12733,-7756,-4305293,2359751,2798952,6917300,40611492,72284624,53067036,163745945,-975354541,-293493708,-9193772,143689235,-76318000,-906041000,6361000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,3446,835538,4342777,176595,298137,409888,- -,- -,- -,61244158,59500155,119779675,- -,162120000,140828000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-873000,- -,4419000,26833000,42984000,31763000,96107555,-202350555,- -,-785000,365000,210000,210000,233000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,1213292,3566133,6164324,12381757,4798977,2759133,5234115,3464040,3286566,3995476,7955000,4119000,3621000
77,Change in Working Capital,4878,- -,-3012,-2872,-30084,12733,-7756,10316950,-18496235,41325409,140243877,-212507257,32913704,-83458336,29953821,110446293,-81249156,59732405,-32294646,-67328262,13594000,-55383000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4996070,-15008636,-29385183,-18800839,-16597312,885262,27701606,15604984,-9717487,-49122498,-11542000,37637000,-122160000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,4484724,42080670,2486667,-63025,2006516,4094145,-4545304,-365103,2611492,-2284002,-16928000,-1089000,14091000
81,Other Working Capital,-7576,-7576,-10588,-13460,-43544,-30811,-38567,10278383,-8217852,33107557,173351434,-39155823,-6242119,-89700455,-59746634,50699659,-30549497,29182908,-3111738,-70440000,-56846000,-112229000
82,Other Non-Cash Items,- -,2698,6024,5744,60168,-25466,15512,-6506612,18680438,-39867520,-82015685,223749830,37552641,216603730,-18308913,1309040406,411926237,-39573292,8727459,475231262,1057683000,300807000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,-491509,2506492,9812910,73307220,85149526,198526614,222774407,274257541,247015718,101891571,72967062,244262199,339750000,331685000,396467000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-5078758,-46780517,-48542407,-182440098,-341814777,-532211422,-360447444,-477039845,-289146191,-93150590,-119411198,-474586277,-569128000,-283926000,-182798000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24106294,-48679264,-18381690,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,975000,800000,34699651,58606328,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,5447555,- -,-11473739,722338,-531915977,-358147102,-476870842,-288844916,-90749402,-119235793,-216624470,-338788000,-236691000,-633878000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,-5078758,-40357962,-71848701,-207893450,-300867801,-532172422,-358536419,-477039845,-288935667,-90964087,-119239747,-474518588,-569128000,-283926000,-634434000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31756289,-1334492,-10000000,-421500000,-182000000,-30000000,-298000000,-69000000,-180000000,-574319673,-740470000,-139514000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,14997992,26838658,68994736,282193406,- -,- -,- -,- -,- -,- -,- -,141673861,- -,- -,438077000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1081132,-1546148,-26366327,-16132414,-339578,-1403260,- -,-22195035,-15108000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4938000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,-165000,1680868,30250000,-395355,80968293,763800367,336427507,252565064,334312404,62571485,321969778,585271903,998666000,77115000,-187080000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,14832992,28519526,67488447,280463559,69887161,340754219,128061180,206432650,35972826,-7831775,141969778,130431056,243088000,-62399000,246059000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,9262725,-9331944,5452656,145877329,-145831114,7108411,-7700832,3650346,-5947123,3095709,95697093,-99825333,13710000,-14640000,8091000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,10112660,780716,6233372,152110701,6279587,13387998,5687166,9337512,3390389,6486098,102183191,2357858,16068000,1428000,9519000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,849935,10112660,780716,6233372,152110701,6279587,13387998,5687166,9337512,3390389,6486098,102183191,2358000,16068000,1428000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,-5570267,-44274025,-38729497,-109132878,-256665251,-333684808,-137673037,-202782304,-42130473,8740981,-46444136,-230324078,-229378000,47759000,213669000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1104485/000110448509000013/0001104485-09-000013-index.html,https://www.sec.gov/Archives/edgar/data/1104485/000110448510000009/0001104485-10-000009-index.html,- -,https://www.sec.gov/Archives/edgar/data/1104485/000110448512000011/0001104485-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/1104485/000110448513000007/0001104485-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1104485/000110448514000006/0001104485-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1104485/000110448515000007/0001104485-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1104485/000110448516000049/0001104485-16-000049-index.html,https://www.sec.gov/Archives/edgar/data/1104485/000110448517000014/0001104485-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1104485/000110448518000023/0001104485-18-000023-index.html,https://www.sec.gov/Archives/edgar/data/1104485/000110448519000059/0001104485-19-000059-index.html,https://www.sec.gov/Archives/edgar/data/1104485/000110448520000025/0001104485-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1104485/000110448521000026/0001104485-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1104485/000110448522000047/0001104485-22-000047-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
