,https://roic.ai/company/ACY,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,-299.8535,0.5390,0.2766,0.2079,0.2248,0.1682,-0.2397,0.0370,0.0251,0.0704,0.2245,0.1613,0.2578,0.0822,-0.0787,0.2841,0.1773,-0.6815,0.3208,0.0743,0.0988,-0.2967,-0.4893,-2.9093,-Infinity
22,Income Tax expense (Gain),-86888,854420,635680,846090,825730,473220,-795370,136600,146120,472370,1579090,1837000,2995600,876300,-482200,2697700,1688400,-5951800,3583700,750300,-3966500,-972800,-4507800,-3564700,-111800
23,Net Income,-414467,1181650,1405420,1671340,1698940,1009490,-1340300,266370,192910,817310,3775360,3292900,5657400,1648100,-1450400,5189000,3217500,-11294000,6437600,1221700,7399200,-8081200,-16658500,-42243700,-3954600
24,Net Income ratio,-247.8870,0.3128,0.1904,0.1380,0.1513,0.1145,-0.1504,0.0244,0.0143,0.0446,0.1583,0.1036,0.1686,0.0537,-0.0591,0.1869,0.1163,-0.4463,0.2061,0.0460,0.2129,-0.2648,-0.3851,-2.6829,-Infinity
25,EPS,-0.05,0.15,0.18,0.22,0.22,0.13,-0.17,0.03,0.03,0.11,0.49,0.43,0.73,0.21,-0.19,0.67,0.42,-1.46,0.83,0.16,1.02,-1.12,-2.16,-5.47,-0.51
26,EPS Diluted,-0.05,0.15,0.18,0.22,0.22,0.13,-0.17,0.03,0.03,0.11,0.47,0.42,0.72,0.21,-0.19,0.66,0.41,-1.46,0.83,0.16,1.02,-1.12,-2.16,-5.47,-0.51
27,Weighted Average Shares Outstanding,8032785,8032525,7817955,7716285,7716285,7716285,7716285,7716285,7716285,7716285,7716285,7716285,7716285,7716285,7716285,7716285,7716285,7716285,7716285,7833495,7247880,7246305,7729420,7729420,7729420
28,Weighted Average Shares Outstanding Diluted,8032785,8032785,7852220,7716285,7716285,7716285,7716285,7716285,7716285,7716285,7992580,7926370,7815535,7922320,7716285,7815270,7935180,7716285,7721425,7833495,7247880,7246305,7729420,7729420,7729420
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1036848/000103684806000012/0001036848-06-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1036848/000103684807000008/0001036848-07-000008-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1036848/000103684810000007/0001036848-10-000007-index.html,https://www.sec.gov/Archives/edgar/data/1036848/000103684811000020/0001036848-11-000020-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1036848/000103684813000005/0001036848-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/1036848/000103684814000002/0001036848-14-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1036848/000103684815000007/acy10k2014.htm,https://www.sec.gov/Archives/edgar/data/1036848/000103684816000082/0001036848-16-000082-index.html,https://www.sec.gov/Archives/edgar/data/1036848/000103684817000007/0001036848-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1036848/000103684818000004/0001036848-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1036848/000103684819000005/0001036848-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1036848/000165495420003499/0001654954-20-003499-index.html,https://www.sec.gov/Archives/edgar/data/1036848/000165495421004244/0001654954-21-004244-index.htm,https://www.sec.gov/Archives/edgar/data/1036848/000121390022016205/0001213900-22-016205-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,7980,1852010,1251730,3184470,2680160,8796000,9448630,2403630,618910,3383880,2843210,2169700,1252500,1949400,995500,1596800,2112700,1840500,2721000,2194400,8657800,1542500,2350200,2408700,7380700
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121000,- -,- -,- -
33,Cash and Short-Term Investments,7980,1852010,1251730,3184470,2680160,8796000,9448630,2403630,618910,3383880,2843210,2169700,1252500,1949400,995500,1596800,2112700,1840500,2721000,2194400,8657800,1663500,2350200,2408700,7380700
34,Net Receivables,- -,165550,307760,571160,664440,1818240,1359700,6749840,1128280,864410,3483370,3649600,3168000,2005000,4207500,3768100,4991700,2017300,17229900,20909600,26678800,18348500,9113800,2803600,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1584260,5419160,6863570,7638120,482530,699460,409870,1036260,581820,1402320,1000600,555000,- -,- -,745400,735000,6522900,5228400,1998100,4966500,10223300,27113500,41094200,- -
37,Total Current Assets,- -,3601820,6978650,10619200,10982720,11096770,11507790,9563340,2783450,4830110,7728900,6819900,4975500,3954400,5203000,6110300,7839400,10380700,25179300,25102100,40303100,30235300,38577500,46306500,7380700
38,PP&E,- -,22812600,55853940,60111200,56527350,65502010,62151420,74368190,93763250,93674970,118923900,124913600,127203700,126822600,124245000,143667700,152375200,186762600,155258100,192799800,195098200,184952300,109379800,45920400,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4688600
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5688600
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121000,- -,- -,- -
43,Tax Assets,87766,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,254900,517700,1150900,- -
44,Other Non-Current Assets,- -,147470,359130,734230,- -,- -,- -,- -,- -,- -,- -,- -,- -,2234300,1378000,2648500,3850200,4631600,587600,834200,1008600,1588700,1120800,- -,- -
45,Total Non-Current Assets,- -,22960070,56213070,60845430,56527350,65502010,62151420,74368190,93763250,93674970,118923900,124913600,127203700,129056900,125623000,146316200,156225400,191394200,155845700,193634000,196106800,186916900,111018300,47071300,5688600
46,Other Assets,101199,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13257500
47,Total Assets,101199,26561890,63191720,71464630,67510070,76598780,73659210,83931530,96546700,98505080,126652800,131733500,132179200,133011300,130826000,152426500,164064800,201774900,181025000,218736100,236409900,217152200,149595800,93377800,14949600
48,Accounts Payable,207689,249400,906970,1885340,1642130,529650,484390,868120,1174790,351190,811020,73010000,63206300,627800,368100,1133600,1175300,2818200,1138400,1218100,645200,1025600,736000,367700,- -
49,Short-Term Debt,- -,6439780,37094920,41220610,36510120,44223210,41493200,48989610,58337010,57907120,73074530,- -,- -,65252700,65200000,67865700,77527300,133590600,107621600,108183700,132062900,121865000,81376100,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52300,5100,- -,20400,19100,- -,- -,- -,123200,452600,497400,175000,900,13700
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1072900,1009000,577200,558200,752400,646700,1642200,1957400,- -,2447500,- -,- -,1027400,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,186030,1630310,- -,- -,- -,- -,52300,27471400,24413000,24009500,6267900,5618300,5691800,1637500,5021400,2428300,4407100,1819800,1005000,- -
53,Total Current Liabilities,- -,6689180,38001890,43105950,38152250,44938890,43607900,49857730,59511800,58258310,73885550,74135200,91686700,90870700,90135800,76019600,84967600,143742800,112354900,114423200,137583900,127297700,83931900,2400100,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67865700,77527300,133590600,107621600,17654200,13535300,9227200,30262300,102802100,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,752400,646700,1642200,1957400,1903900,2447500,3274800,3039200,1027400,- -
56,Deferred Tax Liabilities,- -,3160030,3227870,2716720,3356100,3762840,2784450,1097580,1057310,1127180,7649020,9169400,- -,- -,- -,14419200,16099700,8621300,12204200,12830500,8533700,7537100,2529800,- -,- -
57,Other Non-Current Liabilities,- -,2200880,6470620,8479280,7140100,8025940,8736050,14179040,16987500,18771620,12978570,13593800,- -,- -,- -,-52509600,-64273200,-120662900,-94391600,29424100,26942800,28527500,6574000,4764500,- -
58,Total Non-Current Liabilities,- -,5360910,9698490,11196000,10496200,11788780,11520500,15276620,18044810,19898800,20627590,22763200,- -,- -,- -,30527700,30000500,23191200,27391600,61812700,51459300,48566600,42405300,108594000,- -
59,Other Liabilities,365666,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3136300
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,336400,172000,- -
61,Total Liabilities,365666,12050090,47700380,54301950,48648450,56727670,55128400,65134350,77556610,78157110,94513140,96898400,91686700,90870700,90135800,106547300,114968100,166934000,139746500,176235900,189043200,175864300,126337200,110994100,3136300
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,150,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1800,1800,1800,22100
64,Retained Earnings,-414467,767180,2172600,3843940,5542880,6552370,5212070,5478440,5671350,7029230,17264570,20557500,26214900,27863000,26412600,31601600,34819100,20563300,27000900,28222600,35621800,27540600,10882100,-31361600,-4954400
65,Other Comprehensive Income/Loss,- -,-15711600,-17411620,-13071300,-15418830,-18270690,-21631290,-18225980,-17422780,-22004790,- -,- -,-40862500,-47185900,- -,-52244500,-50679300,-38962800,-31074600,-32639600,-33234200,-36739400,-1370800,-2000,- -
66,Other Total Stockholders Equity,149850,29454610,30728750,26388430,28735960,31587820,34948420,31543110,30739910,35321920,- -,14276000,55138500,61461900,14276000,66520500,64955300,53238800,45350600,46915600,44977500,50484900,13745500,13745500,16982700
67,Total Stockholders Equity,-264467,14511800,15491340,17162680,18861620,19871110,18530810,18797180,18990090,20347970,32139660,34835100,40492500,42140600,40690200,45879200,49096700,34840900,41278500,42500200,47366700,41287900,23258600,-17616300,12050400
68,Total Liabilities And Stockholders Equity,101199,26561890,63191720,71464630,67510070,76598780,73659210,83931530,96546700,98505080,126652800,131733500,132179200,133011300,130826000,152426500,164064800,201774900,181025000,218736100,236409900,217152200,149595800,93377800,15186700
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-237100
70,Total Liabilities & Equity,101199,26561890,63191720,71464630,67510070,76598780,73659210,83931530,96546700,98505080,126652800,131733500,132179200,133011300,130826000,152426500,164064800,201774900,181025000,218736100,236409900,217152200,149595800,93377800,14949600
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1036848/000103684806000012/0001036848-06-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1036848/000103684807000008/0001036848-07-000008-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1036848/000103684810000007/0001036848-10-000007-index.html,https://www.sec.gov/Archives/edgar/data/1036848/000103684811000020/0001036848-11-000020-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1036848/000103684813000005/0001036848-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/1036848/000103684814000002/0001036848-14-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1036848/000103684815000007/acy10k2014.htm,https://www.sec.gov/Archives/edgar/data/1036848/000103684816000082/0001036848-16-000082-index.html,https://www.sec.gov/Archives/edgar/data/1036848/000103684817000007/0001036848-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1036848/000103684818000004/0001036848-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1036848/000103684819000005/0001036848-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1036848/000165495420003499/0001654954-20-003499-index.html,https://www.sec.gov/Archives/edgar/data/1036848/000165495421004244/0001654954-21-004244-index.htm,https://www.sec.gov/Archives/edgar/data/1036848/000121390022016205/0001213900-22-016205-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-414467,1181650,1405420,1671340,1698940,1009490,-1340300,266370,192910,817310,3775360,3292900,5657400,1648100,-1450400,5189000,3217500,-11294000,6437600,1221700,7399200,-8081200,-16658500,-42243700,-4191700
74,Depreciation and Amortization,- -,713930,1700000,2673950,2789550,2851860,3360600,3554620,4030950,4979530,5614520,7222100,7644300,7395700,5598900,6126900,7312500,7299000,9062100,9139700,12025600,12698800,11587500,7027200,- -
75,Deferred Income Tax,- -,759790,67840,-686860,639380,406740,-978390,-1686870,-40270,461220,3178210,1520400,2818300,778800,-672100,2324800,1680500,-5952600,3582900,626300,-4296800,-1390000,-4895200,-3537300,-114500
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,272447,-3087360,-27935880,-1463510,5317220,-6672590,1742010,-8194280,-16433960,3300150,-12728450,-1158650,-19395900,-205100,1983500,15023500,-7218900,-56233900,46186500,-2145500,-7959700,218400,51708000,89260800,-36525700
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-376400,-1104000,577700,-928900,-260100,-106000,-498000,-2363100,400100,1000700,-537400,-5962800,800100,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,741000,-40300,-132400,-359500,-152400,-572000,1802700,-277300,-360400,1547600
81,Other Working Capital,- -,-3087360,-31023240,-32486750,-27169530,-33842120,-32100110,-40294390,-56728350,-53428200,-66156650,-67315300,-86711200,-86916300,-84932800,-69909300,-77128200,-133362100,-87175600,-89321100,-97280800,-97062400,-45354400,43906400,7380700
82,Other Non-Cash Items,- -,1746550,28760720,2104110,-7457210,5706190,515970,6613790,19204210,-1472740,15931010,4435150,22142400,-4993100,-2550300,-3747900,1881000,71416900,-54712300,2502300,7402400,14495200,-33572100,-46531500,39685200
83,Cash Provided by Operating Activities,-142020,1314560,3998100,4299030,2987880,3301690,3299890,553630,6953840,8085470,15770650,15311900,18866500,4624400,2909600,24916300,6872600,5235400,10556800,11344500,14570700,17941200,8169700,3975500,-1146700
84,CAPEX,- -,-7844570,-25680340,-11743700,-285420,-11826520,-10010,-22000540,-27226270,-6170880,-32333360,-13929700,-9901700,-9098900,-7521400,-30632200,-24965500,-74529000,-1333700,-54357600,-32063100,-22844300,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2875100,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-374790,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7614200,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,17600,90950,210080,- -,- -,- -,- -,- -,1699900,- -,- -,- -,- -,- -,- -,- -,121000,- -,- -
88,Other Investing Activites,- -,834320,98400,5096560,1406440,- -,- -,7320650,9034650,1056000,97500,15000,- -,2789900,2101500,5322200,10963800,16166900,14717000,25227900,12934200,16633600,16809400,17117000,-1000000
89,Cash Used for Investing Activites,- -,-7010250,-25581940,-6647140,1121020,-11826520,7590,-14963730,-17981540,-5114880,-32235860,-13914700,-9901700,-6309000,-3720000,-25310000,-14001700,-58362100,13383300,-29129700,-26743100,-9085800,16930400,17117000,-1000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18816500,-13344000,-10618500,-6643500,-17300000,-9300000,-15200000,-23000000,-33586300,-16111700,-36900700,-66906700,-17988100,- -
91,Common Stock Issued,150000,- -,- -,- -,- -,- -,- -,14700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-78190,-425880,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4538000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-48890,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-999800
94,Other Financing Activites,- -,6439780,21409440,4280850,-4613210,7552320,-2654850,-7334900,9242980,-205620,15924540,16745800,8000000,13000000,6500000,18295000,16945000,68054500,-59600,50844900,34747500,20930000,43691200,-1430600,- -
95,Cash Used/Provided by Financing Activities,150000,6312700,20983560,4280850,-4613210,7552320,-2654850,7365100,9242980,-205620,15924540,-2070700,-9882000,2381500,-143500,995000,7645000,52854500,-23059600,17258600,18635800,-15970700,-23215500,-19418700,-999800
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,150000,617010,-600280,1932740,-504310,-972510,652630,-7045000,-1784720,2764970,-540670,-673500,-917200,696900,-953900,601300,515900,-272200,880500,-526600,6463400,-7115300,1884600,1673800,2279800
98,Cash at the End of Period,- -,1852010,1251730,3184470,2680160,1707650,9448630,2403630,618910,3383880,2843210,2169700,1252500,1949400,995500,1596800,2112700,1840500,2721000,2194400,8657800,1542500,3427100,5100900,7380700
99,Cash at the Beginning of Period,- -,1235000,1852010,1251730,3184470,2680160,8796000,9448630,2403630,618910,3383880,2843200,2169700,1252500,1949400,995500,1596800,2112700,1840500,2721000,2194400,8657800,1542500,3427100,5100900
100,Free Cash Flow,-142020,-6530010,-21682240,-7444670,2702460,-8524830,3289880,-21446910,-20272430,1914590,-16562710,1382200,8964800,-4474500,-4611800,-5715900,-18092900,-69293600,9223100,-43013100,-17492400,-4903100,8169700,3975500,-1146700
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1036848/000103684806000012/0001036848-06-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1036848/000103684807000008/0001036848-07-000008-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1036848/000103684810000007/0001036848-10-000007-index.html,https://www.sec.gov/Archives/edgar/data/1036848/000103684811000020/0001036848-11-000020-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1036848/000103684813000005/0001036848-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/1036848/000103684814000002/0001036848-14-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1036848/000103684815000007/acy10k2014.htm,https://www.sec.gov/Archives/edgar/data/1036848/000103684816000082/0001036848-16-000082-index.html,https://www.sec.gov/Archives/edgar/data/1036848/000103684817000007/0001036848-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1036848/000103684818000004/0001036848-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1036848/000103684819000005/0001036848-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1036848/000165495420003499/0001654954-20-003499-index.html,https://www.sec.gov/Archives/edgar/data/1036848/000165495421004244/0001654954-21-004244-index.htm,https://www.sec.gov/Archives/edgar/data/1036848/000121390022016205/0001213900-22-016205-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
