,https://roic.ai/company/MXSG,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,- -,- -,7946,6380,-128273,-32611,-2510818,944497,-142625,-550435,-1009846,-298855,-1188796,-972064
20,Income Before Tax,-116198,-94453,-20974,- -,- -,- -,-4333436,-4742223,-947856,-2177577,-3806697,-3909961,-2273378,-3218296,-3332130
21,Income Before Tax Ratio,-5.3041,-4.6376,-0.9506,- -,- -,- -,-3.7398,-24.6986,-345.5545,-20.9023,-Infinity,-Infinity,-Infinity,-5.0163,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-116198,-94453,-20974,-128748,-1832760,-1511932,-3589899,-7470276,-947856,-2177577,-3806697,-3909961,-2273378,-3218296,-3332130
24,Net Income ratio,-5.3041,-4.6376,-0.9506,-12.8197,-87.2743,-6.3021,-3.0981,-38.9069,-345.5545,-20.9023,-Infinity,-Infinity,-Infinity,-5.0163,-Infinity
25,EPS,-0.02,-0.01,-0.00,-0.02,-0.20,-0.20,-0.40,-0.60,-0.07,-0.20,-0.20,-0.20,-0.05,-0.05,-0.03
26,EPS Diluted,-0.02,-0.01,-0.00,-0.02,-0.20,-0.20,-0.40,-0.60,-0.07,-0.20,-0.20,-0.20,-0.05,-0.05,-0.03
27,Weighted Average Shares Outstanding,6823750,6823762,6824411,5786568,7617084,8288487,9719484,11264590,13443793,19318367,28593373,35300849,43942300,67386181,116921916
28,Weighted Average Shares Outstanding Diluted,6823750,6823762,6824411,5786568,7617084,8288487,9719484,11264590,13443793,19318367,28593373,35300849,43942300,67386181,116921916
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1355677/000138730809000058/0001387308-09-000058-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1355677/000138730814000087/0001387308-14-000087-index.htm,https://www.sec.gov/Archives/edgar/data/1355677/000138730815000100/0001387308-15-000100-index.htm,https://www.sec.gov/Archives/edgar/data/1355677/000107878216003487/0001078782-16-003487-index.htm,https://www.sec.gov/Archives/edgar/data/1355677/000107878217000966/0001078782-17-000966-index.htm,https://www.sec.gov/Archives/edgar/data/1355677/000107878218000707/0001078782-18-000707-index.htm,https://www.sec.gov/Archives/edgar/data/1355677/000107878219000591/0001078782-19-000591-index.htm,https://www.sec.gov/Archives/edgar/data/1355677/000107878220000639/0001078782-20-000639-index.htm,https://www.sec.gov/Archives/edgar/data/1355677/000107878221000633/0001078782-21-000633-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5861,2327,3478,1022,109142,- -,104701,- -,2747,30461,90551,125942,12029,64173,8081
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,150114,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5861,2327,3478,1022,109142,- -,104701,150114,2747,30461,90551,125942,12029,64173,8081
34,Net Receivables,- -,2652,4347,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,11133,10219,10230,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,80000,- -,- -,- -,5984,8419,25019,81747,- -,- -,32972,- -,5500,- -,- -
37,Total Current Assets,96994,15198,18055,1022,115126,8419,129720,231861,2747,30461,123523,125942,17529,64173,8081
38,PP&E,- -,- -,- -,- -,451569,682374,- -,505947,505947,- -,- -,2059878,2543398,2648693,1123339
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,318885,1329463,1290004,3241871,1678190,1285788,1334142,1159986,-686155,-1312909,-1487858,- -
45,Total Non-Current Assets,- -,- -,- -,318885,1781032,1972378,3241871,2184137,1791735,1334142,1159986,1373723,1230489,1160835,1123339
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,96994,15198,18055,319907,1896158,1980797,3371591,2415998,1794482,1364603,1283509,1499665,1248018,1225008,1131420
48,Accounts Payable,4893,6000,9150,25848,86675,96561,50698,75006,173640,92151,64734,149553,689282,730264,884809
49,Short-Term Debt,475000,492687,513462,70434,420033,201031,192500,1072575,766671,672809,284652,661495,975725,2010319,1735244
50,Tax Payable,413,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,39075,- -,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,413,406,288,45182,853805,168579,249907,1921303,845853,260717,260860,385520,- -,39387,12669
53,Total Current Liabilities,480306,499093,522900,180539,1360513,1266171,493105,3068884,1786164,1025677,610246,1196568,1665007,2779970,2632722
54,Long-Term Debt,6136,- -,- -,- -,194142,36858,- -,- -,- -,- -,- -,- -,- -,386239,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,25775,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,6136,- -,- -,25775,194142,36858,- -,- -,- -,- -,- -,- -,- -,386239,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,486442,499093,522900,206314,1554655,1303029,493105,3068884,1786164,1025677,610246,1196568,1665007,2779970,2632722
62,Preferred Stock,- -,- -,- -,- -,- -,375,375,375,375,1000,1000,1000,1000,1000,1000
63,Common Stock,7405,7411,7435,- -,161118,179382,212468,248103,308237,480607,665555,775919,1011845,1593978,177714
64,Retained Earnings,-396853,-491306,-512280,-641028,-3310752,-4951728,-8541627,-16011903,-16959759,-19137336,-22944033,-26853994,-29127372,-32345668,-35677798
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-141284,-241239,-365884,-652840,-969690,-765105,-986920,-1242696,-1497912,-1666668,- -
66,Other Total Stockholders Equity,- -,- -,- -,754621,3632421,5690978,12050024,15763379,17629155,19759760,23937661,27622868,29195450,30862396,33997782
67,Total Stockholders Equity,-389448,-483895,-504845,113593,341503,677768,3355356,-652886,8318,338926,673263,303097,-416989,-1554962,-1501302
68,Total Liabilities And Stockholders Equity,96994,15198,18055,319907,1896158,1980797,3848461,2415998,1794482,1364603,1283509,1499665,1248018,1225008,1131420
69,Minority Interest,- -,- -,- -,- -,- -,- -,-476870,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,96994,15198,18055,319907,1896158,1980797,3371591,2415998,1794482,1364603,1283509,1499665,1248018,1225008,1131420
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1355677/000138730809000058/0001387308-09-000058-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1355677/000138730814000087/0001387308-14-000087-index.htm,https://www.sec.gov/Archives/edgar/data/1355677/000138730815000100/0001387308-15-000100-index.htm,https://www.sec.gov/Archives/edgar/data/1355677/000107878216003487/0001078782-16-003487-index.htm,https://www.sec.gov/Archives/edgar/data/1355677/000107878217000966/0001078782-17-000966-index.htm,https://www.sec.gov/Archives/edgar/data/1355677/000107878218000707/0001078782-18-000707-index.htm,https://www.sec.gov/Archives/edgar/data/1355677/000107878219000591/0001078782-19-000591-index.htm,https://www.sec.gov/Archives/edgar/data/1355677/000107878220000639/0001078782-20-000639-index.htm,https://www.sec.gov/Archives/edgar/data/1355677/000107878221000633/0001078782-21-000633-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-116198,-94453,-20974,-128748,-1832760,-1511932,-3589899,-7470276,-947856,-2177577,-3806697,-3909961,-2273378,-3218296,-3332130
74,Depreciation and Amortization,- -,- -,- -,10108,95050,221404,302245,356509,330678,265708,226632,255776,255215,168757,86496
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,12334,612413,275132,823504,744283,306408,592722,1848481,1306013,427839,537900,1312877
77,Change in Working Capital,125488,-100583,-20950,325328,-1065870,-12365,894367,-2473638,1053606,788201,508493,-583903,-576852,-1068319,91156
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,1613,913,-11,10230,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,273061,- -,146165,- -
81,Other Working Capital,-383312,-483895,-504845,-179517,-1245387,-1257752,-363385,-2837023,-1783417,-995216,-486723,-1070626,-1647478,-2715797,-2624641
82,Other Non-Cash Items,- -,200289,23995,-264160,1162916,209441,-887255,6231978,-1196296,174054,403861,1874506,1172004,2307094,1041726
83,Cash Provided by Operating Activities,9290,5253,-17929,-45138,-1028251,-818320,-2457038,-2611144,-453460,-356892,-819230,-1057569,-995172,-1272864,-799875
84,CAPEX,- -,- -,- -,-157888,-1055533,-365821,-1342004,-88422,-1009,-1660,-117018,-105196,-111981,17018,-49000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-164180,- -,26989,-31673,-239709,41000,68550,163970,- -,10000,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-322068,-1055533,-338832,-1373677,-328131,39991,66890,46952,-105196,-101981,-44125,-49000
90,Debt Repayment,-4841,-6135,-1696,- -,- -,-142451,-165508,-50500,-6053,-48264,-126208,- -,-301851,-615301,-210855
91,Common Stock Issued,- -,- -,- -,155000,776700,1081245,3592673,1653993,122180,- -,- -,989060,475500,535395,458638
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-2652,20776,209750,1415204,109216,508251,986304,300089,365980,958576,209096,809591,1449039,545000
95,Cash Used/Provided by Financing Activities,-4841,-8787,19080,364750,2191904,1048010,3935416,2589797,416216,317716,832368,1198156,983240,1369133,792783
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,4449,-3534,1151,-2456,108120,- -,- -,- -,- -,27714,60090,35391,-113913,52144,-56092
98,Cash at the End of Period,5861,2327,3478,1022,109142,- -,104701,- -,2747,30461,90551,125942,12029,64173,8081
99,Cash at the Beginning of Period,1412,5861,2327,3478,1022,109142,- -,104701,- -,2747,30461,90551,125942,12029,64173
100,Free Cash Flow,9290,5253,-17929,-203026,-2083784,-1184141,-3799042,-2699566,-454469,-358552,-936248,-1162765,-1107153,-1316989,-848875
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1355677/000138730809000058/0001387308-09-000058-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1355677/000138730814000087/0001387308-14-000087-index.htm,https://www.sec.gov/Archives/edgar/data/1355677/000138730815000100/0001387308-15-000100-index.htm,https://www.sec.gov/Archives/edgar/data/1355677/000107878216003487/0001078782-16-003487-index.htm,https://www.sec.gov/Archives/edgar/data/1355677/000107878217000966/0001078782-17-000966-index.htm,https://www.sec.gov/Archives/edgar/data/1355677/000107878218000707/0001078782-18-000707-index.htm,https://www.sec.gov/Archives/edgar/data/1355677/000107878219000591/0001078782-19-000591-index.htm,https://www.sec.gov/Archives/edgar/data/1355677/000107878220000639/0001078782-20-000639-index.htm,https://www.sec.gov/Archives/edgar/data/1355677/000107878221000633/0001078782-21-000633-index.htm
102,false,,,,,,,,,,,,,,,
