,https://roic.ai/company/CDW,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.0440,0.0490,0.0634,0.0683,0.0656,0.0661,0.0726,0.0746,0.0754,0.0653,0.0727,0.0722,0.0652,- -,-0.1931,-0.0339,0.0196,0.0243,0.0695,0.0607,0.0657,0.0796,0.0768,0.0705,0.0773,0.0763,0.0857,0.0696
17,Operating Income,- -,- -,53603000,80490000,104638000,157912000,259608000,268198000,298178000,284458000,392759000,419634000,396399000,- -,-1387100000,-31900000,352700000,470700000,510600000,508600000,673000000,742000000,819200000,866100000,987300000,1133600000,1179200000,1419000000
18,Operating Income ratio,- -,- -,0.0578,0.0630,0.0604,0.0617,0.0676,0.0677,0.0699,0.0610,0.0685,0.0667,0.0584,- -,-0.1719,-0.0045,0.0401,0.0490,0.0504,0.0472,0.0557,0.0571,0.0586,0.0570,0.0608,0.0629,0.0639,0.0682
19,Total Other Income Expenses (Gains),500000,2100000,3281000,4018000,4373000,4481000,9049000,11778000,8019000,5106000,7101000,13324000,17952000,- -,-390100000,-429300000,-389700000,-442400000,-324500000,-313100000,-285300000,-95000000,-146800000,-205800000,-146800000,-183900000,-176900000,-121200000
20,Income Before Tax,19900000,33000000,56884000,84508000,109011000,162393000,268657000,279976000,306197000,289564000,399860000,432958000,414351000,- -,-1777200000,-461200000,-37000000,28300000,186100000,195500000,387700000,647000000,672400000,660300000,840500000,949700000,1002300000,1297800000
21,Income Before Tax Ratio,0.0481,0.0525,0.0613,0.0662,0.0629,0.0634,0.0699,0.0707,0.0718,0.0621,0.0697,0.0688,0.0611,- -,-0.2202,-0.0644,-0.0042,0.0029,0.0184,0.0182,0.0321,0.0498,0.0481,0.0435,0.0518,0.0527,0.0543,0.0623
22,Income Tax expense (Gain),7800000,12900000,22484000,33507000,43170000,64308000,106388000,111290000,120948000,114378000,158415000,160866000,148271000,- -,-12100000,-87800000,-7800000,11200000,67100000,62700000,142800000,243900000,248000000,137300000,197500000,212900000,213800000,309200000
23,Net Income,12100000,20100000,34400000,51001000,65841000,98085000,162269000,168686000,185249000,175186000,241445000,272092000,266080000,- -,-1765100000,-373400000,-29200000,17100000,119000000,132800000,244900000,403100000,424400000,523000000,643000000,736800000,788500000,988600000
24,Net Income ratio,0.0293,0.0320,0.0371,0.0399,0.0380,0.0383,0.0422,0.0426,0.0434,0.0376,0.0421,0.0432,0.0392,- -,-0.2187,-0.0521,-0.0033,0.0018,0.0117,0.0123,0.0203,0.0310,0.0304,0.0344,0.0396,0.0409,0.0427,0.0475
25,EPS,0.16,0.24,1.58,2.37,3.06,2.27,1.87,1.97,2.18,2.10,2.90,3.35,3.37,- -,-12.16,-2.57,-0.20,0.12,1.03,0.85,1.44,2.37,2.59,3.37,4.26,5.08,5.53,7.14
26,EPS Diluted,0.16,0.24,1.58,2.35,3.03,2.22,1.79,1.89,2.10,2.03,2.79,3.26,3.30,- -,-12.16,-2.57,-0.20,0.12,1.00,0.84,1.42,2.35,2.56,3.31,4.19,4.99,5.45,7.04
27,Weighted Average Shares Outstanding,75625000,83750000,21785000,21525000,21531000,43135000,87003000,85803000,84862000,83329000,83391000,81128000,78874000,- -,145200000,145200000,145200000,145200000,164400000,156600000,170600000,170300000,163600000,155400000,150900000,145100000,142600000,138500000
28,Weighted Average Shares Outstanding Diluted,75625000,83750000,84642857,21704000,21752000,44152000,90860000,89136000,88296000,86175000,86552000,83566000,80651000,- -,146100000,146100000,146100000,146100000,168100000,158700000,172800000,171800000,166000000,158200000,153600000,147800000,144800000,140500000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1402057/000119312511056194/d10k.htm,https://www.sec.gov/Archives/edgar/data/1402057/000140205712000006/0001402057-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/1402057/000140205713000003/0001402057-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/1402057/000140205714000002/0001402057-14-000002-index.html,https://www.sec.gov/Archives/edgar/data/1402057/000140205715000003/cdw-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1402057/000140205716000057/0001402057-16-000057-index.html,https://www.sec.gov/Archives/edgar/data/1402057/000140205717000007/0001402057-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1402057/000140205718000038/0001402057-18-000038-index.html,https://www.sec.gov/Archives/edgar/data/1402057/000140205719000046/0001402057-19-000046-index.html,https://www.sec.gov/Archives/edgar/data/1402057/000140205720000042/0001402057-20-000042-index.html,https://www.sec.gov/Archives/edgar/data/1402057/000140205721000022/0001402057-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1402057/000140205722000020/0001402057-22-000020-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3000000,14200000,16462000,18233000,4230000,19747000,43664000,145977000,157140000,222425000,148804000,201250000,148081000,- -,- -,88000000,36600000,99900000,37900000,188100000,344500000,37600000,263700000,144200000,205800000,154000000,1410200000,258100000
32,Short-Term Investments,- -,- -,58490000,61192000,66458000,63228000,158957000,248404000,347474000,339935000,329393000,370500000,203515000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3000000,14200000,74952000,79425000,70688000,82975000,202621000,394381000,504614000,562360000,478197000,571750000,351596000,- -,- -,88000000,36600000,99900000,37900000,188100000,344500000,37600000,263700000,144200000,205800000,154000000,1410200000,258100000
34,Net Receivables,24900000,40900000,61327000,91484000,158204000,237779000,350866000,328165000,347168000,472517000,604399000,665093000,905883000,- -,- -,1134500000,1284300000,1398500000,1433500000,1597300000,1716700000,2215800000,2403500000,2657000000,2987600000,3397300000,3592100000,4934900000
35,Inventory,23200000,27400000,41462000,61941000,64392000,126217000,110202000,119117000,150785000,183890000,213222000,243564000,261858000,- -,- -,257800000,292800000,321700000,314600000,382000000,337500000,393100000,452000000,449500000,454300000,611200000,760000000,927600000
36,Other Current Assets,20300000,44400000,3081000,4346000,6504000,8077000,10194000,12495000,15969000,16141000,20619000,20836000,30199000,- -,- -,77500000,88600000,59300000,48700000,46100000,54700000,144300000,118900000,127400000,149100000,171600000,191200000,357500000
37,Total Current Assets,71400000,126900000,180822000,237196000,299788000,455048000,673883000,854158000,1018536000,1234908000,1316437000,1501243000,1549536000,- -,- -,1557800000,1702300000,1879400000,1834700000,2213500000,2453400000,2790800000,3238100000,3378100000,3796800000,4334100000,5953500000,6478100000
38,PP&E,2900000,3500000,12295000,26704000,37056000,39429000,61966000,69073000,64088000,62323000,68595000,97277000,171448000,- -,- -,165800000,158100000,154300000,142700000,131100000,137200000,175400000,163700000,161100000,156100000,494900000,306300000,351400000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119491000,- -,- -,2207400000,2209100000,2208400000,2209300000,2220300000,2217600000,2500400000,2455000000,2479600000,2462800000,2553000000,2595900000,4382900000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63603000,- -,- -,1951400000,1791200000,1636000000,1478500000,1328000000,1168800000,1276400000,1055600000,897000000,712200000,594100000,445100000,1628100000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,183094000,- -,- -,4158800000,4000300000,3844400000,3687800000,3548300000,3386400000,3776800000,3510600000,3376600000,3175000000,3147100000,3041000000,6011000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,5176000,- -,- -,39176000,- -,- -,- -,- -,- -,- -,- -,- -,86700000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,4939000,6784000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,3700000,3500000,5713000,5741000,4977000,6499000,5804000,13798000,7864000,14401000,135903000,11360000,47349000,- -,- -,93600000,83100000,71500000,54800000,31700000,36200000,12300000,36000000,40800000,39800000,23300000,43900000,358900000
45,Total Non-Current Assets,6600000,7000000,18008000,32445000,42033000,50867000,74554000,82871000,77128000,76724000,204498000,147813000,401891000,- -,- -,4418200000,4241500000,4070200000,3885300000,3711100000,3646500000,3964500000,3710300000,3578500000,3370900000,3665300000,3391200000,6721300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,78000000,133900000,198830000,269641000,341821000,505915000,748437000,937029000,1095664000,1311632000,1520935000,1649056000,1951427000,- -,- -,5976000000,5943800000,5949600000,5720000000,5924600000,6099900000,6755300000,6948400000,6956600000,7167700000,7999400000,9344700000,13199400000
48,Accounts Payable,16200000,19400000,36642000,44451000,41358000,65657000,56081000,106808000,102786000,157079000,168061000,245201000,354307000,- -,- -,292300000,565300000,517800000,518600000,662800000,704000000,866500000,1072900000,1317700000,1577100000,1835000000,2088400000,3114200000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22600000,132600000,201000000,40000000,45400000,15400000,27200000,18500000,25500000,25300000,34100000,541000000,102700000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7409000,- -,- -,- -,19900000,27400000,23100000,22600000,35500000,29300000,38100000,38000000,58900000,55500000,88600000,104200000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28900000,28600000,27800000,57800000,94800000,81300000,151900000,172600000,194000000,178300000,252200000,243700000,402900000
52,Other Current Liabilities,6000000,8300000,20566000,25324000,29700000,49274000,56105000,51564000,68808000,91384000,111457000,122560000,175074000,- -,- -,290700000,300400000,594700000,551800000,599600000,667300000,841700000,1016700000,977400000,1022400000,1370100000,1025200000,1476200000
53,Total Current Liabilities,22200000,27700000,57208000,69775000,71058000,114931000,112186000,158372000,171594000,248463000,279518000,367761000,529381000,- -,- -,634500000,1026900000,1341300000,1168200000,1402600000,1468000000,1887300000,2280700000,2514600000,2803100000,3491400000,3898300000,5096000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4599300000,4157400000,3865000000,3731000000,3205800000,3174600000,3232500000,3215900000,3210000000,3183300000,3283200000,4025300000,6940000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10762000,- -,- -,694700000,730300000,692000000,624300000,563500000,475000000,469600000,369200000,196300000,141900000,62400000,55300000,222300000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16730000,24119000,- -,- -,92200000,72700000,58600000,60000000,41000000,45800000,70000000,37100000,52800000,64200000,202100000,68700000,235400000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16730000,34881000,- -,- -,5386200000,4960400000,4615600000,4415300000,3810300000,3695400000,3772100000,3622200000,3459100000,3389400000,3547700000,4149300000,7397700000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131100000,169000000,184200000
61,Total Liabilities,22200000,27700000,57208000,69775000,71058000,114931000,112186000,158372000,171594000,248463000,279518000,384491000,564262000,- -,- -,6020700000,5987300000,5956900000,5583500000,5212900000,5163400000,5659400000,5902900000,5973700000,6192500000,7039100000,8047600000,12493700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,215000,215000,216000,433000,875000,885000,897000,909000,922000,934000,963000,- -,- -,- -,- -,- -,1400000,1700000,1700000,1700000,1600000,1500000,1500000,1400000,1400000,- -
64,Retained Earnings,21000000,41000000,75417000,126418000,192259000,290344000,452613000,621299000,806548000,956867000,1168285000,1405263000,1630620000,- -,- -,-2178800000,-2208000000,-2191300000,-2073000000,-1971800000,-1760500000,-1651600000,-1673800000,-1834300000,-1892600000,-2018600000,-1813400000,- -
65,Other Comprehensive Income/Loss,-2000000,-2000000,- -,- -,- -,- -,- -,- -,3000,183000,203000,163000,494000,- -,- -,-21300000,-2200000,-2100000,400000,-6300000,-16600000,-61100000,-139600000,-95900000,-130600000,-117800000,-95800000,-94000000
66,Other Total Stockholders Equity,36800000,67200000,65990000,73233000,78288000,100207000,182763000,156473000,116622000,103225000,72007000,-141795000,-244912000,- -,- -,2227300000,2285400000,2186000000,2207700000,2688100000,2711900000,2806900000,2857300000,2911600000,2996900000,3095300000,3204900000,- -
67,Total Stockholders Equity,55800000,106200000,141622000,199866000,270763000,390984000,636251000,778657000,924070000,1061184000,1241417000,1264565000,1387165000,- -,- -,-44700000,-43500000,-7300000,136500000,711700000,936500000,1095900000,1045500000,982900000,975200000,960300000,1297100000,705700000
68,Total Liabilities And Stockholders Equity,78000000,133900000,198830000,269641000,341821000,505915000,748437000,937029000,1095664000,1309647000,1520935000,1649056000,1951427000,- -,- -,5976000000,5943800000,5949600000,5720000000,5924600000,6099900000,6755300000,6948400000,6956600000,7167700000,7999400000,9344700000,13199400000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,1985000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,78000000,133900000,198830000,269641000,341821000,505915000,748437000,937029000,1095664000,1311632000,1520935000,1649056000,1951427000,- -,- -,5976000000,5943800000,5949600000,5720000000,5924600000,6099900000,6755300000,6948400000,6956600000,7167700000,7999400000,9344700000,13199400000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1402057/000119312511056194/d10k.htm,https://www.sec.gov/Archives/edgar/data/1402057/000140205712000006/0001402057-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/1402057/000140205713000003/0001402057-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/1402057/000140205714000002/0001402057-14-000002-index.html,https://www.sec.gov/Archives/edgar/data/1402057/000140205715000003/cdw-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1402057/000140205716000057/0001402057-16-000057-index.html,https://www.sec.gov/Archives/edgar/data/1402057/000140205717000007/0001402057-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1402057/000140205718000038/0001402057-18-000038-index.html,https://www.sec.gov/Archives/edgar/data/1402057/000140205719000046/0001402057-19-000046-index.html,https://www.sec.gov/Archives/edgar/data/1402057/000140205720000042/0001402057-20-000042-index.html,https://www.sec.gov/Archives/edgar/data/1402057/000140205721000022/0001402057-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1402057/000140205722000020/0001402057-22-000020-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,12100000,20100000,34400000,51001000,65841000,98085000,162269000,168686000,185249000,175186000,241445000,272092000,266080000,- -,-1765100000,-373400000,-29200000,17100000,119000000,132800000,244900000,403100000,424400000,523000000,643000000,736800000,788500000,988600000
74,Depreciation and Amortization,-1700000,-2200000,1975000,2672000,4758000,6788000,10478000,15383000,15564000,15135000,16998000,21493000,28138000,- -,218400000,218200000,209400000,204900000,210200000,208200000,207900000,227400000,254500000,260900000,265600000,267100000,425600000,- -
75,Deferred Income Tax,-300000,-500000,-3228000,-1351000,-720000,-1573000,-1866000,-3438000,-1446000,1773000,2217000,1059000,-13726000,- -,-39900000,-94400000,-4300000,-10200000,-56300000,-48700000,-89100000,-54500000,-97200000,-172700000,-56100000,-87900000,-20200000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17800000,15900000,11500000,19500000,22100000,46600000,16400000,31200000,39200000,43700000,40700000,48500000,42500000,- -
77,Change in Working Capital,16400000,32800000,50000000,24414000,43807000,61309000,111387000,221580000,134089000,151156000,139503000,50474000,96563000,- -,-113327000,-96855000,-247900000,-137300000,128400000,144400000,174500000,-81900000,53900000,-93900000,130200000,-151000000,1212500000,- -
78,Accounts Receivable,-11500000,-16000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116700000,-131300000,-81500000,-165300000,-10400000,-170800000,-117600000,-342600000,-179900000,-128400000,-365100000,-244800000,-226400000,- -
79,Inventory,-13900000,-4300000,-14040000,-20479000,-2451000,-61825000,16015000,-8915000,-31668000,-17025000,-29332000,-30342000,-17813000,- -,78600000,-15000000,-34900000,-29000000,7100000,-67500000,44200000,-31500000,-68500000,8500000,-46800000,-153000000,-71400000,- -
80,Accounts Payable,9200000,3200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-199100000,76500000,272500000,-19800000,800000,146100000,43700000,100500000,225100000,231500000,271200000,194100000,253700000,- -
81,Other Working Capital,16400000,49200000,99200000,123614000,167421000,228730000,340117000,561697000,695786000,846942000,986445000,1036919000,1133482000,- -,1020155000,923300000,675400000,538100000,666500000,810900000,985400000,903500000,957400000,863500000,993700000,842700000,2055200000,- -
82,Other Non-Cash Items,-22900000,-39000000,-54373000,-57196000,-109162000,-142098000,-140445000,-99807000,-102048000,-217832000,-215957000,-41458000,-160342000,- -,1856327000,438155000,487400000,120700000,-106000000,-117000000,-119600000,-247800000,-70800000,216700000,-117500000,213700000,-1134600000,-204000000
83,Cash Provided by Operating Activities,3600000,11200000,28774000,19540000,4524000,22511000,141823000,302404000,231408000,125418000,184206000,303660000,216713000,- -,174200000,107600000,426900000,214700000,317400000,366300000,435000000,277500000,604000000,777700000,905900000,1027200000,1314300000,784600000
84,CAPEX,-2600000,-2100000,-11078000,-17081000,-15110000,-9161000,-33015000,-22490000,-10579000,-11380000,-22113000,-49062000,-85567000,- -,-41100000,-15600000,-41500000,-45700000,-41400000,-47100000,-55000000,-90100000,-63500000,-81100000,-86100000,-236300000,-158000000,-100000000
85,Acquisitions Net,- -,- -,- -,- -,- -,-6499000,-44195000,- -,-18466000,-3618000,- -,- -,-180742000,- -,- -,- -,- -,- -,- -,- -,-86800000,-263800000,- -,- -,- -,-95100000,-43000000,-2669600000
86,Purchases of Investments,-46900000,-63100000,-111482000,-101155000,-114932000,-131587000,-247179000,-1990056000,-1889033000,-2380034000,-638820000,-422058000,-407323000,- -,-19200000,-92200000,-84100000,-10300000,-300000,- -,-2100000,-500000,-2400000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,28100000,39400000,96032000,100467000,112463000,137834000,154380000,1900790000,1789267000,2386539000,520986000,467099000,849748000,- -,- -,20000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,44978000,744000,19020000,-13490000,- -,- -,-275723000,- -,-41100000,-10400000,-41300000,-45700000,-41400000,-47100000,-75900000,-90100000,-63500000,-81100000,-86100000,-236300000,-158000000,-100000000
89,Cash Used for Investing Activites,-21400000,-25800000,-26528000,-17769000,-17579000,-9413000,-125031000,-111012000,-109791000,-21983000,-139947000,-4021000,-99607000,- -,-60300000,-82600000,-125400000,-56000000,-41700000,-47100000,-164800000,-354400000,-65900000,-81100000,-86100000,-331400000,-201000000,-2769600000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1263300000,-11600000,-1609800000,-2790200000,-733200000,-2161500000,-1314400000,-872600000,-1850400000,-3698200000,-708300000,-2957000000,-1697500000,- -
91,Common Stock Issued,- -,- -,- -,- -,1141000,2419000,7125000,9136000,17837000,22879000,34866000,29683000,- -,- -,- -,- -,- -,- -,- -,424700000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-98215000,-128291000,-76324000,-86010000,-258298000,-227669000,- -,- -,- -,- -,-400000,-700000,-200000,- -,-241300000,-367400000,-534000000,-522300000,-657200000,-340600000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24867000,-30027000,-35114000,-40723000,- -,- -,- -,- -,- -,- -,-7300000,-33600000,-52900000,-78700000,-106900000,-139400000,-183400000,-219600000,- -
94,Other Financing Activites,16000000,25800000,- -,- -,-2089000,- -,- -,- -,- -,39979000,-36966000,16421000,98178000,- -,1228700000,-20300000,1256500000,2695200000,395900000,1576000000,1236000000,940300000,1991900000,3520400000,615200000,3047800000,2396500000,832800000
95,Cash Used/Provided by Financing Activities,16000000,25800000,- -,- -,-948000,2419000,7125000,-89079000,-110454000,-38333000,-118137000,-247308000,-170214000,- -,-34600000,-31900000,-353300000,-95400000,-338000000,-168300000,-112000000,-226500000,-304600000,-818700000,-754800000,-749800000,138800000,832800000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,183000,257000,115000,-61000,- -,-500000,500000,400000,- -,300000,-700000,-1800000,-3500000,-7400000,2600000,-3400000,2200000,4100000,100000
97,Net Change In Cash,16000000,25800000,2246000,1771000,-14003000,15517000,23917000,102313000,11163000,65285000,-73621000,52446000,-53169000,- -,78800000,-6400000,-51400000,63300000,-62000000,150200000,156400000,-306900000,226100000,-119500000,61600000,-51800000,1256200000,-1152100000
98,Cash at the End of Period,- -,- -,16462000,18233000,4230000,19747000,43664000,145977000,157140000,222425000,148804000,201250000,148081000,- -,94400000,88000000,36600000,99900000,37900000,188100000,344500000,37600000,263700000,144200000,205800000,154000000,1410200000,258100000
99,Cash at the Beginning of Period,4800000,3000000,14216000,16462000,18233000,4230000,19747000,43664000,145977000,157140000,222425000,148804000,201250000,- -,15600000,94400000,88000000,36600000,99900000,37900000,188100000,344500000,37600000,263700000,144200000,205800000,154000000,1410200000
100,Free Cash Flow,1000000,9100000,17696000,2459000,-10586000,13350000,108808000,279914000,220829000,114038000,162093000,254598000,131146000,- -,133100000,92000000,385400000,169000000,276000000,319200000,380000000,187400000,540500000,696600000,819800000,790900000,1156300000,684600000
