,https://roic.ai/company/CALX,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1406666/000119312511045511/0001193125-11-045511-index.htm,https://www.sec.gov/Archives/edgar/data/1406666/000119312512076050/0001193125-12-076050-index.htm,https://www.sec.gov/Archives/edgar/data/1406666/000140666613000010/0001406666-13-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1406666/000140666614000039/0001406666-14-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1406666/000140666615000004/0001406666-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1406666/000140666616000041/0001406666-16-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1406666/000140666617000012/0001406666-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1406666/000140666618000017/0001406666-18-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1406666/000140666619000029/0001406666-19-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1406666/000140666620000018/0001406666-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1406666/000140666621000029/0001406666-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1406666/000162828022003338/0001628280-22-003338-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,21342000,23214000,31821000,66304000,38938000,46995000,82747000,48829000,23626000,50359000,39775000,49646000,46829000,80807000,51333000
32,Short-Term Investments,8303000,- -,36228000,32020000,- -,- -,- -,62850000,49964000,27748000,- -,- -,- -,52982000,153002000
33,Cash and Short-Term Investments,29645000,23214000,68049000,98324000,38938000,46995000,82747000,111679000,73590000,78107000,39775000,49646000,46829000,133789000,204335000
34,Net Receivables,27555000,32783000,46992000,43377000,47943000,59519000,43520000,30744000,47155000,51336000,80392000,67026000,46509000,69419000,85219000
35,Inventory,21063000,23397000,18556000,24557000,44604000,43282000,51071000,46753000,47667000,44545000,31529000,50151000,40153000,52268000,88880000
36,Other Current Assets,29531000,21311000,21115000,11016000,13507000,26754000,27128000,18311000,14388000,45334000,10759000,7934000,10326000,11414000,30811000
37,Total Current Assets,107794000,100705000,154712000,177274000,144992000,176550000,204466000,207487000,182800000,219322000,162455000,174757000,143817000,266890000,409245000
38,PP&E,9936000,9940000,11293000,11815000,16130000,21083000,17473000,20144000,17149000,17984000,15681000,24945000,37391000,32122000,33965000
39,Goodwill,65576000,65576000,65576000,65576000,116175000,116175000,116175000,116175000,116175000,116175000,116175000,116175000,116175000,116175000,116175000
40,Intangible Assets,19055000,12875000,6695000,515000,80048000,62301000,43740000,25179000,6618000,813000,- -,- -,12148000,9517000,6885000
41,Intangible Assets,84631000,78451000,72271000,66091000,196223000,178476000,159915000,141354000,122793000,116988000,116175000,116175000,128323000,125692000,123060000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,168962000
44,Other Non-Current Assets,316000,359000,2840000,2376000,2194000,1788000,1745000,1236000,1144000,1181000,759000,1203000,7292000,2648000,6800000
45,Total Non-Current Assets,94883000,88750000,86404000,80282000,214547000,201347000,179133000,162734000,141086000,136153000,132615000,142323000,173006000,160462000,332787000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,202677000,189455000,241116000,257556000,359539000,377897000,383599000,370221000,323886000,355475000,295070000,317080000,316823000,427352000,742032000
48,Accounts Payable,16747000,18490000,14635000,10268000,14250000,16804000,23163000,23629000,19603000,23827000,35977000,40209000,10789000,13115000,29061000
49,Short-Term Debt,16512000,- -,3333000,- -,- -,- -,- -,- -,- -,- -,30000000,31778000,36707000,5919000,8327000
50,Tax Payable,- -,- -,- -,- -,- -,1556000,889000,666000,1227000,930000,1778000,1288000,2021000,3476000,4251000
51,Deferred Revenue,42817000,24233000,29921000,14062000,16783000,39315000,34862000,12722000,12124000,27854000,13076000,15600000,17158000,27563000,32220000
52,Other Current Liabilities,16253000,16579000,28629000,25987000,36214000,36176000,32075000,39443000,35512000,69715000,49279000,56091000,50839000,54443000,58528000
53,Total Current Liabilities,92329000,59302000,76518000,50317000,67247000,92295000,90100000,75794000,67239000,121396000,128332000,143678000,115493000,101040000,128136000
54,Long-Term Debt,- -,21000000,16667000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12946000,12376000
55,Deferred Revenue,3687000,4580000,6556000,10985000,13347000,15782000,18431000,19393000,19569000,20237000,20645000,17496000,18340000,19904000,22016000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,422337000,426970000,910000,951000,1528000,745000,1145000,2443000,1293000,878000,1130000,3972000,28962000,13137000,11076000
58,Total Non-Current Liabilities,426024000,452550000,24133000,11936000,14875000,16527000,19576000,21836000,20862000,21115000,21775000,21468000,47302000,45987000,45468000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000000,15940000,15972000
61,Total Liabilities,518353000,511852000,100651000,62253000,82122000,108822000,109676000,97630000,88101000,142511000,150107000,165146000,162795000,147027000,173604000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,248000,252000,803000,968000,1195000,1222000,1256000,1291000,1326000,1368000,1421000,1482000,1545000,1553000,1607000
64,Retained Earnings,-349010000,-365994000,-392182000,-411635000,-464185000,-492511000,-509776000,-530590000,-556923000,-584325000,-667357000,-684882000,-702576000,-669092000,-430714000
65,Other Comprehensive Income/Loss,27000,- -,-17000,31000,98000,132000,190000,80000,-195000,-656000,-169000,-753000,-854000,-191000,-320000
66,Other Total Stockholders Equity,33059000,43345000,531861000,605939000,740309000,760232000,782253000,801810000,791577000,796577000,811068000,836087000,855913000,948055000,997855000
67,Total Stockholders Equity,-315676000,-322397000,140465000,195303000,277417000,269075000,273923000,272591000,235785000,212964000,144963000,151934000,154028000,280325000,568428000
68,Total Liabilities And Stockholders Equity,202677000,189455000,241116000,257556000,359539000,377897000,383599000,370221000,323886000,355475000,295070000,317080000,316823000,427352000,742032000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,202677000,189455000,241116000,257556000,359539000,377897000,383599000,370221000,323886000,355475000,295070000,317080000,316823000,427352000,742032000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1406666/000119312511045511/0001193125-11-045511-index.htm,https://www.sec.gov/Archives/edgar/data/1406666/000119312512076050/0001193125-12-076050-index.htm,https://www.sec.gov/Archives/edgar/data/1406666/000140666613000010/0001406666-13-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1406666/000140666614000039/0001406666-14-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1406666/000140666615000004/0001406666-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1406666/000140666616000041/0001406666-16-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1406666/000140666617000012/0001406666-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1406666/000140666618000017/0001406666-18-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1406666/000140666619000029/0001406666-19-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1406666/000140666620000018/0001406666-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1406666/000140666621000029/0001406666-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1406666/000162828022003338/0001628280-22-003338-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-24939000,-12919000,-22441000,-18553000,-52550000,-28326000,-17265000,-20814000,-26333000,-27402000,-83032000,-19298000,-17694000,33484000,238378000
74,Depreciation and Amortization,12381000,11603000,11122000,11195000,26075000,26309000,28742000,27824000,28823000,14124000,10991000,9187000,10316000,13718000,15012000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-168426000
76,Stock Based Compensation,6254000,9940000,9196000,25575000,21603000,17437000,19921000,16017000,13805000,14285000,12368000,17473000,11181000,13960000,24230000
77,Change in Working Capital,-4168000,25938000,36791000,48763000,-49212000,6510000,30111000,17327000,-16132000,-17635000,-63803000,-3044000,-2755000,137526000,-52401000
78,Accounts Receivable,15702000,-5228000,-14209000,3615000,12287000,-13011000,15999000,12776000,-16411000,-4185000,-29056000,13858000,20517000,-22910000,-15800000
79,Inventory,-4582000,-2334000,4841000,-6001000,9182000,11308000,-6138000,4319000,-915000,3122000,13016000,-20639000,9998000,-12116000,-36612000
80,Accounts Payable,-9587000,1743000,-3855000,-4367000,-7818000,2554000,6359000,467000,-4021000,4236000,11759000,4596000,-29440000,2190000,16025000
81,Other Working Capital,15465000,41403000,78194000,126957000,77745000,84255000,114366000,131693000,115561000,97926000,34123000,31079000,28324000,165850000,10400000
82,Other Non-Cash Items,-1401000,-40113000,-33278000,-57804000,68673000,5748000,-20691000,-2279000,-5504000,41047000,60704000,-758000,3606000,-147279000,- -
83,Cash Provided by Operating Activities,-11873000,-5551000,1390000,9176000,14589000,27678000,40818000,38075000,-5341000,24419000,-62772000,3560000,4654000,51409000,56793000
84,CAPEX,-5650000,-5427000,-5064000,-5614000,-7355000,-10179000,-6987000,-11961000,-7278000,-9839000,-8026000,-10426000,-13353000,-7819000,-10463000
85,Acquisitions Net,- -,- -,- -,- -,-60809000,-12000000,- -,- -,- -,- -,- -,10350000,- -,- -,- -
86,Purchases of Investments,-23946000,- -,-36245000,-79190000,- -,- -,- -,-67698000,-60002000,-16478000,-8732000,- -,- -,-72982000,-298092000
87,Sales/Maturities of Investments,15670000,8276000,- -,82516000,31755000,- -,- -,4215000,71945000,38400000,36492000,- -,- -,20000000,197894000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-13926000,2849000,-41309000,-2288000,-36409000,-22179000,-6987000,-75444000,4665000,12083000,19734000,-76000,-13353000,-60801000,-110661000
90,Debt Repayment,-6750000,-16512000,-21000000,- -,- -,- -,- -,- -,- -,- -,-141268000,-557915000,-143300000,-60000000,- -
91,Common Stock Issued,- -,- -,- -,57311000,3938000,- -,- -,- -,- -,- -,- -,- -,- -,60063000,- -
92,Common Stock Repurchased,-20016000,-19000,-12000,- -,- -,- -,- -,- -,-27177000,-12809000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,62157000,21105000,69538000,-29716000,-9572000,2513000,1818000,3575000,3036000,3566000,173258000,565407000,149271000,42084000,24383000
95,Cash Used/Provided by Financing Activities,35391000,4574000,48526000,27595000,-5634000,2513000,1818000,3575000,-24141000,-9243000,31990000,7492000,5971000,42147000,24383000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,88000,45000,103000,-124000,-386000,-526000,464000,-477000,-89000,595000,11000
97,Net Change In Cash,9592000,1872000,8607000,34483000,-27366000,8057000,35752000,-33918000,-25203000,26733000,-10584000,10499000,-2817000,33350000,-29474000
98,Cash at the End of Period,21342000,23214000,31821000,66304000,38938000,46995000,82747000,48829000,23626000,50359000,39775000,50274000,47457000,80807000,51333000
99,Cash at the Beginning of Period,11750000,21342000,23214000,31821000,66304000,38938000,46995000,82747000,48829000,23626000,50359000,39775000,50274000,47457000,80807000
100,Free Cash Flow,-17523000,-10978000,-3674000,3562000,7234000,17499000,33831000,26114000,-12619000,14580000,-70798000,-6866000,-8699000,43590000,46330000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1406666/000119312511045511/0001193125-11-045511-index.htm,https://www.sec.gov/Archives/edgar/data/1406666/000119312512076050/0001193125-12-076050-index.htm,https://www.sec.gov/Archives/edgar/data/1406666/000140666613000010/0001406666-13-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1406666/000140666614000039/0001406666-14-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1406666/000140666615000004/0001406666-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1406666/000140666616000041/0001406666-16-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1406666/000140666617000012/0001406666-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1406666/000140666618000017/0001406666-18-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1406666/000140666619000029/0001406666-19-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1406666/000140666620000018/0001406666-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1406666/000140666621000029/0001406666-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1406666/000162828022003338/0001628280-22-003338-index.htm
102,false,,,,,,,,,,,,,,,
