,https://roic.ai/company/SYRS,2014,2015,2016,2017,2018,2019,2020,2021
55,Deferred Revenue,- -,- -,- -,- -,8276000,22639000,9877000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1000,1626000,1154000,751000,375000,24639000,44645000,3029000
58,Total Non-Current Liabilities,1000,1626000,1154000,751000,8651000,47278000,94073000,66209000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,339000,221000,53000,31000,25917000,26662000,24934000
61,Total Liabilities,1253000,9582000,10721000,13164000,28180000,70794000,122697000,97717000
62,Preferred Stock,82013000,82013000,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,2000,23000,26000,34000,43000,56000,61000
64,Retained Earnings,-23695000,-53513000,-101256000,-155266000,-217545000,-292983000,-377021000,-463579000
65,Other Comprehensive Income/Loss,-428000,-931000,-9000,-42000,-3000,24000,- -,-79000
66,Other Total Stockholders Equity,2350000,6478000,181844000,220606000,296100000,372100000,467518000,548815000
67,Total Stockholders Equity,60241000,34049000,80602000,65324000,78586000,79184000,90553000,85218000
68,Total Liabilities And Stockholders Equity,61494000,43631000,91323000,78488000,106766000,149978000,213250000,182935000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,61494000,43631000,91323000,78488000,106766000,149978000,213250000,182935000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1556263/000155837017001938/0001558370-17-001938-index.htm,https://www.sec.gov/Archives/edgar/data/1556263/000155837018001860/0001558370-18-001860-index.htm,https://www.sec.gov/Archives/edgar/data/1556263/000156459019006610/0001564590-19-006610-index.htm,https://www.sec.gov/Archives/edgar/data/1556263/000156459020008795/0001564590-20-008795-index.htm,https://www.sec.gov/Archives/edgar/data/1556263/000156459021010709/0001564590-21-010709-index.htm,https://www.sec.gov/Archives/edgar/data/1556263/000156459022010214/0001564590-22-010214-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-13431000,-29818000,-47743000,-54010000,-62279000,-75438000,-84038000,-86558000
74,Depreciation and Amortization,258000,602000,1273000,1527000,1604000,2722000,3035000,3018000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,937000,3233000,4234000,4419000,6610000,9839000,10939000,10354000
77,Change in Working Capital,267000,-30798000,47448000,-15195000,21459000,8792000,58936000,-10602000
78,Accounts Receivable,- -,- -,-317000,867000,- -,-20158000,19993000,7000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,334000,2022000,-404000,141000,888000,1493000,-1057000,48000
81,Other Working Capital,59291000,28493000,75941000,60746000,82205000,90997000,149933000,-12641000
82,Other Non-Cash Items,- -,33751000,-45748000,18530000,-7709000,-6168000,-46236000,-15752000
83,Cash Provided by Operating Activities,-11969000,-23030000,-40536000,-44729000,-40315000,-60253000,-57364000,-99540000
84,CAPEX,-201000,-1176000,-2322000,-821000,-1384000,-12638000,-3336000,-1245000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-25020000,-41770000,-96768000,-108206000,- -,-51408000
87,Sales/Maturities of Investments,- -,- -,- -,27000000,87500000,109000000,50000000,- -
88,Other Investing Activites,- -,- -,- -,- -,9000,110000,- -,- -
89,Cash Used for Investing Activites,-201000,-1176000,-27342000,-15591000,-10643000,-11734000,46664000,-52653000
90,Debt Repayment,- -,-50000,-135000,-168000,-50000,-205000,-241000,-265000
91,Common Stock Issued,15000,392000,53875000,32306000,68508000,61183000,102273000,70337000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,68747000,-620000,36817000,1799000,626000,5012000,40921000,439000
95,Cash Used/Provided by Financing Activities,68762000,-278000,90557000,33937000,69084000,65990000,142953000,70511000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,56592000,-24484000,22679000,-26383000,18126000,-5997000,132253000,-81682000
98,Cash at the End of Period,60393000,35909000,58588000,32205000,50814000,44817000,177070000,95388000
99,Cash at the Beginning of Period,3801000,60393000,35909000,58588000,32688000,50814000,44817000,177070000
100,Free Cash Flow,-12170000,-24206000,-42858000,-45550000,-41699000,-72891000,-60700000,-100785000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1556263/000155837017001938/0001558370-17-001938-index.htm,https://www.sec.gov/Archives/edgar/data/1556263/000155837018001860/0001558370-18-001860-index.htm,https://www.sec.gov/Archives/edgar/data/1556263/000156459019006610/0001564590-19-006610-index.htm,https://www.sec.gov/Archives/edgar/data/1556263/000156459020008795/0001564590-20-008795-index.htm,https://www.sec.gov/Archives/edgar/data/1556263/000156459021010709/0001564590-21-010709-index.htm,https://www.sec.gov/Archives/edgar/data/1556263/000156459022010214/0001564590-22-010214-index.htm
102,false,,,,,,,,
