,https://roic.ai/company/BABA,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,3923373000,4517755000,6802508000,8218752000,5480000000,2919000000,12029000000,17806000000,8878000000,7065000000,10901000000,13189000000,32712000000,162183000000
33,Cash and Short-Term Investments,18000,1751663000,6612324000,7266445000,10056852000,11651800000,22337000000,33315000000,45074000000,125999000000,115696000000,150801000000,210210000000,203165000000,363215000000,483445000000
34,Net Receivables,- -,7801000,12678000,37925000,93696000,559465000,1289000000,4761000000,15897000000,11163000000,11738000000,21374000000,25370000000,29920000000,43625000000,56923000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4535000000,8534000000,14859000000,27858000000
36,Other Current Assets,395000,7837000,495651000,838524000,889467000,1029832000,4273000000,5086000000,6862000000,4947000000,6636000000,10341000000,16740000000,28654000000,41224000000,75134000000
37,Total Current Assets,413000,1767301000,7120653000,8142894000,11040015000,13241097000,27899000000,43162000000,67833000000,142109000000,134070000000,182516000000,256855000000,270273000000,462923000000,643360000000
38,PP&E,- -,- -,375975000,783122000,781145000,732759000,2463000000,3808000000,5581000000,9139000000,13629000000,20206000000,66489000000,92030000000,138047000000,219452000000
39,Goodwill,- -,- -,- -,202631000,367787000,455207000,11436000000,11294000000,11793000000,41933000000,81645000000,125420000000,162149000000,264935000000,276782000000,292771000000
40,Intangible Assets,- -,- -,- -,165506000,231535000,223948000,2056000000,2229000000,3566000000,9680000000,8246000000,18799000000,36842000000,74695000000,60947000000,70833000000
41,Intangible Assets,- -,- -,- -,368137000,599322000,679155000,13492000000,13523000000,15359000000,51613000000,89891000000,144219000000,198991000000,339630000000,337729000000,363604000000
42,Investments,- -,1428791000,31719000,26188000,64063000,234563000,1890000000,1797000000,20689000000,48488000000,120853000000,151820000000,177892000000,241544000000,350961000000,437410000000
43,Tax Assets,- -,- -,310025000,73165000,101332000,- -,43000000,52000000,66000000,157000000,30000000,386000000,2182000000,2533000000,7590000000,11041000000
44,Other Non-Current Assets,- -,- -,54558000,63236000,119263000,407894000,1423000000,1444000000,2021000000,3928000000,5977000000,7665000000,14715000000,19066000000,15735000000,15351000000
45,Total Non-Current Assets,- -,1428791000,772277000,1313848000,1665125000,2054371000,19311000000,20624000000,43716000000,113325000000,230380000000,324296000000,460269000000,694803000000,850062000000,1046858000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,413000,3196092000,7892930000,9456742000,12705140000,15295468000,47210000000,63786000000,111549000000,255434000000,364450000000,506812000000,717124000000,965076000000,1312985000000,1690218000000
48,Accounts Payable,- -,- -,15576000,23907000,15981000,16430000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,92718000,1286489000,1283000000,5448000000,10364000000,1990000000,4304000000,14897000000,6028000000,22466000000,7920000000,17506000000
50,Tax Payable,- -,- -,156723000,34676000,104933000,472425000,745000000,1112000000,1972000000,3368000000,3733000000,7674000000,16071000000,21133000000,25669000000,33197000000
51,Deferred Revenue,- -,- -,- -,- -,- -,3969117000,5533000000,8917000000,12363000000,16506000000,19114000000,26264000000,38146000000,52004000000,77421000000,131300000000
52,Other Current Liabilities,435000,87672000,2802605000,4073158000,6275910000,1689078000,4935000000,9630000000,14657000000,21176000000,28621000000,52610000000,91636000000,133199000000,156531000000,228552000000
53,Total Current Liabilities,435000,87672000,2818181000,4097065000,6384609000,6961114000,11751000000,23995000000,37384000000,39672000000,52039000000,93771000000,135810000000,207669000000,241872000000,377358000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,22462000000,30711000000,50603000000,53467000000,76835000000,119525000000,111834000000,139367000000,163933000000
55,Deferred Revenue,- -,- -,106340000,204285000,332945000,454014000,529000000,389000000,428000000,445000000,418000000,641000000,993000000,1467000000,2025000000,3158000000
56,Deferred Tax Liabilities,- -,- -,- -,69641000,130855000,240179000,413000000,643000000,2136000000,4493000000,6471000000,10154000000,19312000000,22517000000,43898000000,59598000000
57,Other Non-Current Liabilities,- -,- -,- -,67602000,53666000,119989000,134000000,5337000000,189000000,2808000000,2516000000,4282000000,5046000000,13006000000,15275000000,11210000000
58,Total Non-Current Liabilities,- -,- -,106340000,341528000,517466000,814182000,1076000000,28831000000,33464000000,58349000000,62872000000,91912000000,144876000000,148824000000,200565000000,237899000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21857000000,32286000000
61,Total Liabilities,435000,87672000,2924521000,4438593000,6902075000,7775296000,12827000000,52826000000,70848000000,98021000000,114911000000,185683000000,280686000000,356493000000,442437000000,615257000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,10447000000,10284000000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,486000,485000,485000,481000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,-22000,298029000,- -,- -,- -,- -,12552000000,-20491000000,1183000000,24842000000,78752000000,108558000000,172353000000,257886000000,406287000000,554924000000
65,Other Comprehensive Income/Loss,- -,- -,4967923000,4976605000,5752764000,7417299000,-1024000000,-337000000,1651000000,3865000000,6200000000,8541000000,9100000000,2636000000,5457000000,-11716000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,19959000000,20803000000,26503000000,116731000000,- -,161699000000,184368000000,231734000000,343656000000,394261000000
67,Total Stockholders Equity,-22000,3108420000,4968409000,4977090000,5753249000,7417780000,31488000000,10423000000,39622000000,145439000000,216987000000,278799000000,365822000000,492257000000,755401000000,937470000000
68,Total Liabilities And Stockholders Equity,413000,3196092000,7892930000,9415683000,12655324000,15193076000,44315000000,63249000000,110470000000,243460000000,331898000000,464482000000,646508000000,848750000000,1197838000000,1552727000000
69,Minority Interest,- -,- -,- -,41059000,49816000,102392000,2895000000,537000000,1079000000,11974000000,32552000000,42330000000,70616000000,116326000000,115147000000,137491000000
70,Total Liabilities & Equity,413000,3196092000,7892930000,9456742000,12705140000,15295468000,47210000000,63786000000,111549000000,255434000000,364450000000,506812000000,717124000000,965076000000,1312985000000,1690218000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1577552/000110465915035237/0001104659-15-035237-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1577552/000110465917033787/0001104659-17-033787-index.htm,https://www.sec.gov/Archives/edgar/data/1577552/000110465918030651/0001104659-18-030651-index.htm,https://www.sec.gov/Archives/edgar/data/1577552/000110465919029738/0001104659-19-029738-index.htm,https://www.sec.gov/Archives/edgar/data/1577552/000110465920065398/0001104659-20-065398-index.htm,https://www.sec.gov/Archives/edgar/data/1577552/000110465921096092/0001104659-21-096092-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,219938000,967795000,1205186000,1013026000,1469464000,1712673000,4228000000,8532000000,23315000000,24261000000,71460000000,43675000000,64093000000,87886000000,149433000000,150578000000
74,Depreciation and Amortization,- -,- -,77220000,126582000,226910000,252692000,870000000,935000000,1654000000,4415000000,6701000000,14292000000,22020000000,37080000000,42427000000,47909000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,150000000,104000000,1466000000,1659000000,106000000,-1088000000,976000000,-2197000000,-3443000000,3236000000
76,Stock Based Compensation,- -,- -,194902000,237877000,340971000,336137000,1254000000,1259000000,2844000000,13028000000,16082000000,15995000000,20075000000,37491000000,31742000000,50120000000
77,Change in Working Capital,-33287000,133615000,430688000,925975000,1031242000,7914000,1788000000,3136000000,-4493000000,1854000000,7792000000,7259000000,22082000000,32250000000,21418000000,50508000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,449000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,337022000,950714000,960621000,-149925000,598000000,1801000000,1905000000,2956000000,2463000000,2958000000,6436000000,9823000000,10792000000,15539000000
82,Other Non-Cash Items,544020000,307807000,-327072000,-63245000,-3068587000,-127427000,985000000,510000000,1593000000,-4000000000,-45305000000,193000000,-4075000000,-41535000000,-60970000000,-70565000000
83,Cash Provided by Operating Activities,730671000,1409217000,1580924000,2240215000,- -,2181989000,9275000000,14476000000,26379000000,41217000000,56836000000,80326000000,125171000000,150975000000,180607000000,231786000000
84,CAPEX,-96690000,-139812000,-266541000,-410744000,-294479000,-172070000,-2168000000,-2503000000,-4776000000,-7705000000,-10845000000,-17546000000,-29836000000,-49643000000,-45386000000,-43185000000
85,Acquisitions Net,- -,- -,-9513000,-414804000,-275856000,9053000,-898000000,214000000,-17157000000,-34857000000,-24209000000,-67692000000,-48104000000,-47022000000,-39053000000,-35386000000
86,Purchases of Investments,- -,- -,- -,-1425639000,-8113689000,-9529156000,-508000000,-72000000,-11423000000,-12930000000,-15363000000,-4669000000,-12602000000,-72472000000,-54851000000,-172340000000
87,Sales/Maturities of Investments,- -,- -,- -,850000000,5805328000,7937121000,5861000000,2615000000,372000000,939000000,6805000000,11344000000,7223000000,18085000000,18798000000,7280000000
88,Other Investing Activites,-697677000,37865000,-3092269000,-231801000,125331000,157694000,-3161000000,-755000000,-3298000000,-3671000000,-4657000000,-12021000000,-26380000000,-14169000000,-416000000,-2298000000
89,Cash Used for Investing Activites,-794367000,-101947000,-3101782000,-1222244000,-2746975000,-1585468000,-125000000,545000000,-32997000000,-53454000000,-42831000000,-78364000000,-83890000000,-151060000000,-108072000000,-244194000000
90,Debt Repayment,- -,- -,- -,- -,- -,-279414000,-935000000,-9191000000,-71240000000,-156541000000,-26495000000,-67344000000,-39016000000,-16347000000,-31741000000,-7061000000
91,Common Stock Issued,- -,2822830000,- -,55000,10328000,55341000,618000000,16792000000,1638000000,61831000000,693000000,14694000000,399000000,354000000,91506000000,175000000
92,Common Stock Repurchased,- -,- -,-78873000,-69804000,-52709000,-417696000,-2000000,-55245000000,-5288000000,-270000000,-19795000000,-13182000000,- -,-10872000000,- -,-773000000
93,Dividends Paid,-196612000,-195909000,- -,-888261000,- -,-947727000,- -,-103000000,-208000000,-104000000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,93644000,1345216000,794000000,46341000000,84462000000,182581000000,29751000000,98746000000,58976000000,19473000000,11088000000,37741000000
95,Cash Used/Provided by Financing Activities,-196612000,2626921000,-78873000,-958010000,51263000,-244280000,475000000,-1406000000,9364000000,87497000000,-15846000000,32914000000,20359000000,-7392000000,70853000000,30082000000
96,Effect of Forex Changes on Cash,-223000,-50825000,-32488000,-222000,-6206000,-5358000,-54000000,-76000000,-97000000,-112000000,466000000,2042000000,-6067000000,3245000000,4100000000,-7187000000
97,Net Change In Cash,-260531000,3883366000,-1632219000,59739000,337475000,346883000,9571000000,13539000000,2649000000,75148000000,-1375000000,36918000000,55573000000,-4232000000,147488000000,10487000000
98,Cash at the End of Period,437804000,4321170000,2688951000,2748690000,3086165000,3433048000,16857000000,30396000000,33045000000,108193000000,106818000000,143736000000,199309000000,198494000000,345982000000,356469000000
99,Cash at the Beginning of Period,698335000,437804000,4321170000,2688951000,2748690000,3086165000,7286000000,16857000000,30396000000,33045000000,108193000000,106818000000,143736000000,202726000000,198494000000,345982000000
100,Free Cash Flow,633981000,1269405000,1314383000,1829471000,- -,2009919000,7107000000,11973000000,21603000000,33512000000,45991000000,62780000000,95335000000,101332000000,135221000000,188601000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1577552/000110465915035237/0001104659-15-035237-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1577552/000110465917033787/0001104659-17-033787-index.htm,https://www.sec.gov/Archives/edgar/data/1577552/000110465918030651/0001104659-18-030651-index.htm,https://www.sec.gov/Archives/edgar/data/1577552/000110465919029738/0001104659-19-029738-index.htm,https://www.sec.gov/Archives/edgar/data/1577552/000110465920065398/0001104659-20-065398-index.htm,https://www.sec.gov/Archives/edgar/data/1577552/000110465921096092/0001104659-21-096092-index.htm
102,Forex Rate,0.1281,0.1369,0.1466,0.1465,0.1517,0.1589,0.1588,0.161,0.1608,0.1613,0.155,0.1451,0.1593,0.149,0.1412,0.1526
