,https://roic.ai/company/SUM,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
47,Total Assets,- -,1284479000,1251060000,1729777000,- -,2781466000,3787333000,3857641000,4067556000,- -,4308011000
48,Accounts Payable,- -,61634000,72104000,78854000,- -,81565000,98744000,107702000,116359000,- -,120813000
49,Short-Term Debt,- -,4000000,32288000,22805000,- -,18266000,24041000,21911000,32376000,- -,39143000
50,Tax Payable,- -,- -,4168000,5520000,- -,5491000,7236000,7442000,7666000,- -,15669000
51,Deferred Revenue,- -,6926000,9263000,8958000,- -,15456000,15750000,11840000,13864000,- -,16499000
52,Other Current Liabilities,- -,59347000,65818000,102368000,- -,124001000,111440000,119204000,136698000,- -,146234000
53,Total Current Liabilities,- -,131907000,179473000,212985000,- -,239288000,249975000,260657000,299297000,- -,322689000
54,Long-Term Debt,- -,635843000,658767000,1059642000,- -,1514456000,1810833000,1807502000,1851057000,- -,1892347000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,284092000,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,131035000,126003000,170167000,- -,167683000,183890000,461741000,489795000,- -,476707000
58,Total Non-Current Liabilities,- -,766878000,784770000,1229809000,- -,1682139000,2278815000,2269243000,2340852000,- -,2369054000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,2068000,17530000,- -,11766000,19276000,15557000,49815000,- -,54289000
61,Total Liabilities,- -,898785000,964243000,1442794000,- -,1921427000,2528790000,2529900000,2640149000,- -,2691743000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,482010000,482010000,506361000,- -,961000,1104000,1117000,1134000,- -,1145000
64,Retained Earnings,- -,-94085000,-198511000,-217416000,- -,19028000,95833000,129739000,188805000,- -,326772000
65,Other Comprehensive Income/Loss,- -,-9130000,-6045000,-15546000,- -,-2249000,7386000,2681000,3448000,- -,5203000
66,Other Total Stockholders Equity,- -,5840000,8152000,12286000,- -,824304000,1154220000,1194204000,1234020000,- -,1264681000
67,Total Stockholders Equity,- -,384635000,285606000,285685000,- -,842044000,1258543000,1327741000,1427407000,- -,1597801000
68,Total Liabilities And Stockholders Equity,- -,1283420000,1249849000,1728479000,- -,2763471000,3787333000,3857641000,4067556000,- -,4289544000
69,Minority Interest,- -,1059000,1211000,1298000,- -,17995000,- -,- -,- -,- -,18467000
70,Total Liabilities & Equity,- -,1284479000,1251060000,1729777000,- -,2781466000,3787333000,3857641000,4067556000,- -,4308011000
71,SEC Link,undefined,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1621563/000155837017001167/sum-20161231x10k.htm,https://www.sec.gov/Archives/edgar/data/1621563/000155837018000708/0001558370-18-000708-index.html,https://www.sec.gov/Archives/edgar/data/1621563/000162828019001027/a122918summitmaterials10k.htm,https://www.sec.gov/Archives/edgar/data/1571371/000162828020001083/0001628280-20-001083-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1621563/000162828021003021/0001628280-21-003021-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-10745000,-52496000,-106791000,-8777000,- -,36783000,121830000,33906000,59066000,- -,137967000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,193107000,208772000,222862000,- -,- -
75,Deferred Income Tax,-1974000,-3468000,-4408000,-5927000,- -,-8589000,-289219000,57490000,16012000,- -,-18384000
76,Stock Based Compensation,2484000,2533000,2315000,2235000,- -,49940000,21140000,25378000,20403000,- -,28857000
77,Change in Working Capital,-11871000,121917000,-55281000,22004000,- -,-13614000,289216000,-202743000,166101000,- -,73606000
78,Accounts Receivable,13901000,5201000,9884000,-10366000,- -,2511000,-3720000,-5796000,-37049000,- -,5467000
79,Inventory,-12643000,-1726000,499000,-3735000,- -,-10297000,-18609000,-11598000,8582000,- -,3339000
80,Accounts Payable,6612000,-6076000,4067000,-6455000,- -,-5751000,6192000,-13403000,18903000,- -,-4231000
81,Other Working Capital,-8209000,113708000,58427000,80431000,- -,244410000,533626000,330883000,496984000,- -,570590000
82,Other Non-Cash Items,45359000,-6207000,230577000,69554000,- -,180343000,-43891000,86565000,-147260000,- -,186823000
83,Cash Provided by Operating Activities,23253000,62279000,66412000,79089000,- -,244863000,292183000,209368000,337184000,- -,408869000
84,CAPEX,-38656000,-45488000,-65999000,-76162000,- -,-153483000,-194146000,-220685000,-177495000,- -,-177249000
85,Acquisitions Net,-161073000,-48757000,-61601000,-397854000,- -,-336958000,-374930000,-224453000,-5392000,- -,-123477000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,7398000,8905000,16085000,12736000,- -,19789000,16601000,25439000,20078000,- -,15139000
89,Cash Used for Investing Activites,-192331000,-85340000,-111515000,-461280000,- -,-470652000,-552475000,-419699000,-162809000,- -,-285587000
90,Debt Repayment,-49000000,-697438000,-188424000,-389270000,- -,-120702000,-16438000,-85042000,-270229000,- -,-674045000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,237600000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-13034000,-1974000,-69000,- -,- -,- -
94,Other Financing Activites,195775000,705140000,221013000,766492000,- -,316443000,280567000,41118000,278379000,- -,657274000
95,Cash Used/Provided by Financing Activities,146775000,7702000,32589000,377222000,- -,182707000,499755000,-43993000,8150000,- -,-16771000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,69000,701000,-724000,286000,- -,351000
97,Net Change In Cash,-22303000,-15359000,-12514000,-4969000,- -,-43013000,240164000,-255048000,182811000,- -,106862000
98,Cash at the End of Period,46056000,30698000,18183000,13215000,- -,143392000,383556000,128508000,311319000,- -,418181000
99,Cash at the Beginning of Period,68359000,46057000,30697000,18184000,- -,186405000,143392000,383556000,128508000,- -,311319000
100,Free Cash Flow,-15403000,16791000,413000,2927000,- -,91380000,98037000,-11317000,159689000,- -,231620000
101,SEC Link,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1621563/000155837017001167/sum-20161231x10k.htm,https://www.sec.gov/Archives/edgar/data/1621563/000155837018000708/0001558370-18-000708-index.html,https://www.sec.gov/Archives/edgar/data/1621563/000162828019001027/a122918summitmaterials10k.htm,https://www.sec.gov/Archives/edgar/data/1571371/000162828020001083/0001628280-20-001083-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1621563/000162828021003021/0001628280-21-003021-index.htm
102,false,,,,,,,,,,,
