,https://roic.ai/company/IIIV,2016,2017,2018,2019,2020,2021
58,Total Non-Current Liabilities,89487000,116624000,36502000,171626000,124463000,265698000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -
61,Total Liabilities,109792000,136845000,62944000,206861000,163358000,362209000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,20730000,36164000,3000,2000,3000,3000
64,Retained Earnings,-30240000,-33018000,736000,-2309000,-2023000,-6480000
65,Other Comprehensive Income/Loss,-891000,-1346000,-1292000,-1944000,-2996000,- -
66,Other Total Stockholders Equity,891000,1346000,39854000,84324000,160594000,296068000
67,Total Stockholders Equity,-9510000,3146000,39301000,80073000,155578000,289591000
68,Total Liabilities And Stockholders Equity,100282000,139991000,102245000,286934000,318936000,651800000
69,Minority Interest,- -,- -,72897000,62368000,84590000,- -
70,Total Liabilities & Equity,100282000,139991000,175142000,349302000,403526000,651800000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1728688/000172868818000027/0001728688-18-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1728688/000172868819000108/0001728688-19-000108-index.htm,https://www.sec.gov/Archives/edgar/data/1728688/000172868820000086/0001728688-20-000086-index.htm,https://www.sec.gov/Archives/edgar/data/1728688/000172868821000086/0001728688-21-000086-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-2093000,902000,-6898000,-3045000,-419000,-4457000
74,Depreciation and Amortization,9898000,10085000,11839000,16564000,18217000,24418000
75,Deferred Income Tax,-3000,56000,-682000,-586000,-3207000,49992000
76,Stock Based Compensation,- -,- -,1567000,6124000,10452000,- -
77,Change in Working Capital,-56000,193000,-5360000,-4787000,13744000,-37468000
78,Accounts Receivable,-1182000,-2432000,-2321000,2430000,-1028000,38500000
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,509000,-384000,1172000,-1768000,239000,7865000
81,Other Working Capital,-4710000,-4517000,-9877000,-14664000,-920000,-38388000
82,Other Non-Cash Items,2259000,-3506000,17614000,12327000,-15067000,-32485000
83,Cash Provided by Operating Activities,10005000,7730000,18080000,26597000,23720000,- -
84,CAPEX,-2877000,-2096000,-4486000,-3106000,-5954000,47273000
85,Acquisitions Net,-32277000,-44175000,-32362000,-137036000,-27689000,- -
86,Purchases of Investments,- -,-1632000,-1207000,-3586000,-1788000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-2015000,-1460000,- -,- -,-3043000,- -
89,Cash Used for Investing Activites,-35154000,-47903000,-38055000,-143728000,-35431000,- -
90,Debt Repayment,-36400000,-28900000,-116575000,-86867000,-330681000,- -
91,Common Stock Issued,9000000,12500000,89506000,111687000,82901000,2000
92,Common Stock Repurchased,- -,- -,-4635000,-90027000,-10883000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,56324000,53752000,50948000,184301000,287775000,- -
95,Cash Used/Provided by Financing Activities,28924000,37352000,19244000,119094000,29112000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,3775000,-2821000,-731000,1963000,17401000,- -
98,Cash at the End of Period,4189000,955000,1237000,3200000,20601000,- -
99,Cash at the Beginning of Period,414000,3776000,1968000,1237000,3200000,- -
100,Free Cash Flow,7128000,5634000,13594000,23491000,17766000,47273000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1728688/000172868818000027/0001728688-18-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1728688/000172868819000108/0001728688-19-000108-index.htm,https://www.sec.gov/Archives/edgar/data/1728688/000172868820000086/0001728688-20-000086-index.htm,https://www.sec.gov/Archives/edgar/data/1728688/000172868821000086/0001728688-21-000086-index.htm
102,false,,,,,,
