,https://roic.ai/company/CHRS,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-17.3870,-19.4965,-2.8012,-7.4318,-0.6698,-153.0656,-Infinity,0.2523,0.2779,-0.8792
25,EPS,-1.83,-2.80,-10.64,-6.01,-3.04,-4.48,-3.22,1.29,1.85,-3.63
26,EPS Diluted,-1.83,-2.80,-10.64,-6.01,-3.04,-4.48,-3.22,1.23,1.62,-3.63
27,Weighted Average Shares Outstanding,18083685,14689909,8186529,37122008,41912300,53133620,65034827,69679916,71411705,79013240
28,Weighted Average Shares Outstanding Diluted,18083685,14689909,8186529,37122008,41912300,53133620,65034827,73185943,83491898,79013240
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1512762/000156459015001896/0001564590-15-001896-index.htm,https://www.sec.gov/Archives/edgar/data/1512762/000156459016013726/0001564590-16-013726-index.htm,https://www.sec.gov/Archives/edgar/data/1512762/000156459017004176/0001564590-17-004176-index.htm,https://www.sec.gov/Archives/edgar/data/1512762/000156459018004947/0001564590-18-004947-index.htm,https://www.sec.gov/Archives/edgar/data/1512762/000156459019005470/0001564590-19-005470-index.htm,https://www.sec.gov/Archives/edgar/data/1512762/000156459020007416/0001564590-20-007416-index.htm,https://www.sec.gov/Archives/edgar/data/1512762/000155837021001829/0001558370-21-001829-index.htm,https://www.sec.gov/Archives/edgar/data/1512762/000155837022001764/0001558370-22-001764-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,14548000,39554000,150392000,158226000,124947000,126911000,72356000,177668000,541158000,417195000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,14548000,39554000,150392000,158226000,124947000,126911000,72356000,177668000,541158000,417195000
34,Net Receivables,158000,385000,4232000,1560000,1859000,- -,- -,141992000,157046000,123022000
35,Inventory,- -,- -,- -,- -,- -,- -,1659000,9807000,44233000,37642000
36,Other Current Assets,10093000,5738000,24512000,37600000,34680000,18566000,10418000,13542000,25042000,24464000
37,Total Current Assets,24799000,45677000,179136000,197386000,161486000,145477000,84433000,343009000,767479000,602323000
38,PP&E,1605000,1743000,4472000,10504000,10772000,12773000,6660000,16489000,20064000,7813000
39,Goodwill,- -,- -,943000,943000,943000,943000,943000,943000,943000,943000
40,Intangible Assets,- -,- -,2620000,2620000,2620000,2620000,2620000,2620000,2620000,2620000
41,Intangible Assets,- -,- -,3563000,3563000,3563000,3563000,3563000,3563000,3563000,3563000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,129000,27000,50000,931000,2664000,798000,4811000,45866000,50543000,65635000
45,Total Non-Current Assets,1734000,1770000,8085000,14998000,16999000,17134000,15034000,65918000,74170000,77011000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,26533000,47447000,187221000,212384000,178485000,162611000,99467000,408927000,841649000,679334000
48,Accounts Payable,3902000,3685000,10798000,29496000,20583000,15714000,15294000,25985000,15201000,16159000
49,Short-Term Debt,1738000,4203000,- -,- -,877000,233000,- -,- -,- -,3492000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,2025000,14283000,23992000,50951000,1962000,- -,- -,- -,- -,- -
52,Other Current Liabilities,3588000,31530000,16993000,25571000,32954000,12448000,17967000,88984000,130452000,145676000
53,Total Current Liabilities,11253000,53701000,51783000,106018000,56376000,28395000,33261000,114969000,145653000,165327000
54,Long-Term Debt,- -,- -,- -,- -,100256000,101608000,103092000,178386000,404023000,415531000
55,Deferred Revenue,6076000,28567000,39899000,45338000,669000,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,12000,7561000,28782000,67957000,1830000,2073000,1705000,10358000,10999000,750000
58,Total Non-Current Liabilities,6088000,36128000,68681000,113295000,102755000,103681000,104797000,188744000,415022000,416281000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,10256000,9948000,10743000
61,Total Liabilities,17341000,89829000,120464000,219313000,159131000,132076000,138058000,303713000,560675000,581608000
62,Preferred Stock,54695000,54695000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,3000,4000,5000,6000,7000,7000,7000,7000
64,Retained Earnings,-45957000,-99592000,-186725000,-409985000,-537322000,-775492000,-984831000,-894998000,-762754000,-1049854000
65,Other Comprehensive Income/Loss,-226000,-625000,-525000,-401000,-630000,-750000,-282000,-558000,-270000,-270000
66,Other Total Stockholders Equity,679000,3139000,254048000,404175000,558474000,808060000,946515000,1000763000,1043991000,- -
67,Total Stockholders Equity,9192000,-42382000,66801000,-6207000,20527000,31824000,-38591000,105214000,280974000,97726000
68,Total Liabilities And Stockholders Equity,26533000,47447000,187265000,213106000,179658000,163900000,99467000,408927000,841649000,679334000
69,Minority Interest,- -,- -,-44000,-722000,-1173000,-1289000,- -,- -,- -,- -
70,Total Liabilities & Equity,26533000,47447000,187221000,212384000,178485000,162611000,99467000,408927000,841649000,679334000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1512762/000156459015001896/0001564590-15-001896-index.htm,https://www.sec.gov/Archives/edgar/data/1512762/000156459016013726/0001564590-16-013726-index.htm,https://www.sec.gov/Archives/edgar/data/1512762/000156459017004176/0001564590-17-004176-index.htm,https://www.sec.gov/Archives/edgar/data/1512762/000156459018004947/0001564590-18-004947-index.htm,https://www.sec.gov/Archives/edgar/data/1512762/000156459019005470/0001564590-19-005470-index.htm,https://www.sec.gov/Archives/edgar/data/1512762/000156459020007416/0001564590-20-007416-index.htm,https://www.sec.gov/Archives/edgar/data/1512762/000155837021001829/0001558370-21-001829-index.htm,https://www.sec.gov/Archives/edgar/data/1512762/000155837022001764/0001558370-22-001764-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-33018000,-53635000,-87133000,-223260000,-127337000,-238170000,-209339000,89833000,132244000,-287100000
74,Depreciation and Amortization,221000,404000,674000,1869000,2996000,3398000,3235000,3259000,2888000,3454000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,443000,2045000,11062000,16721000,27421000,36065000,34797000,33591000,45660000,51364000
77,Change in Working Capital,11641000,-21570000,135377000,-35985000,13742000,11972000,-65910000,176868000,393786000,42360000
78,Accounts Receivable,-158000,-120000,-2139000,857000,-299000,1859000,- -,-141992000,-15218000,34062000
79,Inventory,- -,- -,- -,- -,- -,- -,-5484000,-48184000,-36188000,-6253000
80,Accounts Payable,3378000,-386000,5266000,19932000,-7636000,-4454000,-534000,9893000,-9820000,874000
81,Other Working Capital,13546000,-8024000,127353000,91368000,105110000,117082000,51172000,228040000,621826000,-230000
82,Other Non-Cash Items,2462000,88179000,-83907000,132665000,-169367000,-13551000,77951000,-275196000,-420433000,152490000
83,Cash Provided by Operating Activities,-18251000,15423000,-23927000,-107990000,-252545000,-200286000,-159266000,28355000,154145000,-37432000
84,CAPEX,-1783000,-373000,-2849000,-6164000,-6515000,-4573000,-789000,-12897000,-7231000,-1289000
85,Acquisitions Net,- -,- -,2334000,- -,- -,- -,-700000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-74344000,-42869000,-20235000,-273845000,-182485000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,74500000,43170000,20400000,274000000,181364000
88,Other Investing Activites,-40000,- -,-10000,-785000,- -,- -,- -,-11075000,-7325000,-136000000
89,Cash Used for Investing Activites,-1823000,-373000,-525000,-6949000,-6515000,-4417000,-1188000,-12732000,-14401000,-138410000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-389000,-672000
91,Common Stock Issued,- -,6000,85419000,122800000,124311000,206849000,101748000,8153000,- -,40903000
92,Common Stock Repurchased,- -,- -,-2000,- -,- -,-544000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,26938000,9950000,50539000,-111000,101868000,482000,3673000,81217000,224335000,11648000
95,Cash Used/Provided by Financing Activities,26938000,9956000,135956000,122689000,226179000,206787000,105421000,89370000,223946000,51879000
96,Effect of Forex Changes on Cash,- -,- -,-666000,84000,-398000,-120000,468000,-276000,- -,- -
97,Net Change In Cash,6864000,25006000,110838000,7834000,-33279000,1964000,-54565000,104717000,363690000,-123963000
98,Cash at the End of Period,14548000,39554000,150392000,158226000,124947000,126911000,73191000,177908000,541598000,417635000
99,Cash at the Beginning of Period,7684000,14548000,39554000,150392000,158226000,124947000,127756000,73191000,177908000,541598000
100,Free Cash Flow,-20034000,15050000,-26776000,-114154000,-259060000,-204859000,-160055000,15458000,146914000,-38721000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1512762/000156459015001896/0001564590-15-001896-index.htm,https://www.sec.gov/Archives/edgar/data/1512762/000156459016013726/0001564590-16-013726-index.htm,https://www.sec.gov/Archives/edgar/data/1512762/000156459017004176/0001564590-17-004176-index.htm,https://www.sec.gov/Archives/edgar/data/1512762/000156459018004947/0001564590-18-004947-index.htm,https://www.sec.gov/Archives/edgar/data/1512762/000156459019005470/0001564590-19-005470-index.htm,https://www.sec.gov/Archives/edgar/data/1512762/000156459020007416/0001564590-20-007416-index.htm,https://www.sec.gov/Archives/edgar/data/1512762/000155837021001829/0001558370-21-001829-index.htm,https://www.sec.gov/Archives/edgar/data/1512762/000155837022001764/0001558370-22-001764-index.htm
102,false,,,,,,,,,,
