,https://roic.ai/company/AAT,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,71743000,68179000,79962000,89204000,117043000,155136000,140660000,141749000,149456000,156406000,166417000,179354000,196750000,197311000,212224000
16,EBITDA ratio,0.6105,0.5637,0.6832,0.6918,0.5578,0.6588,0.5515,0.5452,0.5422,0.5300,0.5283,0.5421,0.5365,0.5726,0.5647
17,Operating Income,43109000,48245000,51485000,46535000,58776000,71906000,81101000,83669000,94151000,97941000,93646000,79535000,113685000,88581000,99869000
18,Operating Income ratio,0.3669,0.3989,0.4399,0.3609,0.2801,0.3054,0.3180,0.3218,0.3416,0.3319,0.2973,0.2404,0.3100,0.2571,0.2657
19,Total Other Income Expenses (Gains),-44910000,-17734000,-3129000,2378000,-44532000,-20221000,-57862000,-52064000,-39941000,-51738000,-53300000,-52006000,-52678000,-53002000,-62538000
20,Income Before Tax,-1801000,- -,- -,- -,14244000,51685000,23239000,31605000,54210000,46203000,40346000,27529000,61007000,35579000,37331000
21,Income Before Tax Ratio,-0.0153,- -,- -,- -,0.0679,0.2195,0.0911,0.1216,0.1967,0.1566,0.1281,0.0832,0.1663,0.1033,0.0993
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,1016000,645000,460000,295000,566000,214000,327000,819000,-9000,738000
23,Net Income,-2535000,-7017000,6444000,4379000,2917000,34939000,15220000,21756000,38509000,32585000,29077000,19686000,45718000,35588000,36593000
24,Net Income ratio,-0.0216,-0.0580,0.0551,0.0340,0.0139,0.1484,0.0597,0.0837,0.1397,0.1104,0.0923,0.0595,0.1247,0.1033,0.0974
25,EPS,-0.07,-0.20,0.19,0.12,0.08,0.90,0.38,0.52,0.87,0.72,0.62,0.42,0.84,0.46,0.61
26,EPS Diluted,-0.07,-0.20,0.12,0.12,0.08,0.90,0.38,0.51,0.86,0.72,0.62,0.42,0.84,0.46,0.48
27,Weighted Average Shares Outstanding,34530084,34530084,34530084,35034840,36748806,38736113,39539457,42041126,44439112,45332471,46715520,46950812,54110949,59806309,59806309
28,Weighted Average Shares Outstanding Diluted,53179879,53179879,53179879,35034840,54219807,57053909,57515810,59947474,62339163,63228159,64087250,64136559,70786132,76119763,76119763
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1500217/000119312512106547/0001193125-12-106547-index.html,https://www.sec.gov/Archives/edgar/data/1500217/000119312513071652/0001193125-13-071652-index.html,https://www.sec.gov/Archives/edgar/data/1500217/000150021714000020/a2013-10kq4.htm,https://www.sec.gov/Archives/edgar/data/1500217/000150021715000039/a2014-10kq4.htm,https://www.sec.gov/Archives/edgar/data/1509570/000150021716000148/0001500217-16-000148-index.html,https://www.sec.gov/Archives/edgar/data/1500217/000150021717000006/0001500217-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1500217/000150021718000024/0001500217-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/1500217/000150021719000010/0001500217-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1500217/000150021720000010/0001500217-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1500217/000150021721000008/0001500217-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1500217/000150021722000011/0001500217-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,18978000,24189000,41953000,112723000,42479000,48987000,59357000,39925000,44801000,82610000,47956000,99303000,137333000,139524000
32,Short-Term Investments,- -,- -,- -,- -,28235000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,18978000,24189000,41953000,140958000,42479000,48987000,59357000,39925000,44801000,82610000,47956000,99303000,137333000,139524000
34,Net Receivables,- -,41942000,41736000,43393000,6847000,6440000,7295000,6727000,7518000,9330000,9869000,9289000,12016000,6938000,90169000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,44520000,38647000,46862000,32510000,7421000,9124000,10994000,11623000,9950000,9344000,9316000,10148000,10418000,9136000
37,Total Current Assets,- -,105440000,104572000,132208000,180315000,56340000,65406000,77078000,59066000,64081000,101823000,66561000,121467000,154689000,238829000
38,PP&E,- -,793237000,774208000,943100000,1452681000,- -,- -,- -,- -,- -,- -,- -,4863000,29350000,26254000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,32588000,24187000,18142000,12129000,9776000,9793000,34300000,28893000,31679000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,32588000,24187000,18142000,12129000,9776000,9793000,34300000,28893000,31679000
42,Investments,- -,69967000,57810000,39816000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,2474000,2401000,2233000,76285000,1771247000,1734449000,1840497000,1901211000,1910723000,2148265000,2121896000,2629703000,2604377000,2721165000
45,Total Non-Current Assets,- -,865678000,834419000,985149000,1528966000,1771247000,1767037000,1864684000,1919353000,1922852000,2158041000,2131689000,2668866000,2662620000,2779098000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,971118000,938991000,1117357000,1709281000,1827587000,1832443000,1941762000,1978419000,1986933000,2259864000,2198250000,2790333000,2817309000,3017927000
48,Accounts Payable,- -,- -,- -,- -,30266000,29509000,37063000,50861000,31821000,32401000,38069000,46616000,62576000,59262000,64531000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,93000000,- -,30000000,20000000,- -,62337000,- -,99151000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32567000,30583000
52,Other Current Liabilities,- -,11400000,9555000,14292000,- -,4856000,-87837000,5521000,-24044000,-13886000,6570000,-53493000,8316000,6590000,7855000
53,Total Current Liabilities,- -,11400000,9555000,14292000,30266000,34365000,42226000,56382000,37777000,38515000,44639000,55460000,70892000,197570000,102969000
54,Long-Term Debt,- -,755189000,744451000,894826000,943479000,1044682000,1045174000,1062811000,1059743000,1061530000,1325020000,1290772000,1357659000,1337660000,1677120000
55,Deferred Revenue,- -,- -,- -,- -,- -,6446000,8651000,9821000,10522000,10748000,12857000,19027000,33872000,32567000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,320000,233000,219000,174000,265000,123000,93000,332000,570000,967000
57,Other Non-Current Liabilities,- -,15355000,14022000,53118000,55808000,56045000,49581000,45953000,41276000,37324000,33081000,30427000,33906000,-4464000,26748000
58,Total Non-Current Liabilities,- -,770544000,758473000,947944000,999287000,1107493000,1103639000,1118804000,1111715000,1109867000,1371081000,1340319000,1425769000,1366333000,1704835000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5380000,30060000,27917000
61,Total Liabilities,- -,781944000,768028000,962236000,1029553000,1141858000,1145865000,1175186000,1149492000,1148382000,1415720000,1395779000,1496661000,1563903000,1807804000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,393000,397000,405000,437000,454000,457000,473000,474000,601000,605000,605000
64,Retained Earnings,- -,- -,- -,- -,-28007000,-25625000,-44090000,-60291000,-64066000,-77296000,-97280000,-128778000,-144378000,-176560000,-217785000
65,Other Comprehensive Income/Loss,- -,-168865000,-194124000,-221997000,-234595000,- -,- -,92000,-258000,11798000,11451000,10620000,5680000,1753000,2872000
66,Other Total Stockholders Equity,- -,358039000,365087000,377118000,888240000,663589000,692196000,795065000,863432000,874597000,919066000,920661000,1452014000,1445644000,- -
67,Total Stockholders Equity,- -,148864000,133173000,121874000,626031000,638361000,648511000,735303000,799562000,809556000,833710000,802977000,1313917000,1271442000,1238964000
68,Total Liabilities And Stockholders Equity,- -,930808000,901201000,1084110000,1655584000,1780219000,1794376000,1910489000,1949054000,1957938000,2249430000,2198756000,2810578000,2835345000,3046768000
69,Minority Interest,- -,40310000,37790000,33247000,53697000,47368000,38067000,31273000,29365000,28995000,10434000,-506000,-20245000,-18036000,-28841000
70,Total Liabilities & Equity,- -,971118000,938991000,1117357000,1709281000,1827587000,1832443000,1941762000,1978419000,1986933000,2259864000,2198250000,2790333000,2817309000,3017927000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1500217/000119312512106547/0001193125-12-106547-index.html,https://www.sec.gov/Archives/edgar/data/1500217/000119312513071652/0001193125-13-071652-index.html,https://www.sec.gov/Archives/edgar/data/1500217/000150021714000020/a2013-10kq4.htm,https://www.sec.gov/Archives/edgar/data/1500217/000150021715000039/a2014-10kq4.htm,https://www.sec.gov/Archives/edgar/data/1509570/000150021716000148/0001500217-16-000148-index.html,https://www.sec.gov/Archives/edgar/data/1500217/000150021717000006/0001500217-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1500217/000150021718000024/0001500217-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/1500217/000150021719000010/0001500217-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1500217/000150021720000010/0001500217-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1500217/000150021721000008/0001500217-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1500217/000150021722000011/0001500217-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-2535000,-7017000,6444000,4379000,2917000,34939000,15220000,21756000,38509000,32585000,29077000,19686000,45718000,35588000,36593000
74,Depreciation and Amortization,31376000,31459000,30228000,38012000,57639000,61853000,66775000,66568000,63392000,71319000,83278000,107093000,96205000,108292000,116306000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,2615000,2852000,2845000,3666000,2877000,2414000,4735000,3039000,4477000,6307000,8493000
77,Change in Working Capital,-5787000,94040000,977000,22899000,32133000,-128074000,1205000,-2484000,593000,4277000,31618000,-46083000,39474000,-93456000,19620000
78,Accounts Receivable,-1552000,2755000,117000,214000,-3566000,63000,-45000,279000,-1011000,-2347000,-1116000,-336000,-1071000,-4940000,2273000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-6010000,- -,- -,- -,- -,-1799000,1167000,1381000,-1081000,1371000,7632000,-3297000,5956000,-2108000,15331000
81,Other Working Capital,- -,94040000,95017000,117916000,150049000,21975000,23180000,20696000,21289000,25566000,57184000,11101000,50575000,-42881000,- -
82,Other Non-Cash Items,8125000,-70890000,9852000,-16944000,-29940000,104375000,6689000,16105000,5353000,12068000,-2855000,52772000,-32058000,70254000,-12683000
83,Cash Provided by Operating Activities,31179000,47592000,47501000,48346000,65364000,75945000,92734000,105611000,110724000,122663000,145853000,136507000,153816000,126985000,168329000
84,CAPEX,-20111000,-19922000,-7008000,-37526000,-242514000,-34582000,-55675000,-144674000,-134174000,-59633000,-47496000,-54411000,-88327000,-63488000,-104588000
85,Acquisitions Net,-47727000,- -,- -,- -,15222000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-33103000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47760000
87,Sales/Maturities of Investments,- -,- -,- -,- -,4993000,27575000,- -,- -,- -,- -,- -,- -,- -,- -,47723000
88,Other Investing Activites,3286000,2111000,-7544000,3457000,12757000,-221870000,-58254000,-152840000,-127269000,-63514000,-330564000,-64347000,-599183000,-69077000,-312241000
89,Cash Used for Investing Activites,-44441000,2111000,-7544000,-29505000,-231689000,-194295000,-58254000,-152840000,-127269000,-63514000,-330564000,-64347000,-599183000,-69077000,-312278000
90,Debt Repayment,-53031000,-60010000,-35624000,-26325000,-321542000,-198626000,-95420000,-235276000,-270980000,-180974000,-360139000,-117124000,-143762000,-51003000,-255375000
91,Common Stock Issued,- -,- -,- -,- -,601951000,- -,25348000,104107000,72782000,9640000,29873000,- -,515354000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-236000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-46123000,-48452000,-49500000,-54311000,-59412000,-64077000,-67537000,-70228000,-80605000,-76510000,-88936000
94,Other Financing Activites,71881000,10053000,878000,25248000,2809000,295184000,91600000,243079000,254723000,181138000,619717000,80746000,206559000,99203000,488735000
95,Cash Used/Provided by Financing Activities,18850000,-49957000,-34746000,-1077000,237095000,48106000,-27972000,57599000,-2887000,-54273000,221914000,-106842000,497546000,-28310000,144424000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,5588000,-254000,5211000,17764000,70770000,-70244000,6508000,10370000,-19432000,4876000,37203000,-34682000,52179000,29598000,475000
98,Cash at the End of Period,19232000,18978000,24189000,41953000,112723000,42479000,48987000,59357000,39925000,44801000,91954000,57272000,109451000,139049000,139524000
99,Cash at the Beginning of Period,13644000,19232000,18978000,24189000,41953000,112723000,42479000,48987000,59357000,39925000,54751000,91954000,57272000,109451000,139049000
100,Free Cash Flow,11068000,27670000,40493000,10820000,-177150000,41363000,37059000,-39063000,-23450000,63030000,98357000,82096000,65489000,63497000,63741000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1500217/000119312512106547/0001193125-12-106547-index.html,https://www.sec.gov/Archives/edgar/data/1500217/000119312513071652/0001193125-13-071652-index.html,https://www.sec.gov/Archives/edgar/data/1500217/000150021714000020/a2013-10kq4.htm,https://www.sec.gov/Archives/edgar/data/1500217/000150021715000039/a2014-10kq4.htm,https://www.sec.gov/Archives/edgar/data/1509570/000150021716000148/0001500217-16-000148-index.html,https://www.sec.gov/Archives/edgar/data/1500217/000150021717000006/0001500217-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1500217/000150021718000024/0001500217-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/1500217/000150021719000010/0001500217-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1500217/000150021720000010/0001500217-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1500217/000150021721000008/0001500217-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1500217/000150021722000011/0001500217-22-000011-index.htm
102,false,,,,,,,,,,,,,,,
