,https://roic.ai/company/OSPN,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,-4061032,-509732,-800000,-2350763,-6470656,-2776878,4293811,5867000,12604000,19883000,33992000,32299000,18665000,15870000,23499000,24711000,19336000,44949000,57157000,22154000,18982000,15691000,24965000,8583000,-17217000
16,EBITDA ratio,-0.3301,-0.0339,-0.0412,-0.0838,-0.2421,-0.1468,0.1878,0.1963,0.2309,0.2614,0.2833,0.2429,0.1835,0.1470,0.1398,0.1604,0.1247,0.2230,0.2367,0.1152,0.0982,0.0739,0.0981,0.0398,-0.0803
17,Operating Income,-3935233,-1209979,-900000,-2600626,-13105507,-4144057,1123092,5552000,10953000,18942000,30893000,28137000,12643000,12390000,24765000,21027000,13712000,38088000,50453000,9599000,6192000,24000,15275000,-5258000,-26128000
18,Operating Income ratio,-0.3199,-0.0806,-0.0464,-0.0927,-0.4903,-0.2191,0.0491,0.1857,0.2007,0.2490,0.2575,0.2116,0.1243,0.1148,0.1473,0.1365,0.0884,0.1890,0.2090,0.0499,0.0320,0.0001,0.0600,-0.0244,-0.1218
19,Total Other Income Expenses (Gains),-1374606,-1751863,-1000000,-1165900,1058755,-254492,34567,-419000,575000,-301000,95000,781000,2679000,1022000,1043000,670000,402000,-168000,445000,1825000,2189000,3529000,220000,1838000,-15000
20,Income Before Tax,-5309839,-2961842,-1900000,-3766526,-12046752,-4398549,1157659,5133000,11528000,18641000,30988000,28918000,15322000,13412000,25808000,21697000,14114000,37920000,50898000,11424000,8381000,3553000,15495000,-3420000,-26143000
21,Income Before Tax Ratio,-0.4316,-0.1972,-0.0979,-0.1342,-0.4507,-0.2326,0.0506,0.1717,0.2112,0.2451,0.2583,0.2175,0.1507,0.1242,0.1535,0.1409,0.0910,0.1882,0.2108,0.0594,0.0434,0.0167,0.0609,-0.0159,-0.1219
22,Income Tax expense (Gain),606579,687002,300000,395246,-12782,140446,396936,1880000,3827000,6054000,10025000,4627000,3460000,2606000,1557000,5468000,3147000,5309000,8704000,863000,30780000,-293000,6706000,2035000,4441000
23,Net Income,-5916418,-3648844,-2200000,-4161772,-12033970,-4538995,2755694,3253000,7701000,12587000,20963000,24291000,11862000,10806000,18133000,15599000,11147000,33484000,42151000,10514000,-22399000,3846000,8789000,-5455000,-30584000
24,Net Income ratio,-0.4809,-0.2430,-0.1134,-0.1483,-0.4503,-0.2400,0.1205,0.1088,0.1411,0.1655,0.1747,0.1827,0.1166,0.1001,0.1079,0.1013,0.0719,0.1661,0.1746,0.0547,-0.1159,0.0181,0.0345,-0.0253,-0.1426
25,EPS,-0.31,-0.18,-0.09,-0.17,-0.47,-0.20,-0.06,0.09,0.22,0.35,0.57,0.65,0.34,0.29,0.48,0.41,0.28,0.85,1.07,0.26,-0.56,0.10,0.22,-0.14,-0.77
26,EPS Diluted,-0.31,-0.18,-0.09,-0.17,-0.47,-0.20,-0.06,0.09,0.21,0.33,0.55,0.64,0.33,0.28,0.47,0.40,0.28,0.85,1.06,0.26,-0.56,0.10,0.22,-0.14,-0.77
27,Weighted Average Shares Outstanding,19105684,20430692,25558847,27341439,28168685,28347573,29269992,32216000,35429000,36230000,36879000,37156000,37319000,37413000,37555000,38069000,38873000,39337000,39568000,39724000,39802000,39932000,40050000,40035000,39614000
28,Weighted Average Shares Outstanding Diluted,19105684,20430692,25558847,27341439,28168685,28347573,29269992,33128000,37244000,37765000,38258000,38204000,38084000,38241000,38568000,38677000,39158000,39499000,39736000,39787000,39802000,40046000,40136000,40035000,39614000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1044777/000119312508057448/0001193125-08-057448-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000119312509053450/0001193125-09-053450-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000119312510058254/0001193125-10-058254-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000119312511064023/0001193125-11-064023-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000119312512106999/0001193125-12-106999-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000119312513097926/0001193125-13-097926-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000119312514095399/0001193125-14-095399-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000119312515090635/0001193125-15-090635-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000119312516485621/0001193125-16-485621-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000119312517078799/0001193125-17-078799-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000155837018001736/0001558370-18-001736-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000155837019002169/0001558370-19-002169-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000155837020002752/0001558370-20-002752-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000155837021001842/0001558370-21-001842-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000155837022001601/0001558370-22-001601-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1897666,1523075,2600000,13832645,6342440,2615935,4817114,8138000,16962000,14768000,38833000,57714000,67601000,85533000,84497000,106469000,98607000,72441000,78522000,49345000,78661000,76708000,84282000,88394000,63380000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64940000,44961000,94856000,79733000,22789000,25511000,26859000,35108000
33,Cash and Short-Term Investments,1897666,1523075,2600000,13832645,6342440,2615935,4817114,8138000,16962000,14768000,38833000,57714000,67601000,85533000,84497000,106469000,98607000,137381000,123483000,144201000,158394000,99497000,109793000,115253000,98488000
34,Net Receivables,2458451,3376218,2900000,6486397,3791916,2881257,2522670,5965000,12172000,20584000,30640000,32403000,31486000,23984000,32301000,27989000,29071000,30592000,29936000,36879000,48962000,67593000,69463000,64739000,61306000
35,Inventory,1001294,1272327,800000,1111751,2012567,1579125,1074647,1346000,1570000,4275000,7076000,13376000,9015000,10710000,16033000,18675000,25653000,33875000,20618000,17420000,12040000,14428000,19819000,13093000,10345000
36,Other Current Assets,390998,1052648,1100000,1078175,1150412,527166,1243227,1673000,1475000,1693000,2368000,2409000,2783000,2427000,6927000,6302000,8314000,4378000,9328000,8659000,8541000,10438000,12544000,14093000,16950000
37,Total Current Assets,5748409,7224268,7400000,22508968,13297335,7603483,9657658,17122000,32179000,41320000,78917000,105902000,110885000,122654000,139758000,159435000,161645000,206226000,183365000,207159000,227937000,191956000,211619000,207178000,187089000
38,PP&E,313391,357596,1200000,3797529,1714500,1288325,882092,838000,982000,1422000,2140000,4176000,5189000,4771000,4405000,4052000,3145000,2825000,3099000,3281000,4776000,6250000,22034000,23191000,19954000
39,Goodwill,704124,575211,- -,- -,- -,- -,- -,- -,- -,12685000,14319000,13584000,13813000,12772000,12910000,13176000,23532000,22208000,80853000,54409000,56332000,91841000,94612000,97552000,96174000
40,Intangible Assets,- -,- -,2000000,1438537,2411888,2160471,1628329,1384000,7719000,5393000,2295000,1997000,1797000,1603000,8091000,6507000,16733000,12819000,37970000,46549000,37888000,45462000,36209000,27196000,21270000
41,Intangible Assets,704124,575211,2000000,1438537,2411888,2160471,1628329,1384000,7719000,18078000,16614000,15581000,15610000,14375000,21001000,19683000,40265000,35027000,118823000,100958000,94220000,137303000,130821000,124748000,117444000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,465000,215000,- -,- -,- -,- -,- -,- -,- -,- -,- -,5460000,5601000,7863000,7030000,3786000
44,Other Non-Current Assets,1609901,943821,1700000,1568285,27273,81161,1215101,906000,625000,1361000,2790000,2291000,1040000,1141000,3759000,3336000,6822000,7260000,6535000,15872000,5229000,11716000,12233000,13056000,13998000
45,Total Non-Current Assets,2627416,1876628,4900000,6804351,4153661,3529957,3725522,3128000,9326000,21326000,21759000,22048000,21839000,20287000,29165000,27071000,50232000,45112000,128457000,120111000,109685000,160870000,172951000,168025000,155182000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,8375825,9100896,12300000,29313319,17450996,11133440,13383180,20250000,41505000,62646000,100676000,127950000,132724000,142941000,168923000,186506000,211877000,251338000,311822000,327270000,337622000,352826000,384570000,375203000,342271000
48,Accounts Payable,1083965,1144506,2000000,2790698,3326652,1850424,1697950,3065000,4753000,7579000,7757000,10349000,4505000,8857000,7328000,7765000,6378000,10680000,8803000,8915000,8144000,7202000,10835000,5684000,8204000
49,Short-Term Debt,- -,6528867,600000,362250,158990,3589645,- -,- -,3173000,2154000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2618000,1103000
51,Deferred Revenue,- -,- -,- -,- -,869893,720051,386446,620000,1765000,2081000,5608000,5881000,7188000,6464000,8649000,8146000,15703000,17830000,22450000,36364000,33295000,33633000,30338000,43417000,54617000
52,Other Current Liabilities,2719124,2637184,2300000,5048606,2269468,2130236,2355209,3382000,6163000,7448000,13114000,13742000,11560000,10444000,15191000,14037000,15025000,16687000,24437000,22681000,24714000,31522000,32940000,26203000,26255000
53,Total Current Liabilities,3803089,10310557,4900000,8201554,6625003,8290356,4439605,7067000,15854000,19262000,26479000,29972000,23253000,25765000,31168000,29948000,37106000,45197000,55690000,67960000,66153000,72357000,74113000,75304000,89076000
54,Long-Term Debt,8442946,8435903,8400000,3763858,3667882,32006,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12399000,10180000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,277000,47000,- -,- -,- -,- -,- -,- -,- -,10672000,15259000,11730000,9125000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,520000,611000,454000,328000,180000,324000,141000,321000,213000,8008000,853000,7753000,2661000,4623000,1912000,1286000
57,Other Non-Current Liabilities,2994668,- -,- -,- -,- -,- -,- -,152000,256000,658000,2047000,2240000,490000,456000,1632000,97000,172000,55000,76000,1878000,25786000,14695000,26554000,16518000,12824000
58,Total Non-Current Liabilities,11437614,8435903,8400000,3763858,3667882,32006,- -,152000,256000,1178000,2658000,2694000,1095000,683000,1956000,238000,493000,268000,8084000,2731000,33539000,28028000,46436000,42559000,33415000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11299000,12399000,10180000
61,Total Liabilities,15240703,18746460,13300000,11965412,10292885,8322362,4439605,7219000,16110000,20440000,29137000,32666000,24348000,26448000,33124000,30186000,37599000,45465000,63774000,70691000,99692000,100385000,120549000,117863000,122491000
62,Preferred Stock,- -,- -,- -,- -,- -,9108066,5785829,1504000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,20133,20806,- -,27867,28263,28389,30425,34000,36000,37000,37000,37000,37000,38000,38000,39000,40000,40000,40000,40000,40000,40000,40000,40000,40000
64,Retained Earnings,-15901575,-19550419,-21900000,-26035112,-38069082,-42608077,-43693494,-40672000,-32985000,-20398000,565000,24856000,36718000,47524000,65658000,81256000,92401000,125885000,168036000,178551000,156151000,172378000,181167000,173731000,143173000
65,Other Comprehensive Income/Loss,-497381,-691806,-1100000,-1596102,-2088939,-2763411,-3279527,-2853000,-1000000,1000000,6000000,4000000,4000000,1000000,-2000000,-9701000,2000000,-3000000,-6000000,-13000000,-9000000,172000000,181000000,-10220000,-11182000
66,Other Total Stockholders Equity,9513945,10575855,22000000,44951254,47276846,39046111,50100342,55018000,59344000,61567000,64937000,66391000,67621000,67931000,72103000,84726000,79837000,82948000,85972000,90988000,90739000,-91977000,-98186000,93789000,87749000
67,Total Stockholders Equity,-6864878,-9645564,-1000000,17347907,7147088,2811078,8943575,13031000,25395000,42206000,71539000,95284000,108376000,116493000,135799000,156320000,174278000,205873000,248048000,256579000,237930000,252441000,264021000,257340000,219780000
68,Total Liabilities And Stockholders Equity,8375825,9100896,12300000,29313319,17439973,11133440,13383180,20250000,41505000,62646000,100676000,127950000,132724000,142941000,168923000,186506000,211877000,251338000,311822000,327270000,337622000,352826000,384570000,375203000,342271000
69,Minority Interest,- -,- -,- -,- -,11023,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,8375825,9100896,12300000,29313319,17450996,11133440,13383180,20250000,41505000,62646000,100676000,127950000,132724000,142941000,168923000,186506000,211877000,251338000,311822000,327270000,337622000,352826000,384570000,375203000,342271000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1044777/000119312508057448/0001193125-08-057448-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000119312509053450/0001193125-09-053450-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000119312510058254/0001193125-10-058254-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000119312511064023/0001193125-11-064023-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000119312512106999/0001193125-12-106999-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000119312513097926/0001193125-13-097926-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000119312514095399/0001193125-14-095399-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000119312515090635/0001193125-15-090635-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000119312516485621/0001193125-16-485621-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000119312517078799/0001193125-17-078799-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000155837018001736/0001558370-18-001736-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000155837019002169/0001558370-19-002169-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000155837020002752/0001558370-20-002752-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000155837021001842/0001558370-21-001842-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000155837022001601/0001558370-22-001601-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-5916418,-3648844,-2200000,-4161772,-12033970,-4538995,2755694,3253000,7701000,12587000,20963000,24291000,11862000,10806000,18133000,15599000,11147000,33484000,42151000,10514000,-22399000,3846000,8789000,-5455000,-30584000
74,Depreciation and Amortization,1248807,994483,1100000,1415763,5576096,1351804,1061018,734000,1076000,1242000,3004000,3381000,3343000,2458000,3809000,3644000,5042000,6156000,6302000,10777000,10601000,12138000,9470000,12003000,8926000
75,Deferred Income Tax,200000,- -,- -,- -,- -,83000,-69881,46000,-122000,-632000,167000,-612000,-38000,118000,-4332000,1065000,-6118000,492000,-691000,-4936000,13053000,-7431000,-1624000,-1487000,2823000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6117000,3726000,2587000,2399000,3835000,2766000,3466000,3973000,3368000,4740000,4354000
77,Change in Working Capital,2021249,-5031609,5586289,11807414,-7635082,-7359205,5904926,4836947,6270000,5733000,30380000,23492000,11702000,9257000,11701000,20897000,-4948000,36490000,-33354000,11524000,22585000,-42185000,17907000,-5632000,11723000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4951000,6700000,-10315000,4530000,-39000,-4660000,2860000,-8106000,-8428000,-11960000,-3414000,6792000,2047000
79,Inventory,1181449,-271033,500000,-306369,-943269,666205,669951,-168000,-438000,-2175000,-2078000,-6358000,4363000,-1695000,-5323000,-2641000,-6492000,-8222000,13257000,3198000,5380000,-2388000,-5391000,6725000,2209000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5864000,4465000,-1569000,407000,-1460000,4531000,-6645000,163000,-1013000,-1475000,3628000,-5237000,2716000
81,Other Working Capital,1945320,-3086289,2500000,14307414,6672332,-686873,5218053,10055000,16325000,22058000,52438000,75930000,87632000,96889000,108590000,129487000,124539000,161029000,127675000,139199000,161784000,119599000,137506000,131874000,400000
82,Other Non-Cash Items,418196,3850173,-6086289,-11211432,7781325,7553012,-7242922,-5992947,-7383000,-11111000,-30442000,-27046000,-14041000,-1556000,-18820000,-22870000,2315000,-37403000,50549000,-2230000,-9679000,30885000,-19666000,10753000,13000
83,Cash Provided by Operating Activities,-2028166,-3835797,-1600000,-2150027,-6311631,-2910384,2408835,2877000,7542000,7819000,24072000,23506000,12828000,21083000,16608000,22061000,10025000,41618000,68792000,28415000,17627000,1226000,18244000,14922000,-2745000
84,CAPEX,-127646,-248708,-1500000,-3473564,-948412,-15961,-124204,-252000,-507000,-2907000,-1167000,-2812000,-2169000,-1417000,-8419000,-1663000,-1238000,-1565000,-1451000,-2187000,-3195000,-3685000,-7453000,-3101000,-2204000
85,Acquisitions Net,- -,- -,- -,- -,- -,-23362,-7341,- -,-3990000,-7362000,- -,- -,- -,- -,-1301000,- -,-19495000,- -,-74486000,- -,- -,-53065000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-94856000,-109747000,-184690000,-178658000,-22820000,-33839000,-34060000,-59925000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,343000,- -,- -,- -,- -,- -,- -,- -,- -,29916000,129725000,134775000,195000000,80000000,31399000,32630000,51149000
88,Other Investing Activites,- -,- -,- -,1589,141156,-50952,259232,158000,-302000,386000,-164000,-256000,-559000,-355000,-13112000,-209000,-27000,-1407000,-86000,-4538000,-456000,-236000,- -,-133000,-35000
89,Cash Used for Investing Activites,-127646,-248708,-1500000,-3471975,-807256,-90275,127687,-94000,-4456000,-9883000,-1331000,-3068000,-2728000,-1772000,-15545000,-1546000,-20466000,-67800000,-55956000,-56496000,12798000,194000,-9893000,-4664000,-10980000
90,Debt Repayment,-67564,-2900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5925000,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,42470,116347,10800000,17281930,33357,- -,63417,236000,3455000,772000,2251000,354000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-304156,- -,-800000,- -,- -,- -,-4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5030000,-7471000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-182000,-14000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2634241,6236424,-6000000,- -,-299236,-236954,3669870,- -,3173000,-1019000,-2154000,- -,119000,3000,153000,441000,2434000,181000,-519000,-1051000,-640000,-970000,-569000,-2030000,-2923000
95,Cash Used/Provided by Financing Activities,2304991,3452771,4000000,17281930,-265879,-236954,-266713,54000,6614000,-247000,97000,354000,119000,3000,153000,441000,2434000,181000,-6444000,-1051000,-640000,-970000,-569000,-7060000,-10394000
96,Effect of Forex Changes on Cash,-65106,257143,- -,-403777,-105439,-488892,-68630,484000,-876000,117000,1227000,-1911000,-332000,-1382000,-2252000,1015000,145000,-165000,-311000,-45000,-469000,-1556000,-208000,914000,-895000
97,Net Change In Cash,84073,-374591,900000,11256151,-7490205,-3726505,2201179,3321000,8824000,-2194000,24065000,18881000,9887000,17932000,-1036000,21972000,-7862000,-26166000,6081000,-29177000,29316000,-1106000,7574000,4112000,-25014000
98,Cash at the End of Period,1897666,1523075,2600000,13832645,6342440,2615935,4817114,8138000,16962000,14768000,38833000,57714000,67601000,85533000,84497000,106469000,98607000,72441000,78522000,49345000,78661000,77555000,85129000,89241000,64227000
99,Cash at the Beginning of Period,1813593,1897666,1700000,2576494,13832645,6342440,2615935,4817000,8138000,16962000,14768000,38833000,57714000,67601000,85533000,84497000,106469000,98607000,72441000,78522000,49345000,78661000,77555000,85129000,89241000
100,Free Cash Flow,-2155812,-4084505,-3100000,-5623591,-7260043,-2926345,2284631,2625000,7035000,4912000,22905000,20694000,10659000,19666000,8189000,20398000,8787000,40053000,67341000,26228000,14432000,-2459000,10791000,11821000,-4949000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1044777/000119312508057448/0001193125-08-057448-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000119312509053450/0001193125-09-053450-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000119312510058254/0001193125-10-058254-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000119312511064023/0001193125-11-064023-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000119312512106999/0001193125-12-106999-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000119312513097926/0001193125-13-097926-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000119312514095399/0001193125-14-095399-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000119312515090635/0001193125-15-090635-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000119312516485621/0001193125-16-485621-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000119312517078799/0001193125-17-078799-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000155837018001736/0001558370-18-001736-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000155837019002169/0001558370-19-002169-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000155837020002752/0001558370-20-002752-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000155837021001842/0001558370-21-001842-index.htm,https://www.sec.gov/Archives/edgar/data/1044777/000155837022001601/0001558370-22-001601-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
