,https://roic.ai/company/LABP,2018,2019,2020,2021
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-6044000,-13467000,-30144000,-38422000
74,Depreciation and Amortization,80000,103000,137000,196000
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,833000,4118000
77,Change in Working Capital,-1301000,46388000,-28230000,5891000
78,Accounts Receivable,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,1002000,415000,6506000,4263000
81,Other Working Capital,696000,47084000,18854000,- -
82,Other Non-Cash Items,369000,-42898000,34442000,1156000
83,Cash Provided by Operating Activities,-6896000,-9874000,-22962000,-27061000
84,CAPEX,-43000,-158000,-181000,-440000
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,-40319000,-21718000,-174853000
87,Sales/Maturities of Investments,- -,152000,36030000,116587000
88,Other Investing Activites,- -,- -,- -,- -
89,Cash Used for Investing Activites,-43000,-40325000,14131000,-58706000
90,Debt Repayment,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,93000000
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,5000000,59648000,1518000,-1393000
95,Cash Used/Provided by Financing Activities,5000000,59648000,1518000,91607000
96,Effect of Forex Changes on Cash,- -,- -,-79000,49000
97,Net Change In Cash,-1939000,9449000,-7392000,5889000
98,Cash at the End of Period,359000,9808000,2416000,8305000
99,Cash at the Beginning of Period,2298000,359000,9808000,2416000
100,Free Cash Flow,-6939000,-10032000,-23143000,-27501000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1785345/000156459021017120/0001564590-21-017120-index.htm,https://www.sec.gov/Archives/edgar/data/1785345/000095017022004559/0000950170-22-004559-index.htm
102,false,,,,
