,https://roic.ai/company/WLK,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,124262000,133756000,-117339000,73815000,111683000,273834000,428025000,369661000,263231000,87861000,236909000,511567000,583821000,772759000,1118062000,1323263000,1224819000,994518000,1806000000,2063000000,1366000000,1246000000,3638000000
16,EBITDA ratio,0.1175,0.0961,-0.1079,0.0688,0.0785,0.1379,0.1753,0.1488,0.0825,0.0238,0.1019,0.1613,0.1613,0.2164,0.2974,0.2997,0.2744,0.1959,0.2246,0.2389,0.1683,0.1660,0.3089
17,Operating Income,114840000,126109000,-90801000,14072000,65815000,243166000,367033000,313251000,174721000,-29540000,107257000,378364000,446796000,615351000,953464000,1123991000,959827000,581454000,1233000000,1408000000,656000000,429000000,2800000000
18,Operating Income ratio,0.1086,0.0906,-0.0835,0.0131,0.0462,0.1225,0.1504,0.1261,0.0547,-0.0080,0.0461,0.1193,0.1234,0.1723,0.2536,0.2546,0.2150,0.1146,0.1533,0.1631,0.0808,0.0572,0.2377
19,Total Other Income Expenses (Gains),11421000,-35415000,-26538000,-28275000,-42312000,-52504000,-21705000,-30702000,-15764000,-28482000,-28504000,-35404000,-45364000,-30182000,-11292000,-40073000,3614000,-23075000,-152000000,-74000000,-86000000,-98000000,-123000000
20,Income Before Tax,- -,90694000,-117339000,-14203000,23503000,190662000,345328000,282549000,158957000,-58022000,78753000,342960000,401432000,585169000,942172000,1083918000,963441000,558379000,1081000000,1334000000,570000000,331000000,2677000000
21,Income Before Tax Ratio,- -,0.0651,-0.1079,-0.0132,0.0165,0.0960,0.1415,0.1137,0.0498,-0.0157,0.0339,0.1081,0.1109,0.1639,0.2506,0.2455,0.2159,0.1100,0.1344,0.1545,0.0702,0.0441,0.2273
22,Income Tax expense (Gain),- -,- -,-45353000,-7141000,8747000,69940000,118511000,87990000,44228000,-28479000,25758000,121567000,142466000,199614000,331747000,398902000,298396000,138520000,-258000000,300000000,108000000,-42000000,607000000
23,Net Income,37800000,54999000,-71986000,-7062000,14756000,120722000,226817000,194559000,114729000,-29543000,52995000,221393000,258966000,385555000,610425000,678523000,646010000,398859000,1304000000,996000000,421000000,373000000,2015000000
24,Net Income ratio,0.0357,0.0395,-0.0662,-0.0066,0.0104,0.0608,0.0929,0.0783,0.0359,-0.0080,0.0228,0.0698,0.0715,0.1080,0.1624,0.1537,0.1447,0.0786,0.1622,0.1153,0.0519,0.0497,0.1711
25,EPS,0.38,0.56,-0.72,-0.07,0.15,1.09,1.75,1.50,0.88,-0.23,0.40,1.68,1.95,2.89,4.57,5.09,4.88,3.07,10.05,7.66,3.26,2.57,15.69
26,EPS Diluted,0.38,0.56,-0.72,-0.07,0.15,1.09,1.74,1.49,0.88,-0.23,0.40,1.67,1.94,2.88,4.54,5.07,4.86,3.06,10.00,7.62,3.25,2.56,15.63
27,Weighted Average Shares Outstanding,98998790,98998790,98998790,98998790,98998790,110461572,130016506,130267256,130469656,130546970,131828808,132278412,133144473,133410035,133718510,133305108,132379098,129921498,129751244,130026110,129141104,128404669,128404669
28,Weighted Average Shares Outstanding Diluted,98998790,98998790,98998790,98998790,98998790,110710884,130502218,130509308,130648652,130633962,132025386,132685990,133832558,134106087,134306931,133830966,132923868,130346078,130400000,130708661,129538462,128906250,128906250
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1262823/000119312505052548/0001193125-05-052548-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000119312506037475/0001193125-06-037475-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000119312507039877/0001193125-07-039877-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000119312508034397/0001193125-08-034397-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000119312509032921/0001193125-09-032921-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000119312510038369/0001193125-10-038369-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000119312511045471/0001193125-11-045471-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000119312512075023/0001193125-12-075023-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000126282313000007/0001262823-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000126282314000007/0001262823-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000126282315000007/0001262823-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000126282316000030/0001262823-16-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000126282317000008/0001262823-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000126282318000008/0001262823-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000126282319000012/0001262823-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000126282320000007/0001262823-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000126282321000023/0001262823-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000126282322000014/0001262823-22-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,11123000,37381000,43396000,237895000,52646000,24914000,90239000,245592000,630299000,825901000,790078000,461301000,880601000,662525000,459453000,1531000000,753000000,728000000,1313000000,1908000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,124873000,239388000,- -,520144000,- -,- -,- -,- -,1059000000,- -
33,Cash and Short-Term Investments,- -,- -,- -,11123000,37381000,43396000,237895000,52646000,24914000,90239000,245592000,630299000,825901000,914951000,700689000,880601000,1182669000,459453000,1531000000,753000000,728000000,2372000000,1908000000
34,Net Receivables,- -,- -,- -,123235000,178633000,234247000,302779000,308903000,507463000,347323000,339796000,362863000,407372000,400159000,428457000,560666000,508532000,938743000,1001000000,1037000000,1036000000,1214000000,1868000000
35,Inventory,- -,- -,- -,170866000,180760000,319816000,339870000,456276000,527871000,327967000,369417000,450028000,490777000,399298000,471879000,525776000,434060000,801100000,900000000,1014000000,936000000,918000000,1407000000
36,Other Current Assets,- -,- -,- -,31349000,16073000,74479000,22319000,31962000,31937000,33460000,33573000,32770000,32106000,37005000,48057000,44244000,49928000,209020000,31000000,38000000,42000000,-1027000000,80000000
37,Total Current Assets,- -,- -,- -,336573000,412847000,671938000,902863000,849787000,1092185000,798989000,988378000,1475960000,1756156000,1751413000,1649082000,2011287000,2175189000,2408316000,3463000000,2842000000,2742000000,3477000000,5263000000
38,PP&E,- -,- -,- -,910874000,879688000,855052000,863232000,1076903000,1126212000,1197452000,1194311000,1170334000,1232066000,1510048000,2088014000,2757557000,3004067000,6420062000,6412000000,6595000000,7355000000,6920000000,8168000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,36098000,29990000,29990000,29990000,29990000,29990000,29990000,62016000,62016000,62016000,946553000,1012000000,1002000000,1074000000,1083000000,2024000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,38974000,34685000,31156000,26547000,22113000,19073000,18302000,97030000,156415000,151388000,787454000,777000000,659000000,710000000,168000000,1580000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,75072000,64675000,61146000,56537000,52103000,49063000,48292000,159046000,218431000,213404000,1734007000,1789000000,1661000000,1784000000,1251000000,3604000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,30107000,33925000,46314000,76854000,43736000,66875000,133866000,108623000,130460000,- -,- -,1112000000,1059000000,1007000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12526000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,61798000,77578000,65463000,61094000,80336000,286263000,199295000,173205000,209433000,152682000,58707000,97892000,92849000,73969000,184882000,412000000,504000000,268000000,-1059000000,417000000
45,Total Non-Current Assets,- -,- -,- -,972672000,957266000,920515000,924326000,1232311000,1477150000,1488000000,1457978000,1478184000,1510665000,1660783000,2411827000,3202703000,3400063000,8481937000,8613000000,8760000000,10519000000,8171000000,13196000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,1309245000,1370113000,1592453000,1827189000,2082098000,2569335000,2286989000,2446356000,2954144000,3266821000,3412196000,4060909000,5213990000,5575252000,10890253000,12076000000,11602000000,13261000000,11648000000,18459000000
48,Accounts Payable,- -,- -,- -,68207000,93404000,146890000,199777000,238914000,314951000,112833000,179130000,204774000,227034000,217050000,249613000,261062000,235329000,494743000,600000000,507000000,473000000,536000000,864000000
49,Short-Term Debt,- -,- -,- -,41673000,28200000,1200000,1200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,149341000,710000000,- -,- -,- -,269000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1368000000,- -
52,Other Current Liabilities,- -,- -,- -,67700000,93528000,102125000,104872000,82998000,126311000,99455000,107436000,118804000,137561000,181460000,155245000,276118000,287313000,538999000,657000000,676000000,768000000,-547000000,1211000000
53,Total Current Liabilities,- -,- -,- -,177580000,215132000,250215000,305849000,321912000,441262000,212288000,286566000,323578000,364595000,398510000,404858000,537180000,522642000,1183083000,1967000000,1183000000,1241000000,1357000000,2344000000
54,Long-Term Debt,- -,- -,- -,491677000,509089000,296889000,265689000,260156000,511414000,510319000,515400000,764482000,764563000,763761000,763879000,763997000,764115000,3678654000,3127000000,2668000000,3445000000,3566000000,5372000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,139293000,136524000,235161000,221088000,281828000,287965000,280486000,309618000,315518000,330791000,326290000,437976000,536066000,575603000,1650575000,1111000000,1159000000,1255000000,- -,1681000000
57,Other Non-Current Liabilities,- -,- -,- -,50076000,41665000,40791000,40457000,44661000,42024000,44836000,49790000,45496000,50560000,51379000,35593000,174859000,150961000,485896000,502000000,516000000,917000000,- -,534000000
58,Total Non-Current Liabilities,- -,- -,- -,681046000,687278000,572841000,527234000,586645000,841403000,835641000,874808000,1125496000,1145914000,1141430000,1237448000,1474922000,1490679000,5815125000,4740000000,4343000000,5617000000,3566000000,7587000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9466000000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,355000000,376000000,461000000
61,Total Liabilities,- -,- -,- -,858626000,902410000,823056000,833083000,908557000,1282665000,1047929000,1161374000,1449074000,1510509000,1539940000,1642306000,2012102000,2013321000,6998208000,6707000000,5526000000,6858000000,7257000000,9931000000
62,Preferred Stock,- -,- -,- -,12000000,12000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,495000,495000,649000,651000,653000,655000,657000,660000,663000,666000,672000,673000,1347000,1347000,1347000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,- -,- -,- -,214590000,229346000,348689000,569164000,754921000,857872000,814873000,853358000,1058737000,1299438000,1399472000,1954661000,2555528000,3109987000,3412286000,4613000000,5477000000,5757000000,5938000000,7808000000
65,Other Comprehensive Income/Loss,- -,- -,- -,-3577000,-1249000,-65000,-246000,-9926000,-3054000,-12051000,-11505000,-7033000,-9070000,-10840000,-2616000,-79433000,-129292000,-121306000,7000000,-62000000,-74000000,-64000000,-36000000
66,Other Total Stockholders Equity,- -,- -,- -,205011000,205011000,420124000,424537000,427893000,431197000,435581000,442469000,452703000,465278000,482952000,465885000,434069000,283836000,231302000,253000000,174000000,176000000,168000000,182000000
67,Total Stockholders Equity,- -,- -,- -,428519000,445603000,769397000,994106000,1173541000,1286670000,1239060000,1284982000,1505070000,1756312000,1872256000,2418603000,2911511000,3265878000,3523629000,4874000000,5590000000,5860000000,6043000000,7955000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,1287145000,1348013000,1592453000,1827189000,2082098000,2569335000,2286989000,2446356000,2954144000,3266821000,3412196000,4060909000,4923613000,5279199000,10521837000,11581000000,11116000000,12718000000,13300000000,17886000000
69,Minority Interest,- -,- -,- -,22100000,22100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,290377000,296053000,368416000,495000000,486000000,543000000,-1652000000,573000000
70,Total Liabilities & Equity,- -,- -,- -,1309245000,1370113000,1592453000,1827189000,2082098000,2569335000,2286989000,2446356000,2954144000,3266821000,3412196000,4060909000,5213990000,5575252000,10890253000,12076000000,11602000000,13261000000,11648000000,18459000000
71,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1262823/000119312505052548/0001193125-05-052548-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000119312506037475/0001193125-06-037475-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000119312507039877/0001193125-07-039877-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000119312508034397/0001193125-08-034397-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000119312509032921/0001193125-09-032921-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000119312510038369/0001193125-10-038369-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000119312511045471/0001193125-11-045471-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000119312512075023/0001193125-12-075023-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000126282313000007/0001262823-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000126282314000007/0001262823-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000126282315000007/0001262823-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000126282316000030/0001262823-16-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000126282317000008/0001262823-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000126282318000008/0001262823-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000126282319000012/0001262823-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000126282320000007/0001262823-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000126282321000023/0001262823-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000126282322000014/0001262823-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,37800000,54999000,- -,-7062000,14756000,120722000,226817000,194559000,114729000,-29543000,52995000,221393000,258966000,385555000,610425000,678523000,646010000,398859000,1304000000,996000000,421000000,373000000,2015000000
74,Depreciation and Amortization,86462000,78757000,- -,88018000,88180000,83172000,82697000,87112000,104274000,111926000,123199000,128732000,131397000,144541000,157808000,208486000,245757000,377666000,601000000,641000000,713000000,773000000,840000000
75,Deferred Income Tax,- -,- -,- -,-4716000,7112000,65188000,45745000,13852000,5286000,-13879000,31207000,14153000,14114000,-5793000,88283000,52263000,38138000,98053000,-534000000,62000000,54000000,146000000,23000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,4178000,5638000,6164000,6391000,6127000,6966000,9261000,10196000,14193000,23000000,22000000,25000000,29000000,31000000
77,Change in Working Capital,- -,- -,- -,158993000,38722000,224008000,175291000,-69139000,123048000,-64222000,115111000,450570000,239179000,-38658000,-108679000,229883000,178440000,-427314000,270767000,163000000,-158000000,619000000,-614000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,148852000,5667000,-33478000,-45766000,6450000,-14830000,33161000,62722000,50291000,-40000000,-58000000,59000000,-161000000,-528000000
79,Inventory,- -,- -,- -,-42639000,-9894000,-119056000,-20054000,-47275000,-71595000,199904000,-41450000,-80611000,-40749000,91479000,-46633000,51087000,99430000,-61985000,-32000000,-123000000,112000000,29000000,-309000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-202865000,67044000,25644000,20311000,-12725000,13820000,-97237000,-21604000,11950000,86000000,-100000000,-89000000,67000000,242000000
81,Other Working Capital,- -,- -,- -,158993000,197715000,421723000,597014000,527875000,650923000,586701000,701812000,1152382000,1391561000,1352903000,1244224000,1474107000,1652547000,1225233000,1496000000,1659000000,1501000000,2120000000,-231000000
82,Other Non-Cash Items,8622000,39621000,- -,-256559000,-70683000,-342309000,-212103000,10800000,-285171000,177629000,-92628000,-537728000,-287751000,132282000,-2074000,-146040000,-39705000,372395000,-126767000,-475000000,246000000,-643000000,99000000
83,Cash Provided by Operating Activities,132884000,173377000,- -,-21326000,78087000,150781000,318447000,237184000,62166000,186089000,235522000,283284000,362296000,624054000,752729000,1032376000,1078836000,833852000,1538000000,1409000000,1301000000,1297000000,2394000000
84,CAPEX,- -,- -,- -,-43587000,-44931000,-52710000,-85760000,-136258000,-135725000,-172561000,-99769000,-81269000,-176843000,-391190000,-679358000,-431104000,-491426000,-628483000,-577000000,-702000000,-787000000,-525000000,-658000000
85,Acquisitions Net,- -,- -,- -,- -,- -,-33294000,- -,-235674000,8043000,- -,-6297000,- -,- -,- -,-201647000,-611087000,43647000,-2437829000,-13000000,-68000000,-1176000000,26000000,-2578000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-1867000,-221084000,-308000,- -,- -,-10177000,-30265000,-127834000,-374070000,-117332000,-605098000,-155422000,-66000000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,216510000,- -,- -,- -,9494000,251000,48086000,252519000,340214000,46652000,657727000,- -,- -,- -,- -,- -
88,Other Investing Activites,-25251000,-87693000,- -,4901000,3350000,6041000,37000,-27830000,3185000,609000,2880000,1677000,4072000,3967000,318000,46104000,49000,1207000,4000000,16000000,9000000,-10000000,23000000
89,Cash Used for Investing Activites,-25251000,-87693000,- -,-38686000,-41581000,-79963000,-87590000,-404336000,-124805000,-171952000,-103186000,-80275000,-202785000,-466971000,-1002238000,-773205000,-1006176000,-2562800000,-652000000,-754000000,-1954000000,-509000000,-3213000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-852812000,- -,- -,- -,-250000000,- -,- -,-73615000,-138046000,-957000000,-1179000000,-18000000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,192652000,1184000,1849000,328000,- -,- -,- -,- -,- -,- -,286088000,- -,- -,111000000,- -,63000000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-11485000,- -,- -,- -,- -,- -,- -,-2518000,-10784000,-32918000,-52630000,-162459000,-67406000,- -,-106000000,-30000000,-54000000,-30000000
93,Dividends Paid,- -,- -,- -,- -,- -,-1379000,-6342000,-8802000,-11778000,-13456000,-14510000,-16014000,-18265000,-285521000,-55236000,-77656000,-91551000,-96560000,-103000000,-120000000,-132000000,-137000000,-145000000
94,Other Financing Activites,-129517000,-83286000,- -,-7960000,-10248000,-244591000,-31200000,-11144000,46357000,917456000,37527000,197712000,56874000,353399000,8886000,8838000,40813000,1835229000,1109000000,-22000000,747000000,-25000000,1612000000
95,Cash Used/Provided by Financing Activities,-129517000,-83286000,- -,-7960000,-10248000,-64803000,-36358000,-18097000,34907000,51188000,23017000,181698000,36091000,-192906000,-79268000,164640000,-286812000,1533217000,160000000,-1427000000,630000000,-216000000,1437000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4511000,-3924000,-7341000,26000000,-7000000,-2000000,15000000,-14000000
97,Net Change In Cash,-129517000,-83286000,- -,-67972000,26258000,6015000,194499000,-185249000,-27732000,65325000,155353000,384707000,195602000,-35823000,-328777000,419300000,-218076000,-203072000,1072000000,-779000000,-25000000,587000000,604000000
98,Cash at the End of Period,- -,- -,- -,11123000,37381000,43396000,237895000,52646000,24914000,90239000,245592000,630299000,825901000,790078000,461301000,880601000,662525000,459453000,1531000000,775000000,750000000,1337000000,1941000000
99,Cash at the Beginning of Period,- -,- -,- -,79095000,11123000,37381000,43396000,237895000,52646000,24914000,90239000,245592000,630299000,825901000,790078000,461301000,880601000,662525000,459000000,1554000000,775000000,750000000,1337000000
100,Free Cash Flow,132884000,173377000,- -,-64913000,33156000,98071000,232687000,100926000,-73559000,13528000,135753000,202015000,185453000,232864000,73371000,601272000,587410000,205369000,961000000,707000000,514000000,772000000,1736000000
101,SEC Link,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1262823/000119312505052548/0001193125-05-052548-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000119312506037475/0001193125-06-037475-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000119312507039877/0001193125-07-039877-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000119312508034397/0001193125-08-034397-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000119312509032921/0001193125-09-032921-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000119312510038369/0001193125-10-038369-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000119312511045471/0001193125-11-045471-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000119312512075023/0001193125-12-075023-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000126282313000007/0001262823-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000126282314000007/0001262823-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000126282315000007/0001262823-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000126282316000030/0001262823-16-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000126282317000008/0001262823-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000126282318000008/0001262823-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000126282319000012/0001262823-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000126282320000007/0001262823-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000126282321000023/0001262823-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1262823/000126282322000014/0001262823-22-000014-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
