,https://roic.ai/company/GAHC,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1138724/000101489714000155/0001014897-14-000155-index.htm,https://www.sec.gov/Archives/edgar/data/1138724/000101489715000137/0001014897-15-000137-index.htm,https://www.sec.gov/Archives/edgar/data/1138724/000101489717000253/0001014897-17-000253-index.htm,https://www.sec.gov/Archives/edgar/data/1138724/000101489717000255/0001014897-17-000255-index.htm,https://www.sec.gov/Archives/edgar/data/1138724/000101489718000034/0001014897-18-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1138724/000101489719000081/0001014897-19-000081-index.htm,https://www.sec.gov/Archives/edgar/data/1138724/000101489720000068/0001014897-20-000068-index.htm,https://www.sec.gov/Archives/edgar/data/1138724/000101489721000009/0001014897-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1138724/000142520322000008/0001425203-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,2687901,1059275,70004,1675982,5526373,1816510,428155,1866340,60674,376942,463610,54977,48400,14227,20887,43574,17502,57422,13295
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,2687901,1059275,70004,1675982,5526373,1816510,428155,1866340,60674,376942,463610,54977,48400,14227,20887,43574,17502,57422,13295
34,Net Receivables,- -,- -,- -,129720,265609,57973,5425129,5129627,4890531,3953905,3991148,489999,634902,379352,9244,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,797135,1242156,195978,6164874,5010751,4419776,4096368,3423217,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,158016,181548,71014,4379180,3200491,2794953,2111146,2103941,51531,212553,136564,10000,20200,- -,- -,- -,- -,- -,- -
37,Total Current Assets,- -,- -,- -,3772772,2748588,394969,17645165,18867242,13921770,10589574,11384646,602204,1224397,979526,74221,68600,14227,20887,43574,17502,57422,13295
38,PP&E,- -,- -,- -,1000554,833596,529015,7410514,7799530,7904126,7397815,7642241,488,7814,3286,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33900,33900,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,1060106,1295986,1352441,1282779,1291671,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,1060106,1295986,1352441,1282779,1291671,- -,- -,33900,33900,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,75372,295967,36033,50946,88473,10057,653956,423532,480000,50003,50003,63621,328337,329266,709266,788766,546150,551150,551150
45,Total Non-Current Assets,- -,- -,- -,1075926,1129563,565048,8521566,9183989,9266624,9334550,9357444,480488,57817,87189,97521,328337,329266,709266,788766,546150,551150,551150
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,4848698,3878151,960017,26166731,28051231,23188394,19924124,20742090,1082692,1282214,1066715,171742,396937,343493,730153,832340,563652,608572,564445
48,Accounts Payable,- -,- -,- -,273916,299800,142304,6100296,5079288,3765774,3911093,4519380,6868,929996,1150005,867981,- -,- -,722636,316986,281241,268255,366289
49,Short-Term Debt,- -,- -,- -,43579,330006,27681,13845600,16429800,16598563,14727840,15621746,417215,1161915,1489253,1088225,1780829,2196553,2409215,3869165,4869628,4728986,230000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,594290,- -,- -,- -,- -,- -,- -,- -,15147,- -,- -,- -,387410,10000,17009,12000,40500,308223,21500
52,Other Current Liabilities,- -,- -,- -,101762,67581,157418,688374,2143862,596567,1288052,1040421,830877,905700,1603514,431400,2145020,3387388,13324526,2693080,2823447,3168995,7568483
53,Total Current Liabilities,- -,- -,- -,1013547,697387,327403,20634270,23652950,20960904,19926985,21181547,1270107,2997611,4242772,2387606,4313259,5593941,16473386,6891231,8014816,8474459,8186272
54,Long-Term Debt,- -,- -,- -,900000,412500,281032,- -,- -,- -,- -,- -,26800,150500,13100,113100,213035,313468,- -,- -,- -,4268986,3899520
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,70744,21988,12817,- -,- -,- -,-1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,970744,434488,293849,- -,- -,- -,-1,- -,26800,150500,13100,113100,213035,313468,- -,- -,- -,4268986,3899520
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,70744,21988,12817,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,1984291,1131875,621252,20634270,23652950,20960904,19926984,21181547,1296907,3148111,4255872,2500706,4526294,5907409,16473386,6891231,8014816,8474459,564445
62,Preferred Stock,- -,- -,- -,- -,- -,- -,500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90,60,60,49,- -
63,Common Stock,- -,- -,- -,3680,4301,4301,11987,11987,11987,11987,11987,21235,21949,24851,24851,50628,314350,639660,934569,985540,1712959,- -
64,Retained Earnings,- -,- -,- -,-4132898,-5405817,-7849328,2725037,875886,-1268730,-3213843,-3629433,-3955050,-7976547,-11918307,-12689981,-17225172,-19252753,-32941453,-25021933,-26961606,-28684689,-29594851
65,Other Comprehensive Income/Loss,- -,- -,- -,6075,181460,181460,1141113,1856084,1996926,1405423,1448122,-1269,-16054,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,6987550,7966332,8002332,1653824,1654324,1198013,1788393,1788393,3900804,6263790,8939971,10584699,13045187,13374487,16558470,18028413,18524842,19128836,21996066
67,Total Stockholders Equity,- -,- -,- -,2864407,2746276,338765,5532461,4398281,1938196,-8040,-380931,-34280,-1706862,-2953485,-2080431,-4129357,-5563916,-15743233,-6058891,-7451164,-7842845,-7598785
68,Total Liabilities And Stockholders Equity,- -,- -,- -,4848698,3878151,960017,26166731,28051231,22899100,19918944,20800616,1262627,1441249,1302387,420275,396937,343493,730153,832340,563652,631614,-7034340
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,289294,5180,-58526,-179935,-159035,-235672,-248533,- -,- -,- -,- -,- -,-23042,7598785
70,Total Liabilities & Equity,- -,- -,- -,4848698,3878151,960017,26166731,28051231,23188394,19924124,20742090,1082692,1282214,1066715,171742,396937,343493,730153,832340,563652,608572,564445
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1138724/000101489714000155/0001014897-14-000155-index.htm,https://www.sec.gov/Archives/edgar/data/1138724/000101489715000137/0001014897-15-000137-index.htm,https://www.sec.gov/Archives/edgar/data/1138724/000101489717000253/0001014897-17-000253-index.htm,https://www.sec.gov/Archives/edgar/data/1138724/000101489717000255/0001014897-17-000255-index.htm,https://www.sec.gov/Archives/edgar/data/1138724/000101489718000034/0001014897-18-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1138724/000101489719000081/0001014897-19-000081-index.htm,https://www.sec.gov/Archives/edgar/data/1138724/000101489720000068/0001014897-20-000068-index.htm,https://www.sec.gov/Archives/edgar/data/1138724/000101489721000009/0001014897-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1138724/000142520322000008/0001425203-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-1249174,-1195205,-1688519,-1272919,-2443511,385312,-1787514,-2150955,-1945113,-415590,-2554490,-2440997,-3915701,-771674,-4286658,-2027581,-13688700,7919520,-1939673,-1723083,-910162
74,Depreciation and Amortization,- -,441508,473312,318596,296627,395903,502961,857657,612465,602255,834734,140732,5016,4528,3286,- -,- -,- -,- -,- -,397965,338443
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,160400,233790,1265913,878310,216152,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,-446229,- -,2759225,-708024,-1983635,-3056671,-1796603,-2253426,-2298277,-459490,9128998,-1105311,-1490032,949861,-1931274,-1335055,-10872785,9604842,-1149657,-419723,244060
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,848722,-297302,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,-471943,-345361,-79831,-580021,831178,-587519,1154123,590975,323408,673151,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,145319,-659138,- -,- -,- -,- -,- -,- -,138162,-405650,-25745,-12986,98034
81,Other Working Capital,- -,- -,- -,2759225,2051201,67566,-2989105,-4785708,-7039134,-9337411,-9796901,-667903,-1773214,-3263246,-2313385,-4244659,-5579714,-16452499,-6847657,-7997314,-8417037,-8172977
82,Other Non-Cash Items,- -,39014,363314,-2789007,-620401,3264420,-1931650,5438989,1138289,4167468,1174967,-8237558,2474377,3124587,-3022103,4934240,2724613,23236645,-18508675,2155758,1417261,-189466
83,Cash Provided by Operating Activities,- -,-1214881,-358579,-1399705,-2304717,-766823,-4100048,2712529,-2653627,526333,1134621,-1361918,-833125,-1010705,-1962320,-1067540,-638023,-1324840,-984313,-933572,-327580,-517125
84,CAPEX,- -,-593456,-264453,-824270,-110137,- -,-1073185,-609226,-182622,-42842,-633041,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35714,495,2000000,-125000,- -,-380000,-79500,-45000,-5000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-68400,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,68400,- -,- -,- -,- -,35714,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-26065,-22924,-20171,-22704,109200,- -,- -,- -,- -,- -,325259,50613,- -,- -,24463,-21650,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-619521,-287377,-844441,-132841,109200,-1073185,-677626,-114222,-42842,-633041,325259,86327,36209,2000000,-100537,-21650,-380000,-79500,-45000,-5000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1870723,-776400,-25000,-25000,-150000,-1904000,-72500,-178500,-363000,-22500,-75000,-72500,- -
91,Common Stock Issued,- -,1576003,5287044,- -,499916,- -,- -,- -,- -,- -,- -,350000,89286,475000,- -,670000,130000,- -,- -,- -,290221,5472
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,623128,-34816,-38954,309016,-331648,5682744,1780117,-1084708,- -,1670306,749932,1031278,736164,1457687,564000,674000,2074500,1109000,1027500,154779,467528
95,Cash Used/Provided by Financing Activities,- -,2199131,5252228,-38954,808932,-331648,5682744,1780117,-1084708,-1870723,893906,1074932,1095564,1061164,-446313,1161500,625500,1711500,1086500,952500,372500,473000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,42385,35369,142693,-1123,42699,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,2199131,4606272,-2283100,-1628626,-989271,551895,3850391,-3709863,-1388355,1438185,38273,348766,86668,-408633,-6577,-34173,6660,22687,-26072,39920,-44127
98,Cash at the End of Period,- -,364729,4971001,2687901,1059275,70004,1675982,5526373,1816510,428155,1866340,60674,376942,463610,54977,48400,14227,20887,43574,17502,57422,13295
99,Cash at the Beginning of Period,- -,- -,364729,4971001,2687901,1059275,1124087,1675982,5526373,1816510,428155,22401,28176,376942,463610,54977,48400,14227,20887,43574,17502,57422
100,Free Cash Flow,- -,-1808337,-623032,-2223975,-2414854,-766823,-5173233,2103303,-2836249,483491,501580,-1361918,-833125,-1010705,-1962320,-1067540,-638023,-1324840,-984313,-933572,-327580,-517125
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1138724/000101489714000155/0001014897-14-000155-index.htm,https://www.sec.gov/Archives/edgar/data/1138724/000101489715000137/0001014897-15-000137-index.htm,https://www.sec.gov/Archives/edgar/data/1138724/000101489717000253/0001014897-17-000253-index.htm,https://www.sec.gov/Archives/edgar/data/1138724/000101489717000255/0001014897-17-000255-index.htm,https://www.sec.gov/Archives/edgar/data/1138724/000101489718000034/0001014897-18-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1138724/000101489719000081/0001014897-19-000081-index.htm,https://www.sec.gov/Archives/edgar/data/1138724/000101489720000068/0001014897-20-000068-index.htm,https://www.sec.gov/Archives/edgar/data/1138724/000101489721000009/0001014897-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1138724/000142520322000008/0001425203-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
