,https://roic.ai/company/RHE,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,- -,698482,805997,748312,847440,882900,918851,1277939,3937943,6805000,7940000,7300000,7345000,5296000,4868000,4634000,3438000,2894000,2591000
15,EBITDA,14667,1761611,1519612,792318,1495260,1278797,2611627,949184,-1963117,13242000,8403000,4613000,-7601000,4556000,7790000,-1370000,14203000,4983000,4078000
16,EBITDA ratio,0.0009,0.0963,0.0694,0.0351,0.0632,0.0516,0.0978,0.0178,-0.0130,0.0657,0.0377,0.0239,-0.4131,0.1667,0.3098,-0.0621,0.7054,0.2835,0.1528
17,Operating Income,16451178,818946,766231,407646,311721,12375,1774112,-1652761,2668582,1909000,695000,1323000,-7641000,4255000,5138000,-792000,5462000,2294000,2578000
18,Operating Income ratio,1.0000,0.0448,0.0350,0.0181,0.0132,0.0005,0.0665,-0.0310,0.0176,0.0095,0.0031,0.0068,-0.4153,0.1556,0.2043,-0.0359,0.2713,0.1305,0.0966
19,Total Other Income Expenses (Gains),- -,-7638,3575,-437248,-1117688,-918546,-1251199,-504451,-7993935,-16549000,-11668000,-14086000,-10060000,1548000,-4632000,-11215000,-588000,-2898000,-3715000
20,Income Before Tax,- -,- -,- -,- -,-805967,-906171,522913,-2157212,-5325353,-14640000,-10973000,-12763000,-17701000,5803000,506000,-12007000,4874000,-604000,-1137000
21,Income Before Tax Ratio,- -,- -,- -,- -,-0.0341,-0.0365,0.0196,-0.0405,-0.0352,-0.0726,-0.0492,-0.0660,-0.9620,0.2123,0.0201,-0.5446,0.2421,-0.0344,-0.0426
22,Income Tax expense (Gain),- -,- -,- -,- -,-178415,170007,42567,42567,263195,97000,142000,132000,110000,-163000,-188000,-38000,- -,- -,- -
23,Net Income,14667,222841,-884051,-2441217,-218928,-1076178,440283,-2743621,-6164255,-6884000,-12567000,-13599000,-23518000,-7462000,-985000,-11895000,5500000,-688000,-1182000
24,Net Income ratio,0.0009,0.0122,-0.0404,-0.1083,-0.0093,-0.0434,0.0165,-0.0515,-0.0407,-0.0341,-0.0564,-0.0703,-1.2782,-0.2730,-0.0392,-0.5396,0.2732,-0.0391,-0.0443
25,EPS,0.10,1.35,-6.32,-11.30,-0.52,-2.90,1.14,-4.35,-7.09,-4.26,-11.28,-9.84,-17.52,-8.88,-5.16,-11.86,-2.07,-5.74,-0.00
26,EPS Diluted,0.10,1.35,-6.32,-11.32,-0.52,-2.90,1.04,-4.35,-7.09,-4.26,-11.28,-9.84,-17.52,-8.88,-5.16,-11.86,-2.07,-5.74,-0.00
27,Weighted Average Shares Outstanding,141490,159272,183743,215565,365241,365241,377894,632065,874221,1221578,1253661,1494160,1639993,1657660,1647243,1676000,1688000,1688000,1775000
28,Weighted Average Shares Outstanding Diluted,141490,163517,183743,215565,365241,365241,426933,632065,874221,1221578,1253661,1494160,1639993,1657660,1647243,1676000,1688000,1688000,1775000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1004724/000095015207003729/l25892ae10ksbza.htm,https://www.sec.gov/Archives/edgar/data/1004724/000100472408000012/f12310710ksb32908.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1004724/000104746913007401/a2214266z10-k.htm,https://www.sec.gov/Archives/edgar/data/1004724/000100472414000038/adk-12312013xdocumentx10k.htm,https://www.sec.gov/Archives/edgar/data/1004724/000100472415000028/a12312014-documentx10k.htm,https://www.sec.gov/Archives/edgar/data/1004724/000100472416000179/0001004724-16-000179-index.html,https://www.sec.gov/Archives/edgar/data/1004724/000100472417000021/a12312016-documentx10k.htm,https://www.sec.gov/Archives/edgar/data/1004724/000156459018008206/rhe-10k_20171231.htm,https://www.sec.gov/Archives/edgar/data/1004724/000156459019019674/rhe-10k_20181231.htm,https://www.sec.gov/Archives/edgar/data/1004724/000156459020013602/0001564590-20-013602-index.htm,https://www.sec.gov/Archives/edgar/data/1004724/000156459021016146/0001564590-21-016146-index.htm,https://www.sec.gov/Archives/edgar/data/1004724/000156459022005755/0001564590-22-005755-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1453213,1403877,2136414,926625,1266315,4481100,3911140,7363953,15937000,19374000,10735000,2720000,14045000,1818000,2407000,4383000,4186000,6792000
32,Short-Term Investments,- -,- -,- -,198266,209637,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1453213,1403877,2334680,1136262,1266315,4481100,3911140,7363953,15937000,19374000,10735000,2720000,14045000,1818000,2407000,4383000,4186000,6792000
34,Net Receivables,- -,1413126,2193702,2239963,2402700,2285293,1979728,11215187,18782052,26037000,23598000,24294000,8805000,2429000,945000,1581000,1803000,9204000,10764000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,200137,214280,342315,453219,478534,541958,2291117,2592869,8390000,10629000,17393000,13632000,3995000,1941000,4087000,3904000,3634000,3516000
37,Total Current Assets,- -,3066476,3811859,4916958,3992181,4030142,7002786,17417444,28738874,50364000,53601000,52422000,25157000,20469000,4704000,8075000,10090000,17024000,21072000
38,PP&E,- -,13171683,13345750,13750870,14425868,16772660,16445028,37606301,105143341,151064000,143368000,135585000,126676000,79168000,81213000,77237000,91959000,86273000,80036000
39,Goodwill,- -,- -,2638193,2638193,2638193,2679482,2679482,2679482,905854,5023000,4224000,4224000,4183000,2105000,2105000,2105000,1585000,1585000,1585000
40,Intangible Assets,- -,1189307,1189307,1189306,1189307,1189307,1189307,16159845,9649310,9315000,7360000,6558000,5891000,5225000,4658000,3377000,2933000,2629000,2605000
41,Intangible Assets,- -,1189307,3827500,3827499,3827500,3868789,3868789,18839327,10555164,14338000,11584000,10782000,10074000,7330000,6763000,5482000,4518000,4214000,4190000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,3248712,3044312,2891067,2245894,2167936,2787834,9095834,14666656,18683000,17875000,11172000,10078000,12519000,13871000,9776000,7191000,514000,398000
45,Total Non-Current Assets,- -,17609702,20217562,20469436,20499262,22809385,23101651,65541462,130365161,184085000,172827000,157539000,146828000,99017000,101847000,92495000,103668000,91001000,84624000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,20676178,24029421,25386394,24491443,26839527,30104437,82958906,159104035,234449000,226428000,209961000,171985000,119486000,106551000,100570000,113758000,108025000,105696000
48,Accounts Payable,- -,3021045,3354822,3804590,3476535,1009002,1039422,3411772,12074582,19503000,23783000,16434000,8741000,3037000,4386000,4361000,3699000,3008000,3749000
49,Short-Term Debt,- -,- -,- -,1572475,782305,722755,707936,3633401,11909490,19387000,26154000,22113000,50960000,13154000,8090000,26397000,48954,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1391000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138000,46000,41000,192000
52,Other Current Liabilities,- -,1632358,3389990,22177,900000,2838407,2597151,9664325,10121345,17392000,19298000,26806000,4083000,9077000,7022000,5814000,2518046,2184000,4290000
53,Total Current Liabilities,- -,4653403,6744812,5399242,5158840,4570164,4344509,16709498,34105417,56282000,69235000,65353000,63784000,25268000,19498000,36710000,6312000,5233000,8231000
54,Long-Term Debt,- -,12871520,12350919,12909162,13623422,17009414,16725472,47210995,105092564,148827000,128119000,118093000,73553000,66816000,65012000,54916000,55363000,54439000,84935000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,212574,255141,86000,104000,191000,605000,389000,226000,38000,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1250333,1811037,2010991,559509,469321,746074,4173179,4326552,5024000,1589000,2129000,3380000,3677000,4133000,2793000,40340000,37249000,2134000
58,Total Non-Current Liabilities,- -,14121853,14161956,14920153,14182931,17478735,17684120,51639315,109505116,153955000,129899000,120827000,77322000,70719000,69183000,57709000,95703000,91688000,87069000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39262000,35884000,32059000
61,Total Liabilities,- -,18775256,20906768,20319395,19341771,22048899,22028629,68348813,143610533,210237000,199134000,186180000,141106000,95987000,88681000,94419000,102015000,96921000,95300000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,9159000,20442000,20392000,54714000,61446000,62423000,62423000,62423000,62423000,62423000
63,Common Stock,- -,- -,- -,- -,- -,14766967,17571801,- -,- -,41644000,48370000,61896000,60958000,61643000,61724000,61900000,61992000,62041000,62515000
64,Retained Earnings,- -,-5467070,-6509209,-8950426,-9169354,-10245532,-9805249,-12548870,-18713125,-25753000,-39884000,-56067000,-84793000,-99590000,-106277000,-118172000,-112672000,-113360000,-114542000
65,Other Comprehensive Income/Loss,- -,-2937444,-3550128,-4171104,-4660182,- -,- -,- -,- -,-8875000,-15159000,-21275000,-26223000,-21816000,-23642000,-23045000,-19299000,-21080000,- -
66,Other Total Stockholders Equity,- -,10305436,13181990,18028270,18724138,- -,- -,- -,- -,8875000,15159000,21275000,26223000,21816000,23642000,23045000,19299000,21080000,- -
67,Total Stockholders Equity,- -,1490886,2887934,4906740,4894602,4521435,7766552,14063000,16334084,25050000,28928000,26221000,30879000,23499000,17870000,6151000,11743000,11104000,10396000
68,Total Liabilities And Stockholders Equity,- -,20266142,23794702,25226135,24236373,26570334,29795181,82411813,159944617,235287000,228062000,212401000,171985000,119486000,106551000,100570000,113758000,108025000,105696000
69,Minority Interest,- -,410036,234719,160259,255070,269193,309256,547093,-840582,-838000,-1634000,-2440000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,20676178,24029421,25386394,24491443,26839527,30104437,82958906,159104035,234449000,226428000,209961000,171985000,119486000,106551000,100570000,113758000,108025000,105696000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1004724/000095015207003729/l25892ae10ksbza.htm,https://www.sec.gov/Archives/edgar/data/1004724/000100472408000012/f12310710ksb32908.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1004724/000104746913007401/a2214266z10-k.htm,https://www.sec.gov/Archives/edgar/data/1004724/000100472414000038/adk-12312013xdocumentx10k.htm,https://www.sec.gov/Archives/edgar/data/1004724/000100472415000028/a12312014-documentx10k.htm,https://www.sec.gov/Archives/edgar/data/1004724/000100472416000179/0001004724-16-000179-index.html,https://www.sec.gov/Archives/edgar/data/1004724/000100472417000021/a12312016-documentx10k.htm,https://www.sec.gov/Archives/edgar/data/1004724/000156459018008206/rhe-10k_20171231.htm,https://www.sec.gov/Archives/edgar/data/1004724/000156459019019674/rhe-10k_20181231.htm,https://www.sec.gov/Archives/edgar/data/1004724/000156459020013602/0001564590-20-013602-index.htm,https://www.sec.gov/Archives/edgar/data/1004724/000156459021016146/0001564590-21-016146-index.htm,https://www.sec.gov/Archives/edgar/data/1004724/000156459022005755/0001564590-22-005755-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,222841,-884051,-2441217,-218928,-1076178,440283,-2743621,-6164255,-6884000,-12567000,-13599000,-23518000,-7462000,-985000,-11895000,5500000,-688000,-1182000
74,Depreciation and Amortization,- -,698482,805997,748312,847440,882900,918851,1277939,3937943,6805000,7940000,7300000,7345000,5296000,4868000,4634000,3438000,2894000,2591000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,42567,69708,104000,87000,98000,102000,-163000,-188000,-38000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,641004,320414,818765,1018673,891000,1097000,1155000,942000,1133000,267000,176000,92000,49000,481000
77,Change in Working Capital,- -,-272993,-1346026,2450669,-684375,626637,3198299,-1950331,-6074489,-551457,-9716000,2703000,-25696000,33828000,-9995000,-13841000,32413000,8013000,5744000
78,Accounts Receivable,- -,- -,- -,- -,- -,111805,305565,-6426725,-9453938,-12415000,-3937000,-6788000,-2220000,-545000,182000,-497000,465000,-1084000,693000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,10753000,5279000,-2401000,-460000,-1361000,- -,- -,-339000,13000,3667000
81,Other Working Capital,- -,-1586927,-2932953,-482284,-1166659,-540022,2658277,707946,-5366543,-5918000,-15634000,-12931000,-38627000,-4799000,-14794000,-28635000,3778000,11791000,- -
82,Other Non-Cash Items,- -,-162956,1295962,-400104,-51474,-634921,-2985853,1338490,9205515,1162457,18220000,-2949000,23019000,-36041000,11178000,22312000,-39047000,-8973000,-2740000
83,Cash Provided by Operating Activities,- -,485374,-128118,357660,-107337,439442,1891994,-1216191,1993095,1527000,5061000,-5292000,-17806000,-3409000,5145000,1348000,2396000,1295000,4894000
84,CAPEX,- -,-683050,-583192,-473701,-1042402,-477092,-573168,-1140748,-4462769,-5777000,-4490000,-3457000,-1799000,-1500000,-846000,-338000,-58000,-450000,-123000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-9693418,-13746550,-61901000,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-11382,-941737,- -,-134378,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,550922,-1498297,-535140,532295,329,-273792,-3395368,1055737,8516000,1366000,2702000,11644000,25633000,504000,- -,3879000,- -,- -
89,Cash Used for Investing Activites,- -,-132128,-2081489,-1008841,-521489,-1418500,-846960,-14363912,-17153582,-59162000,-3124000,-755000,9845000,24133000,-342000,-338000,3821000,-450000,-123000
90,Debt Repayment,- -,- -,- -,- -,- -,-5309553,-2495099,-950828,-2135694,-30075000,-8442000,-103569000,-67445000,-16369000,-11399000,-2171000,-3380000,-1620000,-2387000
91,Common Stock Issued,- -,222850,125000,5742866,20000,- -,2795000,6109725,- -,3779000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-571000,-186000,- -,- -,- -,-7000
93,Dividends Paid,- -,- -,-269500,- -,- -,- -,- -,- -,- -,-156000,-1564000,-2584000,-8484000,-7335000,-5702000,- -,- -,- -,- -
94,Other Financing Activites,- -,-593716,2304771,-4164027,-600963,6628301,1869850,9851246,20748994,92840000,11506000,103561000,75875000,14876000,257000,2288000,-1285000,229000,-21000
95,Cash Used/Provided by Financing Activities,- -,-370866,2160271,1578839,-580963,1318748,2169751,15010143,18613300,66388000,1500000,-2592000,-54000,-9399000,-17030000,117000,-4665000,-1391000,-2415000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-17620,-49336,927658,-1209789,339690,3214785,-569960,3452813,8573000,3437000,-8639000,-8015000,11325000,-12227000,1127000,1552000,-546000,-2415000
98,Cash at the End of Period,- -,1453213,1403877,2136414,926625,1266315,4481100,3911140,7363953,15937000,19374000,10735000,2720000,14045000,1818000,6486000,8038000,7492000,- -
99,Cash at the Beginning of Period,- -,1470833,1453213,1208756,2136414,926625,1266315,4481100,3911140,7364000,15937000,19374000,10735000,2720000,14045000,5359000,6486000,8038000,7492000
100,Free Cash Flow,- -,-197676,-711310,-116041,-1149739,-37650,1318826,-2356939,-2469674,-4250000,571000,-8749000,-19605000,-4909000,4299000,1010000,2338000,845000,4771000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1004724/000095015207003729/l25892ae10ksbza.htm,https://www.sec.gov/Archives/edgar/data/1004724/000100472408000012/f12310710ksb32908.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1004724/000104746913007401/a2214266z10-k.htm,https://www.sec.gov/Archives/edgar/data/1004724/000100472414000038/adk-12312013xdocumentx10k.htm,https://www.sec.gov/Archives/edgar/data/1004724/000100472415000028/a12312014-documentx10k.htm,https://www.sec.gov/Archives/edgar/data/1004724/000100472416000179/0001004724-16-000179-index.html,https://www.sec.gov/Archives/edgar/data/1004724/000100472417000021/a12312016-documentx10k.htm,https://www.sec.gov/Archives/edgar/data/1004724/000156459018008206/rhe-10k_20171231.htm,https://www.sec.gov/Archives/edgar/data/1004724/000156459019019674/rhe-10k_20181231.htm,https://www.sec.gov/Archives/edgar/data/1004724/000156459020013602/0001564590-20-013602-index.htm,https://www.sec.gov/Archives/edgar/data/1004724/000156459021016146/0001564590-21-016146-index.htm,https://www.sec.gov/Archives/edgar/data/1004724/000156459022005755/0001564590-22-005755-index.htm
102,false,,,,,,,,,,,,,,,,,,,
