,https://roic.ai/company/OXY,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,212090909,297575758,402564103,496825397,541304348,584482759,593617021,603045685,644736842,622222222,638167939,649717514,675664336,698989899,710800000,737089202,744516129,752091255,767336683,791371341,806875477,853469388,834621329,817600000,811300000,812500000,812100000,809300000,804100000,781100000,765600000,763800000,765100000,761700000,809500000,918700000,918700000
28,Weighted Average Shares Outstanding Diluted,212090909,297575758,402564103,496825397,541304348,584482759,593617021,603045685,644736842,622222222,643076923,664739884,675664336,698989899,711000000,737089202,746925566,757854406,777099237,802500000,818125484,860493827,838509317,820800000,813800000,813800000,812100000,810000000,804600000,781100000,765600000,763800000,765900000,763300000,809500000,918700000,918700000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/797468/000079746821000009/0000797468-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/797468/000079746822000008/0000797468-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,520000000,279000000,113000000,96000000,214000000,97000000,199000000,146000000,683000000,1449000000,2189000000,1339000000,1964000000,1777000000,1230000000,2578000000,3781000000,1592000000,3393000000,3789000000,3201000000,2233000000,1672000000,3033000000,3032000000,2008000000,2764000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,252000000,240000000,- -,1012000000,1203000000,900000000,916000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,520000000,279000000,113000000,96000000,214000000,97000000,199000000,146000000,683000000,1449000000,2441000000,1579000000,1964000000,2789000000,2433000000,3478000000,4697000000,1592000000,3393000000,3789000000,3201000000,2233000000,1672000000,3033000000,3032000000,2008000000,2764000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,891000000,871000000,813000000,2018000000,774000000,1326000000,687000000,929000000,1154000000,2235000000,3141000000,3324000000,5389000000,3117000000,4142000000,5032000000,5395000000,4916000000,5674000000,4206000000,2970000000,3989000000,4145000000,4893000000,6373000000,2115000000,4208000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,647000000,633000000,604000000,500000000,503000000,485000000,444000000,491000000,510000000,545000000,735000000,825000000,910000000,958000000,1081000000,1041000000,1069000000,1344000000,1200000000,1052000000,986000000,866000000,1246000000,1260000000,1447000000,1898000000,1846000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,461000000,407000000,386000000,181000000,197000000,159000000,153000000,307000000,127000000,202000000,257000000,278000000,332000000,308000000,430000000,3508000000,381000000,1640000000,1056000000,4826000000,2245000000,1340000000,1207000000,746000000,7829000000,2798000000,1393000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2519000000,2190000000,1916000000,2795000000,1688000000,2067000000,1483000000,1873000000,2474000000,4431000000,6574000000,6006000000,8595000000,7172000000,8086000000,13059000000,11542000000,9492000000,11323000000,13873000000,9402000000,8428000000,8270000000,9932000000,18681000000,8819000000,10211000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13867000000,13808000000,8590000000,9905000000,10029000000,13471000000,12858000000,13036000000,14005000000,14633000000,17534000000,24316000000,26278000000,32266000000,33645000000,36536000000,45684000000,52064000000,55821000000,39730000000,31639000000,32337000000,31174000000,31437000000,81854000000,66951000000,60656000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1263000000,1732000000,2039000000,2072000000,1894000000,1459000000,1565000000,1434000000,1401000000,1515000000,1680000000,6389000000,3250000000,2938000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1429000000,1636000000,4776000000,2552000000,2408000000,3876000000,3509000000,1639000000,1689000000,2327000000,2000000000,2033000000,1646000000,836000000,766000000,798000000,746000000,760000000,840000000,1091000000,962000000,943000000,1067000000,805000000,2406000000,1044000000,1231000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15296000000,15444000000,13366000000,12457000000,12437000000,17347000000,16367000000,14675000000,15694000000,16960000000,19534000000,26349000000,27924000000,34365000000,36143000000,39373000000,48502000000,54718000000,58120000000,42386000000,34035000000,34681000000,33756000000,33922000000,90649000000,71245000000,64825000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17815000000,17634000000,15282000000,15252000000,14125000000,19414000000,17850000000,16548000000,18168000000,21391000000,26108000000,32355000000,36519000000,41537000000,44229000000,52432000000,60044000000,64210000000,69443000000,56259000000,43437000000,43109000000,42026000000,43854000000,109330000000,80064000000,75036000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,859000000,1023000000,717000000,613000000,812000000,1091000000,720000000,785000000,909000000,1557000000,2069000000,2263000000,4263000000,3306000000,3379000000,4646000000,5304000000,4708000000,5520000000,5229000000,3069000000,3926000000,4408000000,4885000000,7017000000,2987000000,3899000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,538000000,47000000,41000000,1430000000,34000000,260000000,54000000,206000000,23000000,459000000,46000000,171000000,47000000,698000000,239000000,- -,- -,600000000,- -,- -,1450000000,- -,500000000,116000000,620000000,913000000,372000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,158000000,28000000,170000000,110000000,16000000,358000000,414000000,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1260000000,1400000000,1112000000,888000000,1121000000,1389000000,1116000000,1244000000,1594000000,1407000000,2165000000,2290000000,1956000000,2130000000,2474000000,3179000000,2643000000,1982000000,2914000000,3015000000,2323000000,2436000000,2492000000,2411000000,7312000000,4323000000,4053000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2657000000,2470000000,1870000000,2931000000,1967000000,2740000000,1890000000,2235000000,2526000000,3423000000,4280000000,4724000000,6266000000,6134000000,6092000000,7825000000,7947000000,7290000000,8434000000,8244000000,6842000000,6362000000,7400000000,7412000000,14949000000,8223000000,8324000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4819000000,4511000000,4925000000,5367000000,4368000000,5185000000,4065000000,3997000000,3993000000,3345000000,2873000000,2619000000,1741000000,2049000000,2557000000,5111000000,5871000000,7023000000,6939000000,6838000000,6883000000,9819000000,9328000000,10201000000,39391000000,36386000000,30016000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2620000000,2560000000,1028000000,825000000,995000000,1280000000,1103000000,982000000,1001000000,1248000000,962000000,2326000000,2324000000,2660000000,3125000000,3445000000,4846000000,6039000000,7197000000,3015000000,1323000000,1132000000,581000000,907000000,9717000000,7113000000,7039000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3089000000,2953000000,3173000000,2766000000,2534000000,2697000000,2934000000,2683000000,2407000000,2498000000,2621000000,3161000000,3330000000,3394000000,3296000000,3567000000,3760000000,3810000000,3501000000,3203000000,4039000000,4299000000,4145000000,4004000000,11041000000,9769000000,9330000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10528000000,10024000000,9126000000,8958000000,7897000000,9162000000,8102000000,7662000000,7401000000,7091000000,6456000000,8106000000,7395000000,8103000000,8978000000,12123000000,14477000000,16872000000,17637000000,13056000000,12245000000,15250000000,14054000000,15112000000,60149000000,53268000000,46385000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1770000000,1114000000,1360000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13185000000,12494000000,10996000000,11889000000,9864000000,11902000000,9992000000,9897000000,9927000000,10514000000,10736000000,12830000000,13661000000,14237000000,15070000000,19948000000,22424000000,24162000000,26071000000,21300000000,19087000000,21612000000,21454000000,22524000000,75098000000,61491000000,54709000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9762000000,9762000000,9762000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73000000,74000000,75000000,75000000,77000000,79000000,80000000,174000000,175000000,176000000,177000000,177000000,177000000,178000000,178000000,178000000,178000000,178000000,179000000,179000000,209000000,216000000,217000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1402000000,-726000000,-10944000000,-734000000,-286000000,1007000000,1788000000,2303000000,3530000000,5664000000,10425000000,13919000000,18819000000,24684000000,26534000000,29868000000,35142000000,37990000000,41831000000,36067000000,25960000000,22981000000,21935000000,23750000000,20180000000,2996000000,4480000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8837000000,-9369000000,-7967000000,-6774000000,-7675000000,-6041000000,-5705000000,-27000000,50000000,155000000,-373000000,-333000000,-632000000,-552000000,-596000000,-524000000,-483000000,-502000000,-303000000,-357000000,-307000000,-266000000,-258000000,-172000000,-221000000,-288000000,-208000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14869000000,15235000000,23197000000,10871000000,11411000000,9734000000,9476000000,3967000000,4272000000,4652000000,4900000000,5424000000,4461000000,2992000000,2966000000,2963000000,2784000000,2350000000,1420000000,-929000000,-1481000000,-1396000000,-1284000000,-2427000000,4302000000,5887000000,6076000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4630000000,5140000000,4286000000,3363000000,3523000000,4774000000,5634000000,6318000000,7929000000,10550000000,15032000000,19184000000,22823000000,27300000000,29081000000,32484000000,37620000000,40016000000,43126000000,34959000000,24350000000,21497000000,20572000000,21330000000,34232000000,18573000000,20327000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17815000000,17634000000,15282000000,15252000000,13387000000,16676000000,15626000000,16215000000,17856000000,21064000000,25768000000,32014000000,36484000000,41537000000,44151000000,52432000000,60044000000,64178000000,69197000000,56259000000,43437000000,43109000000,42026000000,43854000000,109330000000,80064000000,75036000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,738000000,2738000000,2224000000,333000000,312000000,327000000,340000000,341000000,35000000,- -,78000000,- -,- -,32000000,246000000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17815000000,17634000000,15282000000,15252000000,14125000000,19414000000,17850000000,16548000000,18168000000,21391000000,26108000000,32355000000,36519000000,41537000000,44229000000,52432000000,60044000000,64210000000,69443000000,56259000000,43437000000,43109000000,42026000000,43854000000,109330000000,80064000000,75036000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/797468/000079746821000009/0000797468-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/797468/000079746822000008/0000797468-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,256000000,-1688000000,460000000,-591000000,283000000,-36000000,511000000,668000000,-390100000,363000000,448000000,1570000000,1154000000,989000000,1527000000,2568000000,5281000000,4182000000,5400000000,6857000000,2915000000,4530000000,6771000000,4598000000,5903000000,616000000,-7829000000,-574000000,1311000000,4131000000,-667000000,-14831000000,2322000000
74,Depreciation and Amortization,- -,- -,- -,- -,1126000000,1106000000,955000000,887000000,907000000,897000000,953000000,928000000,833000000,857000000,817000000,908000000,976000000,1019000000,1183000000,1322000000,1485000000,2042000000,2379000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,58000000,-90000000,240000000,78000000,58000000,26000000,18000000,3000000,-9000000,275000000,183000000,413000000,-181000000,-141000000,61000000,170000000,-75000000,85000000,35000000,268000000,507000000,406000000,1436000000,1128000000,1187000000,-1178000000,-1372000000,-517000000,-719000000,371000000,-1027000000,-2517000000,46000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,78000000,- -,- -,- -,- -,-138000000,-142000000,326000000,-182000000,-143000000,-394000000,266000000,45000000,310000000,1060000000,1286000000,-1012000000,1047000000,-1291000000,956000000,3240000000,-1639000000,-1393000000,687000000,2740000000,-3069000000,-494000000,-1196000000,1650000000,1212000000,-3319000000,183000000,-1426000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,472000000,-755000000,1413000000,1431000000,-1091000000,-158000000,-740000000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-52000000,-58000000,70000000,-27000000,-48000000,14000000,-68000000,- -,-20000000,-43000000,27000000,-39000000,37000000,-73000000,-3000000,-94000000,-127000000,-77000000,-71000000,-64000000,-107000000,-42000000,-50000000,-265000000,87000000,-112000000,-24000000,17000000,-349000000,-108000000,77000000,-484000000,-86000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1342000000,-403000000,- -,- -,-1086000000,500000000,-544000000,-1989000000,603000000,43000000,195000000,793000000,-3228000000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-138000000,-280000000,46000000,-136000000,-279000000,-673000000,-407000000,-362000000,-52000000,1008000000,2294000000,1282000000,2329000000,1038000000,1994000000,5234000000,3595000000,2202000000,2889000000,5629000000,2560000000,2066000000,870000000,2520000000,3732000000,413000000,596000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,91000000,2198000000,-928000000,176000000,-640000000,11000000,161000000,62000000,1145100000,-1272000000,-10000000,-756000000,658000000,-77000000,-757000000,-1468000000,-342000000,-1003000000,275000000,2571000000,-849000000,6052000000,5467000000,4899000000,3097000000,14699000000,13046000000,5670000000,2754000000,1955000000,12388000000,21120000000,9492000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,1609000000,1526000000,727000000,550000000,608000000,760000000,1501000000,1987000000,1397000000,80000000,1044000000,2401000000,2652000000,2100000000,3074000000,3878000000,5337000000,6353000000,6798000000,10652000000,5813000000,9349000000,12281000000,11312000000,12927000000,11068000000,3351000000,3383000000,4996000000,7669000000,7375000000,3955000000,10434000000
