,https://roic.ai/company/FET,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1401257/000144530513000490/0001445305-13-000490-index.htm,https://www.sec.gov/Archives/edgar/data/1401257/000140125714000055/0001401257-14-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1401257/000140125715000056/0001401257-15-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1401257/000140125716000139/0001401257-16-000139-index.htm,https://www.sec.gov/Archives/edgar/data/1401257/000140125717000034/0001401257-17-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1401257/000140125718000060/0001401257-18-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1401257/000140125719000075/0001401257-19-000075-index.htm,https://www.sec.gov/Archives/edgar/data/1401257/000140125720000056/0001401257-20-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1401257/000140125721000031/0001401257-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1401257/000140125722000022/0001401257-22-000022-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,26894000,20348000,20548000,41063000,39582000,76579000,109249000,234422000,115216000,47241000,57911000,128617000,46000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,26894000,20348000,20548000,41063000,39582000,76579000,109249000,234422000,115216000,47241000,57911000,128617000,46000000
34,Net Receivables,106377000,117656000,228686000,235498000,274284000,301691000,150606000,147268000,214370000,216076000,159546000,90809000,123000000
35,Inventory,168628000,173777000,324638000,455129000,441049000,461515000,424121000,338583000,443177000,479023000,414640000,251747000,241000000
36,Other Current Assets,38290000,30326000,44714000,43187000,54553000,55374000,33836000,29443000,17618000,23677000,33820000,19018000,36000000
37,Total Current Assets,340189000,342107000,618586000,774877000,809468000,895159000,717812000,749716000,790381000,766017000,665917000,490191000,446000000
38,PP&E,96747000,90632000,124840000,152983000,180292000,189974000,186667000,152212000,197281000,177358000,203518000,145188000,119000000
39,Goodwill,300576000,294381000,600827000,695799000,802318000,798481000,669036000,652743000,755245000,469647000,- -,- -,- -
40,Intangible Assets,91615000,80159000,241314000,257419000,295352000,271739000,246650000,216418000,443064000,359048000,272300000,240444000,217000000
41,Intangible Assets,392191000,374540000,842141000,953218000,1097670000,1070220000,915686000,869161000,1198309000,828695000,272300000,240444000,217000000
42,Investments,- -,- -,- -,- -,60292000,49675000,57719000,59140000,- -,44982000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,780000,851000,3344000,1234000,654000,102000,203000
44,Other Non-Current Assets,11099000,11053000,21748000,11902000,21147000,16600000,7378000,4112000,5913000,11366000,17608000,14001000,8797000
45,Total Non-Current Assets,500037000,476225000,988729000,1118103000,1359401000,1326469000,1168230000,1085476000,1404847000,1063635000,494080000,399735000,345000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,840226000,818332000,1607315000,1892980000,2168869000,2221628000,1886042000,1835192000,2195228000,1829652000,1159997000,889926000,791000000
48,Accounts Payable,50484000,61981000,97642000,98990000,100221000,127757000,76823000,73775000,137684000,143186000,98720000,46351000,99379000
49,Short-Term Debt,34940000,3209000,5176000,20504000,998000,840000,253000,124000,1156000,1167000,717000,1322000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,6729000,7130000,12692000,51302000,22235000,26704000,15914000,12342000,10700000,11545000,10788000,9680000,7276000
52,Other Current Liabilities,57123000,54625000,139142000,110079000,96529000,126890000,58563000,55604000,66765000,81032000,86625000,67581000,68345000
53,Total Current Liabilities,149276000,126945000,254652000,280875000,219983000,282191000,151553000,141845000,216305000,236930000,196850000,124934000,175000000
54,Long-Term Debt,236937000,204715000,660379000,400201000,512077000,428010000,396016000,396747000,506750000,517544000,398862000,293373000,232000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,834000
56,Deferred Tax Liabilities,24928000,20368000,35103000,49749000,97774000,98188000,51100000,26185000,31232000,15299000,2465000,1952000,834000
57,Other Non-Current Liabilities,26717000,3227000,2049000,- -,8069000,17318000,29956000,34654000,31925000,29753000,75781000,63431000,53332000
58,Total Non-Current Liabilities,288582000,228310000,697531000,449950000,617920000,543516000,477072000,457586000,569907000,562596000,477108000,358756000,287000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49938000,44536000,- -
61,Total Liabilities,437858000,355255000,952183000,730825000,837903000,825707000,628625000,599431000,786212000,799526000,673958000,483690000,462000000
62,Preferred Stock,62000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,13000,16000,666000,875000,928000,979000,986000,1037000,1163000,1174000,1189000,60000,61000
64,Retained Earnings,126865000,150803000,244145000,395601000,525140000,699505000,580152000,498174000,438774000,63688000,-503369000,-601656000,- -
65,Other Comprehensive Income/Loss,-7560000,-12515000,-16017000,-100000,7785000,-36961000,-82048000,-128237000,-91967000,-115230000,-108938000,-100389000,-101028000
66,Other Total Stockholders Equity,282547000,324219000,425699000,765096000,796502000,731833000,757930000,864228000,1061046000,1080494000,1097157000,1108221000,329000000
67,Total Stockholders Equity,401927000,462523000,654493000,1161472000,1330355000,1395356000,1257020000,1235202000,1409016000,1030126000,486039000,406236000,329000000
68,Total Liabilities And Stockholders Equity,839785000,817778000,1606676000,1892297000,2168258000,2221063000,1885645000,1834633000,2195228000,1829652000,1159997000,889926000,791000000
69,Minority Interest,441000,554000,639000,683000,611000,565000,397000,559000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,840226000,818332000,1607315000,1892980000,2168869000,2221628000,1886042000,1835192000,2195228000,1829652000,1159997000,889926000,791000000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1401257/000144530513000490/0001445305-13-000490-index.htm,https://www.sec.gov/Archives/edgar/data/1401257/000140125714000055/0001401257-14-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1401257/000140125715000056/0001401257-15-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1401257/000140125716000139/0001401257-16-000139-index.htm,https://www.sec.gov/Archives/edgar/data/1401257/000140125717000034/0001401257-17-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1401257/000140125718000060/0001401257-18-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1401257/000140125719000075/0001401257-19-000075-index.htm,https://www.sec.gov/Archives/edgar/data/1401257/000140125720000056/0001401257-20-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1401257/000140125721000031/0001401257-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1401257/000140125722000022/0001401257-22-000022-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,19336000,23938000,93342000,151456000,129539000,174365000,-119353000,-81978000,-59400000,-374080000,-567057000,-96889000,-82000000
74,Depreciation and Amortization,38438000,33216000,40775000,51804000,60579000,65072000,65683000,61760000,65129000,74508000,63241000,51000000,42000000
75,Deferred Income Tax,-8123000,-1178000,-1482000,-6349000,15622000,-3270000,-23246000,-24418000,149000,-13552000,-12985000,-149000,2791000
76,Stock Based Compensation,3016000,5136000,5156000,8179000,19038000,18770000,21675000,20535000,20310000,19927000,15846000,9784000,7594000
77,Change in Working Capital,41122000,24249000,148772000,130068000,95483000,23483000,-46709000,41612000,-33795000,-44989000,-60020000,-103810000,-94257000
78,Accounts Receivable,38443000,-13132000,-62350000,12872000,1188000,-44727000,145753000,29450000,-64844000,-4833000,49732000,65541000,-44959000
79,Inventory,60428000,-5745000,-90634000,-100268000,33135000,-25880000,344000,57294000,-66646000,-60903000,54265000,51621000,8000000
80,Accounts Payable,-61846000,14167000,56256000,-4781000,-1475000,62772000,-111264000,3799000,52142000,-4192000,-48056000,-69399000,36327000
81,Other Working Capital,190913000,215162000,363934000,494002000,589485000,612968000,566259000,607871000,574076000,529087000,469067000,365257000,271000000
82,Other Non-Cash Items,13962000,-19380000,-247288000,-197217000,-108868000,-8454000,257863000,47231000,-32426000,340593000,665119000,143947000,108872000
83,Cash Provided by Operating Activities,107751000,65981000,39275000,137941000,211393000,269966000,155913000,64742000,-40033000,2407000,104144000,3883000,-15000000
84,CAPEX,-15278000,-19886000,-41319000,-49860000,-60263000,-53792000,-32291000,-16828000,-26709000,-24043000,-15102000,-2246000,-2000000
85,Acquisitions Net,-1725000,- -,-509857000,-134663000,-292995000,-16899000,-59015000,5691000,-161259000,-51364000,43237000,105204000,-3000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000
88,Other Investing Activites,-9189000,-19216000,-40257000,-49860000,3965000,-53792000,-32291000,-16828000,-26709000,-24043000,-15102000,-17348000,16000000
89,Cash Used for Investing Activites,-10914000,-19216000,-550114000,-184523000,-289030000,-70691000,-91306000,-11137000,-187968000,-75407000,28135000,108250000,10000000
90,Debt Repayment,-102524000,-407987000,-62283000,-454483000,-716055000,-99646000,-120750000,-92000,-1187000,-212930000,-258097000,-210645000,-14000000
91,Common Stock Issued,76000,64928000,57046000,270813000,5458000,11101000,5275000,87676000,1491000,249000,- -,- -,- -
92,Common Stock Repurchased,-251000,-28489000,-54000,-56000,-4316000,-96632000,-6438000,-623000,-4742000,-2777000,-1094000,-195000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,8167000,317283000,515439000,249508000,791967000,23159000,94976000,-766000,105001000,221980000,137000000,169075000,-62243000
95,Cash Used/Provided by Financing Activities,-94532000,-54265000,510148000,65782000,77054000,-162018000,-26937000,86195000,100563000,6522000,-122191000,-41765000,-76243000
96,Effect of Forex Changes on Cash,4648000,954000,891000,1315000,-898000,-260000,-5000000,-14627000,8232000,-1497000,582000,338000,-439000
97,Net Change In Cash,6953000,-6546000,200000,20515000,-1481000,36997000,32670000,125173000,-119206000,-67975000,10670000,70706000,-81759000
98,Cash at the End of Period,26894000,20348000,20548000,41063000,39582000,76579000,109249000,234422000,115216000,47241000,57911000,128617000,46858000
99,Cash at the Beginning of Period,19941000,26894000,20348000,20548000,41063000,39582000,76579000,109249000,234422000,115216000,47241000,57911000,128617000
100,Free Cash Flow,92473000,46095000,-2044000,88081000,151130000,216174000,123622000,47914000,-66742000,-21636000,89042000,1637000,-17000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1401257/000144530513000490/0001445305-13-000490-index.htm,https://www.sec.gov/Archives/edgar/data/1401257/000140125714000055/0001401257-14-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1401257/000140125715000056/0001401257-15-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1401257/000140125716000139/0001401257-16-000139-index.htm,https://www.sec.gov/Archives/edgar/data/1401257/000140125717000034/0001401257-17-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1401257/000140125718000060/0001401257-18-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1401257/000140125719000075/0001401257-19-000075-index.htm,https://www.sec.gov/Archives/edgar/data/1401257/000140125720000056/0001401257-20-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1401257/000140125721000031/0001401257-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1401257/000140125722000022/0001401257-22-000022-index.htm
102,false,,,,,,,,,,,,,
