,https://roic.ai/company/CLSK,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
73,Net Income,-22048,-30779,-18846,-37807,-19745,-31772,-45145,-3485003,-2540562,-13498526,-47006165,-26116932,-23346143,-21812010
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,1513,2800,578456,3318340,2234464,3356616,2880818,12244368
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,3242305,1544982,135546,1502343,1993043,2053232,8546712
77,Change in Working Capital,6368,-16197,-23435,-14324,-25045,233051,-70269,189461,-419605,-628547,9182662,-5512126,44793970,-41474976
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-37031,15148,7806,-1001830,-209226,-2011250
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2238378
80,Accounts Payable,6368,13814,-12130,2620,-3562,5993,-58992,45309,-16307,144,44807,723832,3415168,5006403
81,Other Working Capital,-26297,-42494,-65929,-80253,-105298,127753,57484,246945,-172660,-801207,8381455,2869329,47663299,146128
82,Other Non-Cash Items,15680,46976,32171,47299,43995,-200922,10397,-140224,398564,9311322,32826175,20581410,-33024611,7066564
83,Cash Provided by Operating Activities,- -,- -,-10110,-4832,-795,357,-103504,-190661,-438165,-1361865,-1260521,-5697989,-6642734,-35429342
84,CAPEX,- -,- -,- -,- -,- -,- -,-3525,-79547,-20855,-133320,-419232,-673953,-34897,-228576826
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1513802,-954353
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-750000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,373121
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-3525,-2594,-11182,-115642,-404005,-571192,-84924,11443132
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-3525,-79547,-20855,-126320,-419232,-673953,-2383623,-217714926
90,Debt Repayment,- -,- -,- -,- -,- -,-500,-41571,- -,-6784,-26922,-174476,-1638164,-217467,-6171155
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,200000,242000,813800,880000,271900,361800,4000000,270656118
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-177502
94,Other Financing Activites,- -,- -,10150,5000,1000,- -,65071,- -,- -,255706,1937978,15074386,531169,3750932
95,Cash Used/Provided by Financing Activities,- -,- -,10150,5000,1000,-500,223500,242000,807016,1108784,2035402,13798022,4313702,268058393
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,168,205,-143,116471,-28208,347996,-379401,355649,7426080,-4712655,14914125
98,Cash at the End of Period,- -,- -,40,208,413,270,116741,88533,436529,57128,412777,7838857,3126202,18040327
99,Cash at the Beginning of Period,- -,- -,- -,40,208,413,270,116741,88533,436529,57128,412777,7838857,3126202
100,Free Cash Flow,- -,- -,-10110,-4832,-795,357,-107029,-270208,-459020,-1495185,-1679753,-6371942,-6762555,-264006168
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/827876/000107878212003299/0001078782-12-003299-index.html,https://www.sec.gov/Archives/edgar/data/827876/000107878213002489/0001078782-13-002489-index.html,https://www.sec.gov/Archives/edgar/data/827876/000125529414001293/0001255294-14-001293-index.html,https://www.sec.gov/Archives/edgar/data/827876/000166225215000002/0001662252-15-000002-index.html,https://www.sec.gov/Archives/edgar/data/827876/000166357716000436/0001663577-16-000436-index.html,https://www.sec.gov/Archives/edgar/data/827876/000166357718000019/0001663577-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/827876/000166357719000036/0001663577-19-000036-index.htm,https://www.sec.gov/Archives/edgar/data/827876/000166357719000420/0001663577-19-000420-index.html,https://www.sec.gov/Archives/edgar/data/827876/000166357720000499/0001663577-20-000499-index.htm,https://www.sec.gov/Archives/edgar/data/827876/000166357721000668/0001663577-21-000668-index.htm
102,false,,,,,,,,,,,,,,
