,https://roic.ai/company/SONO,2015,2016,2017,2018,2019,2020,2021
74,Depreciation and Amortization,27858000,34323000,35014000,39358000,36415000,36426000,33882000
75,Deferred Income Tax,617000,-857000,1443000,152000,-268000,-567000,-8330000
76,Stock Based Compensation,23277000,25963000,36550000,38645000,46575000,57610000,62127000
77,Change in Working Capital,43918000,11679000,46337000,123040000,75392000,-9273000,214022000
78,Accounts Receivable,-7166000,-4590000,-2727000,-26505000,-32078000,49593000,-45697000
79,Inventory,-16040000,5878000,-60270000,-80107000,-31796000,38010000,-7911000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,20187000,31866000,78203000,201243000,276635000,267362000,481384000
82,Other Non-Cash Items,11772000,10400000,-41167000,-155021000,-32712000,97905000,-207070000
83,Cash Provided by Operating Activities,38665000,43294000,63960000,30570000,120636000,161986000,253226000
84,CAPEX,-65651000,-52520000,-33553000,-35747000,-23222000,-33035000,-45531000
85,Acquisitions Net,- -,- -,- -,- -,- -,-36289000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,134000,- -,- -,- -,- -,-33035000,- -
89,Cash Used for Investing Activites,-65517000,-52520000,-33553000,-35747000,-23222000,-69324000,-45531000
90,Debt Repayment,- -,-85400000,- -,-70000000,-6667000,-8333000,-25000000
91,Common Stock Issued,129916000,- -,10078000,90562000,- -,- -,- -
92,Common Stock Repurchased,-130003000,-145000,-10016000,-911000,-2426000,-61044000,-97851000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,35466000,93514000,23893000,74723000,30989000,42286000,147818000
95,Cash Used/Provided by Financing Activities,35379000,7969000,23955000,94374000,21896000,-27091000,24967000
96,Effect of Forex Changes on Cash,-2788000,-182000,1320000,1138000,-1610000,2900000,148000
97,Net Change In Cash,5739000,-1439000,55682000,90335000,117700000,68471000,232810000
98,Cash at the End of Period,76352000,74913000,130595000,220930000,338820000,407291000,640101000
99,Cash at the Beginning of Period,70613000,76352000,74913000,130595000,221120000,338820000,407291000
100,Free Cash Flow,-26986000,-9226000,30407000,-5177000,97414000,128951000,207695000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1314727/000131472718000015/0001314727-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1314727/000131472719000038/0001314727-19-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1314727/000131472720000052/0001314727-20-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1314727/000131472721000039/0001314727-21-000039-index.htm
102,false,,,,,,,
