,https://roic.ai/company/JFU,2016,2017,2018,2019,2020
58,Total Non-Current Liabilities,312438000,1213789000,1738270000,931528000,121426000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,125407000,29503000
61,Total Liabilities,1155026000,2571142000,2853041000,2552536000,1163185000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,2000,2000
64,Retained Earnings,640168000,987714000,2671275000,488236000,-1822749000
65,Other Comprehensive Income/Loss,95313000,162168000,526470000,551249000,459399000
66,Other Total Stockholders Equity,- -,- -,- -,5241296000,5531926000
67,Total Stockholders Equity,986659000,3688445000,6244470000,6280783000,4168578000
68,Total Liabilities And Stockholders Equity,2141685000,6259587000,9097511000,8833319000,5331763000
69,Minority Interest,11976000,16196000,10450000,47045000,54738000
70,Total Liabilities & Equity,2153661000,6275783000,9107961000,8880364000,5386501000
71,SEC Link,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,156038000,597704000,1981804000,-2159576000,-2258895000
74,Depreciation and Amortization,9362000,11888000,18763000,37469000,24217000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,110429000,2180505000,508162000,353151000,290630000
77,Change in Working Capital,114859000,3869000,-218829000,-1065886000,-741914000
78,Accounts Receivable,-2449000,-219666000,122956000,-1539946000,234860000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -
81,Other Working Capital,3416000,2447000,-31849000,43833000,-251533000
82,Other Non-Cash Items,23284000,71624000,55992000,2405795000,941363000
83,Cash Provided by Operating Activities,413972000,2865590000,2345892000,-429047000,-1744599000
84,CAPEX,-20086000,-47692000,-48575000,-56690000,- -
85,Acquisitions Net,-20800000,-43478000,- -,-58298000,- -
86,Purchases of Investments,-84521000,-1484185000,-2152077000,-1057105000,-579339000
87,Sales/Maturities of Investments,- -,600000000,1549617000,1099717000,41172000
88,Other Investing Activites,-97503000,-36328000,-585785000,-635235000,577633000
89,Cash Used for Investing Activites,-222910000,-1011683000,-1236820000,-707611000,39466000
90,Debt Repayment,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,463065000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,701000,563360000,545886000,8913000,12896000
95,Cash Used/Provided by Financing Activities,701000,563360000,545886000,471978000,12896000
96,Effect of Forex Changes on Cash,12736000,-23100000,35333000,5043000,212000
97,Net Change In Cash,204499000,2394167000,1690291000,-659637000,-1692026000
98,Cash at the End of Period,1384619000,3778786000,5469077000,4809440000,3117414000
99,Cash at the Beginning of Period,1180120000,1384619000,3778786000,5469077000,4809440000
100,Free Cash Flow,393886000,2817898000,2297317000,-485737000,-1744599000
101,SEC Link,- -,- -,- -,- -,- -
102,Forex Rate,0.1439,0.1537,0.1453,0.1436,0.1532
