,https://roic.ai/company/CRVW,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
68,Total Liabilities And Stockholders Equity,3590000,3933591,6076451,22183227,16396101,12816165,10378929,30632102,22010677,12118350,8994603,5291887,5503609,-84251943
69,Minority Interest,10000,-17500,-115966,-227010,-329552,-378269,-436609,-501692,-554753,- -,- -,- -,- -,89333110
70,Total Liabilities & Equity,3600000,3916091,5960485,21956217,16066549,12437896,9942320,30130410,21455924,12118350,8994603,5291887,5503609,5081167
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1377149/000138713112000684/0001387131-12-000684-index.html,https://www.sec.gov/Archives/edgar/data/1377149/000138713113001119/0001387131-13-001119-index.html,- -,https://www.sec.gov/Archives/edgar/data/1377149/000138713115001126/0001387131-15-001126-index.htm,https://www.sec.gov/Archives/edgar/data/1377149/000138713116004824/0001387131-16-004824-index.html,https://www.sec.gov/Archives/edgar/data/1377149/000138713117001750/0001387131-17-001750-index.html,https://www.sec.gov/Archives/edgar/data/1377149/000138713118001293/0001387131-18-001293-index.html,https://www.sec.gov/Archives/edgar/data/1377149/000138713119002310/0001387131-19-002310-index.html,https://www.sec.gov/Archives/edgar/data/1377149/000138713120003439/0001387131-20-003439-index.htm,https://www.sec.gov/Archives/edgar/data/1377149/000138713121004274/0001387131-21-004274-index.htm,https://www.sec.gov/Archives/edgar/data/1377149/000138713122004492/0001387131-22-004492-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-3170000,-6176173,-18851758,-16264252,-18502970,-14518305,-14451725,-16284992,-18612697,-20072014,-16077850,-14140446,-11682646,-10080363
74,Depreciation and Amortization,680000,631568,733575,1584752,2112609,1611546,1651310,1727440,1816093,1887377,1284616,720567,597119,635016
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,905492,4390735,760866,1132857,439534,714123,774322,717385,398338,262953,195657,165029,642995
77,Change in Working Capital,-10000,-2069427,2585979,7434379,-3484694,-2478143,627559,15094721,-7986113,-15169969,-7767473,-9890781,-48596551,-15115432
78,Accounts Receivable,- -,-8267,-80123,-114444,-245142,62709,-375110,-496261,107100,-141664,-73612,-381757,519852,213286
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-408450,59234
80,Accounts Payable,- -,118615,65649,1094547,-850603,248515,-170106,87620,-136930,169828,143998,-69447,2152,-27669
81,Other Working Capital,-340000,-2409427,176552,7610931,4126237,1648094,2275653,17370374,9384261,-5785708,-13553181,-23443962,-72040513,-87155945
82,Other Non-Cash Items,430000,4002879,6998096,745425,11419703,10392866,6917560,-6651972,17996099,26696034,17456240,21678201,58725647,24596550
83,Cash Provided by Operating Activities,-2070000,-2705661,-4143373,-5738830,-7322495,-4552502,-4541173,-5340481,-6069233,-6260234,-4841514,-1436802,-791402,678766
84,CAPEX,-230000,-799864,-2479076,-6780374,-622790,-174083,-643837,-1032707,-1722638,-1094873,-562557,-296710,-275730,-99241
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-75000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,10000,-6024,-23303,-49286,-472314,-338454,-411533,-3734565,-86014,-267111,-191854,-186194,-159510,-128247
89,Cash Used for Investing Activites,-220000,-783864,-2554076,-6780374,-1010713,-444440,-1013640,-4613478,-1516828,-1261632,-624153,-344182,-302189,-227488
90,Debt Repayment,- -,- -,-84214,-167692,-42252,-2110,-984105,-192,-4650,-500000,-200000,-150000,-200000,- -
91,Common Stock Issued,- -,1225716,6476735,- -,- -,2703129,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,1420000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1450000,1583972,113191,21187188,5262451,1007255,4960000,25086858,- -,- -,3050000,250000,1381800,-150000
95,Cash Used/Provided by Financing Activities,2870000,2809688,6505712,21019496,5220199,3708274,3975895,25086666,-4650,-500000,2850000,100000,1181800,-150000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,580000,-679837,-191737,8500292,-3113009,-1288668,-1578918,15132707,-7590711,-8021866,-2615667,-1680984,88209,301278
98,Cash at the End of Period,580000,218302,26565,8526857,5413848,4125180,2546262,17678969,10088258,2066392,1950725,269741,357950,659228
99,Cash at the Beginning of Period,- -,898139,218302,26565,8526857,5413848,4125180,2546262,17678969,10088258,4566392,1950725,269741,357950
100,Free Cash Flow,-2300000,-3505525,-6622449,-12519204,-7945285,-4726585,-5185010,-6373188,-7791871,-7355107,-5404071,-1733512,-1067132,579525
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1377149/000138713112000684/0001387131-12-000684-index.html,https://www.sec.gov/Archives/edgar/data/1377149/000138713113001119/0001387131-13-001119-index.html,- -,https://www.sec.gov/Archives/edgar/data/1377149/000138713115001126/0001387131-15-001126-index.htm,https://www.sec.gov/Archives/edgar/data/1377149/000138713116004824/0001387131-16-004824-index.html,https://www.sec.gov/Archives/edgar/data/1377149/000138713117001750/0001387131-17-001750-index.html,https://www.sec.gov/Archives/edgar/data/1377149/000138713118001293/0001387131-18-001293-index.html,https://www.sec.gov/Archives/edgar/data/1377149/000138713119002310/0001387131-19-002310-index.html,https://www.sec.gov/Archives/edgar/data/1377149/000138713120003439/0001387131-20-003439-index.htm,https://www.sec.gov/Archives/edgar/data/1377149/000138713121004274/0001387131-21-004274-index.htm,https://www.sec.gov/Archives/edgar/data/1377149/000138713122004492/0001387131-22-004492-index.htm
102,false,,,,,,,,,,,,,,
