,https://roic.ai/company/OLB,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,122170,31111,89423,113045,- -,57000,100000,50000,133313,203000,163000,53500,3055000,151162,192691,28650521
95,Cash Used/Provided by Financing Activities,122170,60311,66323,42967,135000,57000,175000,125000,133313,202687,163000,53500,25000,151162,3793536,28815530
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-8722,2133,-1663,-115,3353,-3063,8038,-6064,- -,- -,-1715,-580,- -,396030,3316875,-354152
98,Cash at the End of Period,200,2333,670,555,3908,845,8883,2819,- -,2875,1160,580,111586,507616,3824491,3470339
99,Cash at the Beginning of Period,8922,200,2333,670,555,3908,845,8883,2819,- -,2875,1160,- -,111586,507616,3824491
100,Free Cash Flow,-130892,-58178,-67986,-43082,-131647,-60063,-166962,-131064,-136132,-199812,-164715,-54080,-131092,244868,-476661,-13104681
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1314196/000121390020011981/0001213900-20-011981-index.htm,https://www.sec.gov/Archives/edgar/data/1314196/000121390021018415/0001213900-21-018415-index.htm,https://www.sec.gov/Archives/edgar/data/1314196/000121390022015583/0001213900-22-015583-index.htm
102,false,,,,,,,,,,,,,,,,
