,https://roic.ai/company/ANGI,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,154000,43000,5000,40000,51000,44000,43000,-49106000,-7483000,-1668000,-15168000,-32013000
23,Net Income,-11981000,-27246000,-49037000,-52894000,-32989000,-12074000,10243000,-7857000,-103118000,77318000,34829000,-6283000,-71378000
24,Net Income ratio,-0.2627,-0.4615,-0.5446,-0.3395,-0.1343,-0.0383,0.0298,-0.0243,-0.1400,0.0683,0.0263,-0.0043,-0.0423
25,EPS,-0.44,-0.64,-1.60,-0.92,-0.57,-0.21,0.18,-0.13,-0.24,0.16,0.07,-0.01,-0.11
26,EPS Diluted,-0.44,-0.64,-1.60,-0.92,-0.57,-0.21,0.17,-0.13,-0.24,0.15,0.07,-0.01,-0.11
27,Weighted Average Shares Outstanding,27125491,42754519,30655532,57486000,58231000,58510000,58521000,58860000,430612000,483237500,497557143,628300000,628300000
28,Weighted Average Shares Outstanding Diluted,27125491,42754519,30655532,57486000,58231000,58510000,58783000,58860000,430612000,515453333,497557143,628300000,628300000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1705110/000170511018000004/0001705110-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1705110/000170511019000002/0001705110-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1705110/000170511020000003/0001705110-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1705110/000170511021000015/0001705110-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1705110/000170511022000021/0001705110-22-000021-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2166000,9509000,88907000,42638000,34803000,39991000,32599000,22402000,221521000,336984000,390565000,812705000,428136000
32,Short-Term Investments,- -,- -,- -,10460000,21055000,24268000,23976000,16541000,- -,24947000,- -,49995000,- -
33,Cash and Short-Term Investments,2166000,9509000,88907000,53098000,55858000,64259000,56575000,38943000,221521000,361931000,390565000,862700000,428136000
34,Net Receivables,2000000,2726000,3937000,7787000,12385000,15141000,17019000,16371000,28085000,51513000,41669000,43148000,84387000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,4072000,5703000,11835000,19860000,13701000,18120000,19026000,17002000,12772000,60683000,67759000,71958000,70548000
37,Total Current Assets,8238000,17938000,104679000,80745000,81944000,97520000,92620000,72316000,262378000,474127000,499993000,977806000,583071000
38,PP&E,1730000,1677000,3883000,12079000,18657000,51264000,77635000,82714000,53292000,70859000,204604000,108842000,118267000
39,Goodwill,415000,415000,415000,415000,1145000,1145000,1145000,1145000,770226000,894709000,883960000,891797000,916039000
40,Intangible Assets,1035000,1145000,1555000,2356000,3500000,2755000,2011000,1219000,328571000,304295000,251725000,209717000,193826000
41,Intangible Assets,1450000,1560000,1970000,2771000,4645000,3900000,3156000,2364000,1098797000,1199004000,1135685000,1101514000,1109865000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,50723000,40837000,72581000,- -,122693000
44,Other Non-Current Assets,881000,1426000,866000,634000,397000,1854000,1462000,- -,2072000,23200000,8748000,180020000,76245000
45,Total Non-Current Assets,4061000,4663000,6719000,15484000,23699000,57018000,82253000,85078000,1204884000,1333900000,1421618000,1390376000,1427070000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,12299000,22601000,111398000,96229000,105643000,154538000,174873000,157394000,1467262000,1808027000,1921611000,2368182000,2010141000
48,Accounts Payable,3110000,4474000,5266000,8861000,9815000,8239000,12909000,7219000,18933000,20083000,25987000,30805000,38860000
49,Short-Term Debt,2035000,7267000,- -,- -,- -,- -,1500000,1500000,14566000,13750000,13750000,15700000,- -
50,Tax Payable,1000000,1550000,1430000,2130000,3158000,4263000,4307000,3792000,- -,- -,- -,- -,- -
51,Deferred Revenue,15529000,19836000,30796000,50787000,75008000,82166000,81632000,65505000,62371000,61417000,58220000,54654000,53834000
52,Other Current Liabilities,2895000,4739000,10532000,11686000,18793000,20440000,17903000,18795000,75171000,105987000,116997000,132519000,183815000
53,Total Current Liabilities,23569000,36316000,46594000,71334000,103616000,110845000,113944000,93019000,171041000,201237000,214954000,233678000,276509000
54,Long-Term Debt,22503000,16463000,14820000,14869000,14918000,58854000,57596000,56142000,260309000,245986000,231946000,712277000,494552000
55,Deferred Revenue,2495000,3425000,3990000,4544000,5430000,5413000,4382000,2488000,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,154000,158000,163000,169000,- -,- -,- -,5626000,3808000,3441000,1296000,1883000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,1600000,1332000,1245000,27192000,35009000,147718000,138074000,91670000
58,Total Non-Current Liabilities,24998000,20042000,18968000,19576000,20517000,65867000,63310000,59875000,293127000,284803000,383105000,851647000,588105000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15700000,- -
61,Total Liabilities,48567000,56358000,65562000,90910000,124133000,176712000,177254000,152894000,464168000,486040000,598059000,1085325000,864614000
62,Preferred Stock,- -,2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,33000,65000,66000,67000,67000,67000,68000,478000,502000,509000,516000,522000
64,Retained Earnings,-90177000,-117423000,-166460000,-219354000,-252343000,-264417000,-254174000,-262031000,-121764000,-18797000,16032000,9749000,-61629000
65,Other Comprehensive Income/Loss,-1924000,-2563000,-2568000,-3617000,-5432000,-9279000,-12662000,-2000000,2232000,-1861000,-1379000,4637000,3309000
66,Other Total Stockholders Equity,55833000,86194000,214799000,228224000,239218000,251455000,264388000,268463000,1112400000,1333097000,1299126000,1257388000,1192417000
67,Total Stockholders Equity,-36268000,-33757000,45836000,5319000,-18490000,-22174000,-2381000,4500000,993346000,1312941000,1314288000,1272290000,1134619000
68,Total Liabilities And Stockholders Equity,12299000,22601000,111398000,96229000,105643000,154538000,174873000,157394000,1457514000,1798981000,1912347000,2357615000,1999233000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,9748000,9046000,9264000,10567000,10908000
70,Total Liabilities & Equity,12299000,22601000,111398000,96229000,105643000,154538000,174873000,157394000,1467262000,1808027000,1921611000,2368182000,2010141000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1705110/000170511018000004/0001705110-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1705110/000170511019000002/0001705110-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1705110/000170511020000003/0001705110-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1705110/000170511021000015/0001705110-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1705110/000170511022000021/0001705110-22-000021-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-11981000,-27246000,-49037000,-52894000,-32989000,-12074000,10243000,-7857000,-103118000,77318000,34829000,-6283000,-71378000
74,Depreciation and Amortization,1517000,1378000,1660000,2753000,4069000,5576000,6402000,13148000,37804000,86522000,95397000,95523000,75676000
75,Deferred Income Tax,- -,154000,4000,5000,6000,11000,17000,22000,-48350000,-8368000,-3250000,-15278000,-36306000
76,Stock Based Compensation,- -,- -,- -,2943000,4064000,7889000,8875000,14744000,149230000,97078000,68255000,83649000,28702000
77,Change in Working Capital,4083000,-3047000,76463000,-48674000,-31083000,8347000,-7999000,621000,112040000,181553000,12149000,459089000,-118672000
78,Accounts Receivable,-440000,-662000,-1275000,-5805000,-7256000,-7784000,-7624000,-6756000,-33179000,-47686000,-78954000,-79830000,-115379000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,864000,718000,2089000,1223000,-1151000,-2952000,5467000,-6717000,778000,-576000,13627000,17206000,14018000
81,Other Working Capital,-15331000,-18378000,58085000,9411000,-21672000,-13325000,-21324000,-20703000,91337000,272890000,285039000,744128000,-1387000
82,Other Non-Cash Items,1075000,17682000,-62225000,62470000,64839000,-5120000,9153000,-19043000,-105783000,-210403000,6781000,-428281000,128187000
83,Cash Provided by Operating Activities,-5306000,-11079000,-33135000,-33397000,8906000,4629000,26691000,1635000,41823000,223700000,214161000,188419000,6209000
84,CAPEX,-449000,-629000,-3085000,-11765000,-8871000,-37841000,-34766000,-18796000,-26837000,-46976000,-68804000,-52488000,-70215000
85,Acquisitions Net,- -,- -,- -,- -,-2150000,- -,- -,- -,-66340000,3669000,3274000,-1533000,-24857000
86,Purchases of Investments,- -,- -,- -,-10491000,-32814000,-26671000,-24537000,-17474000,- -,-59671000,- -,-99977000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,21978000,23360000,24766000,24891000,- -,35000000,25000000,50000000,50000000
88,Other Investing Activites,-175000,-1568000,-4276000,-1785000,-769000,-21106000,-25691000,-13864000,-26837000,-36589000,-68907000,-52444000,-70215000
89,Cash Used for Investing Activites,-175000,-1568000,-4276000,-22006000,-21857000,-41152000,-34537000,-11379000,-93177000,-57591000,-40633000,-103954000,-45072000
90,Debt Repayment,-275000,-2117000,-31838000,- -,- -,-15123000,-221000,-235000,-181580000,-15654000,-14758000,-27500000,-220000000
91,Common Stock Issued,- -,- -,88565000,8627000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-1822000,-21897000,- -,- -,- -,- -,- -,- -,- -,-56905000,-63674000,-35403000
93,Dividends Paid,- -,-96000,- -,- -,- -,- -,- -,- -,- -,- -,-11355000,- -,- -
94,Other Financing Activites,-14000,23875000,81979000,807000,5116000,56834000,675000,-218000,416917000,-33367000,-38514000,428227000,-89765000
95,Cash Used/Provided by Financing Activities,-289000,19840000,116809000,9434000,5116000,41711000,454000,-453000,235337000,-49021000,-121532000,337053000,-345168000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,1161000,212000,661000,565000,-45000
97,Net Change In Cash,-5770000,7193000,79398000,-45969000,-7835000,5188000,-7392000,-10197000,185144000,117300000,52657000,422083000,-384076000
98,Cash at the End of Period,2016000,9209000,88607000,42638000,34803000,39991000,32599000,22402000,221521000,338821000,391478000,813561000,429485000
99,Cash at the Beginning of Period,7786000,2016000,9209000,88607000,42638000,34803000,39991000,32599000,36377000,221521000,338821000,391478000,813561000
100,Free Cash Flow,-5755000,-11708000,-36220000,-45162000,35000,-33212000,-8075000,-17161000,14986000,176724000,145357000,135931000,-64006000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1705110/000170511018000004/0001705110-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1705110/000170511019000002/0001705110-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1705110/000170511020000003/0001705110-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1705110/000170511021000015/0001705110-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1705110/000170511022000021/0001705110-22-000021-index.htm
102,false,,,,,,,,,,,,,
