,https://roic.ai/company/APG,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,- -,- -,121032500,121032500,133117000,169000000,169000000
28,Weighted Average Shares Outstanding Diluted,- -,- -,121032500,121032500,133117000,169000000,169000000
29,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1796209/000156459021014986/0001564590-21-014986-index.htm,https://www.sec.gov/Archives/edgar/data/1796209/000095017022002474/0000950170-22-002474-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,54000000,256000000,515000000,1188000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,54000000,256000000,515000000,1188000000
34,Net Receivables,- -,- -,- -,1005000000,975000000,781000000,984000000
35,Inventory,- -,- -,- -,56000000,58000000,64000000,69000000
36,Other Current Assets,- -,- -,- -,27000000,53000000,77000000,385000000
37,Total Current Assets,- -,- -,- -,1142000000,1342000000,1437000000,2626000000
38,PP&E,- -,- -,- -,328000000,507000000,462000000,427000000
39,Goodwill,- -,- -,- -,320000000,980000000,1082000000,1106000000
40,Intangible Assets,- -,- -,- -,204000000,1121000000,965000000,882000000
41,Intangible Assets,- -,- -,- -,524000000,2101000000,2047000000,1988000000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,89000000,73000000
44,Other Non-Current Assets,- -,- -,- -,47000000,61000000,30000000,45000000
45,Total Non-Current Assets,- -,- -,- -,899000000,2669000000,2628000000,2533000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,2041000000,4011000000,4065000000,5159000000
48,Accounts Payable,- -,- -,- -,174000000,156000000,150000000,236000000
49,Short-Term Debt,- -,- -,- -,295000000,46000000,49000000,28000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,203000000,193000000,219000000,243000000
52,Other Current Liabilities,- -,- -,- -,327000000,428000000,423000000,360000000
53,Total Current Liabilities,- -,- -,- -,999000000,823000000,841000000,867000000
54,Long-Term Debt,- -,- -,- -,305000000,1171000000,1397000000,1845000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,23000000,45000000,43000000
57,Other Non-Current Liabilities,- -,- -,- -,104000000,237000000,224000000,81000000
58,Total Non-Current Liabilities,- -,- -,- -,409000000,1431000000,1666000000,1969000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,122000000,127000000,106000000
61,Total Liabilities,- -,- -,- -,1408000000,2254000000,2507000000,2836000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,635000000,-128000000,-298000000,-237000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-18000000,-14000000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,1903000000,1870000000,- -
67,Total Stockholders Equity,- -,- -,- -,633000000,1757000000,1558000000,2323000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,2041000000,4011000000,4065000000,5159000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,2041000000,4011000000,4065000000,5159000000
71,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1796209/000156459021014986/0001564590-21-014986-index.htm,https://www.sec.gov/Archives/edgar/data/1796209/000095017022002474/0000950170-22-002474-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,- -,- -,112000000,136000000,-153000000,-153000000,47000000
74,Depreciation and Amortization,- -,- -,69000000,109000000,69000000,263000000,202000000
75,Deferred Income Tax,- -,- -,- -,- -,-2000000,-74000000,6000000
76,Stock Based Compensation,- -,- -,10000000,3000000,156000000,5000000,12000000
77,Change in Working Capital,- -,- -,-99000000,-1099008960,376000000,77000000,-147000000
78,Accounts Receivable,- -,- -,-86000000,-119000000,41000000,120000000,-99000000
79,Inventory,- -,- -,-1000000,-9000000,- -,11000000,-2000000
80,Accounts Payable,- -,- -,5000000,1000000,-32000000,-24000000,78000000
81,Other Working Capital,- -,- -,- -,143000000,519000000,596000000,-70000000
82,Other Non-Cash Items,- -,- -,26000000,963008960,-296000000,378000000,62000000
83,Cash Provided by Operating Activities,- -,- -,118000000,112000000,150000000,496000000,182000000
84,CAPEX,- -,- -,-39000000,-74000000,-11000000,-38000000,-55000000
85,Acquisitions Net,- -,- -,-63000000,-234000000,-2565000000,-319000000,-86000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,46000000,8000000,848000000,17000000,20000000
89,Cash Used for Investing Activites,- -,- -,-56000000,-300000000,-1728000000,-340000000,-121000000
90,Debt Repayment,- -,- -,-10000000,-12000000,- -,-21000000,-321000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-1000000,- -,- -,-30000000,- -
93,Dividends Paid,- -,- -,-111000000,-74000000,- -,- -,- -
94,Other Financing Activites,- -,- -,16000000,289000000,1398000000,150000000,1238000000
95,Cash Used/Provided by Financing Activities,- -,- -,-106000000,203000000,1398000000,99000000,917000000
96,Effect of Forex Changes on Cash,- -,- -,3000000,-2000000,-1000000,4000000,-2000000
97,Net Change In Cash,- -,- -,-41000000,13000000,-181000000,259000000,976000000
98,Cash at the End of Period,- -,- -,41000000,54000000,256000000,515000000,1491000000
99,Cash at the Beginning of Period,- -,- -,82000000,41000000,437000000,256000000,515000000
100,Free Cash Flow,- -,- -,79000000,38000000,139000000,458000000,127000000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1796209/000156459021014986/0001564590-21-014986-index.htm,https://www.sec.gov/Archives/edgar/data/1796209/000095017022002474/0000950170-22-002474-index.htm
102,false,,,,,,,
