,https://roic.ai/company/BIOC,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
48,Accounts Payable,1033124,1387677,1540618,641406,632538,960486,1269953,2039718,2011827,8364858,7246000
49,Short-Term Debt,12039694,21631427,7181599,55800,1698982,2197339,1577803,641536,1566781,963726,1509000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2439049,4579699,4601515,733577,1009268,1235727,1813589,1928393,1980204,3165669,3018000
53,Total Current Liabilities,15511867,27598803,13323732,1430783,3340788,4393552,4661345,4609647,5558812,12494253,11773000
54,Long-Term Debt,1575000,745000,- -,4754516,2638487,1123001,- -,- -,- -,9805361,9736000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,350125,510771,462001,623517,914908,1403112,1421527,1098137,973189,1459550,1428000
58,Total Non-Current Liabilities,1925125,1255771,462001,5378033,3553395,2526113,1421527,1098137,973189,11264911,11164000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,124601,402113,262674,1559055,1626551,2539970,12228637,- -
61,Total Liabilities,17436992,28854574,13785733,6808816,6894183,6919665,6082872,5707784,6532001,23759164,22937000
62,Preferred Stock,2718,2718,6942,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,16,16,19,445,1967,1750,3518,463,5474,1340,2000
64,Retained Earnings,-100928267,-113187793,-122420976,-138287022,-155236548,-173635870,-195249607,-220457578,-245717189,-263524093,-266351000
65,Other Comprehensive Income/Loss,-3724855,-4090423,-4356977,-4608180,-3793210,-3933999,-4354097,-4934728,-4258297,- -,- -
66,Other Total Stockholders Equity,89272885,89890587,114314978,142674188,162720526,178226780,200896220,228434362,261170655,287215175,303829000
67,Total Stockholders Equity,-15377503,-27384895,-12456014,-220569,3692735,658661,1296034,3042519,11200643,23692422,37480000
68,Total Liabilities And Stockholders Equity,2059489,1469679,1329719,6588247,10586918,7578326,7378906,8750303,17732644,47451586,60417000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2059489,1469679,1329719,6588247,10586918,7578326,7378906,8750303,17732644,47451586,60417000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1044378/000156459015001482/0001564590-15-001482-index.htm,https://www.sec.gov/Archives/edgar/data/1044378/000156459016014436/0001564590-16-014436-index.htm,https://www.sec.gov/Archives/edgar/data/1044378/000156459017005382/0001564590-17-005382-index.htm,https://www.sec.gov/Archives/edgar/data/1044378/000156459018006985/0001564590-18-006985-index.htm,https://www.sec.gov/Archives/edgar/data/1044378/000156459019009914/0001564590-19-009914-index.htm,https://www.sec.gov/Archives/edgar/data/1044378/000156459020013670/0001564590-20-013670-index.htm,https://www.sec.gov/Archives/edgar/data/1044378/000156459021017097/0001564590-21-017097-index.htm,https://www.sec.gov/Archives/edgar/data/1044378/000156459022013599/0001564590-22-013599-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-13629286,-12259526,-9233183,-15866046,-16949526,-18399322,-21613737,-24571601,-25138039,-17806904,-2824000
74,Depreciation and Amortization,369312,365568,266554,251203,261409,322029,575717,800905,773314,1085234,2637000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,135073,252134,952521,1822661,1377824,1593947,1247481,623412,869579,940984,2462000
77,Change in Working Capital,837887,-12319223,14669537,16825248,1828102,-4921507,-1784449,1807240,6932551,11765966,13819249
78,Accounts Receivable,-5251,-13634,9685,-1400,-23600,-94769,-1064457,-380899,-1952753,-10617833,358000
79,Inventory,-44854,-117287,38464,-82126,-126106,-168115,100875,-50021,-194928,244825,107000
80,Accounts Payable,854748,354553,-175280,-981869,-51790,332732,349932,601872,14838,4463722,-411000
81,Other Working Capital,-14703714,-27022937,-12353400,4471848,6299950,1378443,-406006,1401234,8333785,20099751,33919000
82,Other Non-Cash Items,1302641,15354031,-12857792,-17638112,-1672650,5707795,1924262,-1015174,-6486666,-15772380,-12404249
83,Cash Provided by Operating Activities,-10984373,-8607016,-6202363,-14605046,-15154841,-15697058,-19650726,-22355218,-23049261,-19787100,3690000
84,CAPEX,-295373,-8046,-711,-394925,-165160,-482065,-1400180,-145253,-735300,-866814,-1572000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,30662,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-295373,-8046,-711,-394925,-165160,-451403,-1400180,-145253,-735300,-866814,-1572000
90,Debt Repayment,-217813,- -,- -,-2369250,-625440,-1238487,-2101013,-1358349,-539415,-702588,-1150000
91,Common Stock Issued,- -,- -,- -,17390240,9788057,13771301,13505094,25693474,25744997,24193928,14120000
92,Common Stock Repurchased,- -,- -,-4111,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,10422905,8365026,6091107,5274385,9614131,-596350,7184104,-557892,4457012,2229110,-592000
95,Cash Used/Provided by Financing Activities,10205092,8365026,6086996,20295375,18776748,11936464,18588185,23777233,29662594,25720450,12378000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1074654,-250036,-116078,5295404,3456747,-4211997,-2462721,1276762,5878033,5066536,14496058
98,Cash at the End of Period,435292,185256,69178,5364582,8821329,4609332,2146611,3423373,9301406,14367942,28864000
99,Cash at the Beginning of Period,1509946,435292,185256,69178,5364582,8821329,4609332,2146611,3423373,9301406,14367942
100,Free Cash Flow,-11279746,-8615062,-6203074,-14999971,-15320001,-16179123,-21050906,-22500471,-23784561,-20653914,2118000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1044378/000156459015001482/0001564590-15-001482-index.htm,https://www.sec.gov/Archives/edgar/data/1044378/000156459016014436/0001564590-16-014436-index.htm,https://www.sec.gov/Archives/edgar/data/1044378/000156459017005382/0001564590-17-005382-index.htm,https://www.sec.gov/Archives/edgar/data/1044378/000156459018006985/0001564590-18-006985-index.htm,https://www.sec.gov/Archives/edgar/data/1044378/000156459019009914/0001564590-19-009914-index.htm,https://www.sec.gov/Archives/edgar/data/1044378/000156459020013670/0001564590-20-013670-index.htm,https://www.sec.gov/Archives/edgar/data/1044378/000156459021017097/0001564590-21-017097-index.htm,https://www.sec.gov/Archives/edgar/data/1044378/000156459022013599/0001564590-22-013599-index.htm
102,false,,,,,,,,,,,
