,https://roic.ai/company/BDCO,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,300000,600000,1800000,100000,500000,-3100000,1797033,- -,- -,- -,- -,- -,13105,14679,4057,6415,3085,4585,20921,9678,89255,-5587578,2434302,3607237,- -,-260000,- -,-15000,- -
23,Net Income,-4300000,-2300000,-2900000,-2000000,-900000,900000,1500000,7400000,100000,1000000,-9100000,-2086511,-10135120,-2649142,482054,-793058,-2500334,541386,912864,-1625572,-1966240,-4136892,-1022895,617935,-18284632,-3807129,15758756,4403239,-15767448,-22328390,-523000,7361000,-14458000,-12841000
24,Net Income ratio,-0.7414,-0.4423,-0.6905,-0.6061,-0.2903,0.1731,0.2206,1.4510,0.0244,0.2000,-2.5278,-0.7568,-1.2761,-0.4659,0.1656,-0.3151,-1.7416,0.1200,0.2124,-0.5397,-0.6577,-2.0758,-0.3731,0.2717,-0.0519,-0.0093,0.0407,0.0199,-0.0939,-0.0864,-0.0015,0.0238,-0.0827,-0.0427
25,EPS,-21.50,-12.60,-17.85,-8.40,-5.25,1.96,3.13,15.67,0.21,1.54,-14.14,-3.01,-11.90,-3.08,0.56,-0.84,-2.59,0.42,0.56,-0.98,-1.19,-2.45,-0.55,0.30,-1.78,-0.36,1.51,0.42,-1.51,-2.09,-0.05,0.66,-1.15,-1.02
26,EPS Diluted,-21.50,-12.60,-17.85,-8.40,-5.25,1.68,2.09,11.49,0.16,1.54,-14.14,-3.01,-11.90,-3.08,0.56,-0.84,-2.59,0.42,0.56,-0.98,-1.19,-2.45,-0.55,0.29,-1.78,-0.36,1.51,0.42,-1.51,-2.09,-0.05,0.66,-1.15,-1.02
27,Weighted Average Shares Outstanding,200000,59714,179272,273809,228571,306122,455851,454882,486542,637438,641762,691071,851901,857716,906261,948611,962055,1251923,1600419,1652614,1663197,1683676,1864354,2093840,10284152,10445883,10441464,10451832,10464061,10689615,10935787,11156995,12574465,12574465
28,Weighted Average Shares Outstanding Diluted,200000,59714,179272,273809,228571,357142,596095,600731,625768,647314,641762,691071,851901,862172,908437,948611,962055,1267729,1615235,1652614,1663197,1683676,1864354,2096497,10284152,10445883,10441464,10451832,10464061,10689615,10935787,11156995,12574465,12574465
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/793306/000095013409005313/0000950134-09-005313-index.html,https://www.sec.gov/Archives/edgar/data/793306/000095012310041913/0000950123-10-041913-index.htm,- -,https://www.sec.gov/Archives/edgar/data/793306/000119312512143471/0001193125-12-143471-index.html,https://www.sec.gov/Archives/edgar/data/793306/000135448813001663/0001354488-13-001663-index.html,https://www.sec.gov/Archives/edgar/data/793306/000135448814001502/0001354488-14-001502-index.htm,https://www.sec.gov/Archives/edgar/data/793306/000135448815001500/0001354488-15-001500-index.htm,https://www.sec.gov/Archives/edgar/data/793306/000135448816006800/0001354488-16-006800-index.html,https://www.sec.gov/Archives/edgar/data/793306/000165495417002908/0001654954-17-002908-index.html,https://www.sec.gov/Archives/edgar/data/793306/000165495418003531/0001654954-18-003531-index.html,https://www.sec.gov/Archives/edgar/data/793306/000165495419003873/0001654954-19-003873-index.html,https://www.sec.gov/Archives/edgar/data/793306/000165495420003540/0001654954-20-003540-index.htm,https://www.sec.gov/Archives/edgar/data/793306/000165495421003642/0001654954-21-003642-index.htm,https://www.sec.gov/Archives/edgar/data/793306/000165495422004427/0001654954-22-004427-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,550000,3300000,200000,200000,900000,700000,400000,2700000,1200000,1800000,600000,1166730,2071682,3343560,4405676,2702892,1560549,1297088,5499147,5226779,3864876,1016483,625854,1941221,420896,1654377,1361731,1853875,1152628,495296,14000,72000,549000,9
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,550000,3300000,200000,200000,900000,700000,400000,2700000,1200000,1800000,600000,1166730,2071682,3343560,4405676,2702892,1560549,1297088,5499147,5226779,3864876,1016483,625854,1941221,420896,1654377,1361731,1853875,1152628,495296,14000,72000,549000,9
34,Net Receivables,1010000,900000,500000,500000,300000,1100000,800000,900000,700000,900000,700000,1542328,2406751,1258239,515292,489085,316364,1602296,1174319,693977,442715,428124,598391,534873,15398755,13487106,8340303,5457245,3688755,2009787,379000,1810000,214000,126
35,Inventory,210000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300692,4686399,3200651,7808318,2075538,3089204,1510000,1645000,1062000,3098
36,Other Current Assets,1050000,400000,300000,200000,100000,100000,200000,300000,200000,- -,200000,318139,1613641,163825,294192,157654,191394,182577,337167,508517,436242,359850,213071,302236,1554354,661071,1779972,7997149,4027983,1385151,2137000,2548000,3736000,2591
37,Total Current Assets,2820000,4700000,1100000,900000,1300000,1900000,1400000,3900000,2100000,2700000,1500000,3027197,6092074,4765624,5215160,3349631,2068307,3081961,7010633,6429273,4743833,1804457,1437316,2778330,19674697,20488953,14682657,23116587,10944904,6979438,4040000,6075000,5561000,5824
38,PP&E,21300000,20800000,19200000,18400000,17700000,19200000,19000000,20200000,20600000,20100000,8900000,15661563,5345357,5980073,4687260,5774456,5323801,4980227,4911866,4503919,4522317,3817508,4534981,3621168,35862085,36388666,37371075,48841812,62324463,64596939,64697000,64542000,62497000,60255
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,303346,303346,303346,303346,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,303346,303346,303346,303346,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,1022000,205000,230000,230000,230000,230000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,244444,244444,244444,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120491,- -,- -,108000,50000,- -,- -
44,Other Non-Current Assets,-10000,900000,1000000,1100000,1100000,300000,400000,1000000,1500000,2100000,4800000,3316444,2475524,798871,601044,603363,11359,11359,21999,10640,9463,9463,9463,9463,845144,498536,6050079,18007960,1582305,1601947,1602000,547000,-230000,-5594
45,Total Non-Current Assets,21290000,21700000,20200000,19500000,18800000,19500000,19400000,21200000,22100000,22200000,13700000,18978007,7820881,7023388,5532748,6622263,5335160,4991586,4933865,4514559,4531780,3826971,4544444,3630631,36707229,37190548,45724500,68295609,64415114,66428886,66637000,65369000,62497000,54661
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,24110000,26400000,21300000,20400000,20100000,21400000,20800000,25100000,24200000,24900000,15200000,22005204,13912955,11789012,10747908,9971894,7403467,8073547,11944498,10943832,9275613,5631428,5981760,6408961,56381926,57679501,60407157,91412196,75360018,73408324,70677000,71444000,68058000,60485
48,Accounts Payable,- -,- -,- -,1000000,500000,1600000,600000,1000000,1100000,700000,900000,1347944,2235493,1039820,366304,2557972,740907,394765,264684,432974,389268,372275,543327,441699,20765034,20783541,12370179,15182714,14921983,3318195,4248000,2026000,3274000,2548
49,Short-Term Debt,- -,600000,700000,200000,1600000,1500000,1400000,1900000,- -,- -,200000,1319045,2218412,- -,- -,- -,880000,570000,- -,25996,- -,173479,124936,- -,1860901,2227802,1245476,1934932,32212336,39544402,41904000,51552000,57938000,43168
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1228411,1290101,28881,209996,95000,183000,58000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,252500,781859,858770,558829,543000,2500000,1520000,1200
52,Other Current Liabilities,18360000,4200000,2000000,1000000,1400000,1100000,900000,300000,- -,400000,300000,266977,249704,4923085,2606245,111390,43861,64456,93661,371815,35589,34132,194612,222127,1365590,5407444,4015493,2329143,764078,33070841,29209000,9386000,15109000,37365
53,Total Current Liabilities,18360000,4800000,2700000,2200000,3500000,4200000,2900000,3200000,1100000,1100000,1400000,2933966,4703609,5962905,2972549,2669362,1664768,1029221,358345,830785,424857,579886,862875,663826,23991525,28418787,17883648,20228648,48757167,76492267,75904000,65464000,77841000,84281
54,Long-Term Debt,- -,11400000,7300000,8400000,7400000,5100000,4500000,- -,2100000,2100000,2100000,- -,- -,- -,750000,750000,620000,500000,- -,- -,- -,- -,- -,- -,13989517,13889349,10808803,35237736,6114690,1608481,- -,- -,33692000,994
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,691525,125085,83390,41695,- -,1930000,- -,1200
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,800000,600000,1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,980000,3000000,3600000,2400000,3000000,4200000,3300000,3000000,800000,- -,100000,466988,550000,- -,1260000,1551509,1754097,1756269,2014408,1883512,2209186,2262018,2535386,2483701,1780044,3257654,3055713,3430021,3701512,- -,- -,564000,- -,3461
58,Total Non-Current Liabilities,980000,14400000,10900000,10800000,10400000,9300000,7800000,3800000,3500000,3200000,2200000,466988,550000,- -,2010000,2301509,2374097,2256269,2014408,1883512,2209186,2262018,2535386,2483701,15769561,17147003,14556041,38792842,9899592,1650176,- -,2494000,33692000,5655
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,815000,564000,- -
61,Total Liabilities,19340000,19200000,13600000,13000000,13900000,13500000,10700000,7000000,4600000,4300000,3600000,3400954,5253609,5962905,4982549,4970871,4038865,3285490,2372753,2714297,2634043,2841904,3398261,3147527,39761086,45565790,32439689,59021490,58656759,78142443,75904000,67958000,2245000,5655
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,5520000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59509,60167,60915,66066,66578,68637,99393,115555,116104,116912,118770,20785,20984,105633,105810,105995,106038,106248,109255,110000,123000,- -,127
64,Retained Earnings,-11990000,- -,-3200000,-5500000,-6800000,-6200000,-4900000,2100000,1900000,2900000,-6200000,-8237597,-18372717,-21021859,-20539805,-21332863,-23833197,-23291811,-22378947,-24004519,-25970759,-30107651,-31130546,-30512611,-20008935,-23816064,-8057308,-3654069,-19421517,-41749907,-42273000,-34912000,- -,-62211
65,Other Comprehensive Income/Loss,-3870000,- -,-1000000,-2200000,-3000000,-3700000,-4300000,-4300000,-4500000,-4800000,-17200000,-17412195,-30444622,-27227024,-23700652,-2126963,-2518932,-2926210,-3428268,-3966087,-4494059,-5011401,-5630730,-5449061,-1674151,-3016713,-4586575,-6234161,-6685244,-8495378,-10429000,-12739000,- -,- -
66,Other Total Stockholders Equity,15110000,7200000,11900000,15100000,16000000,17800000,19300000,20300000,22200000,22500000,35000000,44194533,57416518,54014075,49939750,28394271,29648094,30906685,35263405,36084037,36989476,37789806,39323990,39202122,38198293,38840678,40505356,42172898,42703772,45401911,47365000,51014000,- -,38457
67,Total Stockholders Equity,4770000,7200000,7700000,7400000,6200000,7900000,10100000,18100000,19600000,20600000,11600000,18604250,8659346,5826107,5765359,5001023,3364602,4788057,9571745,8229535,6641570,2789524,2583499,3261434,16620840,12113711,27967468,32390706,16703259,-4734119,-5227000,3486000,-10786000,-23627
68,Total Liabilities And Stockholders Equity,24110000,26400000,21300000,20400000,20100000,21400000,20800000,25100000,24200000,24900000,15200000,22005204,13912955,11789012,10747908,9971894,7403467,8073547,11944498,10943832,9275613,5631428,5981760,6408961,56381926,57679501,60407157,91412196,75360018,73408324,70677000,71444000,-8541000,-17972
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76599000,78457
70,Total Liabilities & Equity,24110000,26400000,21300000,20400000,20100000,21400000,20800000,25100000,24200000,24900000,15200000,22005204,13912955,11789012,10747908,9971894,7403467,8073547,11944498,10943832,9275613,5631428,5981760,6408961,56381926,57679501,60407157,91412196,75360018,73408324,70677000,71444000,68058000,60485
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/793306/000095013409005313/0000950134-09-005313-index.html,https://www.sec.gov/Archives/edgar/data/793306/000095012310041913/0000950123-10-041913-index.htm,- -,https://www.sec.gov/Archives/edgar/data/793306/000119312512143471/0001193125-12-143471-index.html,https://www.sec.gov/Archives/edgar/data/793306/000135448813001663/0001354488-13-001663-index.html,https://www.sec.gov/Archives/edgar/data/793306/000135448814001502/0001354488-14-001502-index.htm,https://www.sec.gov/Archives/edgar/data/793306/000135448815001500/0001354488-15-001500-index.htm,https://www.sec.gov/Archives/edgar/data/793306/000135448816006800/0001354488-16-006800-index.html,https://www.sec.gov/Archives/edgar/data/793306/000165495417002908/0001654954-17-002908-index.html,https://www.sec.gov/Archives/edgar/data/793306/000165495418003531/0001654954-18-003531-index.html,https://www.sec.gov/Archives/edgar/data/793306/000165495419003873/0001654954-19-003873-index.html,https://www.sec.gov/Archives/edgar/data/793306/000165495420003540/0001654954-20-003540-index.htm,https://www.sec.gov/Archives/edgar/data/793306/000165495421003642/0001654954-21-003642-index.htm,https://www.sec.gov/Archives/edgar/data/793306/000165495422004427/0001654954-22-004427-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-4300000,-2300000,-2900000,-2000000,-900000,900000,1500000,7400000,100000,1000000,-9100000,-2086511,-10135120,-2649142,482054,-793058,-2500334,541386,912864,-1625572,-1966240,-4136892,-1022895,617935,-18284632,-3807129,15758756,4403239,-15767448,-22328390,-523000,7361000,-14458000,-12841000
74,Depreciation and Amortization,1550000,1800000,1500000,1100000,1000000,1000000,700000,600000,400000,400000,400000,595286,1996910,1817770,818642,488052,555184,457847,502058,554704,527972,517342,- -,- -,1622176,1352026,1570962,1647586,1935644,1810134,1933000,- -,2686000,2780000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,1400000,100000,500000,-3100000,1765616,- -,- -,- -,- -,244444,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5760106,2152869,3607237,- -,-216000,- -,15000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,298275,204846,53760,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,2000000,15440000,-1500000,300000,-900000,-100000,800000,2200000,300000,600000,-1500000,-6769,1295234,-2585746,3439892,-1562342,-276730,1649201,4599548,-1053800,-1279512,-3094405,-650130,1540063,-6431332,-3613006,4728843,6088930,-40700202,-31700566,-2351171,12475000,-12891000,72201543
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,224563,14591,-170267,63518,-14724996,1111649,5146803,2883058,2413358,1092766,1631000,-1431000,1596000,- -
79,Inventory,- -,- -,- -,200000,- -,- -,-300000,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2288436,-2385707,1485748,-4607667,5732780,-1013666,1579000,-135000,583000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3228128,- -,-2485172,-272565,-3936463,-12316662,2821000,3117000,5904000,- -
81,Other Working Capital,-15540000,-100000,-1600000,-1300000,-2200000,-2300000,-1500000,700000,1000000,1600000,100000,93231,1388465,-1197281,2242611,680269,403539,2052740,6652288,5598488,4318976,1224571,574441,2114504,-4316828,-7929834,-3200991,2887939,-37812263,-69512829,-71864000,-59389000,-72280000,-78457
82,Other Non-Cash Items,2660000,-14940000,2900000,-300000,-400000,-700000,-3100000,-11100000,-400000,-1100000,13700000,-1354230,10443779,4863620,-7576967,502891,-625398,-2598802,-4798911,1941502,1819421,5376501,1494672,-4035184,23161115,7091927,-9120276,-6366097,47045429,47275253,2162171,-28187000,20747000,-62140543
83,Cash Provided by Operating Activities,1910000,- -,- -,-900000,-1200000,1100000,-100000,500000,500000,1400000,400000,-1086608,3600803,1446502,-2836379,-1364457,-2602834,49632,1215559,-183166,-600084,-1132608,-124593,-1877186,67327,1023818,7178179,7926527,-3879340,-4943569,1005000,-8351000,-3901000,- -
84,CAPEX,-920000,- -,- -,-500000,-200000,-700000,-500000,-900000,-500000,-300000,-400000,-10290563,-1269924,-1764245,-692993,-244493,-11141,-35849,-283147,-111552,-761819,-15643,-58719,-246494,-2852460,-1477729,-1720156,-12244658,-14100897,-2431701,-2029000,-1574000,-1085000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-155576,-492460,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1674709,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1177,- -,- -,-1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,900000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,130000,- -,- -,600000,1300000,100000,-100000,8400000,-3200000,-600000,-1400000,4832335,-2121976,4668712,4591488,-93834,885870,142131,- -,- -,-761819,-15643,-58719,3563983,- -,-1276729,-1720156,-29605133,-14100897,-2431701,-2029000,-1574000,-1085000,- -
89,Cash Used for Investing Activites,-790000,- -,- -,100000,1100000,300000,-300000,7500000,-3700000,-900000,-1800000,-5458228,-3547476,2412007,3898495,-338327,874729,106282,-284324,-111552,-761819,-1515643,-58719,3317489,-1177751,-1276729,-1720156,-29605133,-14100897,-2431701,-2029000,-1574000,-1085000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200142,-204713,-124936,-3303673,-5498911,-6599507,-12881612,-3701616,-1364031,-890000,-3152000,-3585000,- -
91,Common Stock Issued,- -,- -,- -,300000,100000,100000,100000,100000,1700000,- -,- -,6248057,200179,12748,- -,- -,28400,12900,3840824,22350,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-235610,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
