,https://roic.ai/company/GWTI,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-890000,-980000,-4380000,-4030000,-2020000,-9147400,-3194980,-3661250,-2541972,-1744376
24,Net Income ratio,-14.8333,-49.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.02,-0.01,-0.01,-0.02,-0.01,-0.03,-0.01,-0.01,-0.01,-0.01
26,EPS Diluted,-0.02,-0.01,-0.01,-0.02,-0.01,-0.03,-0.01,-0.01,-0.01,-0.01
27,Weighted Average Shares Outstanding,118991313,127324190,138442759,165860150,202062054,273028802,285638699,291502726,312854191,312854191
28,Weighted Average Shares Outstanding Diluted,118991313,127324190,138442759,165860150,202062054,273028802,285638699,291502726,312854191,312854191
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1572386/000101054914000173/0001010549-14-000173-index.htm,https://www.sec.gov/Archives/edgar/data/1572386/000101054915000098/0001010549-15-000098-index.htm,https://www.sec.gov/Archives/edgar/data/1572386/000101054918000271/0001010549-18-000271-index.htm,https://www.sec.gov/Archives/edgar/data/1572386/000101054918000273/0001010549-18-000273-index.htm,https://www.sec.gov/Archives/edgar/data/1572386/000101054918000119/0001010549-18-000119-index.htm,https://www.sec.gov/Archives/edgar/data/1572386/000101054919000107/0001010549-19-000107-index.htm,https://www.sec.gov/Archives/edgar/data/1572386/000149315220006394/0001493152-20-006394-index.htm,https://www.sec.gov/Archives/edgar/data/1572386/000149315221008754/0001493152-21-008754-index.htm,https://www.sec.gov/Archives/edgar/data/1572386/000149315222009515/0001493152-22-009515-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,200000,- -,80000,- -,67960,91520,73210,16040,1628,60549
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,200000,- -,80000,- -,67960,91520,73210,16040,1628,60549
34,Net Receivables,- -,- -,780,- -,- -,- -,- -,387850,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,70000,60000,-780,- -,13480,157500,- -,25000,11235,56
37,Total Current Assets,270000,60000,80000,- -,81440,249020,73210,428890,12863,60605
38,PP&E,2030000,2010000,70000,740,350,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,744,349,- -,- -,- -,- -,- -
42,Investments,106000,90000,90000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,4000,- -,1670000,-744,4651,20000,15000,- -,- -,- -
45,Total Non-Current Assets,2140000,2100000,1830000,740,5350,20000,15000,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2410000,2160000,1910000,740,86790,269020,88210,428890,12863,60605
48,Accounts Payable,- -,80000,30000,85550,86520,140040,738850,1032680,805237,- -
49,Short-Term Debt,201000,506579,451865,763,134253,150834,638250,2139843,3949,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1919000,1923421,3858135,2184987,2282867,2706346,3400510,3620857,8047887,9947425
53,Total Current Liabilities,2120000,2510000,4340000,2271300,2503640,2997220,4777610,6793380,8857073,9947425
54,Long-Term Debt,890000,860000,- -,- -,- -,84000,- -,525000,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,890000,860000,- -,- -,- -,84000,- -,525000,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,3010000,3370000,4340000,2271300,2503640,3081220,4777610,7318380,8857073,9947425
62,Preferred Stock,1574,1580,1574,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,10000,10000,20000,19900,23130,28770,29100,30150,33527,- -
64,Retained Earnings,-3070000,-4040000,-8430000,-12458130,-14476210,-23623600,-26818580,-30479830,-33021801,-34766177
65,Other Comprehensive Income/Loss,-80000,-190000,-10000,-3270,-3670,-4020,-4020,-4020,-4015,- -
66,Other Total Stockholders Equity,2537349,3006720,6383795,10170941,12039897,20786649,22104104,23564215,24148079,24879357
67,Total Stockholders Equity,-601077,-1211700,-2034631,-2270559,-2416853,-2812201,-4689396,-6889485,-8844210,-9886820
68,Total Liabilities And Stockholders Equity,2408923,2158300,2305369,741,86787,269019,88214,428895,12863,60605
69,Minority Interest,1077,1700,-395369,-1,3,1,-4,-5,- -,- -
70,Total Liabilities & Equity,2410000,2160000,1910000,740,86790,269020,88210,428890,12863,60605
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1572386/000101054914000173/0001010549-14-000173-index.htm,https://www.sec.gov/Archives/edgar/data/1572386/000101054915000098/0001010549-15-000098-index.htm,https://www.sec.gov/Archives/edgar/data/1572386/000101054918000271/0001010549-18-000271-index.htm,https://www.sec.gov/Archives/edgar/data/1572386/000101054918000273/0001010549-18-000273-index.htm,https://www.sec.gov/Archives/edgar/data/1572386/000101054918000119/0001010549-18-000119-index.htm,https://www.sec.gov/Archives/edgar/data/1572386/000101054919000107/0001010549-19-000107-index.htm,https://www.sec.gov/Archives/edgar/data/1572386/000149315220006394/0001493152-20-006394-index.htm,https://www.sec.gov/Archives/edgar/data/1572386/000149315221008754/0001493152-21-008754-index.htm,https://www.sec.gov/Archives/edgar/data/1572386/000149315222009515/0001493152-22-009515-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-890000,-980000,-4380000,-4030000,-2020000,-9147400,-3194980,-3661250,-2541972,-1744376
74,Depreciation and Amortization,61918,118457,119350,398,395,349,- -,- -,293156,35202
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,5650938,50000,420000,42000,- -
77,Change in Working Capital,857241,-600000,-1810000,1988700,-150900,-326000,-1956200,-1660090,-2479720,-1042610
78,Accounts Receivable,- -,-1680,900,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,1391,78464,-9287,50559,973,53521,778806,293833,-69,-138107
81,Other Working Capital,-1850000,-2450000,-4260000,-2271300,-2422200,-2748200,-4704400,-6364490,-8844210,-9886820
82,Other Non-Cash Items,88302,789117,5102009,736555,324740,1595360,3811744,3568812,4000504,1959878
83,Cash Provided by Operating Activities,117461,-672426,-968641,-1304347,-1845765,-2226753,-1289436,-1332528,-686032,-791906
84,CAPEX,-1983,-59204,- -,- -,- -,- -,- -,-387847,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-390528,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,16000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-25000,- -
89,Cash Used for Investing Activites,-392511,-43204,- -,- -,- -,- -,- -,-387847,-25000,- -
90,Debt Repayment,- -,- -,- -,-47200,-89600,-131754,-8500,-50000,-115000,- -
91,Common Stock Issued,25000,105000,336500,1397110,1755000,2191750,602500,360000,155000,656500
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-69508,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,443160,416629,713355,-79058,248329,259819,677129,1353207,656617,194327
95,Cash Used/Provided by Financing Activities,468160,521629,1049855,1270852,1913729,2250307,1271129,1663207,696617,850827
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,193110,-194001,81214,1270852,1913729,23554,-18308,-57168,-14415,58921
98,Cash at the End of Period,195443,1442,82656,- -,67964,91518,73211,16043,1628,60549
99,Cash at the Beginning of Period,2333,195443,1442,77504,- -,67964,91519,73211,16043,1628
100,Free Cash Flow,115478,-731630,-968641,-1304347,-1845765,-2226753,-1289436,-1332528,-686032,-791906
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1572386/000101054914000173/0001010549-14-000173-index.htm,https://www.sec.gov/Archives/edgar/data/1572386/000101054915000098/0001010549-15-000098-index.htm,https://www.sec.gov/Archives/edgar/data/1572386/000101054918000271/0001010549-18-000271-index.htm,https://www.sec.gov/Archives/edgar/data/1572386/000101054918000273/0001010549-18-000273-index.htm,https://www.sec.gov/Archives/edgar/data/1572386/000101054918000119/0001010549-18-000119-index.htm,https://www.sec.gov/Archives/edgar/data/1572386/000101054919000107/0001010549-19-000107-index.htm,https://www.sec.gov/Archives/edgar/data/1572386/000149315220006394/0001493152-20-006394-index.htm,https://www.sec.gov/Archives/edgar/data/1572386/000149315221008754/0001493152-21-008754-index.htm,https://www.sec.gov/Archives/edgar/data/1572386/000149315222009515/0001493152-22-009515-index.htm
102,false,,,,,,,,,,
