,https://roic.ai/company/WTER,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,- -,-42626,- -,-4229513,-7139449,-8281584,-3454600,-6687280,-8617565,-14826821,-16409520
24,Net Income ratio,- -,-Infinity,- -,-7.6525,-1.9293,-1.1683,-0.2707,-0.3375,-0.2676,-0.3604,-0.3521
25,EPS,- -,-0.02,- -,-2.50,-3.00,-2.19,-0.22,-0.33,-0.27,-0.34,-0.24
26,EPS Diluted,- -,-0.02,- -,-2.50,-3.00,-2.19,-0.22,-0.33,-0.27,-0.34,-0.24
27,Weighted Average Shares Outstanding,- -,1763967,2190000,1604414,2234096,3772941,15550257,20643082,31932168,43016474,69502652
28,Weighted Average Shares Outstanding Diluted,- -,1763967,2190000,1604414,2234096,3772941,15550257,20643082,31932168,43016474,69502652
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1532390/000106299315003853/0001062993-15-003853-index.htm,https://www.sec.gov/Archives/edgar/data/1532390/000106299316010562/0001062993-16-010562-index.htm,https://www.sec.gov/Archives/edgar/data/1532390/000106299317003236/0001062993-17-003236-index.htm,https://www.sec.gov/Archives/edgar/data/1532390/000106299318002765/0001062993-18-002765-index.htm,https://www.sec.gov/Archives/edgar/data/1532390/000106299319002758/0001062993-19-002758-index.htm,https://www.sec.gov/Archives/edgar/data/1532390/000106299320003916/0001062993-20-003916-index.htm,https://www.sec.gov/Archives/edgar/data/1532390/000106299321006297/0001062993-21-006297-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,4588,1462,64607,2665,90113,1192119,603805,988905,11032451,4561682,9130956
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4588,1462,64607,2665,90113,1192119,603805,988905,11032451,4561682,9130956
34,Net Receivables,- -,- -,15110,166404,416373,911390,1419281,2599095,3068181,4917081,8458176
35,Inventory,- -,- -,7573,57965,193355,434708,819988,1002020,2058012,2919860,4407720
36,Other Current Assets,- -,4000,- -,54288,17500,10806,307247,296471,378699,1784592,1274407
37,Total Current Assets,4588,5462,87290,281322,717341,2549023,3150321,4886491,16537343,14183215,23271259
38,PP&E,- -,- -,38083,286986,1199900,1226564,934292,1169635,1944965,1422581,1279350
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,15000,- -,- -,-30,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,53083,286986,1199900,1226534,934292,1169635,1944965,1422581,1279350
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4588,5462,140373,568308,1917241,3775557,4084613,6056126,18482308,15605796,24550609
48,Accounts Payable,- -,- -,13141,338557,605535,847452,1343824,2052988,2898958,5406541,7055348
49,Short-Term Debt,- -,- -,150000,83348,452419,1043264,1626290,2723598,3131279,7390606,4882587
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,604,20604,6715,414418,355377,262756,459323,819299,1095458,1186516,1306106
53,Total Current Liabilities,604,20604,169856,836323,1413331,2153472,3429437,5595885,7125695,13983663,13244041
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,292582
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,83820,233770,95204,8006,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,83820,233770,95204,8006,- -,- -,- -,292582
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,443314,338827,198213,- -,- -,99389,522187
61,Total Liabilities,604,20604,169856,920143,1647101,2248676,3437443,5595885,7125695,13983663,13536623
62,Preferred Stock,- -,- -,- -,20000,20000,23000,23000,5300,5300,3400,- -
63,Common Stock,4500,7300,77500,81602,124496,14568,17531,25990,39573,45585,87464
64,Retained Earnings,-516,-43142,-283388,-4512901,-11652350,-19933934,-23388534,-30077314,-38694879,-53521700,-69931220
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-219257,-537555,-897149,-1267899,-1848568,-2859809,- -
66,Other Total Stockholders Equity,- -,- -,176405,4059464,11997251,21960802,25078178,31774164,51855487,57954657,80857742
67,Total Stockholders Equity,3984,-15142,-29483,-351835,270140,1526881,833026,460241,11356913,1622133,11013986
68,Total Liabilities And Stockholders Equity,4588,5462,140373,568308,1917241,3775557,4270469,6056126,18482608,15605796,24550609
69,Minority Interest,- -,- -,- -,- -,- -,- -,-185856,- -,-300,- -,- -
70,Total Liabilities & Equity,4588,5462,140373,568308,1917241,3775557,4084613,6056126,18482308,15605796,24550609
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1532390/000106299315003853/0001062993-15-003853-index.htm,https://www.sec.gov/Archives/edgar/data/1532390/000106299316010562/0001062993-16-010562-index.htm,https://www.sec.gov/Archives/edgar/data/1532390/000106299317003236/0001062993-17-003236-index.htm,https://www.sec.gov/Archives/edgar/data/1532390/000106299318002765/0001062993-18-002765-index.htm,https://www.sec.gov/Archives/edgar/data/1532390/000106299319002758/0001062993-19-002758-index.htm,https://www.sec.gov/Archives/edgar/data/1532390/000106299320003916/0001062993-20-003916-index.htm,https://www.sec.gov/Archives/edgar/data/1532390/000106299321006297/0001062993-21-006297-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,-42626,- -,-4229513,-7139449,-8281584,-3454600,-6687280,-8617565,-14826821,-16409520
74,Depreciation and Amortization,- -,- -,- -,42407,175036,318328,359556,418777,580669,1011241,1002369
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,4551961,379125,3554912,393460,1591555,3725463
77,Change in Working Capital,- -,-4000,- -,-472435,-140989,1091541,-674667,-430278,10121042,-9212096,9827666
78,Accounts Receivable,- -,- -,- -,-161294,-256194,-495017,-507891,-1179814,-469086,-1848900,-3541095
79,Inventory,- -,- -,- -,-50392,-135390,-241353,-385280,-182032,-1055992,-861848,-1487860
80,Accounts Payable,- -,- -,- -,325417,268798,241917,496372,709164,845970,2507583,1648807
81,Other Working Capital,- -,-82566,- -,-555001,-695990,395551,-279116,-709394,9411648,199552,10027218
82,Other Non-Cash Items,- -,7000,- -,3268561,3952621,-789787,837333,518020,-10606219,7793485,-12426216
83,Cash Provided by Operating Activities,- -,-39626,- -,-1390980,-3152781,-3109541,-2553253,-2625849,-8128613,-13642636,-14280238
84,CAPEX,- -,- -,- -,-276310,-352169,-344961,-253170,-317855,-1356299,-488557,-585393
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-276310,-352169,-344961,-253170,-317855,-1356299,-488557,-585393
90,Debt Repayment,- -,- -,- -,- -,-26588,-1937090,-683701,-277128,-131583,- -,- -
91,Common Stock Issued,- -,23500,- -,1100000,2361999,3751200,425000,- -,17238429,- -,14899545
92,Common Stock Repurchased,- -,- -,- -,- -,-247170,- -,-43000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,13000,- -,505348,1504157,2742398,2520810,3605932,2421612,7660424,4535360
95,Cash Used/Provided by Financing Activities,- -,36500,- -,1605348,3592398,4556508,2219109,3328804,19528458,7660424,19434905
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-3126,- -,-61942,87448,1102006,-587314,385100,10043546,-6470769,4569274
98,Cash at the End of Period,- -,1462,- -,2665,90113,1192119,604805,988905,11032451,4561682,9130956
99,Cash at the Beginning of Period,- -,4588,- -,64607,2665,90113,1192119,603805,988905,11032451,4561682
100,Free Cash Flow,- -,-39626,- -,-1667290,-3504950,-3454502,-2806423,-2943704,-9484912,-14131193,-14865631
101,SEC Link,undefined,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1532390/000106299315003853/0001062993-15-003853-index.htm,https://www.sec.gov/Archives/edgar/data/1532390/000106299316010562/0001062993-16-010562-index.htm,https://www.sec.gov/Archives/edgar/data/1532390/000106299317003236/0001062993-17-003236-index.htm,https://www.sec.gov/Archives/edgar/data/1532390/000106299318002765/0001062993-18-002765-index.htm,https://www.sec.gov/Archives/edgar/data/1532390/000106299319002758/0001062993-19-002758-index.htm,https://www.sec.gov/Archives/edgar/data/1532390/000106299320003916/0001062993-20-003916-index.htm,https://www.sec.gov/Archives/edgar/data/1532390/000106299321006297/0001062993-21-006297-index.htm
102,false,,,,,,,,,,,
