,https://roic.ai/company/GPFT,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
19,Total Other Income Expenses (Gains),99894,-62129,178826,-8805,279071,16450,-2278607,-15541525,4032610,- -,524,-1180231,-4085979,4480285,-1807804,-2723218,-2851
20,Income Before Tax,-1916350,-1218740,-2121124,-2060455,-906128,-1911264,-4199821,-17925913,2637284,800,-1119386,-2631630,-6760670,2853310,-8129350,-4599570,-4057
21,Income Before Tax Ratio,-1.4964,-0.5816,-1.5305,-1.5565,-0.5161,-1.4003,-3.5668,-16.7749,2.5056,Infinity,-2.8106,-11.9181,-204.3733,68.2120,-Infinity,-10.1941,-1.1047
22,Income Tax expense (Gain),800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,- -,- -
23,Net Income,-1917150,-1219540,-2121924,-2061255,-906928,-1912064,-4200621,-17926713,2636484,- -,-1120186,-2632430,-6761470,2852510,-8130150,-4609030,-4057
24,Net Income ratio,-1.4970,-0.5819,-1.5310,-1.5571,-0.5165,-1.4009,-3.5675,-16.7756,2.5049,- -,-2.8126,-11.9217,-204.3975,68.1929,-Infinity,-10.2150,-1.1047
25,EPS,-0.20,-0.20,-0.20,-0.20,-0.07,-0.20,-0.22,-1.00,0.20,- -,-0.20,-0.20,-0.60,0.21,-0.25,-0.03,-0.00
26,EPS Diluted,-0.20,-0.20,-0.20,-0.20,-0.07,-0.20,-0.22,-1.00,0.07,- -,-0.20,-0.20,-0.60,0.18,-0.25,-0.03,-0.00
27,Weighted Average Shares Outstanding,7758126,8525118,9720223,10596078,12177600,14725581,18836145,19631201,24997320,149752796,7487639,9204944,10641763,13825914,32116087,140042737,494922470
28,Weighted Average Shares Outstanding Diluted,7758126,8525118,9720223,10596078,12177600,14725581,18836145,19631201,37500000,149752796,7487639,9204944,10641763,15667279,32116087,140042737,494922470
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1205181/000118518512000794/0001185185-12-000794-index.htm,https://www.sec.gov/Archives/edgar/data/1205181/000149315216016068/0001493152-16-016068-index.htm,https://www.sec.gov/Archives/edgar/data/1205181/000118518515002993/0001185185-15-002993-index.htm,https://www.sec.gov/Archives/edgar/data/1205181/000118518515003000/0001185185-15-003000-index.htm,https://www.sec.gov/Archives/edgar/data/1205181/000118518516004343/0001185185-16-004343-index.htm,https://www.sec.gov/Archives/edgar/data/1205181/000149315217004898/0001493152-17-004898-index.htm,https://www.sec.gov/Archives/edgar/data/1205181/000149315218005401/0001493152-18-005401-index.htm,https://www.sec.gov/Archives/edgar/data/1205181/000149315219005463/0001493152-19-005463-index.htm,https://www.sec.gov/Archives/edgar/data/1205181/000149315220006186/0001493152-20-006186-index.htm,https://www.sec.gov/Archives/edgar/data/1205181/000149315221009200/0001493152-21-009200-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,40699,11366,25352,2293,73447,633443,367578,449733,6869,8014,12364,9508,22638,3594,14214,266610,299895
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,40699,11366,25352,2293,73447,633443,367578,449733,6869,8014,12364,9508,22638,3594,14214,266610,299895
34,Net Receivables,80265,41280,76356,57380,64149,220938,26937,49772,19518,21211,4498,51505,- -,- -,- -,- -,39408
35,Inventory,806800,401230,504263,163753,328740,249996,127947,148914,- -,- -,1000,- -,- -,- -,- -,263990,502115
36,Other Current Assets,27163,32712,21083,20625,21148,30277,20625,22329,2719,1851,6609,- -,- -,- -,- -,12450,107444
37,Total Current Assets,954927,486588,627054,244051,487484,1134654,543087,670748,29106,31076,24471,61013,22638,3594,14214,543050,948862
38,PP&E,63743,48516,33900,18673,23755,26852,19029,12013,4442,- -,- -,- -,- -,- -,- -,2029290,1790930
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,169950,169950
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,29414,28761,31066,31024,31024,31024,31024,31024,- -,- -,- -,- -,- -,- -,- -,- -,-169950
45,Total Non-Current Assets,93157,77277,64966,49697,54779,57876,50053,43037,4442,- -,- -,- -,- -,- -,- -,2199240,1790930
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1048084,563865,692020,293748,542263,1192530,593140,713785,33548,31076,24471,61013,22638,3594,14214,2742290,2739792
48,Accounts Payable,438144,430019,753784,213953,175329,153237,249641,275684,158853,1180728,1294568,1942641,1692652,488102,703518,1073876,807051
49,Short-Term Debt,104478,463138,- -,- -,- -,- -,- -,292603,1065890,42500,42500,420500,771028,1043502,2167107,1157964,1723050
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,63901,98800,106705,119052,144408,135530,168974,114096,151230,155652,72912,41829,- -,- -,- -,- -
52,Other Current Liabilities,2877759,2642181,2794720,3390701,3171216,2505482,5017687,19795136,2428182,- -,-42500,1475913,5665326,2180344,2453754,2883600,1849480
53,Total Current Liabilities,3420381,3599239,3647304,3711359,3465597,2803127,5402858,20532397,3767021,1374458,1450220,3911966,8170835,3711948,5324379,5115440,4379581
54,Long-Term Debt,57287,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1887010,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,173870,- -
58,Total Non-Current Liabilities,57287,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2060880,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,292247,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,382811,240668
61,Total Liabilities,3477668,3599239,3647304,3711359,3465597,2803127,5402858,20532397,3767021,1374458,1742467,3911966,8170835,3711498,5324379,7176320,3349153
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,532391,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1947875,2561625,- -,- -,- -,- -,- -,14344878,27824156,4120000,4865572,5365047,7829273,9417055,15944948,48630,50570
64,Retained Earnings,-4377459,-5596999,-7718923,-9780178,-10687106,-12599170,-16799791,-34726504,-32090020,-5463382,-6583568,-9216000,-15977470,-13124959,-21255113,-7264500,- -
65,Other Comprehensive Income/Loss,-151403,-166630,-82043,-18750,-214995,-211897,-216495,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,151403,166630,4945496,6559651,7978767,11200470,12206568,563014,- -,- -,- -,- -,- -,- -,- -,2781843,-4730317
67,Total Stockholders Equity,-2429584,-3035374,-2955284,-3417611,-2923334,-1610597,-4809718,-19818612,-3733473,-1343382,-1717996,-3850953,-8148197,-3707904,-5310165,-4434027,-4679747
68,Total Liabilities And Stockholders Equity,1048084,563865,692020,293748,542263,1192530,593140,713785,33548,31076,24471,61013,22638,3594,14214,2742293,-1330594
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3,4070386
70,Total Liabilities & Equity,1048084,563865,692020,293748,542263,1192530,593140,713785,33548,31076,24471,61013,22638,3594,14214,2742290,2739792
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1205181/000118518512000794/0001185185-12-000794-index.htm,https://www.sec.gov/Archives/edgar/data/1205181/000149315216016068/0001493152-16-016068-index.htm,https://www.sec.gov/Archives/edgar/data/1205181/000118518515002993/0001185185-15-002993-index.htm,https://www.sec.gov/Archives/edgar/data/1205181/000118518515003000/0001185185-15-003000-index.htm,https://www.sec.gov/Archives/edgar/data/1205181/000118518516004343/0001185185-16-004343-index.htm,https://www.sec.gov/Archives/edgar/data/1205181/000149315217004898/0001493152-17-004898-index.htm,https://www.sec.gov/Archives/edgar/data/1205181/000149315218005401/0001493152-18-005401-index.htm,https://www.sec.gov/Archives/edgar/data/1205181/000149315219005463/0001493152-19-005463-index.htm,https://www.sec.gov/Archives/edgar/data/1205181/000149315220006186/0001493152-20-006186-index.htm,https://www.sec.gov/Archives/edgar/data/1205181/000149315221009200/0001493152-21-009200-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-1917150,-1219540,-2121924,-2061255,-906928,-1912064,-4200621,-17926713,2636484,- -,-1120186,-2632430,-6761470,2852510,-8130150,-4609030,-4057
74,Depreciation and Amortization,16393,15227,14616,15227,17910,-3098,7823,10516,7571,- -,- -,- -,- -,- -,- -,63979,82889
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,367778,- -,164322,168000,2042585,648300,- -,138333,244167
77,Change in Working Capital,1073972,-647197,92401,-447058,489195,1309640,-3191298,-15001878,16123734,2394533,-82367,-2425204,-4297244,4439843,-1601811,737775,1141671
78,Accounts Receivable,- -,- -,- -,- -,-21769,-156789,194001,-27069,20112,- -,16713,-47007,51505,- -,- -,- -,-39408
79,Inventory,-170321,212062,-103033,340510,-164987,-4357,22448,-24469,- -,- -,-1000,1000,- -,- -,- -,-263985,-238130
80,Accounts Payable,- -,- -,- -,- -,-38624,-22092,96404,26045,576565,- -,257252,648072,-240012,124778,164878,953511,-293339
81,Other Working Capital,-2465454,-3112651,-3020250,-3467308,-2978113,-1668473,-4859771,-19861649,-3737915,-1343382,-1425749,-3850953,-8148197,-3708354,-5310165,-4572390,-3430719
82,Other Non-Cash Items,-122304,863662,405770,1300403,-1157575,-1284892,5683669,31155816,-19981263,-2394533,461331,4279803,8399859,-8672332,8959750,2582194,-3090578
83,Cash Provided by Operating Activities,-949089,-987848,-1609137,-1192683,-1557398,-1890414,-1700427,-1762259,-845696,- -,-576900,-609831,-616270,-731679,-772211,-1086749,-1625908
84,CAPEX,- -,- -,- -,- -,-22992,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-293765,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-187750,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,8014,- -,- -,- -,- -,- -,- -,-30926
89,Cash Used for Investing Activites,- -,- -,- -,- -,-22992,- -,- -,- -,- -,8014,- -,- -,- -,- -,- -,-481515,-30926
90,Debt Repayment,- -,- -,- -,- -,- -,-633444,- -,-437386,-373918,- -,- -,- -,- -,- -,- -,-40120,-55665
91,Common Stock Issued,999480,604750,1755032,1067072,1259072,3083854,965000,1035054,89150,20000,581250,196975,166900,137600,377418,235000,347792
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8014,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-18566,353765,-131909,102552,392472,- -,469562,1246746,687600,-11986,- -,410000,462500,575035,405413,1574069,1397995
95,Cash Used/Provided by Financing Activities,980914,958515,1623123,1169624,1651544,2450410,1434562,1844414,402832,- -,581250,606975,629400,712635,782831,1768949,1690122
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,31825,-29333,13986,-23059,71154,559996,-265865,82155,-442864,8014,4350,-2856,13130,-19044,10620,200685,33288
98,Cash at the End of Period,40699,11366,25352,2293,73447,633443,367578,449733,6869,8014,12364,9508,22638,3594,14214,266607,299895
99,Cash at the Beginning of Period,8874,40699,11366,25352,2293,73447,633443,367578,449733,- -,8014,12364,9508,22638,3594,65922,266607
100,Free Cash Flow,-949089,-987848,-1609137,-1192683,-1580390,-1890414,-1700427,-1762259,-845696,- -,-576900,-609831,-616270,-731679,-772211,-1380514,-1625908
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1205181/000118518512000794/0001185185-12-000794-index.htm,https://www.sec.gov/Archives/edgar/data/1205181/000149315216016068/0001493152-16-016068-index.htm,https://www.sec.gov/Archives/edgar/data/1205181/000118518515002993/0001185185-15-002993-index.htm,https://www.sec.gov/Archives/edgar/data/1205181/000118518515003000/0001185185-15-003000-index.htm,https://www.sec.gov/Archives/edgar/data/1205181/000118518516004343/0001185185-16-004343-index.htm,https://www.sec.gov/Archives/edgar/data/1205181/000149315217004898/0001493152-17-004898-index.htm,https://www.sec.gov/Archives/edgar/data/1205181/000149315218005401/0001493152-18-005401-index.htm,https://www.sec.gov/Archives/edgar/data/1205181/000149315219005463/0001493152-19-005463-index.htm,https://www.sec.gov/Archives/edgar/data/1205181/000149315220006186/0001493152-20-006186-index.htm,https://www.sec.gov/Archives/edgar/data/1205181/000149315221009200/0001493152-21-009200-index.htm
102,false,,,,,,,,,,,,,,,,,
