,https://roic.ai/company/FLNT,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-Infinity,-Infinity,-0.3697,-0.8788,-0.2083,-Infinity,-1.2477,-0.9451,-7.0832,-0.1226,-0.1332,0.0137,0.0680,0.0762,0.0036
17,Operating Income,-100877,-1281810,-8084000,-4152000,-13238000,-539000,-3976000,-3601000,-44400000,-34038000,-42518000,11372000,5219000,8379000,-4665000
18,Operating Income ratio,-Infinity,-Infinity,-0.2142,-0.0848,-0.2382,-Infinity,-1.3830,-1.1979,-3.1509,-0.1822,-0.1930,0.0454,0.0185,0.0270,-0.0142
19,Total Other Income Expenses (Gains),340417,1615947,-10246000,-41067000,-138000,-139000,8000,27000,-14768000,-9090000,-10688000,-8134000,-6892000,-5350000,-5148000
20,Income Before Tax,239540,334137,-18330000,-45219000,-13376000,-678000,-3968000,-3574000,-59168000,-43128000,-53206000,3238000,-1673000,3029000,-9813000
21,Income Before Tax Ratio,Infinity,Infinity,-0.4857,-0.9235,-0.2407,-Infinity,-1.3802,-1.1890,-4.1990,-0.2308,-0.2416,0.0129,-0.0059,0.0097,-0.0298
22,Income Tax expense (Gain),95420,99631,4319000,1420000,83000,- -,-33000,-41000,-16583000,-14042000,- -,46000,74000,822000,246000
23,Net Income,144120,234506,-22649000,-46639000,-13459000,8752000,-3935000,-3533000,-84535000,-29086000,-53206000,-17932000,-1747000,2207000,-10059000
24,Net Income ratio,Infinity,Infinity,-0.6001,-0.9525,-0.2422,Infinity,-1.3687,-1.1753,-5.9992,-0.1557,-0.2416,-0.0716,-0.0062,0.0071,-0.0306
25,EPS,0.20,0.15,-22.20,-11.16,-3.20,1.50,-0.65,-0.49,-6.48,-0.65,-0.96,-0.23,-0.02,0.03,-0.13
26,EPS Diluted,0.20,0.10,-22.20,-11.16,-3.20,1.50,-0.65,-0.49,-6.48,-0.65,-0.96,-0.23,-0.02,0.03,-0.13
27,Weighted Average Shares Outstanding,732800,1900000,1020093,4177979,4198803,6028748,6272569,7279949,13036082,44536906,55648235,76705877,79373789,78611145,79977313
28,Weighted Average Shares Outstanding Diluted,779400,2311866,1900000,4177979,4198803,6028748,6272569,7279949,13036082,44536906,55648235,76705877,79373789,79525176,79977313
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1460329/000119312515131319/0001193125-15-131319-index.htm,https://www.sec.gov/Archives/edgar/data/1460329/000119312516510510/0001193125-16-510510-index.htm,https://www.sec.gov/Archives/edgar/data/1460329/000156459017004309/0001564590-17-004309-index.htm,https://www.sec.gov/Archives/edgar/data/1460329/000156459018005647/0001564590-18-005647-index.htm,https://www.sec.gov/Archives/edgar/data/1460329/000146032919000011/0001460329-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1460329/000143774920005057/0001437749-20-005057-index.htm,https://www.sec.gov/Archives/edgar/data/1460329/000143774921006165/0001437749-21-006165-index.htm,https://www.sec.gov/Archives/edgar/data/1460329/000143774922005701/0001437749-22-005701-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,124139,308874,29398000,7554000,4630000,7209000,5605000,4178000,13462000,10089000,16629000,17769000,18679000,21087000,34467000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,124139,308874,29398000,7554000,4630000,7209000,5605000,4178000,13462000,10089000,16629000,17769000,18679000,21087000,34467000
34,Net Receivables,291835,246399,15836000,19031000,17900000,- -,1603000,1742000,21224000,30958000,37928000,48652000,60915000,62669000,70228000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,49256,41699,5406000,9242000,10329000,273000,836000,339000,2931000,2053000,2424000,1971000,1921000,2435000,2505000
37,Total Current Assets,465230,596972,50640000,35827000,32859000,7482000,8044000,6259000,37617000,43100000,56981000,68392000,81515000,86191000,107200000
38,PP&E,- -,- -,1405000,1133000,633000,62000,1584000,1502000,1062000,1350000,1778000,1380000,12728000,10485000,8262000
39,Goodwill,- -,- -,45891000,45955000,16926000,- -,- -,- -,161753000,166256000,166256000,159791000,164774000,165088000,165088000
40,Intangible Assets,- -,- -,1276000,3954000,- -,- -,2001000,1635000,87445000,98531000,89707000,61812000,55603000,45417000,35747000
41,Intangible Assets,- -,- -,47167000,49909000,16926000,- -,2001000,1635000,249198000,264787000,255963000,221603000,220377000,210505000,200835000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,440759,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,78815000,78815000,553000,2000,31000,- -,917000,646000,1315000,2674000,2277000,1894000,2473000,3039000,1885000
45,Total Non-Current Assets,78815000,79255759,49125000,51044000,17590000,62000,4502000,3783000,251575000,268811000,260018000,224877000,235578000,224029000,210982000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,79280230,79852731,99765000,86871000,50449000,7544000,12546000,10042000,289192000,311911000,316999000,293269000,317093000,310220000,318182000
48,Accounts Payable,- -,- -,9013000,13894000,14167000,46000,1196000,1231000,8863000,14725000,11585000,7855000,21574000,7692000,16130000
49,Short-Term Debt,- -,- -,654000,729000,- -,- -,- -,- -,2250000,4135000,2750000,3500000,9155000,9584000,7227000
50,Tax Payable,- -,- -,6855000,18304000,18777000,- -,4000,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,1902000,2481000,2642000,- -,9000,70000,783000,318000,298000,444000,1140000,1373000,651000
52,Other Current Liabilities,169631,507626,39480000,58150000,47093000,1025000,776000,1268000,9160000,6981000,18146000,21566000,20358000,31568000,33932000
53,Total Current Liabilities,169631,507626,51049000,75254000,63902000,1071000,1981000,2569000,21056000,26159000,32779000,33365000,52227000,50217000,57940000
54,Long-Term Debt,- -,- -,- -,3000,- -,- -,- -,- -,48668000,45878000,60213000,51972000,44098000,33283000,46021000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,316000,989000,- -,- -,- -,- -,13573000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,26369992,26369992,- -,10162000,- -,- -,- -,- -,- -,10225000,- -,766000,9831000,9835000,811000
58,Total Non-Current Liabilities,26369992,26369992,316000,11154000,- -,- -,- -,- -,62241000,56103000,60213000,52738000,53929000,43118000,46832000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11338000,9581000,- -
61,Total Liabilities,26539623,26877618,51365000,86408000,63902000,1071000,1981000,2569000,83297000,82262000,92992000,86103000,106156000,93335000,104772000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1250,1250,2000,2000,2000,3000,4000,4000,8000,27000,31000,38000,39000,40000,42000
64,Retained Earnings,144120,378626,-75574000,-122213000,-135672000,-126920000,-130855000,-134388000,-85145000,-114231000,-167437000,-185369000,-187116000,-184909000,-194968000
65,Other Comprehensive Income/Loss,- -,- -,1050000,1153000,-1071000,-4433000,-4362000,-4357000,-155000,-702000,-1378000,-1230000,-695000,- -,- -
66,Other Total Stockholders Equity,52595237,52595237,122922000,121521000,123288000,137823000,145778000,146214000,291187000,344555000,392791000,393727000,398709000,401754000,408336000
67,Total Stockholders Equity,52740607,52975113,48400000,463000,-13453000,6473000,10565000,7473000,205895000,229649000,224007000,207166000,210937000,216885000,213410000
68,Total Liabilities And Stockholders Equity,79280230,79852731,99765000,86871000,50449000,7544000,12546000,10042000,289192000,311911000,316999000,293269000,317093000,310220000,318182000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,79280230,79852731,99765000,86871000,50449000,7544000,12546000,10042000,289192000,311911000,316999000,293269000,317093000,310220000,318182000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1460329/000119312515131319/0001193125-15-131319-index.htm,https://www.sec.gov/Archives/edgar/data/1460329/000119312516510510/0001193125-16-510510-index.htm,https://www.sec.gov/Archives/edgar/data/1460329/000156459017004309/0001564590-17-004309-index.htm,https://www.sec.gov/Archives/edgar/data/1460329/000156459018005647/0001564590-18-005647-index.htm,https://www.sec.gov/Archives/edgar/data/1460329/000146032919000011/0001460329-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1460329/000143774920005057/0001437749-20-005057-index.htm,https://www.sec.gov/Archives/edgar/data/1460329/000143774921006165/0001437749-21-006165-index.htm,https://www.sec.gov/Archives/edgar/data/1460329/000143774922005701/0001437749-22-005701-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,144120,234506,-22649000,-46639000,-13459000,8752000,-3935000,-3533000,-84535000,-29086000,-53206000,-17932000,-1747000,2207000,-10059000
74,Depreciation and Amortization,- -,- -,2414000,2141000,1714000,133000,381000,733000,841000,12631000,14193000,13174000,13940000,15302000,13170000
75,Deferred Income Tax,- -,-440759,825000,-817000,-1087000,- -,-37000,-37000,-16460000,-14129000,- -,46000,35000,120000,198000
76,Stock Based Compensation,- -,- -,411000,2398000,894000,660000,1648000,436000,33714000,29249000,33996000,14681000,10341000,5394000,4761000
77,Change in Working Capital,-171460,-498346,-39018000,8384000,37454000,-348000,-2373000,12871000,380000,7261000,10825000,-5739000,6686000,5424000,7862000
78,Accounts Receivable,- -,- -,-4434000,-6004000,-1379000,3538000,-1563000,-179000,-893000,-5833000,-8990000,-12836000,-6978000,-1990000,-7650000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,1351000,4882000,5114000,-661000,151000,203000,1784000,3565000,-3140000,249000,6028000,-13882000,8438000
81,Other Working Capital,89346,-409000,-39427000,-31043000,6411000,6063000,3690000,16561000,16941000,24202000,35027000,29288000,35974000,41398000,49260000
82,Other Non-Cash Items,- -,889334,49242000,36203000,-28368000,-15185000,-772000,-11370000,55387000,-3827000,-3456000,19254000,-3237000,-8149000,-3508000
83,Cash Provided by Operating Activities,-27340,184735,-8775000,1670000,-2852000,-5988000,-5088000,-900000,-10673000,2099000,2352000,23484000,26018000,20298000,12424000
84,CAPEX,- -,- -,-150000,-140000,-47000,-47000,-706000,-548000,-3977000,-10926000,-8127000,-1474000,-4712000,-2847000,-36000
85,Acquisitions Net,- -,- -,-40687000,-19703000,-858000,-2905000,- -,- -,-89707000,-50000,- -,-19728000,-7246000,-1426000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-78815000,- -,244000,-309000,3000,- -,- -,- -,-3436000,-11214000,-6880000,-2622000,-2624000,-2783000,-2957000
89,Cash Used for Investing Activites,-78815000,- -,-40593000,-20152000,-902000,-2952000,-706000,-548000,-93805000,-12026000,-8127000,-22588000,-11958000,-4273000,-2993000
90,Debt Repayment,- -,- -,-6855000,-693000,-747000,- -,- -,- -,- -,-2250000,-4310000,-76787000,-8034000,-11802000,-46735000
91,Common Stock Issued,82425000,- -,- -,- -,- -,6955000,- -,- -,59180000,10679000,- -,13392000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-621000,- -,- -,- -,- -,- -,-9000,-1792000,-1300000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-3458521,- -,80520000,-2772000,1358000,5144000,4108000,- -,52764000,-1875000,16625000,65193000,-3324000,-515000,49204000
95,Cash Used/Provided by Financing Activities,78966479,- -,73665000,-3465000,611000,11478000,4108000,- -,111944000,6554000,12315000,1789000,-13150000,-13617000,2469000
96,Effect of Forex Changes on Cash,- -,- -,5000,103000,219000,41000,82000,21000,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,78966479,184735,24302000,-21844000,-2924000,2579000,-1604000,-1427000,7466000,-3373000,6540000,2685000,910000,2408000,11900000
98,Cash at the End of Period,124139,308874,29398000,7554000,4630000,7209000,5605000,4178000,13462000,10089000,16629000,19249000,20159000,22567000,34467000
99,Cash at the Beginning of Period,- -,124139,5096000,29398000,7554000,4630000,7209000,5605000,5996000,13462000,10089000,16564000,19249000,20159000,22567000
100,Free Cash Flow,-27340,184735,-8925000,1530000,-2899000,-6035000,-5794000,-1448000,-14650000,-8827000,-5775000,22010000,21306000,17451000,12388000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1460329/000119312515131319/0001193125-15-131319-index.htm,https://www.sec.gov/Archives/edgar/data/1460329/000119312516510510/0001193125-16-510510-index.htm,https://www.sec.gov/Archives/edgar/data/1460329/000156459017004309/0001564590-17-004309-index.htm,https://www.sec.gov/Archives/edgar/data/1460329/000156459018005647/0001564590-18-005647-index.htm,https://www.sec.gov/Archives/edgar/data/1460329/000146032919000011/0001460329-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1460329/000143774920005057/0001437749-20-005057-index.htm,https://www.sec.gov/Archives/edgar/data/1460329/000143774921006165/0001437749-21-006165-index.htm,https://www.sec.gov/Archives/edgar/data/1460329/000143774922005701/0001437749-22-005701-index.htm
102,false,,,,,,,,,,,,,,,
