,https://roic.ai/company/EIX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,1.63,1.64,1.54,1.75,1.78,1.80,1.61,1.66,1.43,1.52,1.66,1.64,1.75,1.86,1.79,-5.84,3.18,3.31,2.52,2.81,3.47,3.58,3.33,3.69,2.59,3.84,-0.11,-0.56,2.81,4.95,3.13,4.02,1.73,-1.30,3.78,1.98,2.00
26,EPS Diluted,1.63,1.64,1.54,1.75,1.78,1.80,1.61,1.66,1.42,1.52,1.66,1.64,1.73,1.84,1.79,-5.84,3.17,3.28,2.50,2.77,3.43,3.57,3.31,3.68,2.58,3.82,-0.11,-0.56,2.78,4.89,3.10,3.97,1.72,-1.30,3.77,1.98,2.00
27,Weighted Average Shares Outstanding,430920245,435304878,433961039,435314286,437191011,436888889,436397516,445180723,446853147,448000000,446000000,437000000,400000000,359000000,348000000,333000000,326000000,326000000,326000000,326000000,326000000,326000000,326000000,326000000,326000000,326000000,326000000,326000000,326000000,326000000,326000000,326000000,326000000,326000000,340000000,373000000,380000000
28,Weighted Average Shares Outstanding Diluted,430920245,435304878,433961039,435314286,437191011,436888889,436397516,445180723,450000000,448442623,446000000,444148148,404624277,364000000,349000000,333000000,326000000,328000000,329000000,331000000,332000000,330000000,331000000,329000000,327000000,329000000,326000000,330000000,329000000,329000000,329000000,330000000,328000000,326000000,341000000,374000000,380000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/827052/000082705295000019/0000827052-95-000019-index.html,https://www.sec.gov/Archives/edgar/data/827052/000082705296000030/0000827052-96-000030-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/827052/000119312507042000/0001193125-07-042000-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000089256908000173/0000892569-08-000173-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000089256909000150/0000892569-09-000150-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000104746910001604/0001047469-10-001604-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000104746911001484/0001047469-11-001484-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000082705212000013/0000827052-12-000013-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000082705213000024/0000827052-13-000024-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000082705214000030/0000827052-14-000030-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000082705215000035/0000827052-15-000035-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000082705216000222/0000827052-16-000222-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000082705217000033/0000827052-17-000033-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000082705218000046/0000827052-18-000046-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000082705219000034/0000827052-19-000034-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000082705220000026/0000827052-20-000026-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000082705221000019/0000827052-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000082705222000006/0000827052-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,534000000,507000000,897000000,1907000000,584000000,508000000,1973000000,3991000000,2474000000,2198000000,2688000000,1893000000,1795000000,1444000000,3916000000,1673000000,1389000000,1469000000,170000000,146000000,132000000,161000000,96000000,1091000000,144000000,68000000,87000000,390000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,534000000,507000000,897000000,1907000000,584000000,508000000,1973000000,3991000000,2474000000,2198000000,2688000000,1893000000,1795000000,1444000000,3916000000,1683000000,1389000000,1469000000,170000000,146000000,132000000,161000000,96000000,1091000000,144000000,68000000,87000000,390000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,975000000,1055000000,1095000000,1077000000,1316000000,1378000000,1476000000,1710000000,1548000000,1608000000,1166000000,1511000000,1317000000,1403000000,1334000000,1364000000,1373000000,1427000000,1312000000,1434000000,1422000000,1336000000,1084000000,1153000000,1403000000,1394000000,2427000000,2192000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,246000000,266000000,226000000,191000000,167000000,440000000,430000000,327000000,349000000,344000000,304000000,341000000,392000000,432000000,553000000,533000000,568000000,624000000,340000000,256000000,281000000,267000000,239000000,242000000,282000000,364000000,405000000,420000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,379000000,603000000,354000000,422000000,1062000000,344000000,1787000000,1472000000,1087000000,899000000,1291000000,2214000000,1978000000,986000000,1550000000,850000000,1092000000,964000000,850000000,1476000000,2184000000,890000000,704000000,1243000000,1530000000,1734000000,2142000000,2489000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2134000000,2431000000,2572000000,3597000000,3129000000,2670000000,5666000000,7500000000,5458000000,5049000000,5449000000,5959000000,5482000000,4265000000,7353000000,4430000000,4422000000,4484000000,2672000000,3312000000,4019000000,2654000000,2123000000,3729000000,3359000000,3560000000,5061000000,5491000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,12417000000,12148000000,11703000000,10939000000,7254000000,7331000000,7819000000,8013000000,8247000000,12587000000,13475000000,14469000000,15913000000,22309000000,24343000000,27113000000,30184000000,32116000000,30273000000,30455000000,32981000000,35085000000,37000000000,39050000000,41348000000,44978000000,48927000000,52632000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,633000000,661000000,868000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7107000000,7250000000,7747000000,8159000000,3607000000,4262000000,4328000000,4234000000,4701000000,5006000000,4534000000,4325000000,4513000000,4183000000,4626000000,4886000000,4921000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,7839000000,9367000000,10284000000,10565000000,14315000000,26228000000,21615000000,20628000000,18918000000,16458000000,14345000000,7256000000,7616000000,3241000000,4760000000,6294000000,6662000000,7111000000,7215000000,8178000000,8180000000,8037000000,7871000000,5288000000,7825000000,11218000000,10498000000,11701000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,20256000000,21515000000,21987000000,21504000000,21569000000,33559000000,29434000000,29274000000,27826000000,29913000000,27820000000,28832000000,30779000000,33297000000,37262000000,37014000000,41108000000,43555000000,41722000000,43334000000,46167000000,47656000000,49196000000,48851000000,53356000000,60822000000,64311000000,69254000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,22390000000,23946000000,24559000000,25101000000,24698000000,36229000000,35100000000,36774000000,33284000000,34962000000,33269000000,34791000000,36261000000,37562000000,44615000000,41444000000,45530000000,48039000000,44394000000,46646000000,50186000000,50310000000,51319000000,52580000000,56715000000,64382000000,69372000000,74745000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,413000000,420000000,438000000,441000000,490000000,625000000,1228000000,3414000000,866000000,1086000000,749000000,961000000,926000000,979000000,1030000000,1123000000,1362000000,1419000000,1423000000,1407000000,1580000000,1310000000,1342000000,1503000000,1511000000,1752000000,1980000000,2002000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1077000000,750000000,989000000,1198000000,1485000000,3515000000,6180000000,4049000000,2848000000,2255000000,1138000000,1002000000,628000000,518000000,2317000000,686000000,163000000,486000000,175000000,810000000,1795000000,990000000,2288000000,2874000000,799000000,1109000000,3642000000,4013000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,186000000,52000000,52000000,61000000,358000000,81000000,72000000,50000000,23000000,21000000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,238000000,217000000,199000000,193000000,201000000,221000000,242000000,269000000,281000000,299000000,302000000,243000000,193000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1667000000,2114000000,2011000000,2089000000,2311000000,2702000000,3392000000,2394000000,2940000000,2826000000,2150000000,2996000000,2749000000,2783000000,3350000000,1740000000,2210000000,2244000000,1953000000,2463000000,1883000000,2385000000,2013000000,2410000000,2786000000,2360000000,4412000000,2401000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3157000000,3284000000,3438000000,3728000000,4286000000,6842000000,10800000000,9857000000,6654000000,6167000000,4037000000,4959000000,4303000000,4280000000,6697000000,3787000000,3952000000,4348000000,3744000000,4881000000,5479000000,4927000000,5912000000,7068000000,5395000000,5523000000,10277000000,8609000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,6347000000,7195000000,7475000000,8871000000,8008000000,13391000000,12150000000,12674000000,11557000000,11787000000,9678000000,8833000000,9101000000,9016000000,10950000000,10437000000,12371000000,13689000000,9231000000,9825000000,10234000000,10964000000,10175000000,11642000000,14632000000,17864000000,20505000000,25520000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119000000,112000000,138000000,149000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,4491000000,4744000000,4655000000,4436000000,4862000000,5982000000,5511000000,6539000000,6009000000,6116000000,5371000000,5386000000,5419000000,5310000000,5826000000,4436000000,5747000000,5485000000,6231000000,7346000000,7313000000,7480000000,8327000000,4567000000,4576000000,5078000000,5368000000,5740000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1892000000,2079000000,2310000000,2355000000,2314000000,4674000000,4090000000,4303000000,4498000000,5380000000,8005000000,8279000000,8814000000,9597000000,10718000000,11659000000,11854000000,13293000000,13848000000,12903000000,14178000000,13551000000,12718000000,15437000000,19460000000,20421000000,17273000000,17087000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,12730000000,14018000000,14440000000,15662000000,15184000000,24047000000,21751000000,23516000000,22064000000,23283000000,23054000000,22498000000,23334000000,23923000000,27494000000,26651000000,30084000000,32605000000,29459000000,30074000000,31725000000,31995000000,31220000000,31646000000,38668000000,43363000000,43146000000,48347000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,693000000,1088000000,1932000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,14923000000,16247000000,16746000000,18956000000,19048000000,29350000000,31152000000,31824000000,27064000000,28933000000,26778000000,27156000000,27366000000,27908000000,33906000000,30438000000,34036000000,36953000000,33203000000,34955000000,37204000000,36922000000,37132000000,38714000000,44063000000,48886000000,53423000000,56956000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1358000000,129000000,129000000,719000000,915000000,915000000,907000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1977000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,2692000000,2660000000,2547000000,2261000000,2109000000,2090000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2373000000,2403000000,2445000000,2484000000,2505000000,2526000000,2545000000,4990000000,5962000000,6071000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,3452000000,3700000000,3753000000,3176000000,2906000000,3079000000,599000000,1634000000,2711000000,3466000000,4078000000,4798000000,5551000000,6311000000,7078000000,7500000000,8328000000,7834000000,7146000000,7548000000,8573000000,8940000000,9544000000,9188000000,7964000000,8382000000,8155000000,7894000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7710000000,-8569000000,-9431000000,-10544000000,-6897000000,-7520000000,-7834000000,-7969000000,-247000000,-53000000,-4000000,-226000000,78000000,-92000000,167000000,37000000,-76000000,-139000000,-87000000,-13000000,-58000000,-56000000,-53000000,-43000000,-50000000,-69000000,-69000000,-54000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,9033000000,9908000000,10944000000,11252000000,7532000000,9230000000,11183000000,11285000000,11603000000,6949000000,6919000000,3063000000,3266000000,3435000000,3464000000,3469000000,3242000000,3391000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,7467000000,7699000000,7813000000,6145000000,5650000000,6879000000,3948000000,4950000000,5795000000,5512000000,6178000000,7334000000,8624000000,9359000000,10424000000,9841000000,10583000000,10055000000,9432000000,9938000000,10960000000,11368000000,11996000000,11671000000,10459000000,13303000000,14048000000,15888000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,22390000000,23946000000,24559000000,25101000000,24698000000,36229000000,35100000000,36774000000,32859000000,34445000000,32956000000,34490000000,35990000000,37267000000,44330000000,40279000000,44619000000,47008000000,42635000000,44893000000,48164000000,48290000000,49128000000,50385000000,54522000000,62189000000,67471000000,72844000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,425000000,517000000,313000000,301000000,271000000,295000000,285000000,1165000000,911000000,1031000000,1759000000,1753000000,2022000000,2020000000,2191000000,2195000000,2193000000,2193000000,1901000000,1901000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,22390000000,23946000000,24559000000,25101000000,24698000000,36229000000,35100000000,36774000000,33284000000,34962000000,33269000000,34791000000,36261000000,37562000000,44615000000,41444000000,45530000000,48039000000,44394000000,46646000000,50186000000,50310000000,51319000000,52580000000,56715000000,64382000000,69372000000,74745000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/827052/000082705295000019/0000827052-95-000019-index.html,https://www.sec.gov/Archives/edgar/data/827052/000082705296000030/0000827052-96-000030-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/827052/000119312507042000/0001193125-07-042000-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000089256908000173/0000892569-08-000173-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000089256909000150/0000892569-09-000150-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000104746910001604/0001047469-10-001604-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000104746911001484/0001047469-11-001484-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000082705212000013/0000827052-12-000013-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000082705213000024/0000827052-13-000024-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000082705214000030/0000827052-14-000030-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000082705215000035/0000827052-15-000035-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000082705216000222/0000827052-16-000222-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000082705217000033/0000827052-17-000033-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000082705218000046/0000827052-18-000046-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000082705219000034/0000827052-19-000034-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000082705220000026/0000827052-20-000026-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000082705221000019/0000827052-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000082705222000006/0000827052-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,681000000,739000000,717000000,700000000,668200000,623000000,-1943000000,1035000000,1077000000,821000000,916000000,1137000000,1181000000,1098000000,1215000000,849000000,1256000000,-37000000,-92000000,1015000000,1724000000,1133000000,1434000000,689000000,-302000000,1405000000,871000000,925000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1538000000,1640000000,1889000000,1634000000,1622000000,1815000000,2005000000,2098000000,2115000000,1940000000,1803000000,2029000000,2280000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000000,-172000000,91000000,115000000,348000000,525000000,-1086000000,1908000000,160000000,194000000,557000000,160000000,-136000000,-39000000,207000000,-1457000000,1139000000,-188000000,141000000,345000000,522000000,449000000,190000000,498000000,-527000000,-284000000,-296000000,62000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000000,30000000,30000000,33000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,333000000,170000000,-13000000,735000000,-1026000000,-3015000000,-962000000,2777000000,1161000000,78000000,2530000000,-412000000,179000000,-1194000000,671000000,-13000000,-173000000,-334000000,-1208000000,-497000000,109000000,-813000000,-1516000000,450000000,1303000000,73000000,-1051000000,-3360000000
