,https://roic.ai/company/TENB,2016,2017,2018,2019,2020,2021
90,Debt Repayment,-47000,-306000,-1443000,-16000,- -,- -
91,Common Stock Issued,- -,- -,268531000,- -,- -,- -
92,Common Stock Repurchased,-85000,-385000,-75000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1495000,2782000,-2264000,34177000,36403000,397646000
95,Cash Used/Provided by Financing Activities,1363000,2091000,264749000,34161000,36403000,397646000
96,Effect of Forex Changes on Cash,- -,-68000,-1063000,-1080000,-916000,-3013000
97,Net Change In Cash,-9273000,-6998000,137906000,-90713000,103798000,99808000
98,Cash at the End of Period,34470000,27472000,165378000,74665000,178463000,278271000
99,Cash at the Beginning of Period,43743000,34470000,27472000,165378000,74665000,178463000
100,Free Cash Flow,-8561000,-9021000,-8292000,-31418000,43955000,90204000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1660280/000166028019000012/0001660280-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1660280/000166028020000012/0001660280-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1660280/000166028021000027/0001660280-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1660280/000166028022000035/0001660280-22-000035-index.htm
102,false,,,,,,
