,https://roic.ai/company/CTA-PB,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,1000000,1000000,-1000000,-4000000
86,Purchases of Investments,- -,- -,-1257000000,-138000000,-995000000,-204000000
87,Sales/Maturities of Investments,- -,- -,2186000000,160000000,721000000,345000000
88,Other Investing Activites,- -,- -,-1435000000,-927000000,-399000000,-499000000
89,Cash Used for Investing Activites,- -,- -,-505000000,-904000000,-674000000,-362000000
90,Debt Repayment,- -,- -,-5956000000,-6804000000,-1441000000,-421000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-25000000,-275000000,-950000000
93,Dividends Paid,- -,- -,-2806000000,-511000000,-388000000,-397000000
94,Other Financing Activites,- -,- -,6138000000,4411000000,2407000000,502000000
95,Cash Used/Provided by Financing Activities,- -,- -,-2624000000,-2929000000,303000000,-1266000000
96,Effect of Forex Changes on Cash,- -,- -,-244000000,-88000000,7000000,-136000000
97,Net Change In Cash,- -,- -,-2890000000,-2851000000,1700000000,963000000
98,Cash at the End of Period,- -,- -,5024000000,2173000000,3873000000,4836000000
99,Cash at the Beginning of Period,- -,- -,7914000000,5024000000,2173000000,3873000000
100,Free Cash Flow,- -,- -,-1018000000,-93000000,1589000000,2154000000
101,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/30554/000175567220000006/0001755672-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/30554/000175567221000008/0001755672-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/30554/000175567222000005/0001755672-22-000005-index.htm
102,false,,,,,,
