,https://roic.ai/company/PSN,2014,2015,2016,2017,2018,2019,2020,2021
50,Tax Payable,- -,- -,- -,- -,- -,- -,4980000,7836000
51,Deferred Revenue,- -,- -,- -,- -,208576000,230681000,201864000,171671000
52,Other Current Liabilities,- -,- -,- -,800638000,571240000,697088000,655733000,606925000
53,Total Current Liabilities,- -,- -,- -,1007718000,1006161000,1144382000,1187409000,1030784000
54,Long-Term Debt,- -,- -,- -,249407000,429164000,249353000,724198000,743237000
55,Deferred Revenue,- -,- -,- -,- -,46004000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,6625000,9621000,12285000,11400000
57,Other Non-Current Liabilities,- -,- -,- -,237698000,169776000,386256000,152395000,108407000
58,Total Non-Current Liabilities,- -,- -,- -,487105000,651569000,645230000,888878000,863044000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,935000,254820000,238333000,207217000
61,Total Liabilities,- -,- -,- -,1494823000,1657730000,1789612000,2076287000,1893828000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,146441000,146609000,146277000
64,Retained Earnings,- -,- -,- -,-186035000,- -,-218025000,-120569000,-53529000
65,Other Comprehensive Income/Loss,- -,- -,- -,-15000000,-23000000,-14000000,-13865000,-9568000
66,Other Total Stockholders Equity,- -,- -,- -,978930000,950315000,1715474000,1801597000,- -
67,Total Stockholders Equity,- -,- -,- -,777895000,927315000,1629890000,1813772000,1900768000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,2272718000,2585045000,3419502000,3890059000,3794596000
69,Minority Interest,- -,- -,- -,- -,46461000,30866000,47645000,36344000
70,Total Liabilities & Equity,- -,- -,- -,2272718000,2631506000,3450368000,3937704000,3830940000
71,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/275880/000156459020009791/0001564590-20-009791-index.html,https://www.sec.gov/Archives/edgar/data/275880/000156459021007800/0001564590-21-007800-index.htm,https://www.sec.gov/Archives/edgar/data/275880/000156459022006026/0001564590-22-006026-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,- -,- -,-13147000,97326000,167949000,120534000,98541000,64072000
74,Depreciation and Amortization,- -,- -,42156000,35198000,69869000,125700000,127980000,144209000
75,Deferred Income Tax,- -,- -,-1127000,5465000,-1451000,-123338000,1271000,-3468000
76,Stock Based Compensation,- -,- -,- -,- -,- -,8272000,15234000,20187000
77,Change in Working Capital,- -,- -,28870000,- -,-123720000,-48499000,273694000,-94922000
78,Accounts Receivable,- -,- -,- -,- -,461304000,-30206000,-8623000,99894000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,5566000,-17123000,1494000,-31766000
81,Other Working Capital,- -,- -,554246000,554246000,430526000,382027000,655721000,-30407000
82,Other Non-Cash Items,- -,- -,141807000,127040000,171987000,137571000,-227559000,75496000
83,Cash Provided by Operating Activities,- -,- -,198559000,265029000,284634000,220240000,289161000,205574000
84,CAPEX,- -,- -,-30079000,-27939000,-29283000,-67597000,-34036000,-21105000
85,Acquisitions Net,- -,- -,- -,-26000000,-481000000,-495000000,-313879000,-221131000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,777000,978000,-22295000,-75803000,-32490000,-19776000
89,Cash Used for Investing Activites,- -,- -,-29302000,-52961000,-503295000,-570803000,-346369000,-240907000
90,Debt Repayment,- -,- -,- -,- -,-80000000,-777200000,-212900000,-50000000
91,Common Stock Issued,- -,- -,- -,- -,- -,536879000,4386000,5555000
92,Common Stock Repurchased,- -,- -,-148715000,-111403000,-125814000,-6272000,- -,-21701000
93,Dividends Paid,- -,- -,- -,- -,- -,-52093000,- -,- -
94,Other Financing Activites,- -,- -,-36502000,-48768000,261225000,564722000,556740000,-40357000
95,Cash Used/Provided by Financing Activities,- -,- -,-185217000,-160171000,55411000,266036000,348226000,-106503000
96,Effect of Forex Changes on Cash,- -,- -,-1200000,1235000,-1699000,-1294000,823000,-1496000
97,Net Change In Cash,- -,- -,-17160000,53132000,-164949000,-85821000,291841000,-143332000
98,Cash at the End of Period,- -,- -,263061000,53132000,281195000,195374000,487215000,343883000
99,Cash at the Beginning of Period,- -,- -,280221000,- -,446144000,281195000,195374000,487215000
100,Free Cash Flow,- -,- -,168480000,237090000,255351000,152643000,255125000,184469000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/275880/000156459020009791/0001564590-20-009791-index.html,https://www.sec.gov/Archives/edgar/data/275880/000156459021007800/0001564590-21-007800-index.htm,https://www.sec.gov/Archives/edgar/data/275880/000156459022006026/0001564590-22-006026-index.htm
102,false,,,,,,,,
