,https://roic.ai/company/CRCT,2018,2019,2020,2021
80,Accounts Payable,30059000,10340000,157023000,-46667000
81,Other Working Capital,72787000,4073000,11710000,9128000
82,Other Non-Cash Items,2869000,6655000,3092000,10350000
83,Cash Provided by Operating Activities,-8304000,3861000,248227000,-104949000
84,CAPEX,-8114000,-14095000,-21842000,-35786000
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -
89,Cash Used for Investing Activites,-8114000,-14095000,-21842000,-35786000
90,Debt Repayment,-341762000,-492299000,-283860000,- -
91,Common Stock Issued,- -,- -,- -,262007000
92,Common Stock Repurchased,-297000,-728000,-3038000,-170000
93,Dividends Paid,- -,- -,-51202000,- -
94,Other Financing Activites,359501000,503923000,227185000,-1593000
95,Cash Used/Provided by Financing Activities,17442000,10896000,-110915000,260244000
96,Effect of Forex Changes on Cash,- -,-25000,92000,-127000
97,Net Change In Cash,1024000,637000,115562000,119382000
98,Cash at the End of Period,6016000,6653000,122215000,241597000
99,Cash at the Beginning of Period,4992000,6016000,6653000,122215000
100,Free Cash Flow,-16418000,-10234000,226385000,-140735000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1828962/000182896222000018/0001828962-22-000018-index.htm
102,false,,,,
