,https://roic.ai/company/KMPR,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,- -,- -,493900000,510800000,59900000,59100000,64200000,110700000,1401000000,1390300000,1398800000,1576600000,1801000000,1991300000,2322800000,2784900000,2705300000,2715200000,2684200000,2676200000,2832200000,2703800000,2482100000,2412400000,2339900000,2112100000,2036400000,2240500000,2518400000,2561200000,3526000000,4377600000,4690700000,6049300000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,322300000,305200000,- -
13,Interest Expense (Gain),- -,- -,61500000,63000000,59900000,59100000,64200000,110700000,115100000,13100000,109300000,113900000,151900000,22200000,26900000,45300000,57400000,64000000,62500000,66900000,321300000,241600000,144600000,83900000,37600000,38100000,46900000,46500000,44400000,34900000,43400000,42500000,36000000,219400000
14,Depreciation and Amortization,- -,- -,8900000,- -,- -,- -,- -,- -,170100000,167400000,149300000,163100000,12100000,1100000,8300000,11400000,12600000,11600000,7200000,27100000,353500000,344300000,332300000,10900000,23300000,25700000,23200000,28900000,19500000,18200000,171900000,62500000,55000000,99000000
15,EBITDA,274800000,130300000,251200000,256400000,245900000,215900000,275500000,316600000,457900000,345500000,1008000000,555900000,309400000,594500000,8700000,214400000,409100000,413800000,470200000,367600000,599000000,817000000,738900000,190200000,194900000,381400000,232200000,181200000,71500000,215200000,416100000,766600000,601100000,73100000
16,EBITDA ratio,0.2252,0.1134,0.1979,0.2010,0.1750,0.1603,0.1969,0.2121,0.3006,0.2258,0.4832,0.3065,0.1584,0.2346,0.0038,0.0728,0.1345,0.1358,0.1529,0.1259,0.2184,0.2785,0.2693,0.0762,0.0792,0.1572,0.1057,0.0774,0.0284,0.0791,0.1117,0.1521,0.1156,0.0126
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-369800000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.0637
19,Total Other Income Expenses (Gains),- -,- -,335100000,344500000,379400000,290900000,350500000,393400000,120400000,125000000,113800000,123600000,141700000,159100000,211600000,220800000,215900000,230800000,265200000,-303200000,246400000,181000000,100300000,1000000,800000,800000,1400000,3700000,3200000,4000000,42200000,35500000,94600000,124500000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,122100000,139800000,687100000,237000000,152200000,542500000,-24600000,158900000,335500000,332900000,391300000,243600000,-90000000,229600000,261300000,82600000,122400000,314400000,160200000,100300000,3500000,161100000,199100000,661600000,510100000,-245300000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.0802,0.0914,0.3294,0.1307,0.0779,0.2141,-0.0107,0.0540,0.1103,0.1092,0.1272,0.0834,-0.0328,0.0783,0.0952,0.0331,0.0497,0.1296,0.0729,0.0428,0.0014,0.0592,0.0534,0.1313,0.0981,-0.0423
22,Income Tax expense (Gain),73500000,24000000,48600000,56200000,62600000,61800000,62900000,55300000,40200000,47100000,238600000,77900000,54400000,190300000,-18300000,34100000,98900000,82700000,117400000,55800000,-46200000,66400000,77400000,11700000,30600000,99900000,47600000,20100000,-9200000,41200000,10700000,130500000,100200000,-124800000
23,Net Income,201300000,106300000,132200000,137200000,123400000,95000000,148400000,150600000,132500000,117900000,510800000,201000000,91000000,380900000,-8200000,123600000,240200000,255500000,283100000,217800000,-29600000,164700000,184600000,83700000,103400000,217700000,114500000,85700000,16800000,120900000,190100000,531100000,409900000,-120500000
24,Net Income ratio,0.1649,0.0925,0.1041,0.1075,0.0878,0.0705,0.1061,0.1009,0.0870,0.0771,0.2449,0.1108,0.0466,0.1503,-0.0036,0.0420,0.0790,0.0838,0.0921,0.0746,-0.0108,0.0561,0.0673,0.0335,0.0420,0.0897,0.0521,0.0366,0.0067,0.0444,0.0510,0.1054,0.0788,-0.0208
25,EPS,1.82,0.96,1.20,1.29,1.19,0.92,1.48,1.87,1.75,1.57,6.55,2.76,1.32,5.64,-0.12,1.83,3.51,3.70,4.17,3.32,-0.47,2.64,2.98,1.38,1.75,3.81,2.12,1.65,0.33,2.34,3.25,8.04,6.24,-1.84
26,EPS Diluted,1.82,0.96,1.20,1.29,1.19,0.92,1.47,1.85,1.75,1.55,6.51,2.74,1.32,5.60,-0.12,1.82,3.48,3.67,4.15,3.30,-0.47,2.64,2.98,1.38,1.74,3.80,2.12,1.65,0.33,2.33,3.22,7.96,6.14,-1.84
27,Weighted Average Shares Outstanding,110604396,110729167,110166667,106356589,103697479,103260870,100270270,80534759,75498575,74857143,77925248,72826087,68939394,67535461,68333333,67540984,68433048,69054054,67889688,65602410,62700000,62132600,61681200,60263000,58857000,56856900,53762500,51607000,51156100,51345600,58149000,65881000,65636000,63654600
28,Weighted Average Shares Outstanding Diluted,110604396,110729167,110166667,106356589,103697479,103260870,100952381,81405405,75609756,75819936,78463902,73357664,68939394,68017857,68333333,67912088,69022989,69618529,68216867,66000000,62700000,62156100,62132600,60263000,59425287,56983600,53867900,51607000,51214700,51577900,59037267,66721106,66758958,63654600
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/860748/000119312504011558/d10k.htm,https://www.sec.gov/Archives/edgar/data/860748/000119312505017664/d10k.htm,https://www.sec.gov/Archives/edgar/data/860748/000119312506016367/d10k.htm,https://www.sec.gov/Archives/edgar/data/860748/000119312507019391/d10k.htm,https://www.sec.gov/Archives/edgar/data/860748/000119312508019281/d10k.htm,https://www.sec.gov/Archives/edgar/data/860748/000119312509018930/0001193125-09-018930-index.html,https://www.sec.gov/Archives/edgar/data/860748/000119312510018253/0001193125-10-018253-index.html,https://www.sec.gov/Archives/edgar/data/860748/000119312511023337/d10k.htm,https://www.sec.gov/Archives/edgar/data/860748/000086074812000034/0000860748-12-000034-index.html,https://www.sec.gov/Archives/edgar/data/860748/000086074813000017/0000860748-13-000017-index.html,https://www.sec.gov/Archives/edgar/data/860748/000086074814000026/kmpr1231201310k.htm,https://www.sec.gov/Archives/edgar/data/860748/000086074815000039/kmpr-20141231201410k.htm,https://www.sec.gov/Archives/edgar/data/860748/000086074816000146/0000860748-16-000146-index.html,https://www.sec.gov/Archives/edgar/data/860748/000086074817000017/0000860748-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/860748/000086074818000045/0000860748-18-000045-index.html,https://www.sec.gov/Archives/edgar/data/860748/000086074819000052/0000860748-19-000052-index.html,https://www.sec.gov/Archives/edgar/data/860748/000086074820000033/0000860748-20-000033-index.html,https://www.sec.gov/Archives/edgar/data/860748/000086074821000039/0000860748-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/860748/000086074822000036/0000860748-22-000036-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,17000000,14500000,8600000,24100000,23300000,27900000,16900000,65700000,82100000,44500000,157900000,103100000,184200000,143700000,117200000,251200000,96300000,66500000,76100000,161700000,115700000,45700000,75100000,136800000,206100000,148200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,504800000,556800000,495500000,356700000,524500000,465200000,658700000,548600000,397000000,402900000,247400000,327500000,284700000,342200000,255700000,273700000,235500000,286100000,470900000,8481300000,8271000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,17000000,14500000,8600000,24100000,23300000,532700000,573700000,561200000,438800000,569000000,623100000,761800000,732800000,540700000,520100000,498600000,423800000,351200000,418300000,417400000,389400000,281200000,361200000,607700000,8687400000,8419200000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,376100000,335400000,290800000,971600000,1101600000,1181000000,669600000,899400000,819000000,828000000,730400000,634800000,686500000,642000000,606700000,597900000,575400000,524700000,482300000,525600000,550600000,566400000,1291400000,1381500000,1432500000,1799100000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7694400000,7065500000,7059800000,6920700000,5756600000,5926500000,5673500000,5910500000,5980600000,6119700000,6369000000,7499100000,9885900000,- -,-9622300000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9091000000,8484800000,8242500000,8047500000,6853100000,6925700000,6549400000,6811100000,6923600000,7059700000,7216600000,9151700000,11875100000,- -,596000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,228200000,237300000,298100000,369700000,353200000,344700000,344700000,344700000,344700000,344700000,344700000,314700000,334600000,331800000,311800000,311800000,311800000,311800000,311800000,323000000,323000000,323000000,1112400000,1114000000,1114000000,1312000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,308800000,328400000,320100000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,228200000,237300000,298100000,369700000,353200000,344700000,344700000,344700000,344700000,344700000,344700000,314700000,334600000,331800000,311800000,311800000,311800000,311800000,311800000,323000000,323000000,323000000,1421200000,1442400000,1434100000,1312000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4974100000,5417800000,5577100000,5710000000,5603700000,4943000000,4906300000,5153800000,5756600000,5724400000,5962600000,5703300000,5936800000,5821800000,6056200000,6305200000,7654700000,8599900000,9645100000,9422200000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,227000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4943700000,-4906900000,-5154600000,-5757400000,-4803400000,-5191000000,-4908100000,-5226300000,-5032300000,-5228400000,-5468600000,-6682700000,-8928300000,- -,-9422200000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,314000000,334000000,331000000,311000000,1232800000,1083400000,1107000000,1022300000,1112500000,1150800000,1159600000,2393200000,1114000000,- -,1539000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,4871100000,4920700000,5909900000,5934800000,6164800000,7133700000,7705600000,8536800000,8790300000,9198300000,9321400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14341900000,15859500000
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,4871100000,4920700000,5909900000,5934800000,6164800000,7133700000,7705600000,8536800000,8790300000,9198300000,9321400000,9405000000,8818800000,8573500000,8358500000,8085900000,8009100000,7656400000,7833400000,8036100000,8210500000,8376200000,11544900000,12989100000,14341900000,14916500000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,249500000,- -,359800000,- -,448400000,728500000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68200000,11700000,15100000,57900000,21500000,1500000,7800000,- -,5100000,- -,- -,- -,- -,173000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,3331000000,3307000000,3972000000,4101000000,4284000000,4962000000,5526000000,6222000000,6249000000,6537000000,6532000000,6547000000,6609000000,6095000000,5635000000,5259000000,5236000000,4998000000,4741100000,5293100000,5123900000,5668300000,7137400000,7509900000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,3331000000,3307000000,3972000000,4101000000,4284000000,4962000000,5526000000,6222000000,6249000000,6537000000,6532000000,6547000000,6609000000,6095000000,5635000000,5259000000,5236000000,4998000000,4990600000,5293100000,5483700000,5668300000,7585800000,8238400000,- -,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,59900000,81100000,116200000,116800000,180000000,254800000,377100000,495700000,502800000,503600000,504500000,560100000,560800000,561400000,609800000,610600000,611400000,606900000,752100000,750600000,751600000,592300000,909000000,778400000,1172800000,1121900000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,166400000,187800000,378800000,251100000,248100000,384200000,350500000,382000000,250700000,272800000,285100000,262500000,- -,- -,- -,- -,15100000,- -,21500000,- -,- -,14800000,26200000,178200000,285700000,227000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,-166300000,-187900000,-379000000,-250900000,-248100000,-384000000,-350600000,-381700000,-250500000,-272400000,-284600000,-262600000,200000,-400000,200000,400000,-15500000,100000,-21500000,- -,- -,-14800000,-26200000,-178200000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,60000000,81000000,116000000,117000000,180000000,255000000,377000000,496000000,503000000,504000000,505000000,560000000,561000000,561000000,610000000,611000000,611000000,607000000,752100000,750600000,751600000,592300000,909000000,778400000,1458500000,1348900000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,754200000,- -,- -,- -,1010400000,1120200000,1122200000,- -,1220100000,- -,1222400000,- -,- -,- -,- -,- -,- -,- -,11237000000,12257700000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,3390800000,3387700000,4087500000,4217800000,4463600000,5216900000,5903200000,6717900000,6751600000,7040600000,7037400000,7107200000,7170200000,6655900000,6245100000,5869800000,5847400000,5604900000,5742700000,6043700000,6235300000,6260600000,8494800000,9016800000,9778500000,10908800000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,3700000,3800000,3800000,7100000,6800000,6700000,6800000,6800000,6900000,6900000,6700000,6400000,6200000,6200000,6100000,6000000,5800000,5600000,5200000,5100000,5100000,5100000,6500000,6700000,6500000,6400000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,1265800000,1209700000,1377200000,1280100000,1150200000,1231000000,1086400000,1079800000,1160800000,1188200000,1231200000,1185300000,985800000,1086700000,1198800000,1208200000,1118200000,1215800000,1202700000,1209000000,1172800000,1243000000,1355500000,1810300000,2071200000,1762500000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,196300000,194500000,249600000,251200000,287000000,324800000,-108000000,59000000,157400000,258000000,312700000,135300000,222700000,124300000,137000000,194400000,21800000,336100000,680500000,448100000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,210800000,319500000,441400000,429800000,544200000,679100000,512900000,537800000,621400000,711400000,759100000,781300000,764600000,765700000,751100000,743900000,725000000,694800000,660100000,654000000,660300000,673100000,1666300000,1819200000,1805200000,1791000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,1480300000,1533000000,1822400000,1717000000,1701200000,1916800000,1802400000,1818900000,2038700000,2157700000,2284000000,2297800000,1648600000,1917600000,2113400000,2216100000,2161700000,2051500000,2090700000,1992400000,1975200000,2115600000,3050100000,3972300000,4563400000,4007700000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,4871100000,4920700000,5909900000,5934800000,6164800000,7133700000,7705600000,8536800000,8790300000,9198300000,9321400000,9405000000,8818800000,8573500000,8358500000,8085900000,8009100000,7656400000,7833400000,8036100000,8210500000,8376200000,11544900000,12989100000,14341900000,14916500000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,4871100000,4920700000,5909900000,5934800000,6164800000,7133700000,7705600000,8536800000,8790300000,9198300000,9321400000,9405000000,8818800000,8573500000,8358500000,8085900000,8009100000,7656400000,7833400000,8036100000,8210500000,8376200000,11544900000,12989100000,14341900000,14916500000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/860748/000119312504011558/d10k.htm,https://www.sec.gov/Archives/edgar/data/860748/000119312505017664/d10k.htm,https://www.sec.gov/Archives/edgar/data/860748/000119312506016367/d10k.htm,https://www.sec.gov/Archives/edgar/data/860748/000119312507019391/d10k.htm,https://www.sec.gov/Archives/edgar/data/860748/000119312508019281/d10k.htm,https://www.sec.gov/Archives/edgar/data/860748/000119312509018930/0001193125-09-018930-index.html,https://www.sec.gov/Archives/edgar/data/860748/000119312510018253/0001193125-10-018253-index.html,https://www.sec.gov/Archives/edgar/data/860748/000119312511023337/d10k.htm,https://www.sec.gov/Archives/edgar/data/860748/000086074812000034/0000860748-12-000034-index.html,https://www.sec.gov/Archives/edgar/data/860748/000086074813000017/0000860748-13-000017-index.html,https://www.sec.gov/Archives/edgar/data/860748/000086074814000026/kmpr1231201310k.htm,https://www.sec.gov/Archives/edgar/data/860748/000086074815000039/kmpr-20141231201410k.htm,https://www.sec.gov/Archives/edgar/data/860748/000086074816000146/0000860748-16-000146-index.html,https://www.sec.gov/Archives/edgar/data/860748/000086074817000017/0000860748-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/860748/000086074818000045/0000860748-18-000045-index.html,https://www.sec.gov/Archives/edgar/data/860748/000086074819000052/0000860748-19-000052-index.html,https://www.sec.gov/Archives/edgar/data/860748/000086074820000033/0000860748-20-000033-index.html,https://www.sec.gov/Archives/edgar/data/860748/000086074821000039/0000860748-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/860748/000086074822000036/0000860748-22-000036-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,132200000,137200000,123400000,95000000,148400000,150600000,132500000,117900000,510800000,201000000,91000000,380900000,-8200000,123600000,240200000,255500000,283100000,217800000,-29600000,164700000,184600000,83700000,103400000,217700000,114500000,85700000,16800000,120900000,190100000,531100000,409900000,-120500000
74,Depreciation and Amortization,- -,- -,8900000,- -,- -,- -,- -,- -,170100000,167400000,149300000,163100000,12100000,1100000,8300000,11400000,12600000,11600000,7200000,27100000,353500000,344300000,332300000,10900000,23300000,25700000,23200000,28900000,19500000,18200000,171900000,62500000,55000000,99000000
75,Deferred Income Tax,- -,- -,- -,-10700000,1100000,-20700000,4600000,-28100000,17600000,10200000,- -,-113100000,-66900000,91400000,-34400000,34800000,-153400000,21300000,-6300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,-160600000,- -,- -,- -,- -,- -,-3331000000,24000000,-665000000,-129000000,-183000000,-678000000,-564000000,-696000000,-27000000,-288000000,5000000,9076000000,-668200000,271700000,265000000,-818400000,95600000,-138300000,269100000,-190000000,-54500000,-27700000,17600000,2070800000,-3636700000,596000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,22400000,27400000,35000000,54700000,18400000,-59700000,-37500000,-185000000,56400000,80500000,3700000,97500000,69100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60600000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,-5100000,11400000,21500000,7400000,14800000,-20100000,-6000000,-40000000,-23100000,500000,170300000,68800000,6500000,313400000,140400000,102600000,-87800000,-121900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,-3331000000,-3307000000,-3972000000,-4101000000,-4284000000,-4962000000,-5526000000,-6222000000,-6249000000,-6537000000,-6532000000,2544000000,1875800000,2147500000,2412500000,1594100000,1689700000,1551400000,1820500000,1630500000,1576000000,1548300000,1565900000,3636700000,- -,596000000
82,Other Non-Cash Items,- -,- -,233600000,26100000,70700000,121200000,20500000,23700000,3181400000,-165900000,142200000,-110000000,225300000,396400000,994200000,1111800000,225800000,376300000,17400000,-9068800000,413500000,-617200000,-723400000,698800000,-156600000,17000000,-273200000,290400000,258700000,129200000,159600000,-2130100000,3619800000,-224500000
83,Cash Provided by Operating Activities,- -,- -,214100000,152600000,195200000,195500000,173500000,146200000,170600000,153600000,137300000,12000000,78500000,191800000,395900000,585600000,298200000,376700000,306400000,252100000,69200000,163500000,58500000,-25000000,65700000,122100000,133600000,215000000,240500000,240600000,539200000,534300000,448000000,350000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-92600000,- -,-12100000,-11400000,-4300000,-5900000,-3100000,-14000000,-20900000,-29800000,-98900000,-39200000,-24200000,- -,- -,- -,- -,- -,-15200000,-11300000,-8900000,-17600000,-35500000,-65300000,-84000000,-53400000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-99200000,-103400000,33100000,- -,-73900000,-8000000,-17100000,- -,- -,-43000000,-106600000,-189800000,4100000,- -,25000000,14600000,42700000,-57100000,6400000,20200000,-589600000,-44200000,- -,-316000000
86,Purchases of Investments,- -,- -,-1188500000,-1171600000,-1144600000,-407500000,-345800000,-379300000,-613600000,-807800000,-917100000,-965400000,-1663300000,-2007100000,-2037000000,-2618200000,-2080300000,-1579900000,-1331700000,-751600000,-1393700000,-895100000,-764300000,-894700000,-1102700000,-967000000,-921000000,-929500000,-985100000,-1064300000,-2893700000,-1592000000,-2046700000,687000000
87,Sales/Maturities of Investments,- -,- -,1043500000,1144100000,993900000,305100000,528900000,735800000,640300000,779000000,1217500000,1309900000,1618700000,1646300000,2025000000,2659500000,1940400000,1278900000,1395000000,858300000,1433600000,1060900000,781300000,1111400000,1001900000,888300000,825900000,971100000,763400000,951800000,3047900000,1270400000,1452000000,2075000000
88,Other Investing Activites,- -,- -,-12200000,-28000000,2900000,-58800000,-103900000,-121700000,-17500000,-25200000,-19000000,-24600000,-9400000,-4500000,-259200000,-621100000,-21600000,-19500000,-110200000,-262400000,422900000,311600000,298200000,347900000,-30400000,68900000,-51900000,-13100000,-22800000,-13100000,-62200000,-267600000,-162300000,-2564000000
