,https://roic.ai/company/JFIL,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-25000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-3518,- -,- -,- -,- -,-25000,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-800,- -,- -,- -
91,Common Stock Issued,- -,2700,50500,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,32573,66235,59921,123445,108256,107939,52778,46339,61179
95,Cash Used/Provided by Financing Activities,- -,2700,50500,32573,66235,59921,123445,108256,107139,52778,46339,61179
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,2700,-35584,-44081,-14,12,- -,-1345,4383,4079,-1487,-8187
98,Cash at the End of Period,- -,84665,49081,5000,4986,4998,4998,3653,8036,12115,10628,2441
99,Cash at the Beginning of Period,- -,- -,84665,49081,5000,4986,4998,4998,3653,8036,12115,10628
100,Free Cash Flow,- -,81965,-86084,-76654,-66249,-59909,-123445,-109602,-102756,-48699,-47826,-69366
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1517389/000151738912000005/0001517389-12-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1517389/000147793213002783/0001477932-13-002783-index.html,https://www.sec.gov/Archives/edgar/data/1517389/000147793214003257/0001477932-14-003257-index.htm,https://www.sec.gov/Archives/edgar/data/1517389/000147793215003721/0001477932-15-003721-index.htm,https://www.sec.gov/Archives/edgar/data/1517389/000147793216011114/0001477932-16-011114-index.htm,https://www.sec.gov/Archives/edgar/data/1517389/000147793217002170/0001477932-17-002170-index.html,https://www.sec.gov/Archives/edgar/data/1517389/000147793218002584/0001477932-18-002584-index.html,https://www.sec.gov/Archives/edgar/data/1517389/000147793219002948/0001477932-19-002948-index.html,https://www.sec.gov/Archives/edgar/data/1517389/000147793220002534/0001477932-20-002534-index.htm,https://www.sec.gov/Archives/edgar/data/1517389/000147793221002933/0001477932-21-002933-index.htm
102,false,,,,,,,,,,,,
