,https://roic.ai/company/PJT,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
44,Other Non-Current Assets,- -,65877000,66210000,77520000,87474000,101164000,104835000,43358000,53329000,- -
45,Total Non-Current Assets,- -,163660000,162695000,277113000,283585000,300657000,425839000,509311000,638928000,398809000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1097167000
47,Total Assets,- -,319662000,347951000,467252000,590476000,558965000,671817000,952777000,1171607000,987625000
48,Accounts Payable,- -,4518000,4817000,29533000,17354000,16873000,24657000,24767000,25944000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,22308000,3492000
51,Deferred Revenue,- -,810000,1574000,477000,786000,382000,7856000,14189000,9762000,12947000
52,Other Current Liabilities,- -,295000,62000,1672000,2491000,5270000,15496000,14130000,22308000,- -
53,Total Current Liabilities,- -,5623000,6453000,31682000,20631000,22525000,48009000,53086000,58014000,12947000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,30000000,21500000,172291000,- -
55,Deferred Revenue,- -,810000,1574000,477000,786000,382000,7856000,14189000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,11901000,7604000,545943000,577619000,113604000,98203000,289485000,253456000,337106000
58,Total Non-Current Liabilities,- -,12711000,9178000,546420000,578405000,113986000,136059000,325174000,425747000,337106000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,182924000,172291000,- -
61,Total Liabilities,- -,18334000,15631000,578102000,599036000,136511000,184068000,378260000,483761000,350053000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,180000,180000,186000,240000,251000,267000,292000
64,Retained Earnings,- -,- -,- -,-110982000,-17946000,-185991000,-169836000,-144919000,-33127000,-4933000
65,Other Comprehensive Income/Loss,- -,-12874000,-12293000,-2832000,-7876000,-13568000,-1000000,-26609000,1414000,631000
66,Other Total Stockholders Equity,- -,314202000,344613000,2784000,17082000,42095000,84109000,202667000,185705000,641582000
67,Total Stockholders Equity,- -,301328000,332320000,-110850000,-8560000,-157278000,-86487000,31390000,154259000,637572000
68,Total Liabilities And Stockholders Equity,- -,319662000,347951000,467252000,590476000,-20767000,97581000,409650000,638020000,987625000
69,Minority Interest,- -,- -,- -,- -,- -,579732000,574236000,543127000,533587000,- -
70,Total Liabilities & Equity,- -,319662000,347951000,467252000,590476000,558965000,671817000,952777000,1171607000,987625000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1626115/000156459016013745/0001564590-16-013745-index.html,https://www.sec.gov/Archives/edgar/data/1626115/000156459017002891/0001564590-17-002891-index.html,https://www.sec.gov/Archives/edgar/data/1626115/000156459018003538/0001564590-18-003538-index.html,https://www.sec.gov/Archives/edgar/data/1626115/000156459019005523/0001564590-19-005523-index.html,https://www.sec.gov/Archives/edgar/data/1626115/000156459020007455/0001564590-20-007455-index.html,https://www.sec.gov/Archives/edgar/data/1626115/000156459021009465/0001564590-21-009465-index.htm,https://www.sec.gov/Archives/edgar/data/1626115/000156459022007189/0001564590-22-007189-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-42548000,-17173000,-11533000,7576000,-3034000,-32554000,27170000,29562000,117549000,106168000
74,Depreciation and Amortization,10612000,8775000,7773000,14760000,14026000,8143000,9973000,32808000,36360000,34925000
75,Deferred Income Tax,- -,- -,- -,- -,2293000,30961000,-7832000,11509000,6911000,7096000
76,Stock Based Compensation,86555000,79260000,66464000,38614000,89010000,115928000,117991000,111568000,120912000,108913000
77,Change in Working Capital,-22745000,142643000,28424000,-20346000,127803000,-50477000,-37814000,192411000,84285000,-198345000
78,Accounts Receivable,-4456000,-11558000,-1265000,-4517000,-64853000,41179000,-36593000,-11059000,-4943000,-61034000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-876000,575000,299000,20556000,-1119000,-322000,-1602000,1355000,818000,-2073000
81,Other Working Capital,7736000,150379000,178803000,158457000,286260000,235783000,197969000,390380000,474665000,276320000
82,Other Non-Cash Items,-4247000,-163332000,-41199000,71489000,-113247000,39214000,13452000,-166453000,103569000,65404000
83,Cash Provided by Operating Activities,27627000,50173000,49929000,112093000,116851000,111215000,122940000,211405000,469586000,124161000
84,CAPEX,- -,- -,- -,-35919000,-13088000,-1062000,-7206000,-8811000,-8854000,- -
85,Acquisitions Net,- -,- -,- -,12653000,- -,- -,-61463000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-57163000,-22000000,-11253000,-278060000,-97638000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,19988000,59176000,10859000,141162000,235457000
88,Other Investing Activites,- -,- -,- -,-2257000,1295000,- -,- -,7485000,- -,-6472000
89,Cash Used for Investing Activites,- -,- -,- -,-24186000,-11793000,-38237000,-31493000,-1720000,-145752000,131347000
90,Debt Repayment,- -,- -,- -,-21000,-88000,-97000,-106000,-23645000,-37644000,-22773000
91,Common Stock Issued,- -,- -,- -,49371000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-45150000,- -,- -,- -,-2302000,-64870000,-47812000,-48674000,- -
93,Dividends Paid,- -,- -,- -,-88895000,-3728000,-3796000,-4319000,-4645000,-4819000,-77974000
94,Other Financing Activites,-59774000,45000,-41060000,-4573000,-28701000,-73444000,-61385000,-25189000,-153284000,-252636000
95,Cash Used/Provided by Financing Activities,-59774000,-45105000,-41060000,-44118000,-32517000,-79639000,-130680000,-101291000,-244421000,-353383000
96,Effect of Forex Changes on Cash,-290000,- -,- -,- -,-2432000,-151000,-276000,1446000,4150000,-1157000
97,Net Change In Cash,-32437000,5068000,8869000,43789000,70109000,-6812000,-39509000,109840000,83563000,-99032000
98,Cash at the End of Period,24596000,29664000,38533000,82322000,152431000,145619000,106110000,215950000,299513000,- -
99,Cash at the Beginning of Period,57033000,24596000,29664000,38533000,82322000,152431000,145619000,106110000,215950000,299513000
100,Free Cash Flow,27627000,50173000,49929000,76174000,103763000,110153000,115734000,202594000,460732000,124161000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1626115/000156459016013745/0001564590-16-013745-index.html,https://www.sec.gov/Archives/edgar/data/1626115/000156459017002891/0001564590-17-002891-index.html,https://www.sec.gov/Archives/edgar/data/1626115/000156459018003538/0001564590-18-003538-index.html,https://www.sec.gov/Archives/edgar/data/1626115/000156459019005523/0001564590-19-005523-index.html,https://www.sec.gov/Archives/edgar/data/1626115/000156459020007455/0001564590-20-007455-index.html,https://www.sec.gov/Archives/edgar/data/1626115/000156459021009465/0001564590-21-009465-index.htm,https://www.sec.gov/Archives/edgar/data/1626115/000156459022007189/0001564590-22-007189-index.htm
102,false,,,,,,,,,,
