,https://roic.ai/company/MDXG,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-14.4760,-1.3136,-0.2832,-0.0695,0.0526,0.1572,0.0489,0.2016,-0.0835,-0.0855,-0.1985,-0.0398
25,EPS,- -,- -,-0.00,-0.01,-3.00,-0.37,-0.19,-0.14,-0.09,-0.04,0.06,0.28,0.11,0.61,-0.28,-0.24,-0.77,-0.15
26,EPS Diluted,- -,- -,-0.00,-0.01,-3.00,-0.37,-0.19,-0.14,-0.09,-0.04,0.05,0.26,0.11,0.56,-0.28,-0.24,-0.77,-0.15
27,Weighted Average Shares Outstanding,- -,- -,5677325,7396855,5793853,37735563,59138357,72450337,81646295,96285504,105793008,105929205,105928348,106121810,107067857,106946384,108257112,110353406
28,Weighted Average Shares Outstanding Diluted,- -,- -,5677325,7396855,5793853,37735563,59138357,72450337,81646295,96285504,113295504,113628482,112441709,116113736,107067857,106946384,108257112,110353406
29,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1376339/000136231008003456/0001362310-08-003456-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1376339/000114036112017997/0001140361-12-017997-index.html,https://www.sec.gov/Archives/edgar/data/1376339/000114036113012765/0001140361-13-012765-index.html,https://www.sec.gov/Archives/edgar/data/1376339/000137633914000005/mdxg-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1376339/000137633915000040/mdxg-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1376339/000137633916000138/0001376339-16-000138-index.html,https://www.sec.gov/Archives/edgar/data/1376339/000137633917000042/0001376339-17-000042-index.html,- -,https://www.sec.gov/Archives/edgar/data/1376339/000137633920000009/restated2016-2018annua.htm,https://www.sec.gov/Archives/edgar/data/1376339/000137633920000009/0001376339-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1376339/000137633921000011/0001376339-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1376339/000137633922000007/0001376339-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,6352,184,6749609,2653537,1340922,4112326,6754485,44077751,46582000,28486000,34391000,27476000,45118000,69069000,95812000,87083000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5750000,3000000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,6352,184,6749609,2653537,1340922,4112326,6754485,44077751,52332000,31486000,34391000,27476000,45118000,69069000,95812000,87083000
34,Net Receivables,- -,- -,- -,- -,- -,- -,162376,1891919,7653561,16092836,26672000,53755000,67151000,656000,454000,32345000,45468000,41096000
35,Inventory,- -,- -,- -,- -,- -,30920,111554,712602,3022784,3880776,5133000,7460000,17814000,9467000,15986000,9104000,10361000,11389000
36,Other Current Assets,- -,- -,7500,- -,189253,121277,90946,164664,657961,1337408,1540000,3609000,7182000,11148000,12491000,12727000,8976000,8955000
37,Total Current Assets,- -,- -,13852,184,6938862,2805734,1705798,6881511,18088791,65388771,85677000,96310000,126538000,48747000,74049000,123245000,160617000,148523000
38,PP&E,- -,- -,- -,- -,1452436,1049597,756956,869411,1071625,4086106,5447000,9475000,13786000,14091000,17424000,15725000,15060000,13861000
39,Goodwill,- -,- -,- -,- -,857597,857597,857597,4040443,4040443,4040443,4040000,4040000,20203000,19976000,19976000,19976000,19976000,19976000
40,Intangible Assets,- -,- -,- -,- -,5783153,4597326,3929394,15090485,11911748,11178573,10845000,10763000,23268000,10033000,9608000,7777000,6004000,5383000
41,Intangible Assets,- -,- -,- -,- -,6640750,5454923,4786991,19130928,15952191,15219016,14885000,14803000,43471000,30009000,29584000,27753000,25980000,25359000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3250000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14838000,9114000,25541000,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,146433,381829,102500,214342,70000,- -,- -,487000,354000,2867000,1787000,443000,375000,186000
45,Total Non-Current Assets,- -,- -,- -,- -,8239619,6886349,5646447,20214681,17093816,19305122,23582000,39603000,66725000,72508000,48795000,43921000,41415000,39406000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,34187633,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,13852,184,15178481,9692083,7352245,27096192,35182608,84693893,109259000,135913000,193263000,121255000,122844000,167166000,202032000,187929000
48,Accounts Payable,- -,- -,- -,5641,948478,- -,- -,- -,1251684,2490531,3661000,6633000,11436000,8454000,14864000,8710000,8765000,7385000
49,Short-Term Debt,- -,- -,- -,17500,- -,- -,403432,1295980,- -,- -,- -,- -,- -,- -,- -,3750000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-67000,5768000,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,590,2641,- -,629349,848285,6621287,3819088,7117336,14743000,20144000,39296000,37356000,56683000,54862000,50397000,34972000
53,Total Current Liabilities,- -,- -,590,25782,948478,629349,1251717,7917267,5070772,9607867,18404000,26777000,50732000,45810000,71547000,67322000,59162000,42357000
54,Long-Term Debt,- -,- -,10000,10000,- -,2990856,- -,2744587,4012442,- -,- -,- -,- -,- -,- -,61906000,47697000,48127000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,4537773,6092092,1517956,1526000,1148000,9531000,1648000,1642000,3540000,95323000,4869000
58,Total Non-Current Liabilities,- -,- -,10000,10000,- -,2990856,- -,7282360,10104534,1517956,1526000,1148000,9531000,1648000,1642000,65446000,143020000,52996000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,10590,35782,948478,3620205,1251717,15199627,15175306,11125823,19930000,27925000,60263000,47458000,73189000,132768000,202182000,95353000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92494000
63,Common Stock,- -,- -,22864,22864,36864,50003,64382,74307,88423,104426,108000,109000,110000,113000,113000,113000,113000,113000
64,Retained Earnings,- -,- -,-1437604,-1476464,-18033844,-40407607,-51827360,-62021346,-69683722,-73795575,-67575000,-38129000,-26155000,-46581000,-76560000,-102140000,-151424000,-161709000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-200000,- -,- -,-1800000,-2279840,-2301870,-3499000,-4979000,-8505000,-12678000,-18587000,-23977000,- -,- -
66,Other Total Stockholders Equity,- -,- -,1418002,1418002,32426983,46429482,57863506,75643604,91882441,149561089,160295000,150987000,167550000,132943000,144689000,160402000,151161000,161678000
67,Total Stockholders Equity,- -,- -,3262,-35598,14230003,6071878,6100528,11896565,20007302,73568070,89329000,107988000,133000000,73797000,49655000,34398000,-150000,92576000
68,Total Liabilities And Stockholders Equity,- -,- -,13852,184,15178481,9692083,7352245,27096192,35182608,84693893,109259000,135913000,193263000,121255000,122844000,167166000,202032000,187929000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,13852,184,15178481,9692083,7352245,27096192,35182608,84693893,109259000,135913000,193263000,121255000,122844000,167166000,202032000,187929000
71,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1376339/000136231008003456/0001362310-08-003456-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1376339/000114036112017997/0001140361-12-017997-index.html,https://www.sec.gov/Archives/edgar/data/1376339/000114036113012765/0001140361-13-012765-index.html,https://www.sec.gov/Archives/edgar/data/1376339/000137633914000005/mdxg-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1376339/000137633915000040/mdxg-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1376339/000137633916000138/0001376339-16-000138-index.html,https://www.sec.gov/Archives/edgar/data/1376339/000137633917000042/0001376339-17-000042-index.html,- -,https://www.sec.gov/Archives/edgar/data/1376339/000137633920000009/restated2016-2018annua.htm,https://www.sec.gov/Archives/edgar/data/1376339/000137633920000009/0001376339-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1376339/000137633921000011/0001376339-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1376339/000137633922000007/0001376339-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-16738,-38860,-17371475,-11919271,-11419753,-10193986,-7662376,-4111853,6220000,29446000,11974000,64727000,-29979000,-25580000,-49284000,-10285000
74,Depreciation and Amortization,- -,- -,- -,- -,500262,1091829,1112191,1782410,1845608,1691217,2125000,2732000,5460000,5765000,6916000,7585000,6855000,5183000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7081000,-594000,-26670000,25541000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,1409238,1170661,1659083,2538721,6009176,11453000,16896000,17818000,21195000,14768000,12064000,15357000,14757000
77,Change in Working Capital,- -,- -,-6910,15192,-377045,857159,92959,-233233,-5186430,-5607358,-2996000,-23228000,-10496000,-523000,18603000,-20053000,-15689000,-14077000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-162376,-1208456,-5761642,-8439275,-10579000,-27083000,-11396000,-479000,- -,-10938000,-3096000,-4930000
79,Inventory,- -,- -,- -,- -,- -,- -,-80634,-253942,-2310182,-857992,-1252000,-2327000,-2837000,2747000,-6519000,6882000,-1257000,-1028000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-81112,1208747,1287000,3136000,-3665000,-1324000,6585000,-6171000,177000,-326000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,86702,-63992,83926,2835574,5935000,3511000,3166000,3028000,2083000,-10209000,-12486000,14430000
82,Other Non-Cash Items,- -,- -,- -,- -,9111934,5440,886449,320955,5079646,1733341,- -,42000,1666000,-1555000,-53000,-13428000,12498000,2440000
83,Cash Provided by Operating Activities,- -,- -,-23648,-23668,-8136324,-8555605,-8157493,-6664771,-3384831,-285477,16802000,18807000,25828000,62939000,35796000,-39412000,-30263000,-1982000
84,CAPEX,- -,- -,- -,- -,-1172730,-360493,-151617,-486091,-582931,-3025414,-3152000,-6678000,-7111000,-5397000,-10028000,-2218000,-4555000,-3470000
85,Acquisitions Net,- -,- -,- -,- -,1729504,- -,- -,-466417,- -,- -,- -,- -,-7631000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-2769,- -,- -,- -,- -,-9000000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,3000000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,36694,6580,- -,250000,- -,-688897,-594000,-851000,-842000,-271000,199000,2256000,-327000,-177000
89,Cash Used for Investing Activites,- -,- -,- -,- -,593468,-356682,-151617,-702508,-582931,-3025414,-12152000,-678000,-11742000,-5397000,-9220000,504000,-4555000,-3395000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-187657,-443242,-57450,-117000,-117000,-102000,-29000,-3000,-1875000,-85311000,-38000
91,Common Stock Issued,- -,- -,20000,- -,2160,2197500,3122020,3730587,- -,36602306,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5612000,-40279000,-10378000,-68263000,-7572000,- -,- -,-4751000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,10000,17500,3833598,6,3874475,6595753,7053163,4089301,3583000,4171000,2299000,7905000,-1359000,64734000,146872000,1437000
95,Cash Used/Provided by Financing Activities,- -,- -,30000,17500,3835758,2197506,6996495,10138683,6609921,40634157,-2146000,-36225000,-8181000,-60387000,-8934000,62859000,61561000,-3352000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,30000,-6168,-3707098,-6714781,-1312615,2771404,2642159,37323266,2504000,-18096000,5905000,-2845000,17642000,23951000,26743000,-8729000
98,Cash at the End of Period,- -,- -,6352,184,6749609,34828,1340922,4112326,6754485,44077751,46582000,28486000,34391000,27476000,45118000,69069000,95812000,87083000
99,Cash at the Beginning of Period,- -,- -,- -,6352,10456707,6749609,2653537,1340922,4112326,6754485,44078000,46582000,28486000,30321000,27476000,45118000,69069000,95812000
100,Free Cash Flow,- -,- -,-23648,-23668,-9309054,-8916098,-8309110,-7150862,-3967762,-3310891,13650000,12129000,18717000,57542000,25768000,-41630000,-34818000,-5452000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1376339/000136231008003456/0001362310-08-003456-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1376339/000114036112017997/0001140361-12-017997-index.html,https://www.sec.gov/Archives/edgar/data/1376339/000114036113012765/0001140361-13-012765-index.html,https://www.sec.gov/Archives/edgar/data/1376339/000137633914000005/mdxg-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1376339/000137633915000040/mdxg-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1376339/000137633916000138/0001376339-16-000138-index.html,https://www.sec.gov/Archives/edgar/data/1376339/000137633917000042/0001376339-17-000042-index.html,- -,https://www.sec.gov/Archives/edgar/data/1376339/000137633920000009/restated2016-2018annua.htm,https://www.sec.gov/Archives/edgar/data/1376339/000137633920000009/0001376339-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1376339/000137633921000011/0001376339-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1376339/000137633922000007/0001376339-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,
