,https://roic.ai/company/STIM,2016,2017,2018,2019,2020,2021
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,161000,496000,1743000,3434000,4404000,- -
77,Change in Working Capital,1345000,15429000,75903000,-40156000,-9428000,-6637000
78,Accounts Receivable,-123000,-690000,-1353000,-950000,-597000,- -
79,Inventory,-646000,-1068000,-435000,-306000,-945000,- -
80,Accounts Payable,734000,788000,606000,299000,-1085000,- -
81,Other Working Capital,9582000,25011000,100914000,60758000,51330000,- -
82,Other Non-Cash Items,514000,-11606000,-75022000,34219000,3146000,37830000
83,Cash Provided by Operating Activities,-8541000,-11144000,-20591000,-30482000,-28390000,- -
84,CAPEX,-324000,-594000,-1011000,-813000,-730000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-324000,-594000,-1011000,-813000,-730000,- -
90,Debt Repayment,- -,- -,- -,- -,-38860000,- -
91,Common Stock Issued,- -,- -,99998000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,4896000,23845000,-2960000,2420000,41229000,- -
95,Cash Used/Provided by Financing Activities,4896000,23845000,97038000,2420000,2369000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-3969000,12107000,75436000,-28875000,-26751000,- -
98,Cash at the End of Period,17040000,29147000,104583000,75708000,48957000,- -
99,Cash at the Beginning of Period,21009000,17040000,29147000,104583000,75708000,- -
100,Free Cash Flow,-8865000,-11738000,-21602000,-31295000,-29120000,-30336000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1227636/000156459019006276/0001564590-19-006276-index.html,https://www.sec.gov/Archives/edgar/data/1227636/000156459020008464/0001564590-20-008464-index.html,https://www.sec.gov/Archives/edgar/data/1227636/000156459021010320/0001564590-21-010320-index.htm,https://www.sec.gov/Archives/edgar/data/1227636/000155837022003069/0001558370-22-003069-index.htm
102,false,,,,,,
