,https://roic.ai/company/IBP,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1580905/000119312514121477/0001193125-14-121477-index.htm,https://www.sec.gov/Archives/edgar/data/1580905/000119312515090717/0001193125-15-090717-index.htm,https://www.sec.gov/Archives/edgar/data/1580905/000119312516498539/0001193125-16-498539-index.htm,https://www.sec.gov/Archives/edgar/data/1580905/000119312517062227/0001193125-17-062227-index.htm,https://www.sec.gov/Archives/edgar/data/1580905/000119312518064142/0001193125-18-064142-index.htm,https://www.sec.gov/Archives/edgar/data/1580905/000119312519057931/0001193125-19-057931-index.htm,https://www.sec.gov/Archives/edgar/data/1580905/000119312520052757/0001193125-20-052757-index.htm,https://www.sec.gov/Archives/edgar/data/1580905/000162828021003085/0001628280-21-003085-index.htm,https://www.sec.gov/Archives/edgar/data/1580905/000158090522000004/0001580905-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-8985000,-1906000,6040000,13932000,26517000,38436000,41140000,54748000,68159000,97239000,118763000
74,Depreciation and Amortization,8391000,7719000,11431000,15011000,23239000,34830000,55142000,58725000,79063000,87996000,102899000
75,Deferred Income Tax,-1536000,-767000,-1782000,-378000,-1515000,-605000,-6160000,470000,5341000,-8475000,-438000
76,Stock Based Compensation,780000,4658000,- -,300000,2116000,1894000,6592000,7839000,8727000,10826000,13752000
77,Change in Working Capital,1764000,4534000,8098000,11663000,10078000,9476000,132850000,34723000,137941000,19668000,-103393000
78,Accounts Receivable,-5457000,-6858000,-12777000,-10688000,-17526000,-18760000,-19955000,-30166000,-29582000,-10489000,-16775000
79,Inventory,1603000,-1845000,-2945000,-2925000,-2846000,-8677000,-3667000,-15717000,-10597000,187000,-54003000
80,Accounts Payable,-980000,2013000,3902000,4585000,-2511000,12400000,6303000,8146000,947000,-203000,26424000
81,Other Working Capital,18437000,22971000,31069000,42732000,52810000,62286000,195136000,229859000,367800000,387468000,-4403000
82,Other Non-Cash Items,-13169000,-9644000,-19563000,-20926000,-25888000,-10765000,-160792000,-59872000,-176164000,-26465000,6731000
83,Cash Provided by Operating Activities,-12755000,4594000,4224000,19602000,34547000,73266000,68772000,96633000,123067000,180789000,138314000
84,CAPEX,-1062000,-2929000,-2665000,-6176000,-27305000,-27013000,-31668000,-35232000,-50167000,-33587000,-36979000
85,Acquisitions Net,- -,-823000,-1181000,-12364000,-84274000,-53312000,-137120000,-57740000,-51706000,-76446000,-241308000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-30194000,-22818000,-52795000,-776000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,42782000,25061000,38693000,- -
88,Other Investing Activites,1243000,1009000,1335000,2397000,214000,728000,-1461000,-1061000,-2126000,-5678000,-152000
89,Cash Used for Investing Activites,181000,-2743000,-2511000,-16143000,-111365000,-79597000,-200443000,-74069000,-131733000,-77794000,-278439000
90,Debt Repayment,-16613000,-3467000,-7138000,-37714000,-187800000,-154297000,-240066000,-22484000,-221223000,-29317000,-228426000
91,Common Stock Issued,12628000,2500000,- -,102063000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-81018000,-6100000,- -,- -,-89363000,- -,-33924000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35294000
94,Other Financing Activites,15930000,486000,5592000,19906000,266775000,168292000,419765000,117215000,317336000,13877000,505810000
95,Cash Used/Provided by Financing Activities,11945000,-481000,-1546000,3237000,72875000,13995000,179699000,5368000,96113000,-49364000,242090000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-629000,1370000,167000,6696000,-3943000,7664000,48028000,27932000,87447000,53631000,101965000
98,Cash at the End of Period,2528000,3898000,4065000,10761000,6818000,14482000,62510000,90442000,177889000,231520000,333485000
99,Cash at the Beginning of Period,3157000,2528000,3898000,4065000,10761000,6818000,14482000,62510000,90442000,177889000,231520000
100,Free Cash Flow,-13817000,1665000,1559000,13426000,7242000,46253000,37104000,61401000,72900000,147202000,101335000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1580905/000119312514121477/0001193125-14-121477-index.htm,https://www.sec.gov/Archives/edgar/data/1580905/000119312515090717/0001193125-15-090717-index.htm,https://www.sec.gov/Archives/edgar/data/1580905/000119312516498539/0001193125-16-498539-index.htm,https://www.sec.gov/Archives/edgar/data/1580905/000119312517062227/0001193125-17-062227-index.htm,https://www.sec.gov/Archives/edgar/data/1580905/000119312518064142/0001193125-18-064142-index.htm,https://www.sec.gov/Archives/edgar/data/1580905/000119312519057931/0001193125-19-057931-index.htm,https://www.sec.gov/Archives/edgar/data/1580905/000119312520052757/0001193125-20-052757-index.htm,https://www.sec.gov/Archives/edgar/data/1580905/000162828021003085/0001628280-21-003085-index.htm,https://www.sec.gov/Archives/edgar/data/1580905/000158090522000004/0001580905-22-000004-index.htm
102,false,,,,,,,,,,,
