,https://roic.ai/company/LOPE,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,-1915000,-1803000,-2257000,-1289000,-721000,-632000,-628000,1619000,-1117000,-1354000,-1079000,774000,28851000,52371000,55703000,49099000
20,Income Before Tax,- -,1127000,2542000,10540000,45283000,72807000,81528000,113424000,144895000,179698000,209007000,236124000,283528000,287000000,317502000,333140000,331289000
21,Income Before Tax Ratio,- -,0.0156,0.0256,0.0653,0.1729,0.1887,0.1910,0.2219,0.2422,0.2600,0.2686,0.2704,0.2911,0.3394,0.4078,0.3947,0.3695
22,Income Tax expense (Gain),- -,529000,1016000,3855000,17979000,28442000,30982000,43977000,56184000,68232000,77596000,87610000,80209000,57989000,58327000,75944000,70945000
23,Net Income,-4286000,598000,1526000,6685000,27304000,44365000,50546000,69447000,88711000,111466000,131411000,148514000,203319000,229011000,259175000,257196000,260344000
24,Net Income ratio,-0.0828,0.0083,0.0154,0.0414,0.1043,0.1150,0.1184,0.1358,0.1483,0.1613,0.1689,0.1701,0.2087,0.2709,0.3329,0.3047,0.2904
25,EPS,-0.23,0.00,0.06,0.26,0.60,0.97,1.13,1.57,1.98,2.45,2.86,3.22,4.31,4.81,5.42,5.49,5.94
26,EPS Diluted,-0.23,0.00,0.03,0.17,0.60,0.96,1.12,1.53,1.92,2.37,2.78,3.15,4.22,4.73,5.37,5.45,5.92
27,Weighted Average Shares Outstanding,18470000,18853000,18923000,22185000,45184000,45722000,44631000,44332000,44731000,45538000,45975000,46083000,47140000,47608000,47814000,46880000,43835000
28,Weighted Average Shares Outstanding Diluted,18470000,36858000,35143000,33430000,45503000,46396000,45105000,45251000,46131000,47006000,47281000,47121000,48235000,48414000,48266000,47165000,43958000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1434588/000095012310014150/0000950123-10-014150-index.html,https://www.sec.gov/Archives/edgar/data/1434588/000095012311016511/0000950123-11-016511-index.htm,https://www.sec.gov/Archives/edgar/data/1434588/000119312512070566/0001193125-12-070566-index.html,https://www.sec.gov/Archives/edgar/data/1434588/000119312513065203/0001193125-13-065203-index.html,https://www.sec.gov/Archives/edgar/data/1434588/000119312514060686/0001193125-14-060686-index.htm,https://www.sec.gov/Archives/edgar/data/1434588/000119312515052885/d858234d10k.htm,https://www.sec.gov/Archives/edgar/data/1434588/000119312516467102/0001193125-16-467102-index.html,https://www.sec.gov/Archives/edgar/data/1434588/000119312517046698/0001193125-17-046698-index.html,https://www.sec.gov/Archives/edgar/data/1434588/000119312518051923/0001193125-18-051923-index.html,https://www.sec.gov/Archives/edgar/data/1434588/000155837019000782/0001558370-19-000782-index.html,https://www.sec.gov/Archives/edgar/data/1434588/000155837020001013/0001558370-20-001013-index.html,https://www.sec.gov/Archives/edgar/data/1434588/000155837021001135/0001558370-21-001135-index.htm,https://www.sec.gov/Archives/edgar/data/1434588/000155837022001269/0001558370-22-001269-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,14361000,23210000,35152000,62571000,33637000,21189000,105111000,55824000,65238000,23036000,45976000,153474000,120346000,122272000,245769000,600941000
32,Short-Term Investments,- -,- -,- -,- -,3403000,52178000,- -,- -,108420000,100784000,83364000,62596000,89271000,69002000,21601000,10840000,- -
33,Cash and Short-Term Investments,- -,14361000,23210000,35152000,65974000,85815000,21189000,105111000,164244000,166022000,106400000,108572000,242745000,189348000,143873000,256609000,600941000
34,Net Receivables,- -,4798000,7114000,11018000,13802000,41749000,23676000,34951000,10816000,7606000,12250000,14685000,12994000,51488000,56136000,68494000,71338000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,3877000,11990000,7429000,10470000,14720000,70549000,74112000,88643000,93417000,102695000,106811000,119123000,68630000,8335000,8639000,8766000
37,Total Current Assets,- -,23036000,42314000,53599000,90246000,142284000,115414000,214174000,263703000,267045000,221345000,230068000,374862000,309466000,208344000,333742000,681045000
38,PP&E,- -,29017000,33849000,41399000,67370000,123999000,189947000,269162000,339596000,478170000,667483000,855528000,922284000,111039000,147504000,189677000,193772000
39,Goodwill,- -,2941000,2941000,2941000,2941000,2941000,2941000,2941000,2941000,2941000,2941000,2941000,2941000,2941000,160766000,160766000,160766000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,202057000,193638000,185219000
41,Intangible Assets,- -,2941000,2941000,2941000,2941000,2941000,2941000,2941000,2941000,2941000,2941000,2941000,2941000,2941000,362823000,354404000,345985000
42,Investments,- -,- -,- -,3403000,360000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,2835000,2806000,7404000,5956000,2800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,3403000,6658000,8244000,7865000,12231000,9545000,8646000,9860000,7557000,6661000,3956000,3486000,900571000,971618000,966756000,1943000
45,Total Non-Current Assets,- -,38196000,46254000,63391000,84492000,141971000,202433000,280749000,352397000,488668000,677085000,862425000,928711000,1014551000,1481945000,1510837000,541700000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,61232000,88568000,116990000,174738000,284255000,317847000,494923000,616100000,755713000,898430000,1092493000,1303573000,1324017000,1690289000,1844579000,1222745000
48,Accounts Payable,- -,3181000,3434000,5770000,8762000,15693000,18523000,14174000,24231000,22715000,34149000,24824000,29139000,14274000,14835000,16583000,24306000
49,Short-Term Debt,- -,1323000,7796000,1482000,2856000,3699000,2209000,6688000,6696000,6707000,7322000,31636000,6691000,36468000,36228000,40537000,7426000
50,Tax Payable,- -,- -,- -,172000,2261000,829000,536000,8704000,7000,4906000,29000,2734000,16182000,5442000,6576000,5405000,5895000
51,Deferred Revenue,- -,- -,10369000,14262000,23204000,15034000,21723000,86359000,99588000,106452000,114618000,126620000,142193000,- -,20000,- -,10000
52,Other Current Liabilities,- -,16194000,15567000,11043000,27570000,88422000,79050000,45506000,35108000,42837000,32445000,43714000,60112000,29776000,44147000,61598000,66202000
53,Total Current Liabilities,- -,20698000,37166000,32557000,62392000,122848000,121505000,152727000,165623000,178711000,188534000,226794000,238135000,80518000,95230000,118718000,97944000
54,Long-Term Debt,- -,2088000,1762000,1459000,25450000,21881000,19901000,93100000,86493000,79877000,73252000,66616000,59925000,23437000,107774000,131241000,53755000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,5334000,7045000,11832000,15974000,21303000,23708000,18362000,6465000,18320000,20288000,25962000
57,Other Non-Current Liabilities,- -,50169000,60026000,29384000,868000,2866000,7814000,7992000,7308000,4919000,5090000,1689000,1200000,- -,25532000,3000,37000
58,Total Non-Current Liabilities,- -,52257000,61788000,30843000,26318000,24747000,33049000,108137000,105633000,100770000,99645000,92013000,79487000,29902000,151626000,151532000,79754000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,28779000,28078000,30509000,1619000,1824000,1144000,674000,586000,497000,1485000,- -,- -,- -,28603000,64004000,61181000
61,Total Liabilities,- -,72955000,98954000,63400000,88710000,147595000,154554000,260864000,271256000,279481000,288179000,318807000,317622000,110420000,246856000,270250000,177698000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,189000,190000,455000,457000,458000,460000,471000,489000,497000,503000,515000,523000,527000,531000,533000,536000
64,Retained Earnings,- -,-19900000,-18374000,-11689000,15615000,59980000,101367000,170814000,259525000,370991000,502402000,650916000,854176000,1082169000,1341344000,1594708000,1855052000
65,Other Comprehensive Income/Loss,- -,35000,79000,16000,-144000,-445000,-360000,-223000,358000,-35000,-489000,-910000,-724000,-453000,- -,-112953000,- -
66,Other Total Stockholders Equity,- -,7953000,7719000,64808000,70100000,76667000,61826000,62997000,84472000,104779000,107835000,123165000,131976000,131354000,101558000,92041000,-810541000
67,Total Stockholders Equity,- -,-11723000,-10386000,53590000,86028000,136660000,163293000,234059000,344844000,476232000,610251000,773686000,985951000,1213597000,1443433000,1574329000,1045047000
68,Total Liabilities And Stockholders Equity,- -,61232000,88568000,116990000,174738000,284255000,317847000,494923000,616100000,755713000,898430000,1092493000,1303573000,1324017000,1690289000,1844579000,1222745000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,61232000,88568000,116990000,174738000,284255000,317847000,494923000,616100000,755713000,898430000,1092493000,1303573000,1324017000,1690289000,1844579000,1222745000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1434588/000095012310014150/0000950123-10-014150-index.html,https://www.sec.gov/Archives/edgar/data/1434588/000095012311016511/0000950123-11-016511-index.htm,https://www.sec.gov/Archives/edgar/data/1434588/000119312512070566/0001193125-12-070566-index.html,https://www.sec.gov/Archives/edgar/data/1434588/000119312513065203/0001193125-13-065203-index.html,https://www.sec.gov/Archives/edgar/data/1434588/000119312514060686/0001193125-14-060686-index.htm,https://www.sec.gov/Archives/edgar/data/1434588/000119312515052885/d858234d10k.htm,https://www.sec.gov/Archives/edgar/data/1434588/000119312516467102/0001193125-16-467102-index.html,https://www.sec.gov/Archives/edgar/data/1434588/000119312517046698/0001193125-17-046698-index.html,https://www.sec.gov/Archives/edgar/data/1434588/000119312518051923/0001193125-18-051923-index.html,https://www.sec.gov/Archives/edgar/data/1434588/000155837019000782/0001558370-19-000782-index.html,https://www.sec.gov/Archives/edgar/data/1434588/000155837020001013/0001558370-20-001013-index.html,https://www.sec.gov/Archives/edgar/data/1434588/000155837021001135/0001558370-21-001135-index.htm,https://www.sec.gov/Archives/edgar/data/1434588/000155837022001269/0001558370-22-001269-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,- -,598000,1526000,6685000,27304000,44365000,50546000,69447000,88711000,111466000,131411000,148514000,203319000,229011000,259175000,257196000,260344000
74,Depreciation and Amortization,- -,2396000,3300000,5095000,7960000,12108000,17034000,21923000,25437000,29473000,35675000,45683000,54228000,35673000,26919000,29652000,30413000
75,Deferred Income Tax,- -,-2148000,-1656000,-245000,-2523000,179000,20794000,-518000,5472000,2651000,4576000,8432000,-5160000,-11507000,1670000,3136000,5674000
76,Stock Based Compensation,- -,- -,- -,4991000,3419000,5049000,6452000,7811000,9936000,9945000,11257000,12276000,12688000,19508000,10300000,10663000,11526000
77,Change in Working Capital,- -,1290000,2810000,15894000,6812000,-8418000,-25527000,67538000,36633000,-9746000,-55523000,-29537000,133453000,92221000,-115834000,101910000,9485000
78,Accounts Receivable,- -,- -,- -,-10793000,-18376000,-46905000,-28196000,-14148000,-19163000,-15433000,-17313000,-20340000,-19848000,-59264000,766000,-13250000,-2863000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,927000,2155000,2510000,3155000,-630000,8563000,-2448000,5002000,-4793000,5378000,-14306000,-3095000,1012000,7392000
81,Other Working Capital,- -,2338000,5148000,21042000,27854000,19436000,-6091000,61447000,98080000,88334000,32811000,3274000,136727000,228948000,113114000,215024000,1064000
82,Other Non-Cash Items,- -,4664000,1123000,-22188000,18195000,30821000,27800000,-22005000,-47740000,23207000,46504000,32918000,-93630000,-165821000,124114000,-93734000,-4323000
83,Cash Provided by Operating Activities,- -,6800000,7103000,10232000,61167000,84104000,97099000,144196000,118449000,166996000,173900000,218286000,304898000,199085000,306344000,308823000,313119000
84,CAPEX,- -,-2387000,-7406000,-8374000,-60265000,-62627000,-80545000,-104876000,-93490000,-168646000,-218301000,-239019000,-123954000,-94857000,-22651000,-29942000,-29390000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1749000,685000,-131550000,-361184000,- -,- -
86,Purchases of Investments,- -,- -,- -,-2627000,- -,-49666000,- -,- -,-168953000,-114919000,-48122000,-49157000,-94054000,-46948000,-9384000,- -,-56335000
87,Sales/Maturities of Investments,- -,9045000,- -,4653000,1844000,487000,- -,- -,60533000,122555000,65542000,69925000,65259000,65116000,57163000,10591000,66792000
88,Other Investing Activites,- -,- -,-149000,-8374000,-24760000,-62627000,-84277000,-124323000,-49536000,-168646000,-204718000,-177791000,-113586000,-124523000,-92470000,-29942000,940522000
89,Cash Used for Investing Activites,- -,6658000,-7555000,-6348000,-58421000,-111806000,-84277000,-131546000,-172498000,-161010000,-200881000,-216001000,-152064000,-238235000,-405875000,-19351000,950979000
90,Debt Repayment,- -,- -,- -,-8607000,-2732000,-2933000,-3748000,-21744000,-6689000,-6696000,-6784000,-7224000,-6805000,-6719000,-161183000,-33144000,-107774000
91,Common Stock Issued,- -,4200000,6000000,128756000,14880000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-4200000,- -,-6000000,-14495000,-782000,-23112000,-15242000,-9296000,-5338000,-15562000,-20062000,-11300000,-24758000,-43913000,-134014000,-803832000
93,Dividends Paid,- -,-497000,-153000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-1179000,3454000,-101811000,27020000,2483000,1590000,108258000,20747000,15462000,7125000,47941000,-17628000,4632000,245186000,883000,2680000
95,Cash Used/Provided by Financing Activities,- -,-1676000,9301000,12338000,24673000,-1232000,-25270000,71272000,4762000,3428000,-15221000,20655000,-35733000,-26845000,40090000,-166275000,-908926000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,11782000,8849000,16222000,27419000,-28934000,-12448000,83922000,-49287000,9414000,-42202000,22940000,117101000,-65995000,-59441000,123197000,355172000
98,Cash at the End of Period,- -,14361000,23210000,35152000,62571000,33637000,21189000,105111000,55824000,65238000,23036000,45976000,248008000,182013000,122572000,245769000,600941000
99,Cash at the Beginning of Period,- -,2579000,14361000,18930000,35152000,62571000,33637000,21189000,105111000,55824000,65238000,23036000,130907000,248008000,182013000,122572000,245769000
100,Free Cash Flow,- -,4413000,-303000,1858000,902000,21477000,16554000,39320000,24959000,-1650000,-44401000,-20733000,180944000,104228000,283693000,278881000,283729000
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1434588/000095012310014150/0000950123-10-014150-index.html,https://www.sec.gov/Archives/edgar/data/1434588/000095012311016511/0000950123-11-016511-index.htm,https://www.sec.gov/Archives/edgar/data/1434588/000119312512070566/0001193125-12-070566-index.html,https://www.sec.gov/Archives/edgar/data/1434588/000119312513065203/0001193125-13-065203-index.html,https://www.sec.gov/Archives/edgar/data/1434588/000119312514060686/0001193125-14-060686-index.htm,https://www.sec.gov/Archives/edgar/data/1434588/000119312515052885/d858234d10k.htm,https://www.sec.gov/Archives/edgar/data/1434588/000119312516467102/0001193125-16-467102-index.html,https://www.sec.gov/Archives/edgar/data/1434588/000119312517046698/0001193125-17-046698-index.html,https://www.sec.gov/Archives/edgar/data/1434588/000119312518051923/0001193125-18-051923-index.html,https://www.sec.gov/Archives/edgar/data/1434588/000155837019000782/0001558370-19-000782-index.html,https://www.sec.gov/Archives/edgar/data/1434588/000155837020001013/0001558370-20-001013-index.html,https://www.sec.gov/Archives/edgar/data/1434588/000155837021001135/0001558370-21-001135-index.htm,https://www.sec.gov/Archives/edgar/data/1434588/000155837022001269/0001558370-22-001269-index.htm
102,false,,,,,,,,,,,,,,,,,
