,https://roic.ai/company/BRTX,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1505497/000149315221010062/0001493152-21-010062-index.htm,https://www.sec.gov/Archives/edgar/data/1505497/000149315222008184/0001493152-22-008184-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-2263799,-4073937,-6536722,-5751194,-5587612,-7923480,-8636292,-9444655,-12517803,-14647890,-11272687,-44303295
74,Depreciation and Amortization,48358,90412,90404,104811,96685,213784,258425,259259,240372,217359,121384,1133539
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,895608,456826,1848246,812647,1360296,1954736,2536785,3600804,2399385,1658524,691701,23108955
77,Change in Working Capital,408876,-2791169,1004271,-4478072,-1147938,3087507,-460005,-2050408,-1240309,-4577815,15793945,18961857
78,Accounts Receivable,- -,- -,- -,- -,- -,-93375,87375,-32000,9000,-3000,15000,- -
79,Inventory,- -,- -,-12484,-5481,613,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,81918,268516,349215,498541,-234563,1381407,-113151,185963,-516117,97099,84631,-68024
81,Other Working Capital,-997778,-3788947,-2784676,-7262748,-8410686,-5323179,-5783184,-7833592,-9073901,-13651716,2142229,21104086
82,Other Non-Cash Items,181739,3507001,409689,6639404,2050718,-454610,1298412,3781179,6013726,10431088,-7298608,-2230964
83,Cash Provided by Operating Activities,-729218,-2810867,-3184112,-2672404,-3227851,-3122063,-5002675,-3853821,-5104629,-6918734,-1964265,-3329908
84,CAPEX,-48784,-17772,-1002533,-11160,-168376,-483069,-188764,-3617,-12869,-35631,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-3401,32000,-1000000,- -,980,-75000,- -,- -,- -,- -,- -,-30658
89,Cash Used for Investing Activites,-48784,14228,-1002533,-11160,-167396,-483069,-188764,-3617,-12869,-35631,- -,-30658
90,Debt Repayment,-176795,-334427,-198058,-124795,-202063,-5000,-476500,-330176,-863302,-5708334,- -,- -
91,Common Stock Issued,666300,200000,1925000,905000,2605000,2033700,3498338,1084000,175000,1658500,10000,- -
92,Common Stock Repurchased,-28000,-4000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,334529,2988500,2388558,2104094,883010,1651189,2034868,3523472,5471643,10888339,5017211,21322683
95,Cash Used/Provided by Financing Activities,796034,2850073,4115500,2884299,3285947,3679889,5056706,4277296,4783341,6838505,5027211,21322683
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,18032,53434,-71145,200735,-109300,74757,-134733,419858,-334157,-115859,3062946,17962117
98,Cash at the End of Period,18074,71508,363,201098,91798,166555,31822,451680,117523,1664,3064610,21026727
99,Cash at the Beginning of Period,42,18074,71508,363,201098,91798,166555,31822,451680,117523,1664,3064610
100,Free Cash Flow,-778002,-2828639,-4186645,-2683564,-3396227,-3605132,-5191439,-3857438,-5117498,-6954365,-1964265,-3329908
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1505497/000149315221010062/0001493152-21-010062-index.htm,https://www.sec.gov/Archives/edgar/data/1505497/000149315222008184/0001493152-22-008184-index.htm
102,false,,,,,,,,,,,,
