,https://roic.ai/company/CJJD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,1312500,2100000,2100000,9025000,13254792,13569995,13580731,13880190,15156423,16147505,20396217,25241748,28936778,32816567,32816567
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1413263/000113705008000258/0001137050-08-000258-index.html,https://www.sec.gov/Archives/edgar/data/1413263/000114420410019531/0001144204-10-019531-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000115752310003865/0001157523-10-003865-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000115752311003828/0001157523-11-003828-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000121390012003602/0001213900-12-003602-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000121390013003375/0001213900-13-003375-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000121390014004536/0001213900-14-004536-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000121390015004826/0001213900-15-004826-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000121390016014551/0001213900-16-014551-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000121390017006960/0001213900-17-006960-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000121390018008512/0001213900-18-008512-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000121390019011825/0001213900-19-011825-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000121390020017170/0001213900-20-017170-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000121390021034697/0001213900-21-034697-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,30354,1606,691,801593,6489905,3833216,4524094,4445276,4023581,6671873,18364424,15132640,9322463,16176318,22045628
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,1307200,465165,87068,175140,180928,157159,91472
33,Cash and Short-Term Investments,30354,1606,691,801593,6489905,3833216,4524094,4445276,5330781,7137038,18451492,15307780,9503391,16333477,22137100
34,Net Receivables,- -,- -,- -,1510367,2534414,17119965,13136657,6884082,10506959,9446571,11084183,11699554,13308022,14897103,18515080
35,Inventory,- -,- -,- -,3770411,4617420,6875574,8586999,8419132,10538591,10802691,9923101,13429568,13955202,12247004,16972965
36,Other Current Assets,- -,- -,- -,10060950,25814915,20019307,18907370,9354839,15910291,19496703,16501682,21883240,19436366,17509628,14609098
37,Total Current Assets,30354,1606,691,16143321,39456654,47848062,45155120,29103329,42286622,46883003,55960458,62320142,56202981,60987212,72234243
38,PP&E,- -,- -,- -,1186292,5471432,15647120,18708252,12291375,9791579,8138205,5440162,4078893,9830593,29345116,23327764
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,23623,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,2816945,1202258,1569443,3118380,2928779,2712611,4056414,3597323,4388518,4313625
41,Intangible Assets,- -,- -,- -,- -,390302,2816945,1202258,1569443,3142003,2928779,2712611,4056414,3597323,4388518,4313625
42,Investments,- -,- -,- -,- -,- -,2872219,- -,- -,- -,108539,46152,40890,24243,2544451,3981986
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,6793724,8616236,5776667,2772391,2944680,4288384,4014261,3013635,3316353,3075496,2250936,2453013
45,Total Non-Current Assets,- -,- -,- -,7980016,14477970,27112951,22682901,16805498,17221966,15189784,11212560,11492550,16527655,38529021,34076388
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,30354,1606,691,24123337,53934624,74961013,67838021,45908827,59508588,62072787,67173018,73812692,72730636,99516233,106310631
48,Accounts Payable,- -,- -,8800,2330317,3530204,13906383,13780211,14554726,15915915,16667396,19441195,25259526,23106230,21559494,29895830
49,Short-Term Debt,- -,- -,- -,2344441,2704680,4208928,7186453,8277060,15785649,17626645,12691575,19180200,25951673,31284933,29771708
50,Tax Payable,- -,- -,- -,1235083,1624558,469606,371633,373501,328111,483770,681939,366040,125859,119247,197733
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,4828293,3185885,3759050,2610151,2675030,4040867,771942,708140,1146247
52,Other Current Liabilities,- -,- -,- -,2758830,5482597,4459958,3879846,5248248,6499257,5216422,5204624,6330898,5382441,3885407,4084149
53,Total Current Liabilities,- -,- -,8800,7433588,11717481,22575269,29674803,31265919,41959871,42120614,40012424,54811491,55212286,57437974,64897934
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23165533,17010352
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,153226,34419,15609,278916,315327,636301,496217,138796,547183,134597,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,153226,34419,15609,278916,315327,636301,496217,138796,547183,23300130,17010352
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20030665,15906254
61,Total Liabilities,- -,- -,8800,7433588,11870707,22609688,29690412,31544835,42275198,42756915,40508641,54950287,55759469,80738104,81908286
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,4200,4200,4200,10000,13530,13589,13609,14416,15651,17736,25215,28937,28937,32937,41752
64,Retained Earnings,-3737,-32485,-42200,16164125,24596583,32738209,17095369,-8260767,-7404210,-6957053,-12601257,-29661190,-30587468,-36400837,-44942374
65,Other Comprehensive Income/Loss,- -,- -,- -,-362260,1119848,2747561,4430763,5214245,5281652,4166922,2659171,4895569,3818073,2749533,4127294
66,Other Total Stockholders Equity,29891,29891,29891,877884,16333956,16853039,16609747,17355555,19301233,22088267,36581248,43599089,44905664,54209301,66516033
67,Total Stockholders Equity,30354,1606,-8109,16689749,42063917,52352398,38149488,14323449,17194326,19315872,26664377,18862405,18165206,20590934,25742705
68,Total Liabilities And Stockholders Equity,- -,- -,691,24123337,53934624,74962086,67839900,45868284,59469524,62072787,67173018,73812692,73924675,101329038,107650991
69,Minority Interest,30354,1606,- -,- -,- -,-1073,-1879,40543,39064,- -,- -,- -,-1194039,-1812805,-1340360
70,Total Liabilities & Equity,30354,1606,691,24123337,53934624,74961013,67838021,45908827,59508588,62072787,67173018,73812692,72730636,99516233,106310631
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1413263/000113705008000258/0001137050-08-000258-index.html,https://www.sec.gov/Archives/edgar/data/1413263/000114420410019531/0001144204-10-019531-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000115752310003865/0001157523-10-003865-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000115752311003828/0001157523-11-003828-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000121390012003602/0001213900-12-003602-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000121390013003375/0001213900-13-003375-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000121390014004536/0001213900-14-004536-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000121390015004826/0001213900-15-004826-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000121390016014551/0001213900-16-014551-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000121390017006960/0001213900-17-006960-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000121390018008512/0001213900-18-008512-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000121390019011825/0001213900-19-011825-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000121390020017170/0001213900-20-017170-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000121390021034697/0001213900-21-034697-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-3737,-28748,-9715,9821741,8432458,8141626,-14333731,-25356136,856557,447156,-5644204,-17059933,-926278,-5813369,-8119862
74,Depreciation and Amortization,- -,- -,- -,396574,810374,2340865,2764144,3234169,2820489,1456029,1316747,1383810,1676413,2082817,1750890
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,126325,153445,119052,163274,748907,1004487,1022791,2248650,7021563,197100,34560,3941600
77,Change in Working Capital,- -,- -,8800,-9537331,-14330800,7815790,-815226,9669382,3529900,1855958,982080,1349093,-3127561,-3241033,3163242
78,Accounts Receivable,- -,- -,- -,38527,-201405,-14179193,-1045689,5211707,-410498,432677,-717386,-2072486,-116810,-1567774,-3307946
79,Inventory,- -,- -,- -,-973099,-648785,2018848,-1646583,-2272013,-2970350,-762212,191564,-2411209,-1390823,979935,-3615017
80,Accounts Payable,- -,- -,8800,-2151905,1075811,15792680,-239313,524778,1255589,1595739,3936178,3726625,-528353,-317755,6380115
81,Other Working Capital,- -,- -,- -,-521310,-131302,-656396,3467706,-1733448,548534,-976138,237891,1048939,-3011194,-22963,368690
82,Other Non-Cash Items,- -,- -,- -,- -,-249225,1549910,11908199,12387794,-7148215,-2196229,2656229,5235401,-3422890,29080,-798162
83,Cash Provided by Operating Activities,-3737,-28748,-915,807309,-5183748,19967243,-313340,684116,1063218,2585705,1559502,-2070066,-5603216,-6907945,-62292
84,CAPEX,- -,- -,- -,-602225,-4643292,-11554509,-2404359,-2113041,-3058250,-250319,-411199,-2901989,-7309111,-2283886,-604179
85,Acquisitions Net,- -,- -,- -,- -,-606800,-3308158,- -,- -,- -,-110718,7879,- -,- -,-2567083,-1470119
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-1307200,- -,-89194,-75513,-17070,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,790845,445968,- -,- -,14356,75973
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-1585118,- -,- -,-1140102,-29817,-871145,-97802
89,Cash Used for Investing Activites,- -,- -,- -,-602225,-5250092,-14862667,-2404359,-2113041,-4365450,429808,-46546,-2977502,-7326181,-4836613,-1998325
90,Debt Repayment,- -,- -,- -,-2932400,-949506,-7077596,- -,-7704703,-20790823,-18980050,-28474946,-22476740,-34018811,-47562740,-55241867
91,Common Stock Issued,34091,- -,- -,- -,15708608,406546,- -,- -,- -,2699500,10648000,- -,7529,9273077,9287100
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,2531897,1011405,-1263236,3369122,8912205,23659070,15878658,28471785,21705804,42089863,57303369,49034620
95,Cash Used/Provided by Financing Activities,34091,- -,- -,-400503,15770507,-7934286,3369122,1207502,2868247,-401892,10644839,-770936,8078581,19013706,3079853
96,Effect of Forex Changes on Cash,- -,- -,- -,710,351645,173021,39455,142605,12290,34671,-465244,2586720,-1856174,-1031744,2670802
97,Net Change In Cash,34091,-28748,-915,-194709,5688312,-2656689,690878,-78818,-421695,2648292,11692551,-3231784,-6706989,6237404,3690038
98,Cash at the End of Period,30354,1606,691,801593,6489905,3833216,4524094,4445276,4023581,6671873,18364424,15132640,24745202,30982606,34672644
99,Cash at the Beginning of Period,- -,30354,1606,996302,801593,6489905,3833216,4524094,4445276,4023581,6671873,18364424,31452191,24745202,30982606
100,Free Cash Flow,-3737,-28748,-915,205084,-9827040,8412734,-2717699,-1428925,-1995032,2335386,1148303,-4972055,-12912327,-9191831,-666471
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1413263/000113705008000258/0001137050-08-000258-index.html,https://www.sec.gov/Archives/edgar/data/1413263/000114420410019531/0001144204-10-019531-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000115752310003865/0001157523-10-003865-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000115752311003828/0001157523-11-003828-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000121390012003602/0001213900-12-003602-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000121390013003375/0001213900-13-003375-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000121390014004536/0001213900-14-004536-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000121390015004826/0001213900-15-004826-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000121390016014551/0001213900-16-014551-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000121390017006960/0001213900-17-006960-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000121390018008512/0001213900-18-008512-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000121390019011825/0001213900-19-011825-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000121390020017170/0001213900-20-017170-index.htm,https://www.sec.gov/Archives/edgar/data/1413263/000121390021034697/0001213900-21-034697-index.htm
102,false,,,,,,,,,,,,,,,
