,https://roic.ai/company/IRWD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),4455000,890000,-838000,1411000,1293000,138000,-20810000,-20248000,-40581000,-29838000,-39552000,-43476000,-61180000,-34079000,-31602000
20,Income Before Tax,-53160000,-55031000,-73608000,-59355000,-64849000,-72624000,-272812000,-189618000,-142669000,-81708000,-116937000,-282368000,58943000,108861000,200657000
21,Income Before Tax Ratio,-5.0803,-2.4771,-2.0389,-1.3534,-0.9845,-0.4834,-11.9231,-2.4807,-0.9540,-0.2983,-0.3920,-0.8146,0.1376,0.2795,0.4850
22,Income Tax expense (Gain),- -,- -,-296000,-2944000,3000,- -,- -,- -,- -,- -,- -,- -,- -,2685000,-327791000
23,Net Income,-52752000,-53874000,-71185000,-52981000,-64852000,-72624000,-272812000,-189618000,-142669000,-81708000,-116937000,-282368000,21505000,106176000,528448000
24,Net Income ratio,-5.0413,-2.4250,-1.9718,-1.2080,-0.9845,-0.4834,-11.9231,-2.4807,-0.9540,-0.2983,-0.3920,-0.8146,0.0502,0.2726,1.2772
25,EPS,-7.41,-0.72,-10.00,-0.59,-0.65,-0.68,-2.35,-1.39,-1.00,-0.56,-0.78,-1.85,0.14,0.67,3.26
26,EPS Diluted,-7.41,-0.72,-10.00,-0.59,-0.65,-0.68,-2.35,-1.39,-1.00,-0.56,-0.78,-1.85,0.14,0.66,3.21
27,Weighted Average Shares Outstanding,7116774,74495452,7116774,89653364,99874790,106402639,115851875,136811000,142155000,145907143,148993000,152634000,153607143,159427000,162245000
28,Weighted Average Shares Outstanding Diluted,75574117,74495452,7116774,89653364,99874790,106402639,115851875,136811000,142155000,145907143,148993000,152634000,156023000,160655000,164418000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1446847/000104746911002858/0001047469-11-002858-index.htm,https://www.sec.gov/Archives/edgar/data/1446847/000104746912001846/0001047469-12-001846-index.htm,https://www.sec.gov/Archives/edgar/data/1446847/000104746913001388/0001047469-13-001388-index.htm,https://www.sec.gov/Archives/edgar/data/1446847/000104746914000693/0001047469-14-000693-index.htm,https://www.sec.gov/Archives/edgar/data/1446847/000104746915000916/0001047469-15-000916-index.htm,https://www.sec.gov/Archives/edgar/data/1446847/000104746916010251/0001047469-16-010251-index.htm,https://www.sec.gov/Archives/edgar/data/1446847/000155837017000793/0001558370-17-000793-index.htm,https://www.sec.gov/Archives/edgar/data/1446847/000155837018000927/0001558370-18-000927-index.htm,https://www.sec.gov/Archives/edgar/data/1446847/000155837019001005/0001558370-19-001005-index.htm,https://www.sec.gov/Archives/edgar/data/1446847/000155837020000779/0001558370-20-000779-index.htm,https://www.sec.gov/Archives/edgar/data/1446847/000155837021001136/0001558370-21-001136-index.htm,https://www.sec.gov/Archives/edgar/data/1446847/000155837022001368/0001558370-22-001368-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,62427000,67722000,123145000,44321000,87282000,136700000,75490000,74297000,261287000,54004000,125736000,173172000,177023000,362564000,620129000
32,Short-Term Investments,29509000,22045000,- -,203706000,76734000,31528000,122112000,174037000,178107000,251212000,95680000,- -,- -,- -,- -
33,Cash and Short-Term Investments,91936000,89767000,123145000,248027000,164016000,168228000,197602000,248334000,439394000,305216000,221416000,173172000,177023000,362564000,620129000
34,Net Receivables,25508000,7121000,5234000,2895000,652000,1487000,3213000,25839000,54518000,64854000,82157000,80950000,117246000,122351000,114042000
35,Inventory,- -,- -,- -,- -,- -,6699000,22145000,4954000,- -,1081000,735000,- -,648000,- -,- -
36,Other Current Assets,1730000,11198000,3069000,8153000,2899000,8026000,6168000,10603000,6293000,9030000,7288000,12313000,11935000,10924000,11054000
37,Total Current Assets,119174000,108086000,131448000,259075000,167567000,184440000,229128000,289730000,500205000,380181000,311596000,266435000,306852000,495839000,745225000
38,PP&E,4146000,24596000,22551000,34369000,33625000,37537000,37376000,29826000,21075000,20512000,17274000,17270000,30172000,25505000,22925000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,785000,785000,785000,785000,785000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,166119000,159905000,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,166904000,160690000,785000,785000,785000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,333294000
44,Other Non-Current Assets,12588000,8041000,8452000,7921000,7785000,7930000,12458000,13957000,97841000,142224000,116114000,47560000,64939000,37109000,25483000
45,Total Non-Current Assets,16734000,32637000,31003000,42290000,41410000,45467000,49834000,43783000,118916000,329640000,294078000,65615000,95896000,63399000,381702000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,135908000,140723000,162451000,301365000,208977000,229907000,278962000,333513000,619121000,709821000,605674000,332050000,402748000,559238000,1126927000
48,Accounts Payable,5585000,6086000,4944000,4302000,6436000,21726000,10187000,9762000,8589000,17703000,15958000,18123000,5487000,661000,935000
49,Short-Term Debt,1006000,1060000,1453000,197000,233000,261000,1139000,12410000,27595000,6227000,4077000,47627000,1146000,3128000,119985000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,15817000,18012000,32740000,40050000,36291000,3381000,5074000,7191000,7191000,- -,- -,- -,875000,- -,- -
52,Other Current Liabilities,7523000,13994000,17300000,19877000,22174000,29570000,24640000,31178000,33090000,67201000,45992000,53774000,33421000,28384000,40778000
53,Total Current Liabilities,29931000,39152000,56437000,64426000,65134000,54938000,41040000,60541000,76465000,91131000,66027000,119524000,40929000,32173000,161698000
54,Long-Term Debt,1957000,872000,1764000,393000,- -,- -,174672000,162338000,353584000,366492000,396091000,366138000,407994000,430256000,355817000
55,Deferred Revenue,58592000,48208000,104128000,62383000,21130000,18024000,11416000,8989000,1798000,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,223802000,282902000,298462000,14612000,12857000,12893000,13609000,13093000,92149000,185482000,133708000,42759000,47076000,34169000,3501000
58,Total Non-Current Liabilities,284351000,331982000,404354000,77388000,33987000,30917000,199697000,184420000,447531000,551974000,529799000,408897000,455070000,464425000,359318000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,306000,255000,590000,655000,569000,4273000,3723000,2937000,6309000,4077000,231000,23228000,23446000,21611000
61,Total Liabilities,314282000,371134000,460791000,141814000,99121000,85855000,240737000,244961000,523996000,643105000,595826000,528421000,495999000,496598000,521016000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,7000,7000,8000,99000,101000,108000,121000,141000,143000,148000,151000,154000,158000,161000,162000
64,Retained Earnings,-189500000,-243374000,-314559000,-367540000,-432392000,-505016000,-777828000,-967446000,-1110115000,-1191823000,-1308760000,-1591128000,-1572232000,-1466056000,-937608000
65,Other Comprehensive Income/Loss,3000,23000,- -,1000,6000,5000,2000,-19000,-86000,-7000,-79000,- -,-10082000,-11805000,- -
66,Other Total Stockholders Equity,4621000,7594000,12999000,526991000,542141000,648955000,815930000,1055876000,1205183000,1258398000,1318536000,1394603000,1488905000,1540340000,1543357000
67,Total Stockholders Equity,-184869000,-235750000,-301552000,159551000,109856000,144052000,38225000,88552000,95125000,66716000,9848000,-196371000,-93251000,62640000,605911000
68,Total Liabilities And Stockholders Equity,129413000,135384000,159239000,301365000,208977000,229907000,278962000,333513000,619121000,709821000,605674000,332050000,402748000,559238000,1126927000
69,Minority Interest,6495000,5339000,3212000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,135908000,140723000,162451000,301365000,208977000,229907000,278962000,333513000,619121000,709821000,605674000,332050000,402748000,559238000,1126927000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1446847/000104746911002858/0001047469-11-002858-index.htm,https://www.sec.gov/Archives/edgar/data/1446847/000104746912001846/0001047469-12-001846-index.htm,https://www.sec.gov/Archives/edgar/data/1446847/000104746913001388/0001047469-13-001388-index.htm,https://www.sec.gov/Archives/edgar/data/1446847/000104746914000693/0001047469-14-000693-index.htm,https://www.sec.gov/Archives/edgar/data/1446847/000104746915000916/0001047469-15-000916-index.htm,https://www.sec.gov/Archives/edgar/data/1446847/000104746916010251/0001047469-16-010251-index.htm,https://www.sec.gov/Archives/edgar/data/1446847/000155837017000793/0001558370-17-000793-index.htm,https://www.sec.gov/Archives/edgar/data/1446847/000155837018000927/0001558370-18-000927-index.htm,https://www.sec.gov/Archives/edgar/data/1446847/000155837019001005/0001558370-19-001005-index.htm,https://www.sec.gov/Archives/edgar/data/1446847/000155837020000779/0001558370-20-000779-index.htm,https://www.sec.gov/Archives/edgar/data/1446847/000155837021001136/0001558370-21-001136-index.htm,https://www.sec.gov/Archives/edgar/data/1446847/000155837022001368/0001558370-22-001368-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-52752000,-53874000,-71185000,-52981000,-64852000,-72624000,-272812000,-189618000,-142669000,-81708000,-116937000,-282368000,21505000,106176000,528448000
74,Depreciation and Amortization,1731000,2849000,5250000,6161000,9999000,11325000,11729000,12331000,11630000,11260000,14617000,14223000,5580000,3564000,1523000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-333294000
76,Stock Based Compensation,1154000,2794000,5244000,7496000,11732000,17573000,19829000,26184000,25469000,29219000,33820000,43977000,31278000,31175000,22281000
77,Change in Working Capital,45241000,-20309000,6077000,119638000,-92216000,27069000,58586000,41101000,194551000,-134690000,-43481000,-98658000,119012000,197743000,17731000
78,Accounts Receivable,-24277000,18387000,-465000,2324000,2243000,- -,- -,- -,- -,- -,- -,- -,- -,4091000,7712000
79,Inventory,- -,- -,- -,- -,- -,-6699000,-11915000,-3078000,- -,- -,346000,-806000,- -,648000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,24241000,-11724000,1425000,-1551000,19683000,-6843000,8057000,-32700000,-7523000,-2644000
81,Other Working Capital,89243000,68934000,75011000,194649000,102433000,129502000,188088000,229189000,423740000,289050000,245569000,146911000,265923000,463666000,- -
82,Other Non-Cash Items,-2133000,40345000,50616000,-148213000,60100000,-52976000,-90687000,-45566000,-195908000,150486000,12418000,251944000,-166650000,-169822000,25206000
83,Cash Provided by Operating Activities,-6759000,-28195000,-3998000,-67899000,-75237000,-69633000,-273355000,-155568000,-106927000,-25433000,-99563000,-70882000,10725000,168836000,261895000
84,CAPEX,-2651000,-22934000,-4045000,-17220000,-9682000,-13979000,-9592000,-3538000,-4049000,-104206000,-4211000,-8621000,-7189000,-1842000,-265000
85,Acquisitions Net,- -,- -,- -,9500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-87839000,-82613000,-26673000,-441799000,-97511000,-96709000,-287943000,-253995000,-281958000,-311116000,-191354000,-3241000,- -,- -,- -
87,Sales/Maturities of Investments,62880000,90465000,48455000,236475000,222254000,140757000,196102000,200964000,276707000,237423000,346890000,99165000,- -,- -,- -
88,Other Investing Activites,1000,9000,21000,2000,4000,9000,- -,- -,147000,-99775000,135000,1563000,-3955000,- -,- -
89,Cash Used for Investing Activites,-27609000,-15073000,17758000,-213042000,115065000,30078000,-101433000,-56569000,-9153000,-177674000,151460000,88866000,-11144000,-1842000,-265000
90,Debt Repayment,-920000,-1680000,-1501000,-1957000,-260000,-275000,-768000,-2225000,-14029000,-28771000,-137492000,-1824000,-156409000,- -,- -
91,Common Stock Issued,- -,- -,- -,203167000,- -,85228000,137766000,190428000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24131000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,51638000,50243000,43164000,1746000,3393000,4020000,176580000,22741000,317099000,24595000,157327000,31896000,155224000,18546000,19581000
95,Cash Used/Provided by Financing Activities,50718000,48563000,41663000,202956000,3133000,88973000,313578000,210944000,303070000,-4176000,19835000,30072000,-1185000,18546000,-4550000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,16350000,5295000,55423000,-77985000,42961000,49418000,-61210000,-1193000,186990000,-207283000,71732000,48056000,-1604000,185540000,257080000
98,Cash at the End of Period,62427000,67722000,123145000,44321000,87282000,136700000,75490000,74297000,261287000,54004000,125736000,180848000,179244000,364784000,621864000
99,Cash at the Beginning of Period,46077000,62427000,67722000,122306000,44321000,87282000,136700000,75490000,74297000,261287000,54004000,132792000,180848000,179244000,364784000
100,Free Cash Flow,-9410000,-51129000,-8043000,-85119000,-84919000,-83612000,-282947000,-159106000,-110976000,-129639000,-103774000,-79503000,3536000,166994000,261630000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1446847/000104746911002858/0001047469-11-002858-index.htm,https://www.sec.gov/Archives/edgar/data/1446847/000104746912001846/0001047469-12-001846-index.htm,https://www.sec.gov/Archives/edgar/data/1446847/000104746913001388/0001047469-13-001388-index.htm,https://www.sec.gov/Archives/edgar/data/1446847/000104746914000693/0001047469-14-000693-index.htm,https://www.sec.gov/Archives/edgar/data/1446847/000104746915000916/0001047469-15-000916-index.htm,https://www.sec.gov/Archives/edgar/data/1446847/000104746916010251/0001047469-16-010251-index.htm,https://www.sec.gov/Archives/edgar/data/1446847/000155837017000793/0001558370-17-000793-index.htm,https://www.sec.gov/Archives/edgar/data/1446847/000155837018000927/0001558370-18-000927-index.htm,https://www.sec.gov/Archives/edgar/data/1446847/000155837019001005/0001558370-19-001005-index.htm,https://www.sec.gov/Archives/edgar/data/1446847/000155837020000779/0001558370-20-000779-index.htm,https://www.sec.gov/Archives/edgar/data/1446847/000155837021001136/0001558370-21-001136-index.htm,https://www.sec.gov/Archives/edgar/data/1446847/000155837022001368/0001558370-22-001368-index.htm
102,false,,,,,,,,,,,,,,,
