,https://roic.ai/company/ALBO,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.3160,-24167.0000,-3.6143,-5.9458,-11.5646,-1.1725
17,Operating Income,- -,- -,-3390000,-7535000,-24325000,-47354000,- -,- -,- -,-19299000,- -,- -,- -,-12294000,-24577000,-37890000,-61112000,-96271000,-123485000
18,Operating Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,- -,- -,- -,-Infinity,- -,- -,- -,-1.0818,-24577.0000,-2.9741,-6.3421,-11.5877,-3.0431
19,Total Other Income Expenses (Gains),- -,- -,9000,-523000,1902000,3993000,386000,-1237000,12671000,-1430000,1273000,5156000,1059000,-3994000,375000,-8201000,-1605000,-11362000,89455000
20,Income Before Tax,- -,- -,-3381000,-8058000,-22423000,-43361000,-42933000,-38394000,-10551000,-20729000,-19320000,-14105000,-18708000,-16288000,-24202000,-46091000,-62717000,-107633000,-34030000
21,Income Before Tax Ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.4333,-24202.0000,-3.6178,-6.5086,-12.9553,-0.8386
22,Income Tax expense (Gain),- -,- -,2000,10000,125000,-983000,337000,-104000,41000,18000,15000,26000,29000,62000,212000,20000,- -,- -,- -
23,Net Income,- -,-774000,-3383000,-8068000,-22548000,-43361000,-43270000,-38290000,-10592000,-20747000,-19335000,-14131000,-18737000,-16350000,-24414000,-46111000,-62717000,-107633000,-34030000
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.4388,-24414.0000,-3.6194,-6.5086,-12.9553,-0.8386
25,EPS,- -,-18.00,-76.80,-194.40,-211.20,-232.80,-218.40,-189.60,-40.80,-57.30,-37.20,-19.80,-13.80,-13.19,-3.15,-3.94,-5.04,-6.73,-1.77
26,EPS Diluted,- -,-18.00,-76.80,-194.40,-211.20,-232.80,-218.40,-189.60,-40.80,-57.30,-37.20,-19.80,-13.80,-13.19,-3.15,-3.94,-5.04,-6.73,-1.77
27,Weighted Average Shares Outstanding,- -,44280,44354,44651,127956,186585,197886,201346,259622,362752,521679,713468,1367248,1239694,7819302,11702785,12437742,15983058,19220846
28,Weighted Average Shares Outstanding Diluted,- -,44280,44354,44651,127956,186585,197886,201346,259622,362752,521679,713468,1367248,1239694,7819302,11702785,12437742,15983058,19220846
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1322505/000095012307016969/0000950123-07-016969-index.htm,https://www.sec.gov/Archives/edgar/data/1322505/000095012308017383/0000950123-08-017383-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1322505/000095012310113450/0000950123-10-113450-index.htm,https://www.sec.gov/Archives/edgar/data/1322505/000114544311001243/0001145443-11-001243-index.htm,https://www.sec.gov/Archives/edgar/data/1322505/000114544312001417/0001145443-12-001417-index.htm,https://www.sec.gov/Archives/edgar/data/1322505/000114544313002284/0001145443-13-002284-index.html,https://www.sec.gov/Archives/edgar/data/1322505/000114544314001571/0001145443-14-001571-index.html,https://www.sec.gov/Archives/edgar/data/1322505/000114544315001341/0001145443-15-001341-index.html,- -,https://www.sec.gov/Archives/edgar/data/1322505/000156459018006847/0001564590-18-006847-index.htm,https://www.sec.gov/Archives/edgar/data/1322505/000155837019001601/0001558370-19-001601-index.htm,https://www.sec.gov/Archives/edgar/data/1322505/000155837020001905/0001558370-20-001905-index.htm,https://www.sec.gov/Archives/edgar/data/1322505/000155837021001730/0001558370-21-001730-index.htm,https://www.sec.gov/Archives/edgar/data/1322505/000155837022002501/0001558370-22-002501-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,368000,17539000,80022000,64731000,54640000,22922000,38701000,39050000,39781000,24588000,40845000,29931000,53231000,163885000,131843000,251272000,248107000
32,Short-Term Investments,- -,- -,- -,- -,- -,25552000,- -,6001000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,368000,17539000,80022000,90283000,54640000,28923000,38701000,39050000,39781000,24588000,40845000,29931000,53231000,163885000,131843000,251272000,248107000
34,Net Receivables,- -,- -,- -,- -,- -,1988000,752000,127000,36000,131000,32000,5000,- -,370000,726000,2915000,- -,- -,3272000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,194000
36,Other Current Assets,- -,- -,75000,79000,505000,1130000,482000,515000,459000,355000,264000,311000,262000,560000,1054000,850000,9956000,10593000,17357000
37,Total Current Assets,- -,- -,443000,17618000,80527000,93401000,55874000,29565000,39196000,39536000,40077000,24904000,41107000,30861000,55011000,167650000,141799000,261865000,268930000
38,PP&E,- -,- -,699000,644000,1717000,3931000,3695000,2998000,2998000,2253000,1031000,481000,280000,21000,178000,187000,597000,478000,668000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18110000,17260000,17260000,17260000,17260000,17260000
40,Intangible Assets,- -,- -,53000,208000,262000,59000,56000,53000,- -,- -,43000,40000,37000,150000,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,53000,208000,262000,59000,56000,53000,49000,46000,43000,40000,37000,18260000,17260000,17260000,17260000,17260000,17260000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,189000,- -,120000,- -,- -,-738000,-701000,- -,- -,- -,518000,775000,369000,5413000,6004000,15193000
45,Total Non-Current Assets,- -,- -,752000,1041000,1979000,4110000,3751000,3051000,2309000,1598000,1074000,521000,317000,18799000,18213000,17816000,23270000,23742000,33121000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,1195000,18659000,82506000,97511000,59625000,32616000,41505000,41134000,41151000,25425000,41424000,49660000,73224000,185466000,165069000,285607000,302051000
48,Accounts Payable,- -,- -,62000,1357000,2187000,813000,1007000,1989000,222000,285000,246000,172000,421000,972000,1350000,4352000,4785000,5283000,6516000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3075000,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,165000,45000,103000,101000,75000,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37000,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,479000,954000,3096000,8211000,8080000,2398000,3067000,2495000,2195000,1444000,1387000,8624000,6579000,8473000,14139000,19999000,38831000
53,Total Current Liabilities,- -,- -,541000,2311000,5283000,9024000,9087000,4387000,3289000,2780000,2441000,1616000,1808000,12708000,7929000,12825000,18924000,25282000,45347000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9621000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,4169000,1138000,7338000,6147000,1014000,59000,- -,42000,50004000,52984000,69473000,81096000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,4169000,1138000,7338000,6147000,1014000,59000,- -,42000,50004000,52984000,79094000,81096000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,541000,2311000,5283000,9024000,9087000,8556000,4427000,10118000,8588000,2630000,1867000,12708000,7971000,62829000,71908000,104376000,126443000
62,Preferred Stock,- -,- -,6000,68000,- -,- -,- -,- -,18000,54000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,54000,54000,202000,237000,238000,264000,386000,142000,211000,231000,19000,63000,89000,120000,127000,191000,193000
64,Retained Earnings,- -,- -,-4157000,-12828000,-39833000,-83256000,-126464000,-164754000,-175346000,-196093000,-215428000,-229559000,-248296000,-25945000,-50359000,-96470000,-159187000,-266820000,-300850000
65,Other Comprehensive Income/Loss,- -,- -,-209000,-444000,-685000,-774000,- -,1000,- -,-4293000,-4931000,-5531000,-5725000,1496000,1001000,4293000,6452000,-8612000,1105000
66,Other Total Stockholders Equity,- -,- -,4960000,29498000,117539000,172280000,176764000,188549000,212020000,231206000,252711000,257654000,293559000,- -,114522000,214694000,245769000,456472000,475160000
67,Total Stockholders Equity,- -,- -,654000,16348000,77223000,88487000,50538000,24060000,37078000,31016000,32563000,22795000,39557000,36952000,65253000,122637000,93161000,181231000,175608000
68,Total Liabilities And Stockholders Equity,- -,- -,1195000,18659000,82506000,97511000,59625000,32616000,41505000,41134000,41151000,25425000,41424000,49660000,73224000,185466000,165069000,285607000,302051000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,1195000,18659000,82506000,97511000,59625000,32616000,41505000,41134000,41151000,25425000,41424000,49660000,73224000,185466000,165069000,285607000,302051000
71,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1322505/000095012307016969/0000950123-07-016969-index.htm,https://www.sec.gov/Archives/edgar/data/1322505/000095012308017383/0000950123-08-017383-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1322505/000095012310113450/0000950123-10-113450-index.htm,https://www.sec.gov/Archives/edgar/data/1322505/000114544311001243/0001145443-11-001243-index.htm,https://www.sec.gov/Archives/edgar/data/1322505/000114544312001417/0001145443-12-001417-index.htm,https://www.sec.gov/Archives/edgar/data/1322505/000114544313002284/0001145443-13-002284-index.html,https://www.sec.gov/Archives/edgar/data/1322505/000114544314001571/0001145443-14-001571-index.html,https://www.sec.gov/Archives/edgar/data/1322505/000114544315001341/0001145443-15-001341-index.html,- -,https://www.sec.gov/Archives/edgar/data/1322505/000156459018006847/0001564590-18-006847-index.htm,https://www.sec.gov/Archives/edgar/data/1322505/000155837019001601/0001558370-19-001601-index.htm,https://www.sec.gov/Archives/edgar/data/1322505/000155837020001905/0001558370-20-001905-index.htm,https://www.sec.gov/Archives/edgar/data/1322505/000155837021001730/0001558370-21-001730-index.htm,https://www.sec.gov/Archives/edgar/data/1322505/000155837022002501/0001558370-22-002501-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-3383000,-8068000,-22548000,-43361000,-43270000,-38290000,-10592000,-20747000,-19335000,-14131000,-18737000,-16350000,-24414000,-46111000,-62717000,-107633000,-34030000
74,Depreciation and Amortization,- -,- -,189000,241000,254000,567000,877000,991000,938000,725000,641000,603000,197000,14000,35000,45000,127000,192000,383000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,5064000,5621000,4920000,1828000,1538000,784000,868000,1138000,3700000,5546000,7578000,14615000,15931000
77,Change in Working Capital,- -,- -,334000,15405000,59937000,9133000,-37590000,-21609000,10729000,849000,880000,-14348000,16011000,-8611000,28929000,107743000,-31950000,113708000,-13000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1246000,28000,-597000,- -,- -,-3291000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-194000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,194000,982000,-1767000,63000,-39000,-74000,249000,-1164000,263000,3171000,577000,275000,1336000
81,Other Working Capital,- -,- -,-98000,15307000,75244000,84377000,46787000,25178000,35907000,36756000,37636000,23288000,39299000,18153000,47082000,154825000,122875000,236583000,223583000
82,Other Non-Cash Items,- -,- -,468000,-11502000,-53152000,-1242000,39656000,18906000,-24246000,650000,-2279000,8369000,-16542000,15025000,-35816000,-94025000,34043000,-121911000,-76843000
83,Cash Provided by Operating Activities,- -,- -,-2392000,-3924000,-15509000,-34903000,-35263000,-34381000,-18251000,-16695000,-18555000,-18723000,-18203000,-8784000,-27566000,-26802000,-52919000,-101029000,-107559000
84,CAPEX,- -,- -,-595000,-341000,-1381000,-2786000,-637000,-292000,-189000,-59000,-118000,-49000,- -,-3000,-190000,-61000,-540000,-78000,-465000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25483000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-25614000,- -,-6000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,25614000,- -,6000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000,- -,4500000,14000,- -,- -,103387000
89,Cash Used for Investing Activites,- -,- -,-595000,-341000,-1381000,-28400000,24977000,-6292000,5811000,-59000,-118000,-49000,7000,25480000,4310000,-47000,-540000,-78000,102922000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2157000,-3055000,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,2980000,19205000,80641000,48012000,- -,8712000,25276000,- -,19239000,- -,32149000,40000,48508000,94150000,20775000,193265000,241000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-230000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,154000,2231000,-1268000,- -,194000,243000,2943000,17103000,165000,3579000,2304000,9729000,385000,45032000,2729000,27011000,2748000
95,Cash Used/Provided by Financing Activities,- -,- -,3134000,21436000,79373000,48012000,194000,8955000,28219000,17103000,19404000,3579000,34453000,7612000,45838000,139182000,23504000,220276000,2759000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,503000,718000,-1679000,-2087000,260000,-1287000
97,Net Change In Cash,- -,- -,147000,17172000,62483000,-15291000,-10091000,-31718000,15779000,349000,731000,-15193000,16257000,24811000,23300000,110654000,-32042000,119429000,-3165000
98,Cash at the End of Period,- -,- -,368000,17540000,80022000,64731000,54640000,22922000,38701000,39050000,39781000,24588000,40845000,29931000,53231000,163885000,131843000,251272000,248107000
99,Cash at the Beginning of Period,- -,- -,221000,368000,17539000,80022000,64731000,54640000,22922000,38701000,39050000,39781000,24588000,5120000,29931000,53231000,163885000,131843000,251272000
100,Free Cash Flow,- -,- -,-2987000,-4265000,-16890000,-37689000,-35900000,-34673000,-18440000,-16754000,-18673000,-18772000,-18203000,-8787000,-27756000,-26863000,-53459000,-101107000,-108024000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1322505/000095012307016969/0000950123-07-016969-index.htm,https://www.sec.gov/Archives/edgar/data/1322505/000095012308017383/0000950123-08-017383-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1322505/000095012310113450/0000950123-10-113450-index.htm,https://www.sec.gov/Archives/edgar/data/1322505/000114544311001243/0001145443-11-001243-index.htm,https://www.sec.gov/Archives/edgar/data/1322505/000114544312001417/0001145443-12-001417-index.htm,https://www.sec.gov/Archives/edgar/data/1322505/000114544313002284/0001145443-13-002284-index.html,https://www.sec.gov/Archives/edgar/data/1322505/000114544314001571/0001145443-14-001571-index.html,https://www.sec.gov/Archives/edgar/data/1322505/000114544315001341/0001145443-15-001341-index.html,- -,https://www.sec.gov/Archives/edgar/data/1322505/000156459018006847/0001564590-18-006847-index.htm,https://www.sec.gov/Archives/edgar/data/1322505/000155837019001601/0001558370-19-001601-index.htm,https://www.sec.gov/Archives/edgar/data/1322505/000155837020001905/0001558370-20-001905-index.htm,https://www.sec.gov/Archives/edgar/data/1322505/000155837021001730/0001558370-21-001730-index.htm,https://www.sec.gov/Archives/edgar/data/1322505/000155837022002501/0001558370-22-002501-index.htm
102,false,,,,,,,,,,,,,,,,,,,
