,https://roic.ai/company/ZTS,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
48,Accounts Payable,- -,206000000,214000000,319000000,506000000,290000000,293000000,265000000,261000000,313000000,301000000,457000000,436000000
49,Short-Term Debt,- -,38000000,- -,73000000,15000000,7000000,405000000,- -,- -,9000000,500000000,604000000,- -
50,Tax Payable,- -,24000000,18000000,30000000,40000000,26000000,63000000,71000000,60000000,35000000,36000000,46000000,38000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,564000000,629000000,731000000,894000000,789000000,1083000000,852000000,833000000,901000000,1005000000,1109000000,1361000000
53,Total Current Liabilities,- -,808000000,843000000,1123000000,1415000000,1086000000,1781000000,1117000000,1094000000,1223000000,1806000000,2170000000,1797000000
54,Long-Term Debt,- -,673000000,575000000,509000000,3642000000,3643000000,4463000000,4468000000,4953000000,6443000000,6111000000,6758000000,6743000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,218000000,311000000,323000000,322000000,277000000,264000000,244000000,380000000,474000000,434000000,378000000,320000000
57,Other Non-Current Liabilities,- -,241000000,246000000,266000000,217000000,264000000,314000000,321000000,373000000,452000000,486000000,530000000,496000000
58,Total Non-Current Liabilities,- -,1132000000,1132000000,1098000000,4181000000,4184000000,5041000000,5033000000,5706000000,7369000000,7031000000,7666000000,7559000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,164000000,163000000,151000000
61,Total Liabilities,- -,1940000000,1975000000,2221000000,5596000000,5270000000,6822000000,6150000000,6800000000,8592000000,8837000000,9836000000,9356000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000
64,Retained Earnings,- -,- -,- -,- -,276000000,709000000,876000000,1477000000,2109000000,3270000000,4427000000,5659000000,7186000000
65,Other Comprehensive Income/Loss,- -,-74000000,-65000000,-157000000,-219000000,-361000000,-622000000,-598000000,-505000000,-629000000,-726000000,-730000000,-764000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,878000000,958000000,809000000,603000000,161000000,-461000000,- -,-1165000000,- -
67,Total Stockholders Equity,- -,3344000000,3720000000,4026000000,940000000,1311000000,1068000000,1487000000,1770000000,2185000000,2708000000,3769000000,4543000000
68,Total Liabilities And Stockholders Equity,- -,5284000000,5695000000,6247000000,6536000000,6581000000,7890000000,7637000000,8570000000,10777000000,11545000000,13605000000,13899000000
69,Minority Interest,- -,- -,16000000,15000000,22000000,26000000,23000000,12000000,16000000,- -,- -,4000000,1000000
70,Total Liabilities & Equity,- -,5284000000,5711000000,6262000000,6558000000,6607000000,7913000000,7649000000,8586000000,10777000000,11545000000,13609000000,13900000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1555280/000155528013000008/0001555280-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1555280/000155528014000164/0001555280-14-000164-index.htm,https://www.sec.gov/Archives/edgar/data/1555280/000155528015000057/0001555280-15-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1555280/000155528016000344/0001555280-16-000344-index.htm,https://www.sec.gov/Archives/edgar/data/1555280/000155528017000044/0001555280-17-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1555280/000155528018000053/0001555280-18-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1555280/000155528019000041/0001555280-19-000041-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1555280/000155528021000098/0001555280-21-000098-index.htm,https://www.sec.gov/Archives/edgar/data/1555280/000155528022000078/0001555280-22-000078-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-100000000,110000000,245000000,436000000,504000000,583000000,339000000,821000000,864000000,1428000000,1500000000,1636000000,2037000000
74,Depreciation and Amortization,124000000,185000000,205000000,200000000,209000000,204000000,199000000,240000000,242000000,308000000,412000000,441000000,448000000
75,Deferred Income Tax,-334000000,-68000000,65000000,-74000000,23000000,-49000000,-85000000,-55000000,127000000,-112000000,-79000000,-62000000,-80000000
76,Stock Based Compensation,15000000,16000000,19000000,28000000,43000000,32000000,43000000,37000000,44000000,53000000,67000000,59000000,58000000
77,Change in Working Capital,357000000,1286000000,160000000,273000000,201000000,437000000,-330000000,224000000,850000000,53000000,-234000000,1499000000,-343000000
78,Accounts Receivable,112000000,30000000,-85000000,-65000000,-99000000,69000000,-58000000,15000000,-50000000,-67000000,-69000000,74000000,-155000000
79,Inventory,-16000000,117000000,40000000,-318000000,-104000000,-16000000,-262000000,-101000000,19000000,61000000,-104000000,-346000000,-366000000
80,Accounts Payable,38000000,25000000,-16000000,96000000,-82000000,-210000000,17000000,-28000000,-10000000,37000000,-10000000,147000000,-17000000
81,Other Working Capital,22000000,1308000000,1468000000,1741000000,1942000000,2379000000,2049000000,2273000000,3123000000,3176000000,2942000000,4441000000,-25000000
82,Other Non-Cash Items,36000000,-1275000000,-197000000,-409000000,-299000000,-581000000,498000000,-554000000,-781000000,60000000,129000000,-1447000000,93000000
83,Cash Provided by Operating Activities,98000000,254000000,497000000,454000000,681000000,626000000,664000000,713000000,1346000000,1790000000,1795000000,2126000000,2213000000
84,CAPEX,-135000000,-124000000,-135000000,-126000000,-184000000,-195000000,-224000000,-216000000,-224000000,-338000000,-460000000,-453000000,-477000000
85,Acquisitions Net,-2254000000,-81000000,-345000000,- -,-4000000,- -,-883000000,-88000000,-82000000,-1998000000,-195000000,-113000000,-14000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27000000,-12000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000000,138000000,- -,44000000
88,Other Investing Activites,568000000,196000000,31000000,-9000000,9000000,-7000000,-8000000,90000000,-188000000,-289000000,-447000000,-432000000,-476000000
89,Cash Used for Investing Activites,-1821000000,-9000000,-449000000,-135000000,-179000000,-187000000,-1115000000,-214000000,-270000000,-2259000000,-504000000,-572000000,-458000000
90,Debt Repayment,- -,- -,-143000000,- -,- -,- -,-119000000,-400000000,-750000000,- -,- -,-500000000,-600000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-203000000,-300000000,-500000000,-698000000,-626000000,-250000000,-743000000
93,Dividends Paid,-101000000,-207000000,-416000000,-63000000,-98000000,-146000000,-168000000,-188000000,-206000000,-243000000,-314000000,-380000000,-474000000
94,Other Financing Activites,1924000000,-70000000,529000000,-15000000,-102000000,-8000000,1245000000,-15000000,1205000000,1474000000,-11000000,1253000000,-45000000
95,Cash Used/Provided by Financing Activities,1823000000,-277000000,-30000000,-78000000,-200000000,-154000000,755000000,-903000000,-251000000,533000000,-951000000,123000000,-1862000000
96,Effect of Forex Changes on Cash,-7000000,-4000000,-2000000,-3000000,-9000000,-13000000,-32000000,-23000000,12000000,-26000000,-8000000,-7000000,-12000000
97,Net Change In Cash,93000000,-36000000,16000000,238000000,293000000,272000000,272000000,-427000000,837000000,38000000,332000000,1670000000,-119000000
98,Cash at the End of Period,99000000,63000000,79000000,317000000,610000000,882000000,1154000000,727000000,1564000000,1602000000,1934000000,3604000000,3485000000
99,Cash at the Beginning of Period,6000000,99000000,63000000,79000000,317000000,610000000,882000000,1154000000,727000000,1564000000,1602000000,1934000000,3604000000
100,Free Cash Flow,-37000000,130000000,362000000,328000000,497000000,431000000,440000000,497000000,1122000000,1452000000,1335000000,1673000000,1736000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1555280/000155528013000008/0001555280-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1555280/000155528014000164/0001555280-14-000164-index.htm,https://www.sec.gov/Archives/edgar/data/1555280/000155528015000057/0001555280-15-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1555280/000155528016000344/0001555280-16-000344-index.htm,https://www.sec.gov/Archives/edgar/data/1555280/000155528017000044/0001555280-17-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1555280/000155528018000053/0001555280-18-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1555280/000155528019000041/0001555280-19-000041-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1555280/000155528021000098/0001555280-21-000098-index.htm,https://www.sec.gov/Archives/edgar/data/1555280/000155528022000078/0001555280-22-000078-index.htm
102,false,,,,,,,,,,,,,
