,https://roic.ai/company/MICT,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
21,Income Before Tax Ratio,0.0963,-0.0043,0.0071,0.0350,0.0228,-0.0123,0.2274,0.1264,0.2469,0.0646,-0.0623,-0.1327,-0.3359,-0.2761,-0.7311,-9.9644,-20.4280
22,Income Tax expense (Gain),61000,3000,134000,234000,17000,4000,105000,-77000,-136000,496000,242000,-81000,-129000,-10000,606000,17000,-326000
23,Net Income,343000,-48000,-115000,97000,171000,-120000,1619000,1359000,5417000,-495000,-2139000,-2467000,-5807000,-8157000,-2610000,-4217000,-22992000
24,Net Income ratio,0.0555,-0.0066,-0.0147,0.0101,0.0163,-0.0132,0.1458,0.1339,0.3045,-0.0139,-0.0625,-0.1046,-0.2553,-0.4441,-0.1843,-8.8407,-19.6010
25,EPS,0.12,-0.02,-0.04,0.03,0.06,-0.04,0.50,0.42,3.34,-0.10,-0.37,-0.42,-0.97,-1.38,-0.28,-0.39,-0.83
26,EPS Diluted,0.12,-0.02,-0.04,0.03,0.06,-0.04,0.50,0.42,3.08,-0.10,-0.37,-0.42,-0.97,-1.38,-0.28,-0.39,-0.83
27,Weighted Average Shares Outstanding,2741500,2951089,3241500,3241500,3241500,3241500,3241500,3241500,1620750,5089122,5834371,5861630,5966622,7128655,9166443,10697329,27623175
28,Weighted Average Shares Outstanding Diluted,2741500,2951089,3241500,3241500,3241500,3241500,3241500,3241500,1797436,5089122,5834371,5861630,5966622,7128655,9166443,10697329,27623175
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/854800/000114420407015595/0001144204-07-015595-index.htm,https://www.sec.gov/Archives/edgar/data/854800/000114420408019077/v108975_10ksb.htm,https://www.sec.gov/Archives/edgar/data/854800/000114420409017447/0001144204-09-017447-index.html,https://www.sec.gov/Archives/edgar/data/854800/000114420410017083/0001144204-10-017083-index.html,https://www.sec.gov/Archives/edgar/data/854800/000114420411019079/v216982_10-k.htm,https://www.sec.gov/Archives/edgar/data/854800/000114420412018189/0001144204-12-018189-index.html,https://www.sec.gov/Archives/edgar/data/854800/000117891313000945/0001178913-13-000945-index.html,https://www.sec.gov/Archives/edgar/data/854800/000117891314000982/zk1414597.htm,https://www.sec.gov/Archives/edgar/data/854800/000117891315001100/zk1516455.htm,https://www.sec.gov/Archives/edgar/data/854800/000117891316005073/zk1618341.htm,https://www.sec.gov/Archives/edgar/data/854800/000121390017003070/0001213900-17-003070-index.html,https://www.sec.gov/Archives/edgar/data/854800/000121390018004398/f10k2017_micronetenertec.htm,https://www.sec.gov/Archives/edgar/data/854800/000121390019005352/0001213900-19-005352-index.html,https://www.sec.gov/Archives/edgar/data/854800/000121390020004258/0001213900-20-004258-index.html,https://www.sec.gov/Archives/edgar/data/854800/000121390021018976/0001213900-21-018976-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,124000,78000,7000,133000,763000,313000,626000,940000,10611000,12825000,8592000,2361000,668000,2114000,2174000,3154000,29049000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,3183000,6969000,6406000,5643000,2978000,- -,- -,- -,- -
33,Cash and Short-Term Investments,124000,78000,7000,133000,763000,313000,626000,940000,13794000,19794000,14998000,8004000,3646000,2114000,2174000,3154000,29049000
34,Net Receivables,2544000,3712000,4677000,5414000,4884000,4307000,4532000,7947000,10908000,14245000,14906000,13145000,11749000,5524000,1185000,292000,749000
35,Inventory,2274000,2435000,2969000,3736000,4305000,3577000,3138000,2479000,7392000,4324000,6658000,7457000,5758000,4979000,4345000,- -,2002000
36,Other Current Assets,797000,376000,394000,167000,91000,159000,498000,705000,1890000,847000,495000,4928000,5196000,12691000,164000,971000,1530000
37,Total Current Assets,5739000,6601000,8047000,9450000,10043000,8356000,8794000,12071000,33984000,39210000,37057000,33534000,26349000,25308000,7868000,4417000,33330000
38,PP&E,414000,312000,299000,267000,202000,116000,255000,482000,2269000,2440000,1948000,1816000,1641000,910000,661000,29000,843000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1466000,1466000,1466000,1466000,- -,- -,22405000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,1409000,752000,4118000,3002000,2089000,1199000,- -,- -,17374000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,1409000,752000,5584000,4468000,3555000,2665000,- -,- -,39779000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,994000,3038000
43,Tax Assets,20000,16000,22000,20000,20000,20000,7000,3000,- -,85000,87000,89000,87000,542000,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,228000,22000,269000,342000,257000,236000,291000,307000,1614000,477000,743000
45,Total Non-Current Assets,434000,328000,321000,287000,222000,136000,490000,507000,3947000,3619000,7876000,6609000,5574000,4424000,2275000,1500000,44403000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6173000,6929000,8368000,9737000,10265000,8492000,9284000,12578000,37931000,42829000,44933000,40143000,31923000,29732000,10143000,5917000,77733000
48,Accounts Payable,1520000,2294000,2767000,2361000,92000,2279000,1127000,- -,4701000,4361000,7588000,5710000,4130000,3973000,1531000,- -,838000
49,Short-Term Debt,- -,- -,3821000,5269000,5569000,4207000,349000,1766000,6360000,5058000,10416000,12049000,13107000,3789000,5810000,- -,884000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1532000,88000,- -,352000
52,Other Current Liabilities,2970000,3220000,149000,105000,2676000,4000,2957000,2345000,3493000,3355000,2619000,2484000,2383000,12952000,1123000,290000,4913000
53,Total Current Liabilities,4490000,5514000,6737000,7735000,8337000,6490000,4433000,4111000,14554000,12774000,20623000,20243000,19620000,22246000,8552000,290000,6987000
54,Long-Term Debt,236000,96000,318000,247000,52000,507000,650000,3787000,5311000,4063000,3919000,2353000,1281000,1379000,- -,1856000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,60000,113000,57000,17000,7000,- -,- -,- -,4256000
57,Other Non-Current Liabilities,59000,58000,84000,176000,190000,- -,156000,1068000,1138000,281000,85000,74000,57000,133000,587000,527000,794000
58,Total Non-Current Liabilities,295000,154000,402000,423000,242000,507000,806000,4855000,6509000,4457000,4061000,2444000,1345000,1512000,587000,2383000,5050000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,109000,56000,22000,- -,- -,- -,- -,271000
61,Total Liabilities,4785000,5668000,7139000,8158000,8579000,6997000,5239000,8966000,21063000,17231000,24684000,22687000,20965000,23758000,9139000,2673000,12037000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000,- -
63,Common Stock,5000,6000,6000,6000,6000,6000,6000,6000,3000,6000,6000,6000,6000,8000,9000,11000,68000
64,Retained Earnings,990000,942000,842000,955000,993000,702000,2321000,3501000,8918000,8423000,6284000,3817000,-1990000,-10147000,-12757000,-16974000,-39966000
65,Other Comprehensive Income/Loss,-427000,-521000,-608000,-608000,-842000,-655000,-622000,-644000,-872000,1000000,-2604000,-2920000,-2957000,-2067000,-3207000,-84000,- -
66,Other Total Stockholders Equity,448000,478000,656000,778000,1028000,934000,1123000,749000,2062000,8442000,10434000,10536000,11716000,12585000,14995000,20289000,101963000
67,Total Stockholders Equity,1016000,905000,896000,1131000,1185000,987000,2828000,3612000,10111000,17871000,14120000,11439000,6775000,379000,-960000,3244000,62065000
68,Total Liabilities And Stockholders Equity,5801000,6573000,8035000,9289000,9764000,7984000,8067000,12578000,31174000,35102000,38804000,34126000,27740000,24137000,8179000,5917000,74102000
69,Minority Interest,372000,356000,333000,448000,501000,508000,1217000,- -,6757000,7727000,6129000,6017000,4183000,5595000,1964000,- -,3631000
70,Total Liabilities & Equity,6173000,6929000,8368000,9737000,10265000,8492000,9284000,12578000,37931000,42829000,44933000,40143000,31923000,29732000,10143000,5917000,77733000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/854800/000114420407015595/0001144204-07-015595-index.htm,https://www.sec.gov/Archives/edgar/data/854800/000114420408019077/v108975_10ksb.htm,https://www.sec.gov/Archives/edgar/data/854800/000114420409017447/0001144204-09-017447-index.html,https://www.sec.gov/Archives/edgar/data/854800/000114420410017083/0001144204-10-017083-index.html,https://www.sec.gov/Archives/edgar/data/854800/000114420411019079/v216982_10-k.htm,https://www.sec.gov/Archives/edgar/data/854800/000114420412018189/0001144204-12-018189-index.html,https://www.sec.gov/Archives/edgar/data/854800/000117891313000945/0001178913-13-000945-index.html,https://www.sec.gov/Archives/edgar/data/854800/000117891314000982/zk1414597.htm,https://www.sec.gov/Archives/edgar/data/854800/000117891315001100/zk1516455.htm,https://www.sec.gov/Archives/edgar/data/854800/000117891316005073/zk1618341.htm,https://www.sec.gov/Archives/edgar/data/854800/000121390017003070/0001213900-17-003070-index.html,https://www.sec.gov/Archives/edgar/data/854800/000121390018004398/f10k2017_micronetenertec.htm,https://www.sec.gov/Archives/edgar/data/854800/000121390019005352/0001213900-19-005352-index.html,https://www.sec.gov/Archives/edgar/data/854800/000121390020004258/0001213900-20-004258-index.html,https://www.sec.gov/Archives/edgar/data/854800/000121390021018976/0001213900-21-018976-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,343000,-48000,-115000,97000,171000,-120000,1619000,1359000,5417000,-495000,-2139000,-2467000,-5807000,-8157000,-2610000,-4217000,-22992000
74,Depreciation and Amortization,146000,148000,84000,144000,111000,65000,23000,66000,779000,984000,1377000,1599000,1369000,1322000,1418000,88000,1780000
75,Deferred Income Tax,- -,4000,-6000,2000,- -,- -,7000,4000,-322000,-208000,-191000,-195000,-104000,-7000,522000,- -,-541000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000,402000,336000,294000,213000,548000,594000,4479000
77,Change in Working Capital,-399000,-162000,223000,405000,-9000,160000,2495000,3599000,11470000,7006000,-10002000,-3143000,-6562000,-3667000,-3746000,4811000,22216000
78,Accounts Receivable,- -,- -,- -,- -,530000,577000,-1013000,-3415000,1371000,-3147000,-1537000,1652000,1635000,-3211000,4081000,-447000,-1885000
79,Inventory,-616000,-161000,-534000,-767000,-569000,728000,311000,659000,1818000,3853000,-1874000,-799000,1767000,-1040000,534000,348000,-5000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,1085000,-458000,1693000,-2038000,-1666000,3679000,-3995000,-425000,2771000
81,Other Working Capital,1249000,1087000,1310000,1715000,1706000,1866000,4361000,7960000,19430000,26436000,16434000,13291000,6729000,3062000,-684000,4127000,26343000
82,Other Non-Cash Items,207000,-605000,-1113000,-1986000,420000,879000,-1206000,-6972000,-13351000,-3728000,9225000,1548000,6862000,6223000,-1447000,-5073000,-13242000
83,Cash Provided by Operating Activities,297000,-663000,-927000,-1338000,693000,984000,2938000,-1944000,3993000,3578000,-1328000,-2322000,-3948000,-4073000,-5315000,-3797000,-8300000
84,CAPEX,-11000,-46000,-130000,-112000,-46000,-39000,-162000,-293000,-615000,-336000,-230000,-367000,-241000,-189000,-44000,-57000,-32000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,2000000,- -,-7000000,- -,- -,- -,4000000,-1000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-254000,-3346000,-320000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,586000,2638000,3049000,- -,- -,- -
88,Other Investing Activites,-144000,438000,155000,-220000,78000,820000,21000,-1501000,-420000,- -,-105000,246000,-353000,311000,295000,17000,-3247000
89,Cash Used for Investing Activites,-155000,392000,25000,-332000,32000,781000,-141000,-1794000,711000,-3682000,-7655000,465000,2044000,3171000,4251000,-1040000,-3279000
90,Debt Repayment,- -,- -,- -,- -,-7664000,-9210000,-2294000,-670000,-4326000,-5452000,-2454000,-4685000,-2246000,-4261000,-5450000,-2130000,-496000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,8669000,- -,- -,580000,4595000,479000,- -,34927000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15900000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-180000,289000,823000,1577000,7569000,7073000,-280000,5014000,9160000,-1057000,7713000,4717000,2019000,2053000,5965000,8008000,18899000
95,Cash Used/Provided by Financing Activities,-180000,289000,823000,1577000,-95000,-2137000,-2574000,4344000,4834000,2160000,5259000,32000,353000,2387000,994000,5878000,37430000
96,Effect of Forex Changes on Cash,-19000,-64000,8000,219000,- -,-78000,162000,-292000,133000,158000,-509000,-25000,-142000,90000,-154000,-16000,-1000
97,Net Change In Cash,-57000,-46000,-71000,126000,630000,-450000,385000,314000,9671000,2214000,-4233000,-1850000,-1693000,1575000,-224000,1025000,25850000
98,Cash at the End of Period,124000,78000,7000,133000,763000,313000,626000,940000,10611000,12825000,8592000,2361000,668000,2114000,2174000,3199000,29049000
99,Cash at the Beginning of Period,181000,124000,78000,7000,133000,763000,241000,626000,940000,10611000,12825000,4211000,2361000,539000,2398000,2174000,3199000
100,Free Cash Flow,286000,-709000,-1057000,-1450000,647000,945000,2776000,-2237000,3378000,3242000,-1558000,-2689000,-4189000,-4262000,-5359000,-3854000,-8332000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/854800/000114420407015595/0001144204-07-015595-index.htm,https://www.sec.gov/Archives/edgar/data/854800/000114420408019077/v108975_10ksb.htm,https://www.sec.gov/Archives/edgar/data/854800/000114420409017447/0001144204-09-017447-index.html,https://www.sec.gov/Archives/edgar/data/854800/000114420410017083/0001144204-10-017083-index.html,https://www.sec.gov/Archives/edgar/data/854800/000114420411019079/v216982_10-k.htm,https://www.sec.gov/Archives/edgar/data/854800/000114420412018189/0001144204-12-018189-index.html,https://www.sec.gov/Archives/edgar/data/854800/000117891313000945/0001178913-13-000945-index.html,https://www.sec.gov/Archives/edgar/data/854800/000117891314000982/zk1414597.htm,https://www.sec.gov/Archives/edgar/data/854800/000117891315001100/zk1516455.htm,https://www.sec.gov/Archives/edgar/data/854800/000117891316005073/zk1618341.htm,https://www.sec.gov/Archives/edgar/data/854800/000121390017003070/0001213900-17-003070-index.html,https://www.sec.gov/Archives/edgar/data/854800/000121390018004398/f10k2017_micronetenertec.htm,https://www.sec.gov/Archives/edgar/data/854800/000121390019005352/0001213900-19-005352-index.html,https://www.sec.gov/Archives/edgar/data/854800/000121390020004258/0001213900-20-004258-index.html,https://www.sec.gov/Archives/edgar/data/854800/000121390021018976/0001213900-21-018976-index.htm
102,false,,,,,,,,,,,,,,,,,
