,https://roic.ai/company/AADI,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
73,Net Income,-22395,-27185,-27365,-28701,-31440,-39434,-21400606,-10396635,-23270514,-4315323,-110090000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,51268,46686,76501,61482,105000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,649409,3431862,1085842,1281530,2106000
77,Change in Working Capital,- -,-27365,-31201,-28299,-31440,-39434,17533221,41219860,-22290696,6615746,12245000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,4157,- -,- -,- -,14149000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,1890,812,-1127,-1500,1272,600,1604636,1864753,-2217598,- -,8290000
81,Other Working Capital,-68176,-95541,-126742,-155041,-186481,-225915,17307306,58527166,36236470,42852216,- -
82,Other Non-Cash Items,3151,31777,34048,33676,41146,54351,-15716827,-40109819,20546345,-9028387,73211000
83,Cash Provided by Operating Activities,-19244,-22773,-24518,-23324,-21734,-24517,-18883535,-5808046,-23852522,-5384952,-22423000
84,CAPEX,- -,- -,- -,- -,- -,- -,-8896,-37912,-236952,-19025,-46000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,50000,- -,- -,- -,25199000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,41104,-37912,-236952,-19025,25153000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,40247777,51621570,- -,9743637,155000000
92,Common Stock Repurchased,-4125,-4607,-6283,-5263,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4412000
94,Other Financing Activites,39125,4607,31283,30263,35000,10000,-2750931,-3425711,- -,-259261,-8784000
95,Cash Used/Provided by Financing Activities,35000,- -,25000,25000,35000,10000,37496846,48195859,- -,9484376,141804000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,15756,-22773,482,1676,13266,-14517,18654415,42349901,-24089474,4080399,144534000
98,Cash at the End of Period,4125,4607,6283,5263,18529,4012,20264109,62614010,38524536,42604935,148989000
99,Cash at the Beginning of Period,-11631,27380,5801,3587,5263,18529,1609694,20264109,62614010,38524536,4455000
100,Free Cash Flow,-19244,-22773,-24518,-23324,-21734,-24517,-18892431,-5845958,-24089474,-5403977,-22469000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1422142/000114420412018750/0001144204-12-018750-index.html,https://www.sec.gov/Archives/edgar/data/1422142/000114420413018033/0001144204-13-018033-index.html,https://www.sec.gov/Archives/edgar/data/1422142/000121390014001894/0001213900-14-001894-index.htm,https://www.sec.gov/Archives/edgar/data/1422142/000121390015001427/0001213900-15-001427-index.htm,https://www.sec.gov/Archives/edgar/data/1422142/000121390016012024/0001213900-16-012024-index.html,https://www.sec.gov/Archives/edgar/data/1422142/000121390017002066/0001213900-17-002066-index.html,https://www.sec.gov/Archives/edgar/data/1422142/000156459018005868/0001564590-18-005868-index.html,https://www.sec.gov/Archives/edgar/data/1422142/000156459019006602/0001564590-19-006602-index.html,https://www.sec.gov/Archives/edgar/data/1422142/000156459020011174/0001564590-20-011174-index.html,https://www.sec.gov/Archives/edgar/data/1422142/000156459021012252/0001564590-21-012252-index.htm,https://www.sec.gov/Archives/edgar/data/1422142/000156459022010721/0001564590-22-010721-index.htm
102,false,,,,,,,,,,,
