,https://roic.ai/company/ATOM,2014,2015,2016,2017,2018,2019,2020,2021
67,Total Stockholders Equity,-7301383,-13120754,25848000,16858000,17746000,13772000,37345000,28381000
68,Total Liabilities And Stockholders Equity,81350,3420282,26879000,17807000,19357000,15240000,39395000,36060000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,81350,3420282,26879000,17807000,19357000,15240000,39395000,36060000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1420520/000168316817000713/0001683168-17-000713-index.htm,https://www.sec.gov/Archives/edgar/data/1420520/000168316818000599/0001683168-18-000599-index.htm,https://www.sec.gov/Archives/edgar/data/1420520/000168316819000596/0001683168-19-000596-index.htm,https://www.sec.gov/Archives/edgar/data/1420520/000168316820000799/0001683168-20-000799-index.htm,https://www.sec.gov/Archives/edgar/data/1420520/000168316821000648/0001683168-21-000648-index.htm,https://www.sec.gov/Archives/edgar/data/1420520/000168316822001031/0001683168-22-001031-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-3817734,-9512141,-12610000,-13068000,-12897000,-13300000,-14878000,-15714000
74,Depreciation and Amortization,5460,9517,15000,19000,33000,178000,179000,785000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,78325,431893,2468000,4018000,2425000,2929000,3041000,2973000
77,Change in Working Capital,581823,-12566379,39063956,-9005000,899000,-4142000,23091000,-485000
78,Accounts Receivable,- -,- -,- -,-110000,-75000,185000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,491185,-329417,52000,-155000,150000,-33000,127000,-104000
81,Other Working Capital,-714577,-13280956,25783000,16778000,17677000,13535000,36626000,- -
82,Other Non-Cash Items,558766,17249962,-35735956,8747000,-233000,3927000,-23500000,- -
83,Cash Provided by Operating Activities,-2593360,-4387148,-6799000,-9289000,-9773000,-10408000,-12067000,-12441000
84,CAPEX,-26512,-3811,-28000,-60000,-23000,-51000,-131000,-109000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,15000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-26512,-3811,-13000,-60000,-23000,-51000,-131000,-109000
90,Debt Repayment,-5482,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,27600000,- -,11360000,6397000,33386000,243000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2314149,7566922,2733000,- -,- -,- -,1883000,3064000
95,Cash Used/Provided by Financing Activities,2308667,7566922,30333000,- -,11360000,6397000,35269000,3307000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-311205,3175963,23521000,-9349000,1564000,-4062000,23071000,-9243000
98,Cash at the End of Period,20980,3196943,26718000,17369000,18933000,14871000,37942000,28699000
99,Cash at the Beginning of Period,332185,20980,3197000,26718000,17369000,18933000,14871000,37942000
100,Free Cash Flow,-2619872,-4390959,-6827000,-9349000,-9796000,-10459000,-12198000,-12550000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1420520/000168316817000713/0001683168-17-000713-index.htm,https://www.sec.gov/Archives/edgar/data/1420520/000168316818000599/0001683168-18-000599-index.htm,https://www.sec.gov/Archives/edgar/data/1420520/000168316819000596/0001683168-19-000596-index.htm,https://www.sec.gov/Archives/edgar/data/1420520/000168316820000799/0001683168-20-000799-index.htm,https://www.sec.gov/Archives/edgar/data/1420520/000168316821000648/0001683168-21-000648-index.htm,https://www.sec.gov/Archives/edgar/data/1420520/000168316822001031/0001683168-22-001031-index.htm
102,false,,,,,,,,
